#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,James Harden,HOU,72,35.4,30.4,9.0,20.1,0.449,3.7,10.0,0.367,8.7,10.1,0.858,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3
2,Anthony Davis,NOP,75,36.4,28.1,10.4,19.5,0.534,0.7,2.2,0.34,6.6,8.0,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1
3,LeBron James,CLE,82,36.9,27.5,10.5,19.3,0.542,1.8,5.0,0.367,4.7,6.5,0.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7
4,Damian Lillard,POR,73,36.6,26.9,8.5,19.4,0.439,3.1,8.6,0.361,6.8,7.4,0.916,0.8,3.6,4.5,6.6,1.1,0.4,2.8,1.6
5,Giannis Antetokounmpo,MIL,75,36.8,26.9,9.9,18.7,0.529,0.6,1.9,0.307,6.5,8.5,0.76,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1
6,Stephen Curry,GSW,51,32.0,26.4,8.4,16.9,0.495,4.2,9.8,0.423,5.5,5.9,0.921,0.7,4.4,5.1,6.1,1.6,0.2,3.0,2.2
7,Kevin Durant,GSW,68,34.2,26.4,9.3,18.0,0.516,2.5,6.1,0.419,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3.0,2.0
8,Russell Westbrook,OKC,80,36.4,25.4,9.5,21.1,0.449,1.2,4.1,0.298,5.2,7.1,0.737,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5
9,DeMarcus Cousins,NOP,48,36.2,25.2,8.5,18.0,0.47,2.2,6.1,0.354,6.1,8.2,0.746,2.2,10.7,12.9,5.4,1.7,1.6,5.0,3.8
10,Devin Booker,PHX,54,34.5,24.9,8.4,19.5,0.432,2.7,7.1,0.383,5.4,6.1,0.878,0.5,4.0,4.5,4.7,0.9,0.3,3.6,3.1
11,Kyrie Irving,BOS,60,32.2,24.4,8.9,18.1,0.491,2.8,6.8,0.408,3.9,4.4,0.889,0.6,3.2,3.8,5.1,1.1,0.3,2.3,2.0
12,LaMarcus Aldridge,SAS,75,33.4,23.1,9.2,18.0,0.51,0.4,1.2,0.293,4.5,5.3,0.837,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1
13,Victor Oladipo,IND,75,34.0,23.1,8.5,17.9,0.477,2.1,5.8,0.371,3.9,4.9,0.799,0.6,4.6,5.2,4.3,2.4,0.8,2.9,2.3
14,DeMar DeRozan,TOR,80,33.9,23.0,8.1,17.7,0.456,1.1,3.6,0.31,5.8,7.0,0.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9
15,Joel Embiid,PHI,63,30.4,22.9,8.1,16.8,0.483,1.0,3.4,0.308,5.7,7.4,0.769,2.3,8.7,11.0,3.2,0.6,1.8,3.7,3.3
16,Kristaps Porzingis,NYK,48,32.4,22.7,8.1,18.5,0.439,1.9,4.8,0.395,4.5,5.7,0.793,1.3,5.3,6.6,1.2,0.8,2.4,1.9,2.9
17,Bradley Beal,WAS,82,36.3,22.6,8.3,18.1,0.46,2.4,6.5,0.375,3.6,4.5,0.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2.0
18,Lou Williams,LAC,79,32.8,22.6,7.4,16.9,0.435,2.4,6.6,0.359,5.5,6.2,0.88,0.5,2.0,2.5,5.3,1.1,0.2,3.0,1.3
19,Jimmy Butler,MIN,59,36.7,22.2,7.4,15.6,0.474,1.2,3.4,0.35,6.2,7.2,0.854,1.3,4.0,5.3,4.9,2.0,0.4,1.8,1.3
20,Kemba Walker,CHA,80,34.2,22.1,7.4,17.0,0.431,2.9,7.5,0.384,4.5,5.3,0.864,0.4,2.7,3.1,5.6,1.1,0.3,2.2,1.2
21,Paul George,OKC,79,36.6,21.9,7.3,17.0,0.43,3.1,7.7,0.401,4.3,5.2,0.822,0.9,4.7,5.7,3.3,2.0,0.5,2.7,2.9
22,Blake Griffin,DET,58,34.0,21.4,7.5,17.2,0.438,1.9,5.6,0.345,4.5,5.7,0.785,1.3,6.1,7.4,5.8,0.7,0.3,2.8,2.4
23,C.J. McCollum,POR,81,36.1,21.4,8.2,18.6,0.443,2.3,5.9,0.397,2.6,3.1,0.836,0.7,3.3,4.0,3.4,1.0,0.4,1.9,2.1
24,Karl-Anthony Towns,MIN,82,35.6,21.3,7.8,14.3,0.545,1.5,3.5,0.421,4.2,4.9,0.858,2.9,9.4,12.3,2.4,0.8,1.4,1.9,3.5
25,Donovan Mitchell,UTA,79,33.4,20.5,7.5,17.2,0.437,2.4,7.0,0.34,3.0,3.8,0.805,0.7,3.1,3.7,3.7,1.5,0.3,2.7,2.7
26,Khris Middleton,MIL,82,36.4,20.1,7.2,15.5,0.466,1.8,5.0,0.359,3.9,4.4,0.884,0.5,4.7,5.2,4.0,1.5,0.3,2.3,3.3
27,MarShon Brooks,MEM,7,27.5,20.1,7.3,14.6,0.5,2.7,4.6,0.594,2.9,3.3,0.87,1.1,1.9,3.0,3.6,1.6,0.4,2.3,0.9
28,Klay Thompson,GSW,73,34.3,20.0,7.9,16.1,0.488,3.1,7.1,0.44,1.1,1.3,0.837,0.4,3.4,3.8,2.5,0.8,0.5,1.8,1.6
29,T.J. Warren,PHX,65,33.0,19.6,8.1,16.4,0.498,0.3,1.4,0.222,3.0,3.9,0.757,1.9,3.2,5.1,1.3,1.0,0.6,1.3,2.3
30,John Wall,WAS,41,34.4,19.4,6.8,16.3,0.42,1.5,4.1,0.371,4.3,5.9,0.726,0.5,3.1,3.7,9.6,1.4,1.1,3.9,2.0
31,Tyreke Evans,MEM,52,30.9,19.4,7.0,15.6,0.452,2.2,5.5,0.399,3.2,4.0,0.785,0.8,4.3,5.1,5.2,1.1,0.3,2.3,1.8
32,Dennis Schroder,ATL,67,31.0,19.4,7.5,17.1,0.436,1.1,3.9,0.29,3.4,4.0,0.849,0.7,2.4,3.1,6.2,1.1,0.1,2.7,2.2
33,Jrue Holiday,NOP,81,36.1,19.0,7.6,15.4,0.494,1.5,4.4,0.337,2.3,2.9,0.786,0.8,3.7,4.5,6.0,1.5,0.8,2.6,2.5
34,Harrison Barnes,DAL,77,34.2,18.9,7.0,15.7,0.445,1.5,4.3,0.357,3.4,4.1,0.827,1.0,5.1,6.1,2.0,0.6,0.2,1.5,1.2
35,Chris Paul,HOU,58,31.8,18.6,6.3,13.8,0.46,2.5,6.5,0.38,3.5,3.8,0.919,0.6,4.8,5.4,7.9,1.7,0.2,2.2,2.4
36,Tobias Harris,LAC,80,33.4,18.6,7.0,15.3,0.46,2.3,5.6,0.411,2.2,2.7,0.829,0.7,4.7,5.5,2.4,0.9,0.4,1.3,2.1
37,Nikola Jokic,DEN,75,32.5,18.5,6.7,13.5,0.499,1.5,3.7,0.396,3.5,4.2,0.85,2.6,8.1,10.7,6.1,1.2,0.8,2.8,2.8
38,Eric Gordon,HOU,69,31.2,18.0,6.0,14.1,0.428,3.2,8.8,0.359,2.8,3.5,0.809,0.4,2.1,2.5,2.2,0.6,0.4,1.9,1.7
39,Jeremy Lin,BRK,1,25.2,18.0,5.0,12.0,0.417,1.0,2.0,0.5,7.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0
40,Evan Fournier,ORL,57,32.2,17.8,6.5,14.1,0.459,2.2,5.9,0.379,2.6,3.0,0.867,0.4,2.8,3.2,2.9,0.8,0.3,1.7,2.4
41,Eric Bledsoe,MIL,74,31.4,17.7,6.3,13.4,0.473,1.7,4.9,0.347,3.4,4.3,0.795,0.7,3.1,3.8,5.0,2.0,0.6,2.9,2.5
42,Andrew Wiggins,MIN,82,36.3,17.7,6.9,15.9,0.438,1.4,4.1,0.331,2.5,3.8,0.643,1.0,3.4,4.4,2.0,1.1,0.6,1.7,2.0
43,Aaron Gordon,ORL,58,32.9,17.6,6.5,14.9,0.434,2.0,5.9,0.336,2.7,3.9,0.698,1.5,6.4,7.9,2.3,1.0,0.8,1.8,1.9
44,Kevin Love,CLE,59,28.0,17.6,5.7,12.4,0.458,2.3,5.6,0.415,4.0,4.5,0.88,1.7,7.5,9.3,1.7,0.7,0.4,1.5,2.0
45,Tim Hardaway Jr.,NYK,57,33.1,17.5,6.3,15.0,0.421,2.3,7.2,0.317,2.6,3.1,0.816,0.6,3.4,3.9,2.7,1.1,0.2,1.6,2.2
46,Gary Harris,DEN,67,34.4,17.5,6.6,13.6,0.485,2.3,5.9,0.396,2.0,2.4,0.827,0.6,2.1,2.6,2.9,1.8,0.2,1.8,1.8
47,Goran Dragic,MIA,75,31.7,17.3,6.5,14.3,0.45,1.5,4.0,0.37,2.9,3.6,0.801,0.7,3.4,4.1,4.8,0.8,0.2,2.2,2.4
