#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Kevin Durant,OKC,78,38.9,27.7,9.1,19.7,0.462,1.9,5.3,0.35,7.6,8.7,0.88,0.7,6.1,6.8,2.7,1.1,1.0,2.8,2.0
2,LeBron James,MIA,79,38.8,26.7,9.6,18.8,0.511,1.2,3.5,0.33,6.4,8.4,0.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1
3,Carmelo Anthony,NYK,77,35.7,25.6,8.9,19.5,0.455,1.2,3.3,0.378,6.6,7.9,0.838,1.5,5.8,7.3,2.9,0.9,0.6,2.7,2.9
4,Dwyane Wade,MIA,76,37.1,25.5,9.1,18.2,0.5,0.8,2.7,0.306,6.5,8.6,0.758,1.6,4.8,6.4,4.6,1.5,1.1,3.1,2.6
5,Kobe Bryant,LAL,82,33.9,25.3,9.0,20.0,0.451,1.4,4.3,0.323,5.9,7.1,0.828,1.0,4.1,5.1,4.7,1.2,0.1,3.0,2.1
6,Amar'e Stoudemire,NYK,78,36.8,25.3,9.5,19.0,0.502,0.1,0.3,0.435,6.1,7.7,0.792,2.5,5.6,8.2,2.6,0.9,1.9,3.2,3.5
7,Derrick Rose,CHI,81,37.4,25.0,8.8,19.7,0.445,1.6,4.8,0.332,5.9,6.9,0.858,1.0,3.1,4.1,7.7,1.0,0.6,3.4,1.7
8,Monta Ellis,GSW,80,40.3,24.1,9.1,20.1,0.451,1.7,4.7,0.361,4.3,5.4,0.789,0.6,3.0,3.5,5.6,2.1,0.3,3.2,2.5
9,Kevin Martin,HOU,80,32.5,23.5,6.9,15.8,0.436,2.2,5.7,0.383,7.4,8.4,0.888,0.4,2.9,3.2,2.5,1.0,0.2,2.3,1.9
10,Dirk Nowitzki,DAL,73,34.3,23.0,8.4,16.2,0.517,0.9,2.3,0.393,5.4,6.1,0.892,0.7,6.3,7.0,2.6,0.5,0.6,1.9,2.4
11,Dwight Howard,ORL,78,37.6,22.9,7.9,13.4,0.593,0.0,0.1,0.0,7.0,11.7,0.596,4.0,10.1,14.1,1.4,1.4,2.4,3.6,3.3
12,Blake Griffin,LAC,82,37.9,22.5,8.5,16.8,0.506,0.1,0.3,0.292,5.4,8.5,0.642,3.3,8.8,12.1,3.8,0.8,0.5,2.7,3.1
13,Eric Gordon,LAC,56,37.7,22.3,7.6,16.9,0.45,1.9,5.2,0.364,5.1,6.2,0.825,0.8,2.1,2.9,4.4,1.3,0.3,2.7,2.1
14,Russell Westbrook,OKC,82,34.7,21.9,7.5,17.0,0.442,0.4,1.3,0.33,6.5,7.7,0.842,1.5,3.1,4.6,8.2,1.9,0.4,3.9,2.5
15,LaMarcus Aldridge,POR,81,39.6,21.8,8.7,17.5,0.5,0.0,0.3,0.174,4.3,5.5,0.791,3.4,5.3,8.8,2.1,1.0,1.2,1.9,2.7
16,Andrea Bargnani,TOR,66,35.7,21.4,8.0,17.8,0.448,1.2,3.4,0.345,4.3,5.3,0.82,1.1,4.1,5.2,1.8,0.5,0.7,2.3,2.4
17,Danny Granger,IND,79,35.0,20.5,6.8,15.9,0.425,2.0,5.2,0.386,5.0,5.9,0.848,1.1,4.3,5.4,2.6,1.1,0.8,2.6,2.7
18,Brook Lopez,NJN,82,35.2,20.4,7.9,16.0,0.492,0.0,0.0,0.0,4.7,6.0,0.787,2.4,3.5,6.0,1.6,0.6,1.5,2.1,2.9
19,Kevin Love,MIN,73,35.8,20.2,6.6,14.1,0.47,1.2,2.9,0.417,5.8,6.8,0.85,4.5,10.7,15.2,2.5,0.6,0.4,2.1,2.0
20,Deron Williams,NJN,65,37.9,20.1,6.6,15.0,0.439,1.6,4.9,0.331,5.4,6.3,0.845,0.6,3.4,4.0,10.3,1.2,0.2,3.5,2.9
21,Zach Randolph,MEM,75,36.3,20.1,8.0,15.8,0.503,0.1,0.6,0.186,4.0,5.3,0.758,4.3,7.8,12.2,2.2,0.8,0.3,2.0,2.3
22,Rudy Gay,MEM,54,39.8,19.8,7.6,16.1,0.471,1.1,2.7,0.396,3.6,4.5,0.805,1.5,4.7,6.2,2.8,1.7,1.1,2.5,2.4
23,Michael Beasley,MIN,73,32.3,19.2,7.7,17.1,0.45,0.8,2.2,0.366,3.0,4.0,0.753,1.6,4.0,5.6,2.2,0.7,0.7,2.7,3.0
24,Paul Pierce,BOS,80,34.7,18.9,6.3,12.8,0.497,1.4,3.7,0.374,4.8,5.6,0.86,0.4,5.0,5.4,3.3,1.0,0.7,2.1,2.9
25,David West,NOP,70,35.0,18.9,7.5,14.9,0.508,0.0,0.1,0.222,3.8,4.7,0.807,2.2,5.3,7.6,2.3,1.0,0.9,2.0,2.9
26,Pau Gasol,LAL,82,37.0,18.8,7.2,13.7,0.529,0.0,0.0,0.333,4.3,5.2,0.823,3.3,6.9,10.2,3.3,0.6,1.6,1.7,2.5
27,Chris Bosh,MIA,77,36.3,18.7,6.8,13.7,0.496,0.1,0.3,0.24,5.0,6.1,0.815,1.8,6.5,8.3,1.9,0.8,0.6,1.8,2.2
28,Al Jefferson,UTA,82,35.9,18.6,8.0,16.1,0.496,0.0,0.0,0.0,2.7,3.5,0.761,2.9,6.8,9.7,1.8,0.6,1.9,1.3,2.9
29,Stephen Curry,GSW,74,33.6,18.6,6.8,14.2,0.48,2.0,4.6,0.442,2.9,3.1,0.934,0.7,3.2,3.9,5.8,1.5,0.3,3.1,3.1
30,Stephen Jackson,CHA,67,35.9,18.5,6.5,15.8,0.411,1.8,5.4,0.337,3.7,4.6,0.816,0.8,3.7,4.5,3.6,1.2,0.4,3.1,2.4
31,Luis Scola,HOU,74,32.6,18.3,7.7,15.3,0.504,0.0,0.0,0.0,2.9,3.9,0.738,2.0,6.2,8.2,2.5,0.6,0.6,2.0,3.1
32,Joe Johnson,ATL,72,35.5,18.2,7.1,16.1,0.443,1.2,4.2,0.297,2.7,3.4,0.802,0.8,3.2,4.0,4.7,0.7,0.1,2.0,1.8
33,Antawn Jamison,CLE,56,32.9,18.0,6.7,15.6,0.427,1.6,4.7,0.346,3.1,4.2,0.731,1.5,5.2,6.7,1.7,0.9,0.5,1.4,2.4
34,Tyreke Evans,SAC,57,37.0,17.8,6.7,16.4,0.409,0.8,2.6,0.291,3.6,4.7,0.771,0.8,4.0,4.8,5.6,1.5,0.5,3.2,2.5
35,Tony Parker,SAS,78,32.4,17.5,7.1,13.7,0.519,0.3,0.9,0.357,3.0,3.9,0.769,0.4,2.7,3.1,6.6,1.2,0.0,2.6,1.7
36,Carlos Boozer,CHI,59,31.9,17.5,7.3,14.3,0.51,0.0,0.0,0.0,2.9,4.1,0.701,2.2,7.4,9.6,2.5,0.8,0.3,2.5,3.2
37,Luol Deng,CHI,82,39.1,17.4,6.5,14.1,0.46,1.4,4.1,0.345,3.1,4.1,0.753,1.4,4.4,5.8,2.8,1.0,0.6,1.9,2.0
38,Nick Young,WAS,64,31.8,17.4,6.4,14.6,0.441,1.6,4.2,0.387,2.9,3.6,0.816,0.4,2.3,2.7,1.2,0.7,0.3,1.4,2.3
39,Manu Ginobili,SAS,80,30.3,17.4,5.5,12.7,0.433,1.9,5.5,0.349,4.5,5.1,0.871,0.5,3.2,3.7,4.9,1.5,0.4,2.2,2.0
40,Paul Millsap,UTA,76,34.3,17.3,6.9,13.0,0.531,0.1,0.3,0.391,3.4,4.4,0.757,2.2,5.5,7.6,2.5,1.4,0.9,1.9,3.6
41,DeMar DeRozan,TOR,82,34.8,17.2,6.6,14.1,0.467,0.1,0.6,0.096,4.0,4.9,0.813,0.9,2.9,3.8,1.8,1.0,0.4,1.8,2.6
42,Andray Blatche,WAS,64,33.9,16.8,6.7,15.0,0.445,0.1,0.3,0.222,3.4,4.4,0.777,2.9,5.4,8.2,2.3,1.5,0.8,2.7,2.8
43,Chauncey Billups,NYK,72,32.1,16.8,4.7,11.0,0.427,2.0,5.0,0.402,5.3,5.8,0.916,0.3,2.3,2.6,5.4,1.0,0.2,2.5,2.0
44,Josh Smith,ATL,77,34.3,16.5,6.5,13.5,0.477,0.7,2.0,0.331,3.0,4.1,0.725,1.7,6.8,8.5,3.3,1.3,1.6,2.6,2.8
45,Ray Allen,BOS,80,36.1,16.5,6.0,12.2,0.491,2.1,4.7,0.444,2.4,2.7,0.881,0.6,2.8,3.4,2.7,1.0,0.2,1.5,1.8
46,David Lee,GSW,73,36.1,16.5,6.8,13.4,0.507,0.0,0.0,0.333,2.9,3.7,0.787,3.0,6.8,9.8,3.2,1.0,0.4,2.3,2.9
47,John Wall,WAS,69,37.8,16.4,5.8,14.1,0.409,0.5,1.7,0.296,4.4,5.7,0.766,0.5,4.1,4.6,8.3,1.8,0.5,3.8,2.5
48,Dorell Wright,GSW,82,38.4,16.4,5.9,14.0,0.423,2.4,6.3,0.376,2.2,2.8,0.789,1.1,4.2,5.3,3.0,1.5,0.8,1.6,2.1
49,Brandon Jennings,MIL,63,34.4,16.2,5.7,14.7,0.39,1.6,4.8,0.323,3.2,3.9,0.809,0.7,3.0,3.7,4.8,1.5,0.3,2.3,2.1
50,Wesley Matthews,POR,82,33.6,15.9,5.4,11.9,0.449,1.9,4.6,0.407,3.2,3.8,0.844,0.6,2.6,3.1,2.0,1.2,0.1,1.7,2.4
51,Chris Paul,NOP,80,36.0,15.9,5.4,11.6,0.463,0.9,2.3,0.388,4.2,4.8,0.878,0.5,3.6,4.1,9.8,2.4,0.1,2.2,2.5
52,Jason Terry,DAL,82,31.3,15.8,6.0,13.3,0.451,1.5,4.3,0.362,2.2,2.6,0.85,0.3,1.6,1.9,4.1,1.1,0.2,2.0,1.7
53,Gerald Wallace,POR,71,37.9,15.7,5.4,12.0,0.454,0.9,2.6,0.333,3.9,5.3,0.746,1.6,6.5,8.0,2.4,1.5,0.9,2.1,2.6
54,Danilo Gallinari,DEN,62,33.9,15.6,4.3,10.3,0.414,1.7,4.7,0.352,5.4,6.3,0.862,1.0,4.0,4.9,1.7,0.8,0.4,1.3,2.3
55,Jason Richardson,ORL,80,33.9,15.6,5.9,13.2,0.447,2.4,6.0,0.395,1.5,2.0,0.73,0.8,3.3,4.1,1.8,1.2,0.2,1.2,2.0
56,Raymond Felton,DEN,75,36.5,15.5,5.7,13.4,0.425,1.5,4.4,0.353,2.6,3.2,0.805,0.6,2.9,3.6,8.3,1.7,0.1,2.9,2.0
57,Rodney Stuckey,DET,70,31.2,15.5,5.2,11.8,0.439,0.4,1.3,0.289,4.7,5.4,0.866,1.0,2.1,3.1,5.2,1.1,0.1,2.2,2.5
58,Al Horford,ATL,77,35.1,15.3,6.7,12.0,0.557,0.0,0.1,0.5,1.9,2.4,0.798,2.4,7.0,9.3,3.5,0.8,1.0,1.5,2.5
59,Wilson Chandler,DEN,72,33.3,15.3,6.0,13.2,0.45,1.6,4.4,0.35,1.8,2.2,0.807,1.0,4.6,5.7,1.7,0.7,1.3,1.4,2.8
60,Devin Harris,UTA,71,31.7,15.2,4.8,11.5,0.422,0.8,2.5,0.322,4.7,5.7,0.833,0.2,2.1,2.4,7.1,1.0,0.1,2.9,2.3
61,Caron Butler,DAL,29,29.9,15.0,5.9,13.0,0.45,1.0,2.2,0.431,2.3,3.0,0.773,0.8,3.3,4.1,1.6,1.0,0.3,1.7,2.0
62,Elton Brand,PHI,81,34.7,15.0,6.2,12.1,0.512,0.0,0.0,0.0,2.6,3.4,0.78,2.9,5.4,8.3,1.5,1.1,1.3,1.2,3.0
63,Kevin Garnett,BOS,71,31.3,14.9,6.1,11.6,0.528,0.0,0.1,0.2,2.6,3.1,0.862,1.2,7.7,8.9,2.4,1.3,0.8,1.6,2.1
64,Steve Nash,PHX,75,33.3,14.7,5.3,10.8,0.492,1.1,2.7,0.395,3.0,3.3,0.912,0.5,2.9,3.5,11.4,0.6,0.1,3.5,1.2
65,Maybyner Nene,DEN,75,30.5,14.5,5.4,8.7,0.615,0.0,0.1,0.2,3.8,5.4,0.711,1.9,5.7,7.6,2.0,1.1,1.0,1.8,3.2
66,Lamar Odom,LAL,82,32.2,14.4,5.8,10.9,0.53,0.8,2.2,0.382,2.0,3.0,0.675,2.1,6.5,8.7,3.0,0.6,0.7,1.7,2.4
67,D.J. Augustin,CHA,82,33.6,14.4,4.9,11.7,0.416,1.4,4.1,0.333,3.3,3.6,0.906,0.5,2.3,2.7,6.1,0.7,0.0,1.9,1.9
68,Jamal Crawford,ATL,76,30.2,14.2,4.8,11.5,0.421,1.6,4.6,0.341,2.9,3.4,0.854,0.3,1.4,1.7,3.2,0.8,0.2,1.9,1.3
69,Richard Hamilton,DET,55,27.2,14.1,5.2,12.2,0.429,1.0,2.6,0.382,2.7,3.1,0.849,0.4,1.9,2.3,3.1,0.7,0.1,1.6,1.7
