#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Allen Iverson,PHI,75,42.3,30.7,10.3,24.2,0.424,1.4,4.5,0.308,8.7,10.5,0.835,0.7,3.3,4.0,7.9,2.4,0.1,4.6,1.9
2,Kobe Bryant,LAL,66,40.7,27.6,8.7,20.1,0.433,2.0,5.9,0.339,8.2,10.1,0.816,1.4,4.5,5.9,6.0,1.3,0.8,4.1,2.6
3,LeBron James,CLE,80,42.4,27.2,9.9,21.1,0.472,1.4,3.9,0.351,6.0,8.0,0.75,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8
4,Dirk Nowitzki,DAL,78,38.7,26.1,8.5,18.5,0.459,1.2,2.9,0.399,7.9,9.1,0.869,1.2,8.5,9.7,3.1,1.2,1.5,2.3,2.8
5,Amar'e Stoudemire,PHX,80,36.1,26.0,9.3,16.7,0.559,0.0,0.2,0.188,7.3,9.9,0.733,2.7,6.2,8.9,1.6,1.0,1.6,2.4,3.5
6,Tracy McGrady,HOU,78,40.8,25.7,9.2,21.3,0.431,1.8,5.6,0.326,5.5,7.1,0.774,0.9,5.3,6.2,5.7,1.7,0.7,2.6,2.1
7,Gilbert Arenas,WAS,80,40.9,25.5,8.2,19.0,0.431,2.6,7.0,0.365,6.5,8.0,0.814,1.0,3.7,4.7,5.1,1.7,0.3,3.0,3.1
8,Metta World Peace,IND,7,41.6,24.6,8.4,17.0,0.496,1.0,2.4,0.412,6.7,7.3,0.922,1.1,5.3,6.4,3.1,1.7,0.9,2.4,3.9
9,Vince Carter,NJN,77,36.7,24.5,9.0,20.0,0.452,1.6,4.1,0.406,4.8,6.0,0.798,1.4,3.8,5.2,4.2,1.4,0.6,2.2,3.2
10,Jermaine O'Neal,IND,44,34.8,24.3,8.8,19.4,0.452,0.0,0.1,0.167,6.7,8.9,0.754,1.9,6.9,8.8,1.9,0.6,2.0,3.0,3.9
11,Dwyane Wade,MIA,77,38.6,24.1,8.2,17.1,0.478,0.2,0.6,0.289,7.5,9.9,0.762,1.4,3.7,5.2,6.8,1.6,1.1,4.2,3.0
12,Ray Allen,SEA,78,39.3,23.9,8.2,19.2,0.428,2.7,7.1,0.376,4.8,5.5,0.883,1.0,3.4,4.4,3.7,1.1,0.1,2.2,2.1
13,Michael Redd,MIL,75,38.0,23.0,8.3,18.9,0.441,1.4,3.9,0.355,4.9,5.8,0.854,1.0,3.2,4.2,2.3,0.8,0.1,1.8,2.0
14,Shaquille O'Neal,MIA,73,34.1,22.9,9.0,15.0,0.601,0.0,0.0,0.0,4.8,10.5,0.461,3.5,6.9,10.4,2.7,0.5,2.3,2.8,3.6
15,Richard Jefferson,NJN,33,41.1,22.2,7.2,17.1,0.422,0.9,2.7,0.337,6.9,8.2,0.844,1.5,5.8,7.3,4.0,1.0,0.5,4.0,3.3
16,Corey Maggette,LAC,66,36.9,22.2,6.4,14.9,0.431,0.8,2.5,0.304,8.5,10.0,0.857,1.1,4.9,6.0,3.4,1.1,0.1,3.0,2.9
17,Kevin Garnett,MIN,82,38.1,22.2,8.3,16.6,0.502,0.1,0.3,0.24,5.4,6.7,0.811,3.0,10.5,13.5,5.7,1.5,1.4,2.7,2.5
18,Larry Hughes,WAS,61,38.7,22.0,7.7,17.8,0.43,1.0,3.4,0.282,5.8,7.4,0.777,1.2,5.0,6.3,4.7,2.9,0.3,2.5,2.8
19,Stephon Marbury,NYK,82,40.0,21.7,7.4,16.0,0.462,1.4,4.0,0.354,5.6,6.7,0.834,0.6,2.4,3.0,8.1,1.5,0.1,2.8,2.3
20,Jason Richardson,GSW,72,37.8,21.7,8.5,19.0,0.446,1.7,5.1,0.338,3.0,4.3,0.693,1.7,4.2,5.9,3.9,1.5,0.4,2.3,2.2
21,Paul Pierce,BOS,82,36.1,21.6,6.8,14.9,0.455,1.3,3.6,0.37,6.7,8.1,0.822,1.0,5.6,6.6,4.2,1.6,0.5,2.8,3.1
22,Steve Francis,ORL,78,38.2,21.3,7.2,17.1,0.423,0.5,1.6,0.299,6.4,7.8,0.823,1.6,4.2,5.8,7.0,1.4,0.4,4.1,3.5
23,Carmelo Anthony,DEN,75,34.8,20.8,7.1,16.4,0.431,0.6,2.1,0.266,6.1,7.6,0.796,1.9,3.8,5.7,2.6,0.9,0.4,3.0,3.1
24,Rashard Lewis,SEA,71,38.0,20.5,7.5,16.2,0.462,2.4,6.1,0.4,3.1,4.0,0.777,1.5,3.9,5.5,1.3,1.1,0.9,1.7,2.2
25,Tim Duncan,SAS,66,33.4,20.3,7.8,15.8,0.496,0.0,0.1,0.333,4.6,6.9,0.67,3.1,8.0,11.1,2.7,0.7,2.6,1.9,2.2
26,Peja Stojakovic,SAC,66,38.4,20.1,6.8,15.4,0.444,2.6,6.6,0.402,3.8,4.2,0.92,0.9,3.4,4.3,2.1,1.2,0.2,1.5,2.4
27,Elton Brand,LAC,81,37.0,20.0,7.8,15.4,0.503,0.0,0.0,0.0,4.5,6.0,0.752,3.7,5.9,9.5,2.6,0.8,2.1,2.3,3.0
28,Grant Hill,ORL,67,34.9,19.7,7.7,15.1,0.509,0.0,0.2,0.231,4.2,5.1,0.821,1.1,3.6,4.7,3.3,1.4,0.4,2.4,2.1
29,Mike Bibby,SAC,80,38.6,19.6,7.0,15.8,0.443,1.6,4.6,0.36,4.0,5.2,0.775,1.0,3.2,4.2,6.8,1.6,0.4,2.5,2.4
30,Antawn Jamison,WAS,68,38.3,19.6,7.6,17.5,0.437,1.0,3.1,0.341,3.3,4.4,0.76,2.4,5.3,7.6,2.3,0.8,0.2,1.7,2.2
31,Chris Webber,PHI,67,35.4,19.5,8.3,19.1,0.433,0.2,0.7,0.341,2.7,3.4,0.794,1.9,7.2,9.1,4.7,1.4,0.8,2.7,3.2
32,Shawn Marion,PHX,81,38.8,19.4,7.6,15.9,0.476,1.4,4.2,0.334,2.8,3.4,0.833,2.9,8.4,11.3,1.9,2.0,1.5,1.5,2.5
33,Baron Davis,GSW,46,34.4,19.2,6.3,16.3,0.387,2.6,7.7,0.333,4.0,5.3,0.761,0.7,3.1,3.8,7.9,1.8,0.3,2.8,2.7
34,Antoine Walker,BOS,77,38.4,19.1,7.5,17.9,0.422,1.4,4.4,0.323,2.6,4.8,0.539,2.4,6.7,9.0,3.4,1.2,0.8,3.3,2.8
35,Zach Randolph,POR,46,34.8,18.9,7.2,16.1,0.448,0.0,0.1,0.0,4.5,5.5,0.815,3.1,6.5,9.6,1.9,0.7,0.4,2.4,2.4
36,Richard Hamilton,DET,76,38.5,18.7,6.7,15.3,0.44,0.5,1.6,0.305,4.8,5.6,0.858,1.0,2.9,3.9,4.9,1.0,0.2,2.9,3.1
37,Stephen Jackson,IND,51,35.4,18.7,6.5,16.1,0.403,2.0,5.6,0.36,3.7,4.5,0.83,0.9,4.0,4.9,2.3,1.3,0.3,2.4,3.0
38,Jalen Rose,TOR,81,33.5,18.5,6.5,14.3,0.455,1.3,3.4,0.394,4.1,4.8,0.854,0.5,2.9,3.4,2.6,0.8,0.1,2.2,2.3
39,Yao Ming,HOU,80,30.6,18.3,6.7,12.2,0.552,0.0,0.0,0.0,4.9,6.2,0.783,2.6,5.8,8.4,0.8,0.4,2.0,2.5,3.7
40,Carlos Boozer,UTA,51,34.7,17.8,7.1,13.6,0.521,0.0,0.0,0.0,3.7,5.3,0.698,2.8,6.2,9.0,2.8,0.8,0.5,2.7,3.5
41,Pau Gasol,MEM,56,32.0,17.8,6.4,12.4,0.514,0.0,0.1,0.167,5.0,6.6,0.768,2.3,5.0,7.3,2.4,0.7,1.7,2.4,2.6
42,Jamal Crawford,NYK,70,38.4,17.7,6.2,15.7,0.398,2.6,7.3,0.361,2.6,3.1,0.843,0.5,2.4,2.9,4.3,1.3,0.3,2.1,1.9
43,Al Harrington,ATL,66,38.6,17.5,6.9,14.9,0.459,0.2,1.1,0.216,3.6,5.3,0.672,2.2,4.8,7.0,3.2,1.3,0.2,3.1,3.8
44,Desmond Mason,MIL,80,36.2,17.2,6.0,13.5,0.443,0.0,0.1,0.125,5.3,6.6,0.802,1.1,2.8,3.9,2.7,0.7,0.3,2.1,2.5
45,Joe Johnson,PHX,82,39.5,17.1,6.6,14.4,0.461,2.2,4.5,0.478,1.6,2.2,0.75,1.5,3.7,5.1,3.5,1.0,0.3,1.8,2.0
46,Cuttino Mobley,SAC,67,35.6,16.9,6.1,13.9,0.438,2.2,5.1,0.439,2.5,3.1,0.82,0.7,2.7,3.4,2.8,1.1,0.4,2.0,2.3
47,Zydrunas Ilgauskas,CLE,78,33.5,16.9,5.9,12.6,0.468,0.0,0.1,0.286,5.2,6.4,0.799,3.8,4.8,8.6,1.3,0.7,2.1,2.4,4.0
48,Shareef Abdur-Rahim,POR,54,34.6,16.8,6.2,12.4,0.503,0.3,0.7,0.385,4.1,4.7,0.866,2.3,5.0,7.3,2.1,0.9,0.5,2.2,2.8
49,Chris Bosh,TOR,81,37.2,16.8,5.8,12.4,0.471,0.0,0.1,0.3,5.1,6.7,0.76,2.4,6.5,8.9,1.9,0.9,1.4,2.3,2.8
50,Tony Parker,SAS,80,34.2,16.6,6.7,14.0,0.482,0.5,2.0,0.276,2.6,4.0,0.65,0.6,3.1,3.7,6.1,1.2,0.1,2.7,2.1
51,Chauncey Billups,DET,80,35.8,16.5,5.1,11.4,0.442,2.1,4.8,0.426,4.3,4.8,0.898,0.6,2.8,3.4,5.8,1.0,0.1,2.3,2.4
52,Bobby Simmons,LAC,75,37.3,16.4,6.3,13.6,0.466,0.7,1.5,0.435,3.1,3.6,0.846,1.7,4.2,5.9,2.7,1.4,0.2,1.8,3.0
53,Eddy Curry,CHI,63,28.7,16.1,6.2,11.6,0.538,0.0,0.0,0.0,3.6,5.0,0.72,1.8,3.5,5.4,0.6,0.3,0.9,2.6,3.2
54,Manu Ginobili,SAS,74,29.6,16.0,5.0,10.5,0.471,1.3,3.5,0.376,4.8,6.0,0.803,1.0,3.4,4.4,3.9,1.6,0.4,2.3,2.6
55,Ricky Davis,BOS,82,32.9,16.0,5.9,12.7,0.462,0.7,2.2,0.339,3.5,4.3,0.815,0.8,2.2,3.0,3.0,1.1,0.3,2.5,2.1
56,Damon Stoudamire,POR,81,34.1,15.8,5.6,14.4,0.392,2.2,6.0,0.369,2.2,2.5,0.915,0.7,3.1,3.8,5.7,1.1,0.0,2.0,2.0
57,Michael Finley,DAL,64,36.8,15.7,6.0,14.2,0.427,1.8,4.5,0.407,1.8,2.1,0.831,0.7,3.4,4.1,2.6,0.8,0.3,0.9,1.9
58,Kirk Hinrich,CHI,77,36.4,15.7,5.8,14.6,0.397,1.9,5.3,0.355,2.2,2.8,0.792,0.4,3.5,3.9,6.4,1.6,0.3,2.3,3.2
59,Brad Miller,SAC,56,37.4,15.6,5.7,10.9,0.524,0.1,0.3,0.263,4.2,5.1,0.812,2.5,6.8,9.3,3.9,1.2,1.2,1.5,3.2
60,Andrei Kirilenko,UTA,41,32.9,15.6,5.0,10.2,0.493,0.6,1.9,0.299,5.0,6.3,0.784,2.2,4.0,6.2,3.2,1.6,3.3,2.2,2.5
61,Steve Nash,PHX,75,34.3,15.5,5.7,11.4,0.502,1.3,2.9,0.431,2.8,3.2,0.887,0.8,2.6,3.3,11.5,1.0,0.1,3.3,1.8
62,Kenyon Martin,DEN,70,32.4,15.5,6.3,13.0,0.49,0.0,0.2,0.0,2.8,4.4,0.646,2.1,5.2,7.3,2.4,1.4,1.1,2.1,3.3
