#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,James Harden,HOU,68,36.5,34.3,9.9,22.3,0.444,4.4,12.4,0.355,10.2,11.8,0.865,1.0,5.5,6.6,7.5,1.8,0.9,4.5,3.3
2,Bradley Beal,WAS,57,36.0,30.5,10.4,22.9,0.455,3.0,8.4,0.353,6.8,8.0,0.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2
3,Damian Lillard,POR,66,37.5,30.0,9.5,20.4,0.463,4.1,10.2,0.401,7.0,7.8,0.888,0.5,3.8,4.3,8.0,1.1,0.3,2.9,1.7
4,Trae Young,ATL,60,35.3,29.6,9.1,20.8,0.437,3.4,9.5,0.361,8.0,9.3,0.86,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7
5,Giannis Antetokounmpo,MIL,63,30.4,29.5,10.9,19.7,0.553,1.4,4.7,0.304,6.3,10.0,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1
6,Luka Doncic,DAL,61,33.6,28.8,9.5,20.6,0.463,2.8,8.9,0.316,7.0,9.2,0.758,1.3,8.1,9.4,8.8,1.0,0.2,4.3,2.5
7,Kyrie Irving,BRK,20,32.9,27.4,10.0,20.8,0.478,2.8,7.1,0.394,4.7,5.1,0.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7
8,Russell Westbrook,HOU,57,36.0,27.2,10.6,22.5,0.472,1.0,3.7,0.258,5.1,6.7,0.763,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5
9,Kawhi Leonard,LAC,57,32.4,27.1,9.3,19.9,0.47,2.2,5.7,0.378,6.2,7.1,0.886,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2.0
10,Devin Booker,PHX,70,35.9,26.6,9.0,18.3,0.489,2.0,5.7,0.354,6.7,7.3,0.919,0.4,3.8,4.2,6.5,0.7,0.3,3.8,3.0
11,Karl-Anthony Towns,MIN,35,33.9,26.5,9.0,17.8,0.508,3.3,7.9,0.412,5.1,6.5,0.796,2.7,8.1,10.8,4.4,0.9,1.2,3.1,3.3
12,Anthony Davis,LAL,62,34.4,26.1,8.9,17.7,0.503,1.2,3.5,0.33,7.2,8.5,0.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5
