#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Allen Iverson,PHI,60,43.7,31.4,11.1,27.8,0.398,1.3,4.5,0.291,7.9,9.8,0.812,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7
2,Shaquille O'Neal,LAL,67,36.1,27.2,10.6,18.3,0.579,0.0,0.0,0.0,5.9,10.7,0.555,3.5,7.2,10.7,3.0,0.6,2.0,2.6,3.0
3,Paul Pierce,BOS,82,40.3,26.1,8.6,19.5,0.442,2.6,6.3,0.404,6.3,7.8,0.809,1.0,5.9,6.9,3.2,1.9,1.0,2.9,2.9
4,Tracy McGrady,ORL,76,38.3,25.6,9.4,20.9,0.451,1.4,3.7,0.364,5.5,7.3,0.748,2.0,5.9,7.9,5.3,1.6,1.0,2.5,1.8
5,Tim Duncan,SAS,82,40.6,25.5,9.3,18.3,0.508,0.0,0.1,0.1,6.8,8.5,0.799,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6
6,Kobe Bryant,LAL,80,38.3,25.2,9.4,20.0,0.469,0.4,1.7,0.25,6.1,7.4,0.829,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9
7,Vince Carter,TOR,60,39.8,24.7,9.3,21.8,0.428,2.0,5.2,0.387,4.1,5.1,0.798,2.3,2.9,5.2,4.0,1.6,0.7,2.6,3.2
8,Chris Webber,SAC,54,38.4,24.5,9.9,19.9,0.495,0.1,0.4,0.263,4.7,6.3,0.749,2.8,7.3,10.1,4.8,1.7,1.4,2.9,3.4
9,Dirk Nowitzki,DAL,76,38.0,23.4,7.9,16.6,0.477,1.8,4.6,0.397,5.8,6.8,0.853,1.6,8.4,9.9,2.4,1.1,1.0,1.9,2.9
10,Michael Jordan,WAS,60,34.9,22.9,9.2,22.1,0.416,0.2,0.9,0.189,4.4,5.6,0.79,0.8,4.8,5.7,5.2,1.4,0.4,2.7,2.0
11,Karl Malone,UTA,80,38.0,22.4,7.9,17.5,0.454,0.1,0.3,0.36,6.4,8.0,0.797,1.8,6.8,8.6,4.3,1.9,0.7,3.3,2.9
12,Antoine Walker,BOS,81,42.0,22.1,8.2,20.9,0.394,2.7,8.0,0.344,3.0,4.0,0.741,1.9,7.0,8.8,5.0,1.5,0.5,3.1,2.9
13,Gary Payton,SEA,82,40.3,22.1,9.0,19.2,0.467,0.9,2.9,0.314,3.3,4.1,0.797,1.0,3.9,4.8,9.0,1.6,0.3,2.5,2.2
14,Ray Allen,MIL,69,36.6,21.8,7.7,16.6,0.462,3.3,7.7,0.434,3.1,3.6,0.873,1.2,3.3,4.5,3.9,1.3,0.3,2.3,2.3
15,Cuttino Mobley,HOU,74,42.1,21.7,8.0,18.4,0.438,2.0,5.1,0.395,3.6,4.2,0.85,0.9,3.2,4.1,2.5,1.5,0.5,2.4,2.6
16,Steve Francis,HOU,57,41.1,21.6,7.4,17.7,0.417,1.2,3.7,0.324,5.7,7.4,0.773,1.8,5.2,7.0,6.4,1.2,0.4,3.9,3.0
17,Jamal Mashburn,CHA,40,40.0,21.5,7.6,18.6,0.407,1.0,2.8,0.366,5.3,6.0,0.876,0.8,5.3,6.1,4.3,1.1,0.2,2.8,2.0
18,Jerry Stackhouse,DET,76,35.3,21.4,6.9,17.4,0.397,1.1,3.9,0.287,6.5,7.6,0.858,1.0,3.1,4.1,5.3,1.0,0.5,3.5,2.1
19,Shareef Abdur-Rahim,ATL,77,38.7,21.2,7.8,16.8,0.461,0.3,0.9,0.3,5.4,6.8,0.801,2.6,6.5,9.0,3.1,1.3,1.1,3.2,2.8
20,Peja Stojakovic,SAC,71,37.3,21.2,7.7,15.9,0.484,1.8,4.4,0.416,4.0,4.5,0.876,1.0,4.2,5.3,2.5,1.1,0.2,2.0,1.7
21,Kevin Garnett,MIN,81,39.2,21.2,8.1,17.3,0.47,0.5,1.4,0.319,4.4,5.5,0.801,3.0,9.1,12.1,5.2,1.2,1.6,2.8,2.3
22,Glenn Robinson,MIL,66,35.5,20.7,8.1,17.4,0.467,0.9,2.7,0.326,3.6,4.3,0.837,1.1,5.1,6.2,2.5,1.5,0.6,2.6,2.6
23,Michael Finley,DAL,69,39.9,20.6,8.2,17.8,0.463,1.1,3.2,0.339,3.0,3.6,0.837,1.3,3.9,5.2,3.3,0.9,0.4,1.7,2.1
24,Jalen Rose,CHI,83,38.0,20.4,8.0,17.6,0.455,1.1,3.0,0.362,3.4,4.0,0.839,0.5,4.0,4.5,4.3,0.9,0.5,2.4,3.0
25,Stephon Marbury,PHX,82,38.9,20.4,7.6,17.2,0.442,0.9,3.0,0.286,4.3,5.5,0.781,0.9,2.3,3.2,8.1,0.9,0.2,3.5,2.3
26,Allan Houston,NYK,77,37.8,20.4,7.4,16.9,0.437,1.8,4.5,0.393,3.8,4.4,0.87,0.5,2.8,3.3,2.5,0.7,0.1,2.2,2.4
27,Richard Hamilton,WAS,63,35.0,20.0,7.5,17.2,0.435,0.3,0.7,0.381,4.8,5.3,0.89,1.2,2.3,3.4,2.7,0.6,0.2,2.1,2.2
28,Antawn Jamison,GSW,82,37.0,19.7,7.5,16.8,0.447,0.8,2.6,0.324,3.9,5.4,0.734,2.6,4.2,6.8,2.0,0.9,0.5,2.0,2.3
29,Sam Cassell,MIL,74,35.2,19.7,7.5,16.2,0.463,1.0,2.8,0.348,3.8,4.4,0.86,0.7,3.5,4.2,6.7,1.2,0.2,2.4,2.8
30,Latrell Sprewell,NYK,81,41.1,19.4,7.1,17.5,0.404,1.8,5.0,0.36,3.5,4.3,0.821,0.7,3.0,3.7,3.9,1.2,0.2,2.8,2.0
31,Jason Terry,ATL,78,38.0,19.3,6.7,15.6,0.43,2.2,5.7,0.387,3.6,4.4,0.835,0.5,2.9,3.5,5.7,1.8,0.2,2.3,2.0
32,Rasheed Wallace,POR,79,37.5,19.3,7.6,16.3,0.469,1.4,4.0,0.36,2.5,3.5,0.734,1.7,6.4,8.2,1.9,1.3,1.3,1.7,2.7
33,Shawn Marion,PHX,81,38.4,19.1,8.1,17.2,0.469,0.6,1.5,0.393,2.4,2.8,0.845,2.6,7.3,9.9,2.0,1.8,1.1,1.8,2.6
34,Jermaine O'Neal,IND,72,37.6,19.0,7.5,15.7,0.479,0.0,0.2,0.071,3.9,5.7,0.688,2.6,7.9,10.5,1.6,0.6,2.3,2.4,3.7
35,Wally Szczerbiak,MIN,82,38.0,18.7,7.4,14.6,0.508,1.1,2.3,0.455,2.8,3.3,0.831,1.5,3.3,4.8,3.1,0.8,0.3,2.2,2.3
36,Nick Van Exel,DAL,72,34.7,18.4,7.0,17.0,0.409,1.7,4.9,0.34,2.8,3.5,0.801,0.4,3.1,3.5,6.6,0.6,0.2,2.2,1.4
37,Eddie Jones,MIA,81,39.0,18.3,6.4,14.8,0.432,1.8,4.7,0.39,3.7,4.4,0.837,0.8,3.9,4.7,3.2,1.4,1.0,1.8,3.2
38,Elton Brand,LAC,80,37.8,18.2,6.7,12.6,0.527,0.0,0.0,0.0,4.9,6.6,0.742,5.0,6.6,11.6,2.4,1.0,2.0,2.2,3.2
39,Baron Davis,CHA,82,40.5,18.1,6.8,16.4,0.417,2.1,5.8,0.356,2.4,4.1,0.58,1.1,3.1,4.3,8.5,2.1,0.6,3.0,2.9
40,Steve Nash,DAL,82,34.6,17.9,6.4,13.3,0.483,1.9,4.2,0.455,3.2,3.6,0.887,0.6,2.5,3.1,7.7,0.6,0.0,2.8,2.0
41,Pau Gasol,MEM,82,36.7,17.6,6.7,13.0,0.518,0.0,0.1,0.2,4.1,5.8,0.709,2.9,6.0,8.9,2.7,0.5,2.1,2.7,2.4
42,Bonzi Wells,POR,74,31.7,17.0,6.6,14.0,0.469,0.9,2.3,0.384,2.9,3.9,0.741,1.6,4.4,6.0,2.8,1.5,0.3,2.6,2.8
43,Rashard Lewis,SEA,71,36.4,16.8,6.4,13.7,0.468,1.7,4.5,0.389,2.3,2.8,0.81,2.0,5.1,7.0,1.7,1.5,0.6,1.4,2.5
44,Grant Hill,ORL,14,36.6,16.8,5.9,13.9,0.426,0.0,0.1,0.0,4.9,5.7,0.863,2.1,6.9,8.9,4.6,0.6,0.3,2.6,2.9
45,Lamond Murray,CLE,71,32.6,16.6,6.1,13.9,0.436,1.4,3.4,0.424,3.0,3.7,0.817,1.1,4.1,5.2,2.2,1.0,0.6,2.0,2.1
46,Reggie Miller,IND,79,36.6,16.5,5.2,11.6,0.453,2.3,5.6,0.406,3.7,4.1,0.911,0.3,2.5,2.8,3.2,1.1,0.1,1.5,1.8
47,Andre Miller,CLE,81,37.3,16.5,5.9,12.9,0.454,0.3,1.1,0.253,4.5,5.5,0.817,1.3,3.3,4.7,10.9,1.6,0.4,3.0,2.8
48,Alonzo Mourning,MIA,75,32.7,15.7,6.0,11.5,0.516,0.0,0.0,0.333,3.8,5.7,0.657,2.4,6.0,8.4,1.2,0.4,2.5,2.4,3.4
