#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Kobe Bryant,LAL,77,40.8,31.6,10.6,22.8,0.463,1.8,5.2,0.344,8.7,10.0,0.868,1.0,4.7,5.7,5.4,1.4,0.5,3.3,2.7
2,Carmelo Anthony,DEN,65,38.2,28.9,10.6,22.4,0.476,0.6,2.3,0.268,7.1,8.7,0.808,2.2,3.8,6.0,3.8,1.2,0.4,3.6,3.1
3,Gilbert Arenas,WAS,74,39.8,28.4,8.7,20.9,0.418,2.8,7.9,0.351,8.2,9.7,0.844,0.8,3.7,4.6,6.0,1.9,0.2,3.2,3.4
4,Dwyane Wade,MIA,51,37.9,27.4,9.3,18.9,0.491,0.4,1.5,0.266,8.5,10.5,0.807,1.0,3.7,4.7,7.5,2.1,1.2,4.2,2.3
5,LeBron James,CLE,78,40.9,27.3,9.9,20.8,0.476,1.3,4.0,0.319,6.3,9.0,0.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2
6,Michael Redd,MIL,53,38.5,26.7,9.0,19.3,0.465,2.2,5.8,0.382,6.5,7.8,0.829,0.8,2.9,3.7,2.3,1.2,0.2,2.3,1.5
7,Ray Allen,SEA,55,40.3,26.4,9.2,21.0,0.438,3.0,8.1,0.372,5.1,5.6,0.903,1.0,3.5,4.5,4.1,1.5,0.2,2.8,2.1
8,Allen Iverson,DEN,65,42.5,26.3,8.9,20.2,0.442,1.0,3.0,0.315,7.5,9.4,0.795,0.4,2.6,3.0,7.2,1.9,0.2,4.1,1.5
9,Vince Carter,NJN,82,38.1,25.2,8.9,19.5,0.454,1.9,5.3,0.357,5.6,7.0,0.802,1.4,4.6,6.0,4.8,1.0,0.4,2.6,3.2
10,Yao Ming,HOU,48,33.8,25.0,8.8,17.1,0.516,0.0,0.0,0.0,7.4,8.6,0.862,2.1,7.3,9.4,2.0,0.4,2.0,3.5,3.3
11,Joe Johnson,ATL,57,41.4,25.0,9.4,20.0,0.471,2.1,5.5,0.381,4.1,5.5,0.748,0.9,3.3,4.2,4.4,1.1,0.2,3.1,2.0
12,Paul Pierce,BOS,47,37.0,25.0,7.9,18.1,0.439,2.3,5.9,0.389,6.8,8.6,0.796,0.8,5.1,5.9,4.1,1.0,0.3,3.2,2.6
13,Tracy McGrady,HOU,71,35.8,24.6,9.0,20.8,0.431,1.8,5.4,0.331,4.9,6.9,0.707,0.8,4.5,5.3,6.5,1.3,0.5,3.0,1.9
14,Dirk Nowitzki,DAL,78,36.2,24.6,8.6,17.2,0.502,0.9,2.2,0.416,6.4,7.1,0.904,1.6,7.3,8.9,3.4,0.7,0.8,2.1,2.2
15,Zach Randolph,POR,68,35.7,23.6,8.8,18.9,0.467,0.2,0.7,0.292,5.8,7.1,0.819,2.9,7.2,10.1,2.2,0.8,0.2,3.2,2.7
16,Chris Bosh,TOR,69,38.5,22.6,7.9,15.9,0.496,0.2,0.5,0.343,6.7,8.6,0.785,2.7,8.0,10.7,2.5,0.6,1.3,2.6,2.4
17,Kevin Garnett,MIN,76,39.4,22.4,8.4,17.6,0.476,0.2,0.7,0.214,5.5,6.6,0.835,2.4,10.4,12.8,4.1,1.2,1.7,2.7,2.4
18,Rashard Lewis,SEA,60,39.1,22.4,7.7,16.8,0.461,2.5,6.5,0.39,4.4,5.3,0.841,1.5,5.1,6.6,2.4,1.1,0.7,2.0,2.4
19,Ben Gordon,CHI,82,33.0,21.4,7.4,16.3,0.455,1.9,4.6,0.413,4.6,5.4,0.864,0.4,2.7,3.1,3.6,0.8,0.2,3.0,3.1
20,Carlos Boozer,UTA,74,34.6,20.9,8.7,15.6,0.561,0.0,0.0,0.0,3.4,5.0,0.685,3.2,8.5,11.7,3.0,0.9,0.3,2.6,2.9
21,Pau Gasol,MEM,59,36.1,20.8,7.8,14.5,0.538,0.1,0.2,0.273,5.1,6.8,0.748,2.5,7.3,9.8,3.4,0.5,2.1,2.7,2.3
22,Elton Brand,LAC,80,38.5,20.5,8.1,15.1,0.533,0.0,0.0,1.0,4.4,5.8,0.761,3.4,6.0,9.3,2.9,1.0,2.2,2.5,3.0
23,Amar'e Stoudemire,PHX,82,32.8,20.4,7.4,12.9,0.575,0.0,0.0,0.0,5.6,7.1,0.781,2.7,6.9,9.6,1.0,1.0,1.3,2.8,3.6
24,Kevin Martin,SAC,80,35.2,20.2,6.3,13.3,0.473,1.6,4.2,0.381,6.0,7.1,0.844,0.9,3.4,4.3,2.2,1.2,0.1,1.7,2.3
25,Baron Davis,GSW,63,35.3,20.1,7.2,16.3,0.439,1.3,4.4,0.304,4.4,5.9,0.745,0.8,3.6,4.4,8.1,2.1,0.5,3.1,2.9
26,Tim Duncan,SAS,80,34.1,20.0,7.7,14.1,0.546,0.0,0.1,0.111,4.5,7.1,0.637,2.7,7.9,10.6,3.4,0.8,2.4,2.8,2.5
27,Antawn Jamison,WAS,70,38.0,19.8,7.3,16.3,0.45,2.0,5.4,0.364,3.2,4.4,0.736,1.9,6.1,8.0,1.9,1.1,0.5,1.5,2.8
28,Richard Hamilton,DET,75,36.8,19.8,7.3,15.6,0.468,0.6,1.7,0.341,4.6,5.4,0.861,1.0,2.8,3.8,3.8,0.8,0.2,2.1,3.1
29,Eddy Curry,NYK,81,35.2,19.5,7.2,12.5,0.576,0.0,0.0,1.0,5.0,8.1,0.615,2.4,4.6,7.0,0.8,0.4,0.5,3.6,3.3
30,Jermaine O'Neal,IND,69,35.6,19.4,7.2,16.5,0.436,0.0,0.1,0.0,5.0,6.5,0.767,2.2,7.4,9.6,2.4,0.7,2.6,2.9,3.4
31,Caron Butler,WAS,63,39.3,19.1,7.2,15.5,0.463,0.3,1.1,0.25,4.5,5.2,0.863,2.3,5.1,7.4,3.7,2.1,0.3,2.9,3.0
32,Josh Howard,DAL,70,35.1,18.9,7.0,15.4,0.459,1.3,3.4,0.385,3.5,4.2,0.827,1.9,4.9,6.8,1.8,1.2,0.8,1.8,2.6
33,Metta World Peace,SAC,70,37.7,18.8,6.5,14.9,0.44,1.3,3.7,0.358,4.4,5.9,0.74,1.5,5.0,6.5,3.4,2.1,0.6,2.1,2.9
34,Luol Deng,CHI,82,37.5,18.8,7.7,14.9,0.517,0.0,0.1,0.143,3.4,4.4,0.777,1.8,5.3,7.1,2.5,1.2,0.6,1.9,2.0
35,Steve Nash,PHX,76,35.3,18.6,6.8,12.8,0.532,2.1,4.5,0.455,2.9,3.3,0.899,0.4,3.1,3.5,11.6,0.8,0.1,3.8,1.5
36,Tony Parker,SAS,77,32.5,18.6,7.4,14.2,0.52,0.2,0.5,0.395,3.6,4.5,0.783,0.4,2.8,3.2,5.5,1.1,0.1,2.5,1.8
37,Mike Miller,MEM,70,39.1,18.5,6.6,14.4,0.46,2.9,7.1,0.406,2.3,2.9,0.793,0.7,4.7,5.4,4.3,0.8,0.3,2.6,2.0
38,David West,NOP,52,36.5,18.3,7.3,15.2,0.476,0.2,0.5,0.32,3.6,4.4,0.824,2.4,5.7,8.2,2.2,0.8,0.7,1.9,2.8
39,Andre Iguodala,PHI,76,40.3,18.2,5.8,13.0,0.447,0.6,2.0,0.31,5.9,7.3,0.82,1.0,4.7,5.7,5.7,2.0,0.4,3.4,2.6
40,Gerald Wallace,CHA,72,36.7,18.1,6.6,13.2,0.502,0.5,1.7,0.325,4.3,6.2,0.691,2.0,5.2,7.2,2.6,2.0,1.0,2.2,2.9
41,Leandro Barbosa,PHX,80,32.7,18.1,6.6,13.9,0.476,2.4,5.5,0.434,2.5,2.9,0.845,0.3,2.4,2.7,4.0,1.2,0.2,1.8,2.6
42,Peja Stojakovic,NOP,13,32.7,17.8,6.4,15.1,0.423,2.6,6.5,0.405,2.4,2.9,0.816,0.8,3.3,4.2,0.8,0.6,0.3,1.5,2.2
43,Jamal Crawford,NYK,59,37.3,17.6,6.0,15.0,0.4,1.7,5.5,0.32,3.9,4.6,0.838,0.7,2.5,3.2,4.4,1.0,0.1,2.7,1.9
44,Dwight Howard,ORL,82,36.9,17.6,6.4,10.6,0.603,0.0,0.0,0.5,4.8,8.1,0.586,3.5,8.8,12.3,1.9,0.9,1.9,3.9,3.0
45,Mehmet Okur,UTA,80,33.3,17.6,6.1,13.3,0.462,1.6,4.2,0.384,3.7,4.8,0.765,2.0,5.2,7.2,2.0,0.5,0.5,1.6,3.2
46,Shawn Marion,PHX,80,37.6,17.5,7.0,13.4,0.524,1.0,3.2,0.317,2.5,3.1,0.81,2.2,7.7,9.8,1.7,2.0,1.5,1.4,2.7
47,Mo Williams,MIL,68,36.3,17.3,6.9,15.4,0.446,1.2,3.4,0.346,2.3,2.7,0.855,0.8,4.0,4.8,6.1,1.3,0.1,3.0,3.0
48,Chris Paul,NOP,64,36.8,17.3,6.0,13.6,0.437,0.8,2.2,0.35,4.6,5.6,0.818,0.8,3.5,4.4,8.9,1.8,0.0,2.5,2.4
49,Shaquille O'Neal,MIA,40,28.4,17.3,7.1,12.0,0.591,0.0,0.0,0.0,3.1,7.4,0.422,2.4,5.0,7.4,2.0,0.2,1.4,2.4,3.5
50,Mike Bibby,SAC,82,34.0,17.1,5.7,14.2,0.404,2.1,5.9,0.36,3.5,4.2,0.83,0.5,2.7,3.2,4.7,1.1,0.1,2.4,1.7
51,Chauncey Billups,DET,70,36.2,17.0,5.0,11.6,0.427,1.6,4.5,0.345,5.5,6.2,0.883,0.3,3.1,3.4,7.2,1.2,0.2,2.0,2.3
52,Ricky Davis,MIN,81,37.3,17.0,6.2,13.4,0.465,1.5,3.8,0.397,3.0,3.5,0.839,0.7,3.2,3.9,4.8,1.0,0.3,2.6,2.3
53,Corey Maggette,LAC,75,30.5,16.9,4.9,10.8,0.454,0.2,0.9,0.2,6.9,8.4,0.82,1.2,4.7,5.9,2.8,0.9,0.2,2.7,3.3
54,Brandon Roy,POR,57,35.3,16.8,6.1,13.4,0.456,1.0,2.6,0.377,3.5,4.2,0.838,1.0,3.4,4.4,4.0,1.2,0.2,2.0,2.4
55,Jason Terry,DAL,81,35.1,16.7,6.3,13.1,0.484,2.0,4.6,0.438,2.0,2.5,0.804,0.5,2.3,2.9,5.2,1.0,0.2,1.9,2.1
56,Kirk Hinrich,CHI,80,35.5,16.6,5.9,13.3,0.448,1.8,4.2,0.415,3.0,3.6,0.835,0.4,3.0,3.4,6.3,1.3,0.3,2.4,3.4
57,Manu Ginobili,SAS,75,27.5,16.5,5.3,11.4,0.464,1.7,4.3,0.396,4.3,5.0,0.86,0.8,3.6,4.4,3.5,1.5,0.4,2.1,2.1
58,Monta Ellis,GSW,77,34.3,16.5,6.2,13.1,0.475,0.5,1.9,0.273,3.5,4.6,0.763,0.8,2.4,3.2,4.1,1.7,0.3,2.9,2.7
59,Al Harrington,GSW,78,32.9,16.5,6.3,13.9,0.457,1.6,3.8,0.433,2.2,3.1,0.694,1.9,4.4,6.4,1.9,0.8,0.3,2.2,3.4
60,Nenad Krstic,NJN,26,32.6,16.4,6.5,12.4,0.526,0.0,0.0,0.0,3.3,4.7,0.711,2.0,4.8,6.8,1.8,0.4,0.9,2.0,3.4
61,Josh Smith,ATL,72,36.8,16.4,6.1,13.8,0.439,0.5,2.1,0.25,3.7,5.4,0.693,2.3,6.3,8.6,3.3,1.4,2.9,3.2,3.3
62,Stephon Marbury,NYK,74,37.1,16.4,5.3,12.9,0.415,1.7,4.7,0.357,4.0,5.2,0.769,0.5,2.4,2.9,5.4,1.0,0.1,2.4,2.5
63,Richard Jefferson,NJN,55,35.6,16.3,5.5,12.1,0.456,0.9,2.6,0.359,4.3,5.9,0.733,0.9,3.5,4.4,2.7,0.6,0.1,2.2,2.2
