#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Dwyane Wade,MIA,79,38.6,30.2,10.8,22.0,0.491,1.1,3.5,0.317,7.5,9.8,0.765,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3
2,LeBron James,CLE,81,37.7,28.4,9.7,19.9,0.489,1.6,4.7,0.344,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7
3,Kobe Bryant,LAL,82,36.1,26.8,9.8,20.9,0.467,1.4,4.1,0.351,5.9,6.9,0.856,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3
4,Dirk Nowitzki,DAL,81,37.7,25.9,9.6,20.0,0.479,0.8,2.1,0.359,6.0,6.7,0.89,1.1,7.3,8.4,2.4,0.8,0.8,1.9,2.2
5,Danny Granger,IND,67,36.2,25.8,8.5,19.1,0.447,2.7,6.7,0.404,6.0,6.9,0.878,0.7,4.4,5.1,2.7,1.0,1.4,2.5,3.1
6,Kevin Durant,OKC,74,39.0,25.3,8.9,18.8,0.476,1.3,3.1,0.422,6.1,7.1,0.863,1.0,5.5,6.5,2.8,1.3,0.7,3.0,1.8
7,Kevin Martin,SAC,51,38.2,24.6,6.7,15.9,0.42,2.3,5.4,0.415,9.0,10.3,0.867,0.6,3.0,3.6,2.7,1.2,0.2,2.9,2.3
8,Al Jefferson,MIN,50,36.7,23.1,9.7,19.5,0.497,0.0,0.1,0.0,3.7,5.0,0.738,3.4,7.5,11.0,1.6,0.8,1.7,1.8,2.8
9,Chris Paul,NOP,78,38.5,22.8,8.1,16.1,0.503,0.8,2.3,0.364,5.8,6.7,0.868,0.9,4.7,5.5,11.0,2.8,0.1,3.0,2.7
10,Carmelo Anthony,DEN,66,34.5,22.8,8.1,18.3,0.443,1.0,2.6,0.371,5.6,7.1,0.793,1.6,5.2,6.8,3.4,1.1,0.4,3.0,3.0
11,Chris Bosh,TOR,77,38.0,22.7,8.0,16.4,0.487,0.2,0.6,0.245,6.5,8.0,0.817,2.8,7.2,10.0,2.5,0.9,1.0,2.3,2.5
