#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,LeBron James,CLE,75,40.4,30.0,10.6,21.9,0.484,1.5,4.8,0.315,7.3,10.3,0.712,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2
2,Kobe Bryant,LAL,82,38.9,28.3,9.5,20.6,0.459,1.8,5.1,0.361,7.6,9.0,0.84,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8
3,Allen Iverson,DEN,82,41.8,26.4,8.7,19.0,0.458,1.2,3.4,0.345,7.9,9.7,0.809,0.6,2.4,3.0,7.1,2.0,0.1,3.0,1.3
4,Carmelo Anthony,DEN,77,36.4,25.7,9.5,19.2,0.492,0.8,2.1,0.354,6.0,7.7,0.786,2.3,5.1,7.4,3.4,1.3,0.5,3.3,3.3
5,Amar'e Stoudemire,PHX,79,33.9,25.2,9.0,15.3,0.59,0.1,0.4,0.161,7.0,8.7,0.805,2.3,6.8,9.1,1.5,0.8,2.1,2.2,3.7
6,Dwyane Wade,MIA,51,38.3,24.6,8.6,18.4,0.469,0.4,1.5,0.286,6.9,9.2,0.758,0.9,3.3,4.2,6.9,1.7,0.7,4.4,2.7
7,Kevin Martin,SAC,61,36.3,23.7,6.8,15.0,0.456,1.8,4.4,0.402,8.2,9.5,0.869,0.8,3.7,4.5,2.1,1.0,0.1,2.1,2.5
8,Dirk Nowitzki,DAL,77,36.0,23.6,8.2,17.1,0.479,1.0,2.9,0.359,6.2,7.1,0.879,1.2,7.3,8.6,3.5,0.7,0.9,2.1,2.6
9,Michael Redd,MIL,72,37.5,22.7,7.6,17.3,0.442,1.8,5.0,0.362,5.6,6.8,0.82,1.2,3.1,4.3,3.4,0.9,0.2,2.5,1.7
10,Richard Jefferson,NJN,82,39.0,22.6,7.5,16.2,0.466,0.9,2.6,0.362,6.6,8.3,0.798,1.1,3.0,4.2,3.1,0.9,0.3,2.4,2.7
11,Chris Bosh,TOR,67,36.2,22.3,7.6,15.3,0.494,0.1,0.4,0.4,7.0,8.3,0.844,2.6,6.1,8.7,2.6,0.9,1.0,2.3,2.3
12,Corey Maggette,LAC,70,35.7,22.1,6.5,14.3,0.458,1.1,2.9,0.384,7.9,9.7,0.812,1.1,4.5,5.6,2.7,1.0,0.1,2.8,3.0
