#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Russell Westbrook,OKC,67,34.4,28.1,9.4,22.0,0.426,1.3,4.3,0.299,8.1,9.8,0.835,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7
2,James Harden,HOU,81,36.8,27.4,8.0,18.1,0.44,2.6,6.9,0.375,8.8,10.2,0.868,0.9,4.7,5.7,7.0,1.9,0.7,4.0,2.6
3,Kevin Durant,OKC,27,33.8,25.4,8.8,17.3,0.51,2.4,5.9,0.403,5.4,6.3,0.854,0.6,6.0,6.6,4.1,0.9,0.9,2.7,1.5
4,LeBron James,CLE,69,36.1,25.3,9.0,18.5,0.488,1.7,4.9,0.354,5.4,7.7,0.71,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0
5,Anthony Davis,NOP,68,36.1,24.4,9.4,17.6,0.535,0.0,0.2,0.083,5.5,6.8,0.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1
6,Carmelo Anthony,NYK,40,35.7,24.2,9.0,20.2,0.444,1.5,4.5,0.341,4.7,5.9,0.797,1.8,4.8,6.6,3.1,1.0,0.4,2.2,2.2
7,DeMarcus Cousins,SAC,59,34.1,24.1,8.4,18.1,0.467,0.0,0.1,0.25,7.2,9.2,0.782,3.1,9.5,12.7,3.6,1.5,1.7,4.3,4.1
8,Stephen Curry,GSW,80,32.7,23.8,8.2,16.8,0.487,3.6,8.1,0.443,3.9,4.2,0.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0
9,LaMarcus Aldridge,POR,71,35.4,23.4,9.3,19.9,0.466,0.5,1.5,0.352,4.3,5.1,0.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8
10,Kobe Bryant,LAL,35,34.5,22.3,7.6,20.4,0.373,1.5,5.3,0.293,5.6,6.9,0.813,0.7,4.9,5.7,5.6,1.3,0.2,3.7,1.9
11,Blake Griffin,LAC,67,35.2,21.9,8.6,17.1,0.502,0.1,0.4,0.4,4.6,6.4,0.728,1.9,5.7,7.6,5.3,0.9,0.5,2.3,2.9
12,Kyrie Irving,CLE,75,36.4,21.7,7.7,16.5,0.468,2.1,5.0,0.415,4.2,4.9,0.863,0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9
13,Klay Thompson,GSW,77,31.9,21.7,7.8,16.9,0.463,3.1,7.1,0.439,2.9,3.3,0.879,0.4,2.9,3.2,2.9,1.1,0.8,1.9,1.6
14,Dwyane Wade,MIA,62,31.8,21.5,8.2,17.5,0.47,0.5,1.6,0.284,4.6,6.0,0.768,0.9,2.6,3.5,4.8,1.2,0.3,3.4,1.7
15,Chris Bosh,MIA,44,35.4,21.1,7.8,16.9,0.46,1.4,3.8,0.375,4.1,5.3,0.772,1.0,6.0,7.0,2.2,0.9,0.6,2.2,1.6
16,Rudy Gay,SAC,68,35.4,21.1,7.5,16.4,0.455,1.2,3.2,0.359,5.0,5.8,0.858,1.4,4.4,5.9,3.7,1.0,0.6,2.7,2.3
17,Damian Lillard,POR,82,35.7,21.0,7.2,16.6,0.434,2.4,7.0,0.343,4.2,4.9,0.864,0.6,4.0,4.6,6.2,1.2,0.3,2.7,2.0
18,DeMar DeRozan,TOR,60,35.0,20.1,6.8,16.5,0.413,0.4,1.5,0.284,6.0,7.2,0.832,0.7,3.9,4.6,3.5,1.2,0.2,2.3,2.0
19,Jimmy Butler,CHI,65,38.7,20.0,6.5,14.0,0.462,1.1,3.0,0.378,5.9,7.1,0.834,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7
20,Kevin Martin,MIN,39,33.4,20.0,6.8,16.0,0.427,1.9,4.9,0.393,4.4,4.9,0.881,0.5,3.2,3.6,2.3,0.8,0.0,1.9,1.9
21,Nikola Vucevic,ORL,74,34.2,19.3,8.5,16.3,0.523,0.0,0.1,0.333,2.2,2.9,0.752,3.2,7.7,10.9,2.0,0.7,0.7,2.0,3.0
22,Gordon Hayward,UTA,76,34.4,19.3,6.4,14.3,0.445,1.6,4.3,0.364,4.9,6.1,0.812,0.7,4.2,4.9,4.1,1.4,0.4,2.7,1.7
23,Chris Paul,LAC,82,34.8,19.1,6.9,14.3,0.485,1.7,4.3,0.398,3.5,3.9,0.9,0.6,4.0,4.6,10.2,1.9,0.2,2.3,2.5
24,Monta Ellis,DAL,80,33.7,18.9,7.5,16.9,0.445,1.0,3.6,0.285,2.9,3.8,0.752,0.4,2.0,2.4,4.1,1.9,0.3,2.5,2.5
25,Pau Gasol,CHI,78,34.4,18.5,7.3,14.8,0.494,0.2,0.3,0.462,3.8,4.7,0.803,2.8,9.0,11.8,2.7,0.3,1.9,2.0,1.9
26,Victor Oladipo,ORL,72,35.7,17.9,6.6,15.1,0.436,1.2,3.4,0.339,3.6,4.4,0.819,0.7,3.5,4.2,4.1,1.7,0.3,2.8,2.6
27,Kyle Lowry,TOR,70,34.5,17.8,6.1,14.9,0.412,1.9,5.6,0.338,3.6,4.5,0.808,0.8,3.9,4.7,6.8,1.6,0.2,2.5,3.0
28,Derrick Rose,CHI,51,30.0,17.7,6.6,16.4,0.405,1.5,5.3,0.28,3.0,3.7,0.813,0.7,2.5,3.2,4.9,0.7,0.3,3.2,1.2
29,John Wall,WAS,79,35.9,17.6,6.6,14.8,0.445,0.8,2.7,0.3,3.6,4.6,0.785,0.5,4.2,4.6,10.0,1.7,0.6,3.8,2.3
30,Marc Gasol,MEM,81,33.2,17.4,6.5,13.2,0.494,0.0,0.2,0.176,4.3,5.4,0.795,1.4,6.4,7.8,3.8,0.9,1.6,2.2,2.6
31,Kemba Walker,CHA,62,34.2,17.3,6.1,15.8,0.385,1.4,4.5,0.304,3.8,4.6,0.827,0.6,3.0,3.5,5.1,1.4,0.5,1.6,1.5
32,Dirk Nowitzki,DAL,77,29.6,17.3,6.3,13.8,0.459,1.4,3.6,0.38,3.3,3.8,0.882,0.6,5.4,5.9,1.9,0.5,0.4,1.1,2.1
33,Brook Lopez,BRK,72,29.2,17.2,7.0,13.7,0.513,0.0,0.1,0.1,3.1,3.8,0.814,3.0,4.5,7.4,0.7,0.6,1.8,1.4,2.9
34,Tobias Harris,ORL,68,34.8,17.1,6.5,14.0,0.466,1.3,3.5,0.364,2.8,3.6,0.788,1.1,5.3,6.3,1.8,1.0,0.5,1.7,2.0
35,Eric Bledsoe,PHX,81,34.6,17.0,5.8,12.9,0.447,1.1,3.4,0.324,4.4,5.4,0.8,0.9,4.3,5.2,6.1,1.6,0.6,3.4,2.3
36,Brandon Knight,PHX,63,32.3,17.0,6.0,14.1,0.422,2.0,5.1,0.389,3.1,3.5,0.874,0.4,3.4,3.9,5.2,1.4,0.2,3.0,1.8
37,Andrew Wiggins,MIN,82,36.2,16.9,6.1,13.9,0.437,0.5,1.5,0.31,4.3,5.7,0.76,1.6,2.9,4.6,2.1,1.0,0.6,2.2,2.3
38,Tony Wroten,PHI,30,29.8,16.9,5.8,14.5,0.403,1.2,4.7,0.261,4.0,6.0,0.667,0.7,2.1,2.9,5.2,1.6,0.3,3.8,2.4
39,Paul Millsap,ATL,73,32.7,16.7,6.1,12.7,0.476,1.1,3.0,0.356,3.5,4.6,0.757,1.9,5.9,7.8,3.1,1.8,0.9,2.3,2.8
40,Al Jefferson,CHA,65,30.6,16.6,7.5,15.5,0.481,0.0,0.1,0.4,1.7,2.5,0.655,1.5,6.9,8.4,1.7,0.7,1.3,1.0,2.1
41,Tyreke Evans,NOP,79,34.0,16.6,6.6,14.7,0.447,0.9,2.9,0.304,2.6,3.7,0.694,1.0,4.2,5.3,6.6,1.3,0.5,3.1,2.5
42,Kawhi Leonard,SAS,64,31.8,16.5,6.2,12.8,0.479,1.0,3.0,0.349,3.2,3.9,0.802,1.3,5.9,7.2,2.5,2.3,0.8,1.5,2.0
43,Isaiah Thomas,BOS,67,25.8,16.4,5.0,11.9,0.42,1.9,5.2,0.373,4.5,5.2,0.868,0.5,1.8,2.3,4.2,0.9,0.1,2.1,2.2
44,Kevin Love,CLE,75,33.8,16.4,5.5,12.7,0.434,1.9,5.2,0.367,3.4,4.3,0.804,1.9,7.9,9.7,2.2,0.7,0.5,1.6,1.9
45,J.J. Redick,LAC,78,30.9,16.4,5.7,12.0,0.477,2.6,5.9,0.437,2.3,2.6,0.901,0.3,1.9,2.1,1.8,0.5,0.1,1.2,1.7
46,Goran Dragic,MIA,78,33.8,16.3,6.4,12.8,0.501,1.2,3.3,0.347,2.3,3.0,0.774,1.0,2.5,3.5,4.5,1.0,0.2,2.2,2.5
47,Darren Collison,SAC,45,34.8,16.1,5.8,12.2,0.473,1.3,3.6,0.373,3.2,4.1,0.788,0.4,2.8,3.2,5.6,1.5,0.3,2.5,2.1
48,Zach Randolph,MEM,71,32.4,16.1,6.4,13.1,0.487,0.1,0.3,0.35,3.2,4.2,0.765,3.2,7.4,10.5,2.2,1.0,0.2,2.2,2.5
49,George Hill,IND,43,29.5,16.1,5.9,12.4,0.477,1.6,4.5,0.358,2.6,3.3,0.79,0.6,3.6,4.2,5.1,1.0,0.3,1.6,2.6
50,Derrick Favors,UTA,74,30.8,16.0,6.5,12.4,0.525,0.0,0.1,0.167,3.0,4.5,0.669,2.6,5.6,8.2,1.5,0.8,1.7,1.6,2.8
51,Wesley Matthews,POR,60,33.7,15.9,5.6,12.5,0.448,2.9,7.4,0.389,1.8,2.4,0.752,0.6,3.1,3.7,2.3,1.3,0.2,1.4,2.2
52,Jeff Teague,ATL,73,30.5,15.9,5.6,12.2,0.46,1.0,2.8,0.343,3.8,4.4,0.862,0.4,2.1,2.5,7.0,1.7,0.4,2.8,1.9
53,Greg Monroe,DET,69,31.0,15.9,6.1,12.4,0.496,0.0,0.0,0.0,3.7,4.9,0.75,3.3,6.9,10.2,2.1,1.1,0.5,2.2,2.1
54,Mike Conley,MEM,70,31.8,15.8,5.6,12.6,0.446,1.5,4.0,0.386,3.1,3.6,0.859,0.4,2.6,3.0,5.4,1.3,0.2,2.2,2.0
55,Jamal Crawford,LAC,64,26.6,15.8,5.2,13.1,0.396,1.9,5.7,0.327,3.5,3.9,0.901,0.3,1.7,1.9,2.5,0.9,0.2,1.4,1.7
56,Dwight Howard,HOU,41,29.8,15.8,6.1,10.3,0.593,0.0,0.0,0.5,3.5,6.6,0.528,2.7,7.8,10.5,1.2,0.7,1.3,2.8,3.3
57,Chandler Parsons,DAL,66,33.1,15.7,5.8,12.6,0.462,2.0,5.3,0.38,2.1,2.9,0.72,1.0,3.9,4.9,2.4,1.0,0.3,1.5,2.1
58,Lou Williams,TOR,80,25.2,15.5,4.7,11.6,0.404,1.9,5.6,0.34,4.3,4.9,0.861,0.3,1.6,1.9,2.1,1.1,0.1,1.3,1.3
59,Enes Freedom,OKC,75,28.5,15.5,6.4,12.4,0.519,0.2,0.6,0.356,2.4,3.1,0.782,3.7,5.3,8.9,0.7,0.5,0.4,1.9,2.5
60,Brandon Jennings,DET,41,28.6,15.4,5.3,13.2,0.401,1.9,5.1,0.36,2.9,3.5,0.839,0.5,2.0,2.5,6.6,1.1,0.1,2.2,1.6
