#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Joel Embiid,PHI,66,34.6,33.1,11.0,20.1,0.548,1.0,3.0,0.33,10.0,11.7,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1
2,Luka Doncic,DAL,66,36.2,32.4,10.9,22.0,0.496,2.8,8.2,0.342,7.8,10.5,0.742,0.8,7.8,8.6,8.0,1.4,0.5,3.6,2.5
3,Damian Lillard,POR,58,36.3,32.2,9.6,20.7,0.463,4.2,11.3,0.371,8.8,9.6,0.914,0.8,4.0,4.8,7.3,0.9,0.3,3.3,1.9
4,Shai Gilgeous-Alexander,OKC,68,35.5,31.4,10.4,20.3,0.51,0.9,2.5,0.345,9.8,10.9,0.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,2.8
5,Giannis Antetokounmpo,MIL,63,32.1,31.1,11.2,20.3,0.553,0.7,2.7,0.275,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1
6,Jayson Tatum,BOS,74,36.9,30.1,9.8,21.1,0.466,3.2,9.3,0.35,7.2,8.4,0.854,1.1,7.7,8.8,4.6,1.1,0.7,2.9,2.2
7,Stephen Curry,GSW,56,34.7,29.4,10.0,20.2,0.493,4.9,11.4,0.427,4.6,5.0,0.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1
8,Kevin Durant,PHX,47,35.6,29.1,10.3,18.3,0.56,2.0,4.9,0.404,6.5,7.1,0.919,0.4,6.3,6.7,5.0,0.7,1.4,3.3,2.1
9,LeBron James,LAL,55,35.5,28.9,11.1,22.2,0.5,2.2,6.9,0.321,4.6,5.9,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6
10,Donovan Mitchell,CLE,68,35.8,28.3,10.0,20.6,0.484,3.6,9.3,0.386,4.7,5.4,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5
11,Devin Booker,PHX,53,34.6,27.8,9.9,20.1,0.494,2.1,6.0,0.351,5.8,6.8,0.855,0.9,3.7,4.5,5.5,1.0,0.3,2.7,3.0
