#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
245,Erick Dampier,DAL,82,23.6,5.7,2.1,4.2,0.493,0.0,0.0,0.0,1.5,2.6,0.591,3.3,4.5,7.8,0.6,0.3,1.3,1.4,3.2
246,Reggie Evans,DEN,67,20.8,5.6,2.0,4.0,0.489,0.0,0.0,0.0,1.7,3.2,0.53,2.6,4.9,7.5,0.6,0.6,0.1,1.3,2.5
247,Francisco Garcia,SAC,67,19.4,5.6,1.9,4.9,0.4,0.6,2.0,0.285,1.2,1.5,0.772,0.6,2.2,2.8,1.4,0.6,0.7,1.1,2.0
248,Keith McLeod,UTA,66,18.7,5.6,1.8,5.2,0.353,0.4,1.2,0.293,1.6,2.0,0.797,0.2,1.0,1.2,2.3,0.6,0.1,1.2,2.0
249,Nick Van Exel,SAS,65,15.2,5.5,2.1,5.3,0.397,0.8,2.4,0.357,0.4,0.6,0.683,0.1,1.3,1.4,1.9,0.2,0.0,0.9,0.9
250,Jose Calderon,TOR,64,23.2,5.5,2.1,4.9,0.423,0.1,0.7,0.163,1.2,1.4,0.848,0.5,1.7,2.2,4.5,0.7,0.1,1.6,1.5
251,Eduardo Najera,DEN,64,22.6,5.4,2.0,4.7,0.422,0.1,0.2,0.333,1.4,1.8,0.781,2.0,3.1,5.1,0.8,0.8,0.5,0.8,2.6
252,Jeff McInnis,NJN,28,17.4,5.3,2.3,5.1,0.441,0.1,0.6,0.188,0.7,1.0,0.69,0.4,1.4,1.8,1.9,0.4,0.1,1.0,1.3
253,Jackie Butler,NYK,55,13.5,5.3,2.1,3.9,0.544,0.0,0.0,0.0,1.1,1.4,0.753,1.2,2.1,3.3,0.5,0.3,0.6,1.1,2.3
254,Jake Voskuhl,CHA,51,16.1,5.3,2.2,5.1,0.437,0.0,0.1,0.333,0.8,1.2,0.683,1.2,2.4,3.6,0.8,0.5,0.5,0.6,3.1
255,Tyson Chandler,CHI,79,26.8,5.3,2.0,3.6,0.565,0.0,0.0,0.0,1.2,2.4,0.503,3.4,5.7,9.0,1.0,0.5,1.3,1.6,3.8
256,Jarron Collins,UTA,79,21.9,5.3,1.6,3.5,0.461,0.0,0.0,0.0,2.0,2.8,0.717,1.7,2.5,4.2,1.2,0.5,0.3,0.8,3.2
257,Gerald Green,BOS,32,11.7,5.2,2.1,4.3,0.478,0.2,0.6,0.3,0.9,1.2,0.784,0.3,1.0,1.3,0.6,0.4,0.1,0.7,1.3
258,Kendrick Perkins,BOS,68,19.6,5.2,2.0,3.9,0.515,0.0,0.0,0.0,1.2,1.9,0.615,2.1,3.9,5.9,1.0,0.3,1.5,1.6,2.9
259,Johan Petro,SEA,68,18.9,5.2,2.3,4.4,0.51,0.0,0.0,0.0,0.7,1.1,0.627,1.6,2.8,4.4,0.2,0.4,0.8,0.9,3.1
260,Dan Gadzuric,MIL,74,12.0,5.2,2.3,4.2,0.553,0.0,0.0,0.0,0.6,1.2,0.461,1.2,1.9,3.1,0.3,0.3,0.6,0.5,2.3
261,David Lee,NYK,67,16.9,5.1,2.0,3.4,0.596,0.0,0.0,0.0,1.1,1.8,0.577,1.6,2.9,4.5,0.6,0.4,0.3,0.8,1.9
262,Robert Horry,SAS,63,18.8,5.1,1.8,4.6,0.384,0.8,2.3,0.368,0.7,1.1,0.647,1.1,2.7,3.8,1.3,0.7,0.8,0.7,1.8
263,Beno Udrih,SAS,54,10.8,5.1,2.0,4.3,0.455,0.4,1.3,0.343,0.7,0.9,0.78,0.3,0.6,1.0,1.7,0.3,0.0,1.0,1.0
264,Jake Tsakalidis,MEM,51,14.4,5.0,2.0,3.2,0.606,0.0,0.0,0.0,1.1,1.7,0.655,1.5,2.6,4.2,0.3,0.3,0.6,0.8,2.1
265,Maurice Evans,DET,80,14.2,5.0,1.9,4.3,0.452,0.5,1.5,0.371,0.7,0.8,0.8,1.0,1.1,2.0,0.8,0.5,0.2,0.5,1.5
266,Chris Andersen,NOP,32,17.8,5.0,1.8,3.1,0.571,0.0,0.0,0.0,1.5,3.2,0.476,1.9,2.9,4.8,0.2,0.3,1.3,0.8,2.6
267,Luke Walton,LAL,69,19.3,5.0,2.0,4.8,0.412,0.3,0.8,0.327,0.8,1.1,0.75,1.3,2.3,3.6,2.3,0.6,0.2,1.1,1.7
268,Jonathan Bender,IND,2,10.3,5.0,2.0,2.5,0.8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.5,0.0,1.0
269,Michael Olowokandi,BOS,48,19.1,5.0,2.2,5.0,0.446,0.0,0.0,0.0,0.5,1.0,0.511,1.0,3.5,4.6,0.5,0.5,0.7,1.1,2.5
270,Pat Garrity,ORL,57,16.4,4.9,1.8,4.2,0.417,0.9,2.3,0.388,0.5,0.6,0.811,0.5,1.4,1.9,0.7,0.2,0.2,0.7,1.9
271,Malik Allen,CHI,54,13.0,4.9,2.2,4.6,0.49,0.0,0.0,1.0,0.4,0.7,0.605,0.8,1.8,2.6,0.4,0.3,0.3,0.6,1.7
272,Theo Ratliff,POR,55,23.7,4.9,2.0,3.4,0.571,0.0,0.0,0.0,1.0,1.5,0.651,1.6,3.5,5.1,0.5,0.3,1.6,0.9,2.6
273,Antonio Davis,TOR,44,21.4,4.9,1.9,4.3,0.432,0.0,0.0,0.0,1.2,1.8,0.642,2.0,2.7,4.7,0.5,0.5,0.2,1.2,2.8
274,Francisco Elson,DEN,72,21.9,4.9,2.1,3.9,0.532,0.0,0.1,0.2,0.7,1.0,0.662,1.4,3.3,4.7,0.7,0.8,0.6,0.9,2.9
275,Toni Kukoc,MIL,65,15.7,4.9,1.8,4.6,0.389,0.7,2.3,0.306,0.6,0.9,0.714,0.4,1.9,2.3,2.1,0.5,0.3,1.0,1.3
276,Darko Milicic,ORL,55,13.9,4.8,2.2,4.3,0.509,0.0,0.0,0.0,0.5,0.9,0.56,0.8,1.9,2.7,0.7,0.3,1.4,0.9,1.7
277,Othella Harrington,CHI,72,11.5,4.8,1.9,3.8,0.495,0.0,0.0,0.0,1.1,1.7,0.626,0.8,1.4,2.1,0.5,0.1,0.2,0.8,1.8
278,Jannero Pargo,CHI,57,11.3,4.8,1.9,5.1,0.373,0.7,1.8,0.379,0.3,0.4,0.81,0.1,0.9,1.1,1.6,0.4,0.0,1.1,1.0
279,Eric Snow,CLE,82,28.7,4.8,2.0,4.9,0.409,0.0,0.1,0.1,0.8,1.1,0.688,0.5,2.0,2.4,4.2,0.9,0.2,1.4,2.7
280,Etan Thomas,WAS,71,15.8,4.7,1.8,3.5,0.533,0.0,0.0,0.0,1.1,1.8,0.6,1.4,2.5,3.9,0.2,0.3,1.0,0.7,2.1
281,Quinton Ross,LAC,67,22.6,4.7,1.9,4.6,0.422,0.0,0.1,0.0,0.9,1.1,0.76,0.6,2.0,2.5,1.2,0.8,0.2,0.7,2.3
282,Aaron Williams,NOP,47,16.8,4.7,1.9,3.7,0.517,0.0,0.0,0.0,0.9,1.2,0.69,1.4,2.5,3.9,0.4,0.4,0.4,0.6,2.9
283,Gerald Fitch,MIA,18,13.2,4.7,1.7,4.9,0.337,0.4,1.4,0.269,0.9,1.3,0.739,0.4,1.3,1.7,1.8,0.4,0.3,0.8,1.6
284,Anderson Varejao,CLE,47,16.2,4.7,1.7,3.2,0.527,0.0,0.0,0.0,1.3,2.5,0.513,1.6,3.4,5.0,0.4,0.7,0.4,0.6,2.5
285,Zeljko Rebraca,LAC,29,14.2,4.7,1.8,3.3,0.542,0.0,0.0,0.0,1.1,1.4,0.756,0.4,1.8,2.2,0.3,0.2,0.7,0.8,2.0
286,Trevor Ariza,ORL,57,17.5,4.6,1.6,4.0,0.412,0.0,0.1,0.2,1.4,2.2,0.606,1.4,2.5,3.8,1.1,1.0,0.2,1.1,1.8
