#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Kevin Durant,OKC,81,38.5,32.0,10.5,20.8,0.503,2.4,6.1,0.391,8.7,9.9,0.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1
2,Carmelo Anthony,NYK,77,38.7,27.4,9.6,21.3,0.452,2.2,5.4,0.402,6.0,7.0,0.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9
3,LeBron James,MIA,77,37.7,27.1,10.0,17.6,0.567,1.5,4.0,0.379,5.7,7.6,0.75,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6
4,Kevin Love,MIN,77,36.3,26.1,8.4,18.5,0.457,2.5,6.6,0.376,6.8,8.2,0.821,2.9,9.6,12.5,4.4,0.8,0.5,2.5,1.8
5,James Harden,HOU,73,38.0,25.4,7.5,16.5,0.456,2.4,6.6,0.366,7.9,9.1,0.866,0.8,3.9,4.7,6.1,1.6,0.4,3.6,2.4
6,Blake Griffin,LAC,80,35.8,24.1,9.0,17.0,0.528,0.2,0.6,0.273,6.0,8.4,0.715,2.4,7.1,9.5,3.9,1.2,0.6,2.8,3.3
7,Stephen Curry,GSW,78,36.5,24.0,8.4,17.7,0.471,3.3,7.9,0.424,3.9,4.5,0.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5
8,LaMarcus Aldridge,POR,69,36.2,23.2,9.4,20.6,0.458,0.0,0.2,0.2,4.3,5.2,0.822,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1
9,DeMarcus Cousins,SAC,71,32.4,22.7,8.3,16.8,0.496,0.0,0.1,0.0,6.1,8.4,0.726,3.1,8.6,11.7,2.9,1.5,1.3,3.5,3.8
10,DeMar DeRozan,TOR,79,38.2,22.7,7.6,17.8,0.429,0.8,2.7,0.305,6.6,8.0,0.824,0.6,3.7,4.3,4.0,1.1,0.4,2.2,2.5
11,Al Jefferson,CHA,73,35.0,21.8,9.6,18.8,0.509,0.0,0.2,0.2,2.6,3.8,0.69,2.1,8.7,10.8,2.1,0.9,1.1,1.7,2.4
12,Russell Westbrook,OKC,46,30.7,21.8,7.5,17.2,0.437,1.5,4.7,0.318,5.3,6.4,0.826,1.2,4.5,5.7,6.9,1.9,0.2,3.8,2.3
13,Paul George,IND,80,36.2,21.7,7.2,17.0,0.424,2.3,6.3,0.364,5.0,5.8,0.864,0.8,6.0,6.8,3.5,1.9,0.3,2.8,2.5
14,Dirk Nowitzki,DAL,80,32.9,21.7,7.9,15.9,0.497,1.6,4.1,0.398,4.2,4.7,0.899,0.5,5.7,6.2,2.7,0.9,0.6,1.5,2.1
15,Kyrie Irving,CLE,71,35.2,20.8,7.5,17.4,0.43,1.7,4.8,0.358,4.1,4.8,0.861,0.7,2.9,3.6,6.1,1.5,0.3,2.7,2.3
16,Anthony Davis,NOP,67,35.2,20.8,7.8,15.0,0.519,0.0,0.1,0.222,5.2,6.6,0.791,3.1,7.0,10.0,1.6,1.3,2.8,1.6,3.0
17,Brook Lopez,BRK,17,31.4,20.7,7.6,13.5,0.563,0.0,0.1,0.0,5.5,6.8,0.817,2.3,3.7,6.0,0.9,0.5,1.8,1.6,3.1
18,Damian Lillard,POR,82,35.8,20.7,6.7,15.9,0.424,2.7,6.8,0.394,4.5,5.2,0.871,0.4,3.1,3.5,5.6,0.8,0.3,2.4,2.4
19,Isaiah Thomas,SAC,72,34.7,20.3,6.9,15.2,0.453,1.8,5.1,0.349,4.8,5.7,0.85,0.7,2.3,2.9,6.3,1.3,0.1,3.0,2.6
20,Goran Dragic,PHX,76,35.1,20.3,7.3,14.4,0.505,1.6,3.9,0.408,4.2,5.5,0.76,0.9,2.3,3.2,5.9,1.4,0.3,2.8,2.7
21,Rudy Gay,SAC,73,34.7,20.0,7.4,16.2,0.455,0.9,2.7,0.33,4.4,5.3,0.822,1.5,4.4,6.0,2.9,1.3,0.8,3.1,2.3
22,Ryan Anderson,NOP,22,36.1,19.8,7.0,16.1,0.438,3.0,7.5,0.409,2.7,2.8,0.952,3.0,3.5,6.5,0.8,0.5,0.3,0.9,2.1
23,John Wall,WAS,82,36.3,19.3,7.1,16.3,0.433,1.3,3.8,0.351,3.9,4.8,0.805,0.5,3.6,4.1,8.8,1.8,0.5,3.6,2.7
24,Chris Paul,LAC,62,35.0,19.1,6.5,14.0,0.467,1.3,3.4,0.368,4.8,5.6,0.855,0.6,3.7,4.3,10.7,2.5,0.1,2.3,2.5
25,Kevin Martin,MIN,68,32.0,19.1,6.5,15.0,0.43,1.7,4.4,0.387,4.5,5.0,0.891,0.5,2.5,3.0,1.8,1.0,0.1,1.6,1.8
26,Dwyane Wade,MIA,54,32.9,19.0,7.7,14.1,0.545,0.2,0.6,0.281,3.5,4.8,0.733,1.1,3.4,4.5,4.7,1.5,0.5,3.0,2.0
27,Monta Ellis,DAL,82,36.9,19.0,7.0,15.6,0.451,0.8,2.5,0.33,4.1,5.2,0.788,0.5,3.1,3.6,5.7,1.7,0.3,3.2,2.4
