#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Stephen Curry,GSW,79,34.2,30.1,10.2,20.2,0.504,5.1,11.2,0.454,4.6,5.1,0.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0
2,James Harden,HOU,82,38.1,29.0,8.7,19.7,0.439,2.9,8.0,0.359,8.8,10.2,0.86,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8
3,Kevin Durant,OKC,72,35.8,28.2,9.7,19.2,0.505,2.6,6.7,0.388,6.2,6.9,0.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9
4,DeMarcus Cousins,SAC,65,34.6,26.9,9.2,20.5,0.451,1.1,3.2,0.333,7.3,10.2,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6
5,LeBron James,CLE,76,35.6,25.3,9.7,18.6,0.52,1.1,3.7,0.309,4.7,6.5,0.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9
6,Damian Lillard,POR,75,35.7,25.1,8.2,19.7,0.419,3.1,8.1,0.375,5.5,6.2,0.892,0.6,3.4,4.0,6.8,0.9,0.4,3.2,2.2
7,Anthony Davis,NOP,61,35.5,24.3,9.2,18.6,0.493,0.6,1.8,0.324,5.3,7.0,0.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4
8,Russell Westbrook,OKC,80,34.4,23.5,8.2,18.1,0.454,1.3,4.3,0.296,5.8,7.2,0.812,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5
9,DeMar DeRozan,TOR,78,35.9,23.5,7.9,17.7,0.446,0.6,1.8,0.338,7.1,8.4,0.85,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1
10,Paul George,IND,81,34.8,23.1,7.5,17.9,0.418,2.6,7.0,0.372,5.6,6.5,0.86,1.0,6.0,7.0,4.1,1.9,0.4,3.3,2.8
11,Isaiah Thomas,BOS,82,32.2,22.2,7.2,16.9,0.428,2.0,5.7,0.359,5.8,6.6,0.871,0.6,2.4,3.0,6.2,1.1,0.1,2.7,2.0
12,Klay Thompson,GSW,80,33.3,22.1,8.1,17.3,0.47,3.5,8.1,0.425,2.4,2.8,0.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9
13,Carmelo Anthony,NYK,72,35.1,21.8,7.9,18.2,0.434,1.5,4.3,0.339,4.6,5.6,0.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5
14,Blake Griffin,LAC,35,33.4,21.4,8.6,17.2,0.499,0.2,0.5,0.333,4.0,5.5,0.727,1.5,6.9,8.4,4.9,0.8,0.5,2.4,2.7
15,Kyle Lowry,TOR,77,37.0,21.2,6.6,15.6,0.427,2.8,7.1,0.388,5.2,6.4,0.811,0.7,4.0,4.7,6.4,2.1,0.4,2.9,2.7
16,Kawhi Leonard,SAS,72,33.0,21.2,7.7,15.1,0.506,1.8,4.0,0.443,4.1,4.6,0.874,1.3,5.5,6.8,2.6,1.8,1.0,1.5,1.8
17,Jimmy Butler,CHI,67,36.9,20.9,7.0,15.4,0.455,1.0,3.1,0.311,5.9,7.1,0.832,1.2,4.2,5.3,4.8,1.6,0.6,2.0,1.9
18,Kemba Walker,CHA,81,35.6,20.9,7.0,16.4,0.427,2.2,6.0,0.371,4.6,5.4,0.847,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4
19,C.J. McCollum,POR,80,34.7,20.8,8.0,17.9,0.448,2.5,5.9,0.417,2.3,2.8,0.827,0.6,2.7,3.2,4.3,1.2,0.3,2.5,2.3
20,Andrew Wiggins,MIN,81,35.1,20.7,7.3,16.0,0.459,0.7,2.3,0.3,5.3,7.0,0.761,1.3,2.3,3.6,2.0,1.0,0.6,2.2,2.0
21,Brook Lopez,BRK,73,33.7,20.6,8.1,15.8,0.511,0.0,0.2,0.143,4.3,5.5,0.787,2.8,5.1,7.8,2.0,0.8,1.7,2.4,2.9
22,Eric Bledsoe,PHX,31,34.2,20.4,7.2,15.9,0.453,1.5,4.2,0.372,4.5,5.5,0.802,0.6,3.5,4.0,6.1,2.0,0.6,3.5,2.4
23,John Wall,WAS,77,36.2,19.9,7.4,17.5,0.424,1.5,4.3,0.351,3.5,4.5,0.791,0.5,4.4,4.9,10.2,1.9,0.8,4.1,2.1
24,Gordon Hayward,UTA,80,36.2,19.7,6.5,15.0,0.433,1.8,5.1,0.349,4.9,6.0,0.824,0.8,4.2,5.0,3.7,1.2,0.3,2.5,2.3
25,Kyrie Irving,CLE,53,31.5,19.6,7.4,16.6,0.448,1.6,4.9,0.322,3.2,3.6,0.885,0.8,2.1,3.0,4.7,1.1,0.3,2.3,2.0
26,Brandon Knight,PHX,52,36.0,19.6,7.1,17.2,0.415,2.3,6.8,0.342,3.0,3.5,0.852,0.7,3.2,3.9,5.1,1.2,0.4,3.4,2.4
27,Danilo Gallinari,DEN,53,34.7,19.5,5.4,13.2,0.41,1.6,4.5,0.364,7.1,8.2,0.868,1.0,4.3,5.3,2.5,0.8,0.4,1.5,1.6
28,Chris Paul,LAC,74,32.7,19.5,7.0,15.1,0.462,1.6,4.4,0.371,4.0,4.4,0.896,0.5,3.7,4.2,10.0,2.1,0.2,2.6,2.5
29,Chris Bosh,MIA,53,33.5,19.1,6.8,14.5,0.467,1.5,4.2,0.365,4.0,5.1,0.795,0.9,6.5,7.4,2.4,0.7,0.6,1.5,1.9
30,Dwyane Wade,MIA,74,30.5,19.0,7.3,16.0,0.456,0.1,0.6,0.159,4.4,5.5,0.793,1.1,3.0,4.1,4.6,1.1,0.6,2.7,1.6
31,Reggie Jackson,DET,79,30.7,18.8,6.8,15.7,0.434,1.5,4.2,0.353,3.7,4.3,0.864,0.7,2.5,3.2,6.2,0.7,0.1,2.8,2.4
32,Karl-Anthony Towns,MIN,82,32.0,18.3,7.6,14.0,0.543,0.4,1.1,0.341,2.7,3.4,0.811,2.8,7.7,10.4,2.0,0.7,1.7,2.2,3.0
33,Dirk Nowitzki,DAL,75,31.5,18.3,6.6,14.8,0.448,1.7,4.6,0.368,3.3,3.7,0.893,0.7,5.8,6.5,1.8,0.7,0.7,1.1,2.1
34,Nikola Vucevic,ORL,65,31.3,18.2,8.2,16.1,0.51,0.0,0.1,0.222,1.7,2.3,0.753,2.7,6.2,8.8,2.8,0.8,1.1,1.9,2.7
35,Khris Middleton,MIL,79,36.1,18.2,6.4,14.5,0.444,1.8,4.6,0.396,3.5,3.9,0.888,0.6,3.3,3.8,4.2,1.7,0.2,2.3,2.6
36,LaMarcus Aldridge,SAS,74,30.6,18.0,7.2,14.1,0.513,0.0,0.2,0.0,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2.0
37,Kobe Bryant,LAL,66,28.2,17.6,6.0,16.9,0.358,2.0,7.1,0.285,3.5,4.3,0.826,0.6,3.1,3.7,2.8,0.9,0.2,2.0,1.7
38,Jahlil Okafor,PHI,53,30.0,17.5,7.5,14.7,0.508,0.0,0.1,0.167,2.5,3.7,0.686,2.3,4.7,7.0,1.2,0.4,1.2,2.3,2.6
39,Bradley Beal,WAS,55,31.1,17.4,6.5,14.5,0.449,1.9,4.9,0.387,2.5,3.2,0.767,0.7,2.7,3.4,2.9,1.0,0.2,2.0,2.1
40,Rudy Gay,SAC,70,34.0,17.2,6.7,14.4,0.463,1.1,3.1,0.344,2.8,3.6,0.78,1.5,5.0,6.5,1.7,1.4,0.7,2.0,2.6
41,Paul Millsap,ATL,81,32.7,17.1,6.2,13.2,0.47,0.9,2.9,0.319,3.8,5.0,0.757,2.4,6.6,9.0,3.3,1.8,1.7,2.4,2.9
42,Ryan Anderson,NOP,66,30.4,17.0,6.0,14.1,0.427,2.0,5.4,0.366,3.0,3.5,0.873,2.0,4.0,6.0,1.1,0.6,0.4,1.4,1.7
43,Giannis Antetokounmpo,MIL,80,35.3,16.9,6.4,12.7,0.506,0.4,1.4,0.257,3.7,5.1,0.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2
44,Jrue Holiday,NOP,65,28.2,16.8,6.3,14.4,0.439,1.3,4.0,0.336,2.8,3.3,0.843,0.4,2.6,3.0,6.0,1.4,0.3,2.6,2.3
45,Marc Gasol,MEM,52,34.4,16.6,6.3,13.6,0.464,0.0,0.1,0.667,3.9,4.7,0.829,1.1,5.8,7.0,3.8,1.0,1.3,2.3,2.7
46,Pau Gasol,CHI,72,31.8,16.5,6.5,13.8,0.469,0.3,1.0,0.348,3.2,4.0,0.792,2.2,8.9,11.0,4.1,0.6,2.0,2.3,2.1
47,Derrick Favors,UTA,62,32.0,16.4,6.7,13.1,0.515,0.0,0.1,0.0,2.9,4.1,0.709,2.7,5.4,8.1,1.5,1.2,1.5,1.7,2.4
48,Derrick Rose,CHI,66,31.8,16.4,6.8,15.9,0.427,0.7,2.3,0.293,2.2,2.7,0.793,0.7,2.7,3.4,4.7,0.7,0.2,2.7,1.3
49,J.J. Redick,LAC,75,28.0,16.3,5.6,11.7,0.48,2.7,5.6,0.475,2.4,2.7,0.888,0.1,1.7,1.9,1.4,0.6,0.1,1.0,1.8
50,Andre Drummond,DET,81,32.9,16.2,6.8,13.1,0.521,0.0,0.1,0.333,2.6,7.2,0.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3.0
51,Kevin Love,CLE,77,31.5,16.0,5.3,12.7,0.419,2.1,5.7,0.36,3.4,4.1,0.822,1.9,8.0,9.9,2.4,0.8,0.5,1.8,2.1
52,Victor Oladipo,ORL,72,33.0,16.0,5.9,13.5,0.438,1.4,3.9,0.348,2.8,3.4,0.83,0.7,4.1,4.8,3.9,1.6,0.8,2.1,2.4
53,Jeff Teague,ATL,79,28.5,15.7,5.5,12.5,0.439,1.4,3.5,0.4,3.3,3.9,0.837,0.4,2.3,2.7,5.9,1.2,0.3,2.8,2.1
54,Jordan Clarkson,LAL,79,32.3,15.5,6.0,13.9,0.433,1.4,4.1,0.347,2.1,2.6,0.804,1.2,2.8,4.0,2.4,1.1,0.1,1.7,2.1
55,Evan Fournier,ORL,79,32.5,15.4,5.4,11.8,0.462,2.0,4.9,0.4,2.5,3.0,0.836,0.4,2.4,2.8,2.7,1.2,0.0,1.7,2.7
