#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Joel Embiid,PHI,68,33.8,30.6,9.8,19.6,0.499,1.4,3.7,0.371,9.6,11.8,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7
2,LeBron James,LAL,56,37.2,30.3,11.4,21.8,0.524,2.9,8.0,0.359,4.5,6.0,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2
3,Giannis Antetokounmpo,MIL,67,32.9,29.9,10.3,18.6,0.553,1.1,3.6,0.293,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2
4,Kevin Durant,BRK,55,37.2,29.9,10.5,20.3,0.518,2.1,5.5,0.383,6.8,7.4,0.91,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1
5,Luka Doncic,DAL,65,35.4,28.4,9.9,21.6,0.457,3.1,8.8,0.353,5.6,7.5,0.744,0.9,8.3,9.1,8.7,1.2,0.6,4.5,2.2
6,Trae Young,ATL,76,34.9,28.4,9.4,20.3,0.46,3.1,8.0,0.382,6.6,7.3,0.904,0.7,3.1,3.7,9.7,0.9,0.1,4.0,1.7
7,DeMar DeRozan,CHI,76,36.1,27.9,10.2,20.2,0.504,0.7,1.9,0.352,6.8,7.8,0.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,2.3
8,Kyrie Irving,BRK,29,37.6,27.4,10.0,21.2,0.469,3.4,8.2,0.418,4.1,4.4,0.915,0.6,3.8,4.4,5.8,1.4,0.6,2.5,2.8
9,Ja Morant,MEM,57,33.1,27.4,10.2,20.6,0.493,1.5,4.5,0.344,5.5,7.3,0.761,1.4,4.4,5.7,6.7,1.2,0.4,3.4,1.5
10,Nikola Jokic,DEN,74,33.5,27.1,10.3,17.7,0.583,1.3,3.9,0.337,5.1,6.3,0.81,2.8,11.0,13.8,7.9,1.5,0.9,3.8,2.6
11,Jayson Tatum,BOS,76,35.9,26.9,9.3,20.6,0.453,3.0,8.6,0.353,5.3,6.2,0.853,1.1,6.9,8.0,4.4,1.0,0.6,2.9,2.3
12,Devin Booker,PHX,68,34.5,26.8,9.7,20.9,0.466,2.7,7.0,0.383,4.6,5.3,0.868,0.7,4.4,5.0,4.8,1.1,0.4,2.4,2.6
13,Donovan Mitchell,UTA,67,33.8,25.9,9.2,20.5,0.448,3.5,9.8,0.355,4.0,4.7,0.853,0.8,3.4,4.2,5.3,1.5,0.2,3.0,2.4
14,Stephen Curry,GSW,64,34.6,25.5,8.4,19.1,0.437,4.5,11.7,0.38,4.3,4.7,0.923,0.5,4.7,5.2,6.3,1.3,0.4,3.2,2.0
15,Karl-Anthony Towns,MIN,74,33.5,24.6,8.7,16.4,0.529,2.0,4.9,0.41,5.2,6.3,0.822,2.6,7.2,9.8,3.6,1.0,1.1,3.1,3.6
16,Shai Gilgeous-Alexander,OKC,56,34.7,24.5,8.5,18.8,0.453,1.6,5.3,0.3,5.9,7.2,0.81,0.7,4.3,5.0,5.9,1.3,0.8,2.8,2.5
17,Zach LaVine,CHI,67,34.7,24.4,8.4,17.7,0.476,2.8,7.1,0.389,4.8,5.6,0.853,0.3,4.3,4.6,4.5,0.6,0.3,2.6,1.8
18,Paul George,LAC,31,34.8,24.3,8.6,20.5,0.421,2.9,8.3,0.354,4.1,4.8,0.858,0.4,6.5,6.9,5.7,2.2,0.4,4.1,2.4
19,Damian Lillard,POR,29,36.4,24.0,7.7,19.0,0.402,3.2,9.8,0.324,5.5,6.2,0.878,0.4,3.7,4.1,7.3,0.6,0.4,2.9,1.3
20,Jaylen Brown,BOS,66,33.6,23.6,8.7,18.4,0.473,2.5,7.0,0.358,3.7,4.8,0.758,0.8,5.3,6.1,3.5,1.1,0.3,2.7,2.5
21,Bradley Beal,WAS,40,36.0,23.2,8.7,19.3,0.451,1.6,5.3,0.3,4.2,5.1,0.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4
22,Anthony Davis,LAL,40,35.1,23.2,9.3,17.4,0.532,0.3,1.8,0.186,4.4,6.1,0.713,2.7,7.2,9.9,3.1,1.2,2.3,2.1,2.4
23,De'Aaron Fox,SAC,59,35.3,23.2,8.7,18.5,0.473,1.3,4.2,0.297,4.4,5.9,0.75,0.4,3.5,3.9,5.6,1.2,0.4,2.8,2.9
24,Pascal Siakam,TOR,68,37.9,22.8,8.8,17.8,0.494,1.1,3.2,0.344,4.2,5.6,0.749,1.9,6.6,8.5,5.3,1.3,0.6,2.7,3.3
25,Brandon Ingram,NOP,55,34.0,22.7,8.2,17.9,0.461,1.3,4.1,0.327,4.8,5.9,0.826,0.6,5.2,5.8,5.6,0.6,0.5,2.7,2.2
26,C.J. McCollum,NOP,62,34.6,22.1,8.6,18.8,0.46,2.9,7.6,0.388,1.9,2.7,0.682,0.9,3.5,4.3,5.1,1.1,0.4,2.0,2.0
27,James Harden,PHI,65,37.2,22.0,6.3,15.3,0.41,2.3,6.9,0.33,7.2,8.2,0.877,0.8,6.8,7.7,10.3,1.3,0.6,4.4,2.4
28,Darius Garland,CLE,68,35.7,21.7,8.0,17.3,0.462,2.6,6.7,0.383,3.2,3.5,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.6,1.7
29,Jimmy Butler,MIA,57,33.9,21.4,7.0,14.5,0.48,0.5,2.0,0.233,6.9,8.0,0.87,1.8,4.1,5.9,5.5,1.6,0.5,2.1,1.5
30,Anthony Edwards,MIN,72,34.2,21.3,7.6,17.3,0.441,3.0,8.4,0.357,3.1,3.9,0.786,0.9,3.9,4.8,3.8,1.5,0.6,2.6,2.3
31,Dejounte Murray,SAS,68,34.8,21.1,8.4,18.3,0.462,1.4,4.3,0.327,2.9,3.6,0.794,1.2,7.1,8.3,9.2,2.0,0.3,2.6,2.0
32,Tyler Herro,MIA,66,32.6,20.7,7.6,17.0,0.447,2.7,6.7,0.399,2.9,3.3,0.868,0.5,4.5,5.0,4.0,0.7,0.1,2.6,1.4
33,Klay Thompson,GSW,32,29.4,20.4,7.7,17.9,0.429,3.6,9.3,0.385,1.4,1.6,0.902,0.5,3.4,3.9,2.8,0.5,0.5,1.3,1.7
34,Fred VanVleet,TOR,65,37.9,20.3,6.8,16.9,0.403,3.7,9.9,0.377,3.0,3.4,0.874,0.7,3.8,4.4,6.7,1.7,0.6,2.6,2.5
35,Kristaps Porzingis,WAS,51,29.0,20.2,6.9,15.0,0.459,1.5,4.9,0.31,4.9,5.6,0.867,2.0,6.1,8.1,2.3,0.7,1.6,1.6,2.7
36,Miles Bridges,CHA,80,35.5,20.2,7.5,15.2,0.491,1.9,5.8,0.331,3.3,4.2,0.802,1.1,5.9,7.0,3.8,0.9,0.8,1.9,2.4
37,LaMelo Ball,CHA,75,32.3,20.1,7.2,16.7,0.429,2.9,7.5,0.389,2.8,3.2,0.872,1.4,5.2,6.7,7.6,1.6,0.4,3.3,3.2
38,Julius Randle,NYK,72,35.3,20.1,7.1,17.3,0.411,1.7,5.4,0.308,4.2,5.6,0.756,1.7,8.2,9.9,5.1,0.7,0.5,3.4,2.8
39,Khris Middleton,MIL,66,32.4,20.1,6.8,15.5,0.443,2.5,6.6,0.373,3.9,4.4,0.89,0.6,4.8,5.4,5.4,1.2,0.3,2.9,2.4
40,R.J. Barrett,NYK,70,34.5,20.0,7.0,17.1,0.408,2.0,5.8,0.342,4.1,5.8,0.714,0.9,4.9,5.8,3.0,0.6,0.2,2.2,2.0
41,Terry Rozier,CHA,73,33.7,19.3,7.1,16.0,0.444,3.0,8.1,0.374,2.1,2.4,0.852,0.8,3.5,4.3,4.5,1.3,0.3,1.3,1.6
42,Jerami Grant,DET,47,31.9,19.2,6.3,14.9,0.426,1.9,5.4,0.358,4.6,5.5,0.838,0.6,3.5,4.1,2.4,0.9,1.0,1.8,2.3
43,Malcolm Brogdon,IND,36,33.5,19.1,6.8,15.1,0.448,1.6,5.2,0.312,4.0,4.6,0.856,0.9,4.2,5.1,5.9,0.8,0.4,2.1,2.0
44,Bam Adebayo,MIA,56,32.6,19.1,7.3,13.0,0.557,0.0,0.1,0.0,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1
45,Norman Powell,LAC,45,32.4,19.0,6.2,13.4,0.461,2.4,5.6,0.419,4.2,5.2,0.811,0.4,2.8,3.2,2.1,0.9,0.5,1.5,2.4
46,Domantas Sabonis,SAC,62,34.5,18.9,7.1,12.5,0.573,0.6,2.0,0.312,4.0,5.4,0.741,3.2,8.9,12.1,5.2,1.0,0.4,3.1,3.3
