#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Shaquille O'Neal,LAL,79,40.0,29.7,12.1,21.1,0.574,0.0,0.0,0.0,5.5,10.4,0.524,4.3,9.4,13.6,3.8,0.5,3.0,2.8,3.2
2,Allen Iverson,PHI,70,40.8,28.4,10.4,24.8,0.421,1.3,3.7,0.341,6.3,8.9,0.713,1.0,2.8,3.8,4.7,2.1,0.1,3.3,2.3
3,Grant Hill,DET,74,37.5,25.8,9.4,19.2,0.489,0.5,1.3,0.347,6.5,8.2,0.795,1.3,5.3,6.6,5.2,1.4,0.6,3.2,2.6
4,Vince Carter,TOR,82,38.1,25.7,9.6,20.7,0.465,1.2,2.9,0.403,5.3,6.7,0.791,1.8,4.0,5.8,3.9,1.3,1.1,2.2,3.2
5,Karl Malone,UTA,82,35.9,25.5,9.2,18.0,0.509,0.0,0.1,0.25,7.2,9.0,0.797,2.1,7.4,9.5,3.7,1.0,0.9,2.8,2.8
6,Chris Webber,SAC,75,38.4,24.5,10.0,20.6,0.483,0.4,1.3,0.284,4.1,5.5,0.751,2.5,8.0,10.5,4.6,1.6,1.7,2.9,3.5
7,Gary Payton,SEA,82,41.8,24.2,9.1,20.3,0.448,2.2,6.3,0.34,3.8,5.2,0.735,1.2,5.2,6.5,8.9,1.9,0.2,2.7,2.2
8,Jerry Stackhouse,DET,82,38.4,23.6,7.5,17.6,0.428,1.0,3.5,0.288,7.5,9.2,0.815,1.4,2.4,3.8,4.5,1.3,0.4,3.8,2.3
9,Tim Duncan,SAS,74,38.9,23.2,8.5,17.3,0.49,0.0,0.1,0.091,6.2,8.1,0.761,3.5,8.9,12.4,3.2,0.9,2.2,3.3,2.8
10,Kevin Garnett,MIN,81,40.0,22.9,9.4,18.8,0.497,0.4,1.0,0.37,3.8,5.0,0.765,2.8,9.0,11.8,5.0,1.5,1.6,3.3,2.5
11,Michael Finley,DAL,82,42.2,22.6,9.1,20.0,0.457,1.2,3.0,0.401,3.2,3.9,0.82,1.5,4.8,6.3,5.3,1.3,0.4,2.4,2.1
12,Kobe Bryant,LAL,66,38.2,22.5,8.4,17.9,0.468,0.7,2.2,0.319,5.0,6.1,0.821,1.6,4.7,6.3,4.9,1.6,0.9,2.8,3.3
13,Stephon Marbury,NJN,74,38.9,22.2,7.7,17.8,0.432,0.9,3.1,0.283,5.9,7.2,0.813,0.8,2.4,3.2,8.4,1.5,0.2,3.6,2.6
14,Ray Allen,MIL,82,37.4,22.1,7.8,17.2,0.455,2.1,5.0,0.423,4.3,4.9,0.887,1.0,3.4,4.4,3.8,1.3,0.2,2.2,2.3
15,Alonzo Mourning,MIA,79,34.8,21.7,8.3,15.0,0.551,0.0,0.1,0.0,5.2,7.4,0.711,2.7,6.8,9.5,1.6,0.5,3.7,2.7,3.9
16,Glenn Robinson,MIL,81,35.9,20.9,8.5,18.0,0.472,1.1,2.9,0.363,2.8,3.5,0.802,1.3,4.7,6.0,2.4,1.0,0.5,2.8,2.6
17,Antoine Walker,BOS,82,36.6,20.5,7.9,18.4,0.43,0.9,3.5,0.256,3.8,5.4,0.699,2.4,5.5,8.0,3.7,1.4,0.4,3.2,3.2
18,Shareef Abdur-Rahim,VAN,82,39.3,20.3,7.2,15.6,0.465,0.4,1.2,0.302,5.4,6.7,0.809,2.7,7.4,10.1,3.3,1.1,1.1,3.0,3.0
19,Elton Brand,CHI,81,37.0,20.1,7.8,16.1,0.482,0.0,0.0,0.0,4.5,6.6,0.685,4.3,5.7,10.0,1.9,0.8,1.6,2.8,3.2
20,Eddie Jones,CHA,72,39.0,20.1,6.6,15.5,0.427,1.8,4.7,0.375,5.0,5.8,0.864,1.1,3.6,4.8,4.2,2.7,0.7,2.2,2.4
21,Allan Houston,NYK,82,38.6,19.7,7.5,15.5,0.483,1.3,3.0,0.436,3.4,4.1,0.838,0.5,2.8,3.3,2.7,0.8,0.2,2.3,2.7
22,Antawn Jamison,GSW,43,36.2,19.6,8.3,17.6,0.471,0.0,0.2,0.286,3.0,4.8,0.611,4.0,4.3,8.3,2.1,0.7,0.3,2.6,2.7
23,Paul Pierce,BOS,73,35.4,19.5,6.7,15.1,0.442,1.3,3.8,0.343,4.9,6.2,0.798,1.1,4.3,5.4,3.0,2.1,0.8,2.4,3.2
24,J.R. Rider,ATL,60,34.7,19.3,7.5,17.9,0.419,0.9,3.0,0.311,3.4,4.3,0.785,1.1,3.3,4.3,3.7,0.7,0.1,2.8,2.2
25,Keith Van Horn,NJN,80,34.8,19.2,7.0,15.7,0.445,1.1,2.9,0.368,4.2,4.9,0.847,2.5,6.0,8.5,2.0,0.8,0.8,3.1,3.2
26,Antonio McDyess,DEN,81,33.3,19.1,7.6,15.0,0.507,0.0,0.0,0.0,4.0,6.4,0.626,2.9,5.6,8.5,2.0,0.9,1.7,2.8,3.9
27,Sam Cassell,MIL,81,35.8,18.6,6.7,14.4,0.466,0.3,1.1,0.289,4.8,5.5,0.876,0.9,2.9,3.7,9.0,1.3,0.1,3.3,3.1
