#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Carmelo Anthony,NYK,67,37.0,28.7,10.0,22.2,0.449,2.3,6.2,0.379,6.3,7.6,0.83,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1
2,Kevin Durant,OKC,81,38.5,28.1,9.0,17.7,0.51,1.7,4.1,0.416,8.4,9.3,0.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8
3,Kobe Bryant,LAL,78,38.6,27.3,9.5,20.4,0.463,1.7,5.2,0.324,6.7,8.0,0.839,0.8,4.7,5.6,6.0,1.4,0.3,3.7,2.2
4,LeBron James,MIA,76,37.9,26.8,10.1,17.8,0.565,1.4,3.3,0.406,5.3,7.0,0.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4
5,James Harden,HOU,78,38.3,25.9,7.5,17.1,0.438,2.3,6.2,0.368,8.6,10.2,0.851,0.8,4.1,4.9,5.8,1.8,0.5,3.8,2.3
6,Russell Westbrook,OKC,82,34.9,23.2,8.2,18.7,0.438,1.2,3.7,0.323,5.6,7.0,0.8,1.4,3.9,5.2,7.4,1.8,0.3,3.3,2.3
7,Stephen Curry,GSW,78,38.2,22.9,8.0,17.8,0.451,3.5,7.7,0.453,3.4,3.7,0.9,0.8,3.3,4.0,6.9,1.6,0.2,3.1,2.5
8,Kyrie Irving,CLE,59,34.7,22.5,8.2,18.1,0.452,1.8,4.7,0.391,4.2,4.9,0.855,0.6,3.1,3.7,5.9,1.5,0.4,3.2,2.5
9,Dwyane Wade,MIA,69,34.6,21.2,8.2,15.8,0.521,0.2,1.0,0.258,4.5,6.2,0.725,1.2,3.7,5.0,5.1,1.9,0.8,2.8,2.0
10,LaMarcus Aldridge,POR,74,37.7,21.1,8.6,17.8,0.484,0.0,0.2,0.143,3.8,4.7,0.81,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5
11,Tony Parker,SAS,66,32.9,20.3,7.9,15.1,0.522,0.4,1.0,0.353,4.2,5.0,0.845,0.3,2.7,3.0,7.6,0.8,0.1,2.6,1.4
12,Brook Lopez,BRK,74,30.5,19.4,7.7,14.8,0.521,0.0,0.0,0.0,4.0,5.3,0.758,2.8,4.1,6.9,0.9,0.4,2.1,1.8,2.1
13,Monta Ellis,MIL,82,37.5,19.2,7.3,17.5,0.416,1.1,4.0,0.287,3.5,4.6,0.773,0.5,3.3,3.9,6.0,2.1,0.4,3.1,2.0
14,Damian Lillard,POR,82,38.6,19.0,6.7,15.7,0.429,2.3,6.1,0.368,3.3,3.9,0.844,0.5,2.6,3.1,6.5,0.9,0.2,3.0,2.1
15,Deron Williams,BRK,78,36.4,18.9,6.3,14.4,0.44,2.2,5.7,0.378,4.1,4.7,0.859,0.4,2.6,3.0,7.7,1.0,0.4,2.8,2.5
16,Paul Pierce,BOS,77,33.4,18.6,6.2,14.2,0.436,1.9,5.0,0.38,4.3,5.5,0.787,0.6,5.7,6.3,4.8,1.1,0.4,2.8,2.7
17,John Wall,WAS,49,32.7,18.5,6.6,15.0,0.441,0.2,0.9,0.267,5.0,6.2,0.804,0.7,3.3,4.0,7.6,1.3,0.8,3.2,2.4
18,David Lee,GSW,79,36.8,18.5,7.6,14.7,0.519,0.0,0.1,0.0,3.2,4.1,0.797,2.8,8.5,11.2,3.5,0.8,0.3,2.6,3.1
19,Kevin Love,MIN,18,34.3,18.3,5.8,16.6,0.352,1.1,5.1,0.217,5.6,7.9,0.704,3.6,10.4,14.0,2.3,0.7,0.5,2.2,1.9
20,Rudy Gay,TOR,75,35.8,18.2,6.9,16.7,0.416,1.1,3.5,0.323,3.2,3.9,0.814,1.3,4.8,6.1,2.7,1.5,0.7,2.6,2.4
21,DeMar DeRozan,TOR,82,36.7,18.1,6.7,15.0,0.445,0.4,1.5,0.283,4.3,5.2,0.831,0.6,3.3,3.9,2.5,0.9,0.3,1.8,2.1
22,J.R. Smith,NYK,80,33.5,18.1,6.6,15.6,0.422,1.9,5.5,0.356,3.0,3.9,0.762,0.8,4.5,5.3,2.7,1.3,0.3,1.7,2.8
23,Blake Griffin,LAC,80,32.5,18.0,7.2,13.4,0.538,0.1,0.4,0.179,3.5,5.3,0.66,2.3,6.0,8.3,3.7,1.2,0.6,2.3,2.9
24,Al Jefferson,UTA,78,33.1,17.8,7.8,15.8,0.494,0.0,0.2,0.118,2.1,2.8,0.77,2.0,7.2,9.2,2.1,1.0,1.1,1.3,2.2
25,Tim Duncan,SAS,69,30.1,17.8,7.1,14.1,0.502,0.0,0.1,0.286,3.6,4.3,0.817,1.8,8.1,9.9,2.7,0.7,2.7,2.1,1.7
26,Kemba Walker,CHA,82,34.9,17.7,6.4,15.2,0.423,1.3,4.0,0.322,3.6,4.5,0.798,0.7,2.7,3.5,5.7,2.0,0.4,2.4,1.9
27,Jrue Holiday,PHI,78,37.5,17.7,7.1,16.5,0.431,1.2,3.2,0.368,2.3,3.1,0.752,1.1,3.1,4.2,8.0,1.6,0.4,3.7,2.2
