#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Tracy McGrady,ORL,75,39.4,0.8,0.3,0.6,0.457,0.1,0.2,0.386,0.2,0.2,0.793,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
2,Shaquille O'Neal,LAL,67,37.8,0.7,0.3,0.5,0.574,0.0,0.0,0.0,0.2,0.3,0.622,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
3,Kobe Bryant,LAL,82,41.5,0.7,0.3,0.6,0.451,0.0,0.1,0.383,0.2,0.2,0.843,0.0,0.1,0.2,0.1,0.1,0.0,0.1,0.1
4,Chris Owens,MEM,1,6.0,0.7,0.3,0.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0
5,Paul Pierce,BOS,79,39.2,0.7,0.2,0.5,0.416,0.0,0.1,0.302,0.2,0.2,0.802,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
6,Allen Iverson,PHI,82,42.5,0.6,0.2,0.6,0.414,0.0,0.1,0.277,0.2,0.2,0.774,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0
7,Dirk Nowitzki,DAL,80,39.0,0.6,0.2,0.5,0.463,0.0,0.1,0.379,0.2,0.2,0.881,0.0,0.2,0.3,0.1,0.0,0.0,0.0,0.1
8,Chris Crawford,ATL,5,7.6,0.6,0.2,0.3,0.615,0.0,0.1,0.333,0.2,0.2,0.875,0.1,0.1,0.2,0.0,0.1,0.1,0.1,0.2
9,Richard Hamilton,DET,82,32.2,0.6,0.2,0.5,0.443,0.0,0.0,0.269,0.2,0.2,0.833,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
10,Vince Carter,TOR,43,34.2,0.6,0.2,0.5,0.467,0.0,0.1,0.344,0.1,0.1,0.806,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
11,Ray Allen,SEA,76,37.9,0.6,0.2,0.5,0.439,0.1,0.2,0.377,0.1,0.1,0.916,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
12,Allan Houston,NYK,82,37.9,0.6,0.2,0.5,0.445,0.1,0.1,0.396,0.1,0.1,0.919,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
13,Tim Duncan,SAS,81,39.3,0.6,0.2,0.4,0.513,0.0,0.0,0.273,0.1,0.2,0.71,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
14,Chris Webber,SAC,67,39.1,0.6,0.3,0.5,0.461,0.0,0.0,0.238,0.1,0.1,0.607,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
15,Reggie Slater,MIN,26,5.4,0.6,0.2,0.4,0.54,0.0,0.0,0.0,0.2,0.3,0.6,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.2
16,Zydrunas Ilgauskas,CLE,81,30.0,0.6,0.2,0.5,0.441,0.0,0.0,0.0,0.2,0.2,0.781,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
17,Sam Cassell,MIL,78,34.6,0.6,0.2,0.4,0.47,0.0,0.1,0.362,0.1,0.2,0.861,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
18,Karl Malone,UTA,81,36.2,0.6,0.2,0.4,0.462,0.0,0.0,0.214,0.2,0.2,0.763,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
19,Kevin Garnett,MIN,82,40.5,0.6,0.2,0.4,0.502,0.0,0.0,0.282,0.1,0.2,0.751,0.1,0.3,0.3,0.1,0.0,0.0,0.1,0.1
20,Antawn Jamison,GSW,82,39.3,0.6,0.2,0.5,0.47,0.0,0.1,0.311,0.1,0.1,0.789,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.1
