#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Russell Westbrook,OKC,81,34.6,0.9,0.3,0.7,0.425,0.1,0.2,0.343,0.3,0.3,0.845,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.1
2,Isaiah Thomas,BOS,76,33.8,0.9,0.3,0.6,0.463,0.1,0.3,0.379,0.2,0.3,0.909,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
3,James Harden,HOU,81,36.4,0.8,0.2,0.5,0.44,0.1,0.3,0.347,0.3,0.3,0.847,0.0,0.2,0.2,0.3,0.0,0.0,0.2,0.1
4,Joel Embiid,PHI,31,25.4,0.8,0.3,0.5,0.466,0.0,0.1,0.367,0.2,0.3,0.783,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
5,DeMarcus Cousins,NOP,72,34.2,0.8,0.3,0.6,0.452,0.1,0.1,0.361,0.2,0.3,0.772,0.1,0.3,0.3,0.1,0.0,0.0,0.1,0.1
6,Anthony Davis,NOP,75,36.1,0.8,0.3,0.6,0.505,0.0,0.0,0.299,0.2,0.2,0.802,0.1,0.3,0.3,0.1,0.0,0.1,0.1,0.1
7,DeMar DeRozan,TOR,74,35.4,0.8,0.3,0.6,0.467,0.0,0.0,0.266,0.2,0.2,0.842,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
8,Kawhi Leonard,SAS,74,33.4,0.8,0.3,0.5,0.485,0.1,0.2,0.38,0.2,0.2,0.88,0.0,0.1,0.2,0.1,0.1,0.0,0.1,0.0
9,Stephen Curry,GSW,79,33.4,0.8,0.3,0.5,0.468,0.1,0.3,0.411,0.1,0.1,0.898,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1
10,Damian Lillard,POR,75,35.9,0.8,0.2,0.6,0.444,0.1,0.2,0.37,0.2,0.2,0.895,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
11,Kevin Durant,GSW,62,33.4,0.8,0.3,0.5,0.537,0.1,0.2,0.375,0.2,0.2,0.875,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
12,Dahntay Jones,CLE,1,12.0,0.8,0.3,0.7,0.375,0.0,0.2,0.0,0.3,0.3,0.75,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1
13,Kyrie Irving,CLE,72,35.1,0.7,0.3,0.6,0.473,0.1,0.2,0.401,0.1,0.1,0.905,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
14,Lou Williams,HOU,81,24.6,0.7,0.2,0.5,0.429,0.1,0.2,0.365,0.2,0.2,0.88,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0
15,LeBron James,CLE,74,37.8,0.7,0.3,0.5,0.548,0.0,0.1,0.363,0.1,0.2,0.674,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.0
16,Brook Lopez,BRK,75,29.6,0.7,0.2,0.5,0.474,0.1,0.2,0.346,0.1,0.2,0.81,0.1,0.1,0.2,0.1,0.0,0.1,0.1,0.1
17,Karl-Anthony Towns,MIN,82,37.0,0.7,0.3,0.5,0.542,0.0,0.1,0.367,0.1,0.1,0.832,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
18,Enes Freedom,OKC,72,21.3,0.7,0.3,0.5,0.545,0.0,0.0,0.132,0.1,0.2,0.786,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1
19,Kemba Walker,CHA,79,34.7,0.7,0.2,0.5,0.443,0.1,0.2,0.399,0.1,0.1,0.847,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
20,Bradley Beal,WAS,77,34.9,0.7,0.2,0.5,0.482,0.1,0.2,0.404,0.1,0.1,0.825,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
21,Paul George,IND,75,35.9,0.7,0.2,0.5,0.462,0.1,0.2,0.394,0.1,0.1,0.898,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
22,C.J. McCollum,POR,80,34.9,0.7,0.2,0.5,0.48,0.1,0.2,0.421,0.1,0.1,0.912,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
23,Klay Thompson,GSW,78,34.0,0.7,0.2,0.5,0.468,0.1,0.2,0.414,0.1,0.1,0.853,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
24,Carmelo Anthony,NYK,74,34.3,0.7,0.2,0.5,0.433,0.1,0.2,0.359,0.1,0.1,0.833,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
25,Boban Marjanovic,DET,35,8.4,0.7,0.2,0.5,0.545,0.0,0.0,0.0,0.2,0.2,0.81,0.2,0.3,0.4,0.0,0.0,0.0,0.0,0.1
26,Jimmy Butler,CHI,76,37.0,0.6,0.2,0.4,0.455,0.0,0.1,0.367,0.2,0.2,0.865,0.0,0.1,0.2,0.1,0.1,0.0,0.1,0.0
27,Giannis Antetokounmpo,MIL,80,35.6,0.6,0.2,0.4,0.521,0.0,0.1,0.272,0.2,0.2,0.77,0.0,0.2,0.2,0.2,0.0,0.1,0.1,0.1
28,Eric Bledsoe,PHX,66,33.0,0.6,0.2,0.5,0.434,0.0,0.1,0.335,0.2,0.2,0.847,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
29,JaVale McGee,GSW,77,9.6,0.6,0.3,0.4,0.652,0.0,0.0,0.0,0.1,0.2,0.505,0.1,0.2,0.3,0.0,0.0,0.1,0.1,0.1
30,John Wall,WAS,78,36.4,0.6,0.2,0.5,0.451,0.0,0.1,0.327,0.1,0.2,0.801,0.0,0.1,0.1,0.3,0.1,0.0,0.1,0.1
31,Gordon Hayward,UTA,73,34.5,0.6,0.2,0.5,0.471,0.1,0.1,0.398,0.1,0.2,0.844,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.0
32,Andrew Wiggins,MIN,82,37.2,0.6,0.2,0.5,0.452,0.0,0.1,0.356,0.1,0.2,0.76,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
33,Blake Griffin,LAC,61,34.0,0.6,0.2,0.5,0.493,0.0,0.1,0.336,0.2,0.2,0.76,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.1
34,Shawn Long,PHI,18,13.0,0.6,0.3,0.5,0.56,0.0,0.1,0.368,0.1,0.1,0.543,0.2,0.2,0.4,0.1,0.0,0.0,0.1,0.2
35,Devin Booker,PHX,78,35.0,0.6,0.2,0.5,0.423,0.1,0.1,0.363,0.1,0.2,0.832,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
36,Mike Conley,MEM,69,33.2,0.6,0.2,0.4,0.46,0.1,0.2,0.408,0.1,0.2,0.859,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
37,Dwyane Wade,CHI,60,29.9,0.6,0.2,0.5,0.434,0.0,0.1,0.31,0.1,0.2,0.794,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
38,Kevin Love,CLE,60,31.4,0.6,0.2,0.5,0.427,0.1,0.2,0.373,0.1,0.2,0.871,0.1,0.3,0.4,0.1,0.0,0.0,0.1,0.1
39,Jordan Crawford,NOP,19,23.3,0.6,0.2,0.5,0.482,0.1,0.2,0.389,0.0,0.1,0.769,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
40,Goran Dragic,MIA,73,33.7,0.6,0.2,0.5,0.475,0.0,0.1,0.405,0.1,0.2,0.79,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
41,Nikola Jokic,DEN,73,27.9,0.6,0.2,0.4,0.578,0.0,0.1,0.324,0.1,0.1,0.825,0.1,0.2,0.4,0.2,0.0,0.0,0.1,0.1
42,Kyle Lowry,TOR,60,37.4,0.6,0.2,0.4,0.464,0.1,0.2,0.412,0.1,0.2,0.819,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
43,Jabari Parker,MIL,51,33.9,0.6,0.2,0.5,0.49,0.0,0.1,0.365,0.1,0.1,0.743,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
