#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Kobe Bryant,LAL,82,33.9,0.7,0.3,0.6,0.451,0.0,0.1,0.323,0.2,0.2,0.828,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
2,Kevin Martin,HOU,80,32.5,0.7,0.2,0.5,0.436,0.1,0.2,0.383,0.2,0.3,0.888,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
3,Carmelo Anthony,NYK,77,35.7,0.7,0.2,0.5,0.455,0.0,0.1,0.378,0.2,0.2,0.838,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
4,Kevin Durant,OKC,78,38.9,0.7,0.2,0.5,0.462,0.0,0.1,0.35,0.2,0.2,0.88,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
5,LeBron James,MIA,79,38.8,0.7,0.2,0.5,0.511,0.0,0.1,0.33,0.2,0.2,0.759,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.1
6,Dwyane Wade,MIA,76,37.1,0.7,0.2,0.5,0.5,0.0,0.1,0.306,0.2,0.2,0.758,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
7,Amar'e Stoudemire,NYK,78,36.8,0.7,0.3,0.5,0.502,0.0,0.0,0.435,0.2,0.2,0.792,0.1,0.2,0.2,0.1,0.0,0.1,0.1,0.1
8,Dirk Nowitzki,DAL,73,34.3,0.7,0.2,0.5,0.517,0.0,0.1,0.393,0.2,0.2,0.892,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
9,Derrick Rose,CHI,81,37.4,0.7,0.2,0.5,0.445,0.0,0.1,0.332,0.2,0.2,0.858,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
10,Russell Westbrook,OKC,82,34.7,0.6,0.2,0.5,0.442,0.0,0.0,0.33,0.2,0.2,0.842,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1
11,Dwight Howard,ORL,78,37.6,0.6,0.2,0.4,0.593,0.0,0.0,0.0,0.2,0.3,0.596,0.1,0.3,0.4,0.0,0.0,0.1,0.1,0.1
12,Andrea Bargnani,TOR,66,35.7,0.6,0.2,0.5,0.448,0.0,0.1,0.345,0.1,0.1,0.82,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
13,Monta Ellis,GSW,80,40.3,0.6,0.2,0.5,0.451,0.0,0.1,0.361,0.1,0.1,0.789,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1
14,Michael Beasley,MIN,73,32.3,0.6,0.2,0.5,0.45,0.0,0.1,0.366,0.1,0.1,0.753,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
15,Blake Griffin,LAC,82,37.9,0.6,0.2,0.4,0.506,0.0,0.0,0.292,0.1,0.2,0.642,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
16,Eric Gordon,LAC,56,37.7,0.6,0.2,0.4,0.45,0.1,0.1,0.364,0.1,0.2,0.825,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
17,Lou Williams,PHI,75,23.3,0.6,0.2,0.5,0.406,0.1,0.1,0.348,0.2,0.2,0.823,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
18,Danny Granger,IND,79,35.0,0.6,0.2,0.5,0.425,0.1,0.1,0.386,0.1,0.2,0.848,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
19,Brook Lopez,NJN,82,35.2,0.6,0.2,0.5,0.492,0.0,0.0,0.0,0.1,0.2,0.787,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.1
20,Corey Maggette,MIL,67,20.9,0.6,0.2,0.4,0.453,0.0,0.1,0.359,0.2,0.2,0.834,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
21,Manu Ginobili,SAS,80,30.3,0.6,0.2,0.4,0.433,0.1,0.2,0.349,0.1,0.2,0.871,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1
22,Orien Greene,NJN,3,1.8,0.6,0.2,0.4,0.5,0.0,0.0,0.0,0.2,0.4,0.5,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
23,Kevin Love,MIN,73,35.8,0.6,0.2,0.4,0.47,0.0,0.1,0.417,0.2,0.2,0.85,0.1,0.3,0.4,0.1,0.0,0.0,0.1,0.1
24,Yao Ming,HOU,5,18.1,0.6,0.2,0.4,0.486,0.0,0.0,0.0,0.2,0.2,0.938,0.1,0.2,0.3,0.0,0.0,0.1,0.1,0.1
25,Luis Scola,HOU,74,32.6,0.6,0.2,0.5,0.504,0.0,0.0,0.0,0.1,0.1,0.738,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
26,Zach Randolph,MEM,75,36.3,0.6,0.2,0.4,0.503,0.0,0.0,0.186,0.1,0.1,0.758,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
27,Stephen Curry,GSW,74,33.6,0.6,0.2,0.4,0.48,0.1,0.1,0.442,0.1,0.1,0.934,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
28,Leandro Barbosa,TOR,58,24.0,0.6,0.2,0.5,0.45,0.1,0.2,0.338,0.1,0.1,0.796,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
29,LaMarcus Aldridge,POR,81,39.6,0.6,0.2,0.4,0.5,0.0,0.0,0.174,0.1,0.1,0.791,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.1
