#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Zhou Qi,HOU,1,1.0,2.1,1.1,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,James Harden,HOU,78,36.8,1.0,0.3,0.7,0.442,0.1,0.4,0.368,0.3,0.3,0.879,0.0,0.2,0.2,0.2,0.1,0.0,0.1,0.1
3,Trevon Duval,MIL,3,1.9,0.9,0.4,0.5,0.667,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0
4,Giannis Antetokounmpo,MIL,72,32.8,0.8,0.3,0.5,0.578,0.0,0.1,0.256,0.2,0.3,0.729,0.1,0.3,0.4,0.2,0.0,0.0,0.1,0.1
5,Joel Embiid,PHI,64,33.7,0.8,0.3,0.6,0.484,0.0,0.1,0.3,0.2,0.3,0.804,0.1,0.3,0.4,0.1,0.0,0.1,0.1,0.1
6,Stephen Curry,GSW,69,33.8,0.8,0.3,0.6,0.472,0.2,0.3,0.437,0.1,0.1,0.916,0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.1
7,Anthony Davis,NOP,56,33.0,0.8,0.3,0.6,0.517,0.0,0.1,0.331,0.2,0.2,0.794,0.1,0.3,0.4,0.1,0.0,0.1,0.1,0.1
8,Kawhi Leonard,TOR,60,34.0,0.8,0.3,0.6,0.496,0.1,0.1,0.371,0.2,0.2,0.854,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.0
9,LeBron James,LAL,55,35.2,0.8,0.3,0.6,0.51,0.1,0.2,0.339,0.1,0.2,0.665,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.0
10,Paul George,OKC,77,36.9,0.8,0.2,0.6,0.438,0.1,0.3,0.386,0.2,0.2,0.839,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.1
11,Devin Booker,PHX,64,35.0,0.8,0.3,0.6,0.467,0.1,0.2,0.326,0.2,0.2,0.866,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
12,Lou Williams,LAC,75,26.6,0.8,0.2,0.6,0.425,0.1,0.1,0.361,0.2,0.2,0.876,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
13,Kevin Durant,GSW,78,34.6,0.8,0.3,0.5,0.521,0.1,0.1,0.353,0.2,0.2,0.885,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.1
14,Karl-Anthony Towns,MIN,77,33.0,0.7,0.3,0.5,0.518,0.1,0.1,0.4,0.1,0.2,0.836,0.1,0.3,0.4,0.1,0.0,0.0,0.1,0.1
15,Kemba Walker,CHA,82,34.9,0.7,0.3,0.6,0.434,0.1,0.3,0.356,0.1,0.2,0.844,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
16,Damian Lillard,POR,80,35.5,0.7,0.2,0.5,0.444,0.1,0.2,0.369,0.2,0.2,0.912,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
17,Kyrie Irving,BOS,67,33.0,0.7,0.3,0.6,0.487,0.1,0.2,0.401,0.1,0.1,0.873,0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.1
18,Jordan Sibert,ATL,1,4.2,0.7,0.2,0.2,1.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Alan Williams,BRK,5,5.1,0.7,0.3,0.5,0.615,0.0,0.0,0.0,0.1,0.2,0.5,0.2,0.6,0.7,0.1,0.0,0.0,0.0,0.1
20,Donovan Mitchell,UTA,77,33.7,0.7,0.3,0.6,0.432,0.1,0.2,0.362,0.1,0.2,0.806,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
21,Blake Griffin,DET,75,35.0,0.7,0.2,0.5,0.462,0.1,0.2,0.362,0.2,0.2,0.753,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.1
22,Julius Randle,NOP,73,30.6,0.7,0.3,0.5,0.524,0.0,0.1,0.344,0.2,0.2,0.731,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
23,D'Angelo Russell,BRK,81,30.2,0.7,0.3,0.6,0.434,0.1,0.3,0.369,0.1,0.1,0.78,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
24,Jonas Valanciunas,MEM,49,22.3,0.7,0.3,0.5,0.559,0.0,0.0,0.292,0.1,0.2,0.795,0.1,0.3,0.4,0.1,0.0,0.0,0.1,0.1
25,Bradley Beal,WAS,82,36.9,0.7,0.3,0.5,0.475,0.1,0.2,0.351,0.1,0.1,0.808,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
26,Gary Payton II,WAS,3,5.3,0.7,0.3,0.5,0.625,0.1,0.1,0.5,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.2,0.1,0.1,0.1
27,Zach LaVine,CHI,63,34.5,0.7,0.2,0.5,0.467,0.1,0.1,0.374,0.1,0.2,0.832,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
28,Christian Wood,NOP,21,11.9,0.7,0.2,0.5,0.521,0.0,0.1,0.346,0.2,0.2,0.732,0.1,0.3,0.3,0.0,0.0,0.0,0.1,0.1
29,Marcus Derrickson,GSW,11,6.1,0.7,0.2,0.5,0.485,0.1,0.3,0.5,0.1,0.1,0.8,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1
30,Nikola Vucevic,ORL,80,31.4,0.7,0.3,0.5,0.518,0.0,0.1,0.364,0.1,0.1,0.789,0.1,0.3,0.4,0.1,0.0,0.0,0.1,0.1
31,R.J. Hunter,BOS,1,25.7,0.7,0.2,0.5,0.462,0.2,0.4,0.4,0.0,0.1,0.5,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
