#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Eric Moreland,SAC,3,0.7,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5
2,Russell Westbrook,OKC,67,34.4,0.8,0.3,0.6,0.426,0.0,0.1,0.299,0.2,0.3,0.835,0.1,0.2,0.2,0.2,0.1,0.0,0.1,0.1
3,Kevin Durant,OKC,27,33.8,0.8,0.3,0.5,0.51,0.1,0.2,0.403,0.2,0.2,0.854,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.0
4,Sim Bhullar,SAC,3,0.9,0.7,0.4,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.4,0.0,0.0
5,James Harden,HOU,81,36.8,0.7,0.2,0.5,0.44,0.1,0.2,0.375,0.2,0.3,0.868,0.0,0.1,0.2,0.2,0.1,0.0,0.1,0.1
6,Stephen Curry,GSW,80,32.7,0.7,0.2,0.5,0.487,0.1,0.2,0.443,0.1,0.1,0.914,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1
7,DeMarcus Cousins,SAC,59,34.1,0.7,0.2,0.5,0.467,0.0,0.0,0.25,0.2,0.3,0.782,0.1,0.3,0.4,0.1,0.0,0.1,0.1,0.1
8,LeBron James,CLE,69,36.1,0.7,0.3,0.5,0.488,0.0,0.1,0.354,0.2,0.2,0.71,0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.1
9,Klay Thompson,GSW,77,31.9,0.7,0.2,0.5,0.463,0.1,0.2,0.439,0.1,0.1,0.879,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0
10,Carmelo Anthony,NYK,40,35.7,0.7,0.3,0.6,0.444,0.0,0.1,0.341,0.1,0.2,0.797,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1
11,Dwyane Wade,MIA,62,31.8,0.7,0.3,0.6,0.47,0.0,0.1,0.284,0.1,0.2,0.768,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
12,Anthony Davis,NOP,68,36.1,0.7,0.3,0.5,0.535,0.0,0.0,0.083,0.2,0.2,0.805,0.1,0.2,0.3,0.1,0.0,0.1,0.0,0.1
13,LaMarcus Aldridge,POR,71,35.4,0.7,0.3,0.6,0.466,0.0,0.0,0.352,0.1,0.1,0.845,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.0
14,Marreese Speights,GSW,76,15.9,0.7,0.3,0.5,0.492,0.0,0.0,0.278,0.1,0.1,0.843,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.2
15,Kobe Bryant,LAL,35,34.5,0.6,0.2,0.6,0.373,0.0,0.2,0.293,0.2,0.2,0.813,0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.1
16,Isaiah Thomas,BOS,67,25.8,0.6,0.2,0.5,0.42,0.1,0.2,0.373,0.2,0.2,0.868,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
17,Blake Griffin,LAC,67,35.2,0.6,0.2,0.5,0.502,0.0,0.0,0.4,0.1,0.2,0.728,0.1,0.2,0.2,0.2,0.0,0.0,0.1,0.1
18,Lou Williams,TOR,80,25.2,0.6,0.2,0.5,0.404,0.1,0.2,0.34,0.2,0.2,0.861,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
19,Tyrus Thomas,MEM,2,3.3,0.6,0.2,0.2,1.0,0.0,0.0,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
20,Gerald Green,PHX,74,19.5,0.6,0.2,0.5,0.416,0.1,0.3,0.354,0.1,0.1,0.825,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
21,Kevin Martin,MIN,39,33.4,0.6,0.2,0.5,0.427,0.1,0.1,0.393,0.1,0.1,0.881,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
22,Chris Bosh,MIA,44,35.4,0.6,0.2,0.5,0.46,0.0,0.1,0.375,0.1,0.1,0.772,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.0
23,Kyrie Irving,CLE,75,36.4,0.6,0.2,0.5,0.468,0.1,0.1,0.415,0.1,0.1,0.863,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
24,Rudy Gay,SAC,68,35.4,0.6,0.2,0.5,0.455,0.0,0.1,0.359,0.1,0.2,0.858,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
25,Charlie Villanueva,DAL,64,10.6,0.6,0.2,0.5,0.414,0.1,0.3,0.376,0.0,0.1,0.571,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.1
26,Jamal Crawford,LAC,64,26.6,0.6,0.2,0.5,0.396,0.1,0.2,0.327,0.1,0.1,0.901,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
27,Shabazz Muhammad,MIN,38,22.8,0.6,0.2,0.5,0.489,0.0,0.1,0.392,0.1,0.2,0.717,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.1
28,Derrick Rose,CHI,51,30.0,0.6,0.2,0.5,0.405,0.0,0.2,0.28,0.1,0.1,0.813,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
29,Brook Lopez,BRK,72,29.2,0.6,0.2,0.5,0.513,0.0,0.0,0.1,0.1,0.1,0.814,0.1,0.2,0.3,0.0,0.0,0.1,0.0,0.1
30,Damian Lillard,POR,82,35.7,0.6,0.2,0.5,0.434,0.1,0.2,0.343,0.1,0.1,0.864,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
31,Dirk Nowitzki,DAL,77,29.6,0.6,0.2,0.5,0.459,0.0,0.1,0.38,0.1,0.1,0.882,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1
32,Paul George,IND,6,15.2,0.6,0.2,0.5,0.367,0.1,0.2,0.409,0.1,0.1,0.727,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.1
33,DeMar DeRozan,TOR,60,35.0,0.6,0.2,0.5,0.413,0.0,0.0,0.284,0.2,0.2,0.832,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
34,Tony Wroten,PHI,30,29.8,0.6,0.2,0.5,0.403,0.0,0.2,0.261,0.1,0.2,0.667,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1
35,Alexey Shved,NYK,42,18.3,0.6,0.2,0.4,0.397,0.1,0.2,0.338,0.2,0.2,0.807,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
36,Nikola Vucevic,ORL,74,34.2,0.6,0.2,0.5,0.523,0.0,0.0,0.333,0.1,0.1,0.752,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
37,Nick Young,LAL,42,23.8,0.6,0.2,0.5,0.366,0.1,0.2,0.369,0.1,0.1,0.892,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1
38,Monta Ellis,DAL,80,33.7,0.6,0.2,0.5,0.445,0.0,0.1,0.285,0.1,0.1,0.752,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1
39,Jannero Pargo,CHA,9,8.1,0.6,0.2,0.5,0.429,0.1,0.3,0.409,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
40,Gordon Hayward,UTA,76,34.4,0.6,0.2,0.4,0.445,0.0,0.1,0.364,0.1,0.2,0.812,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
41,Andrea Bargnani,NYK,29,27.1,0.5,0.2,0.5,0.454,0.0,0.1,0.366,0.1,0.1,0.813,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
42,Chris Paul,LAC,82,34.8,0.5,0.2,0.4,0.485,0.0,0.1,0.398,0.1,0.1,0.9,0.0,0.1,0.1,0.3,0.1,0.0,0.1,0.1
43,Amar'e Stoudemire,DAL,59,21.1,0.5,0.2,0.4,0.557,0.0,0.0,0.0,0.1,0.1,0.72,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1
44,George Hill,IND,43,29.5,0.5,0.2,0.4,0.477,0.1,0.2,0.358,0.1,0.1,0.79,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
45,Enes Freedom,OKC,75,28.5,0.5,0.2,0.4,0.519,0.0,0.0,0.356,0.1,0.1,0.782,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1
46,Al Jefferson,CHA,65,30.6,0.5,0.2,0.5,0.481,0.0,0.0,0.4,0.1,0.1,0.655,0.0,0.2,0.3,0.1,0.0,0.0,0.0,0.1
47,Pau Gasol,CHI,78,34.4,0.5,0.2,0.4,0.494,0.0,0.0,0.462,0.1,0.1,0.803,0.1,0.3,0.3,0.1,0.0,0.1,0.1,0.1
48,Brandon Jennings,DET,41,28.6,0.5,0.2,0.5,0.401,0.1,0.2,0.36,0.1,0.1,0.839,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
49,J.J. Redick,LAC,78,30.9,0.5,0.2,0.4,0.477,0.1,0.2,0.437,0.1,0.1,0.901,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
50,Dwight Howard,HOU,41,29.8,0.5,0.2,0.3,0.593,0.0,0.0,0.5,0.1,0.2,0.528,0.1,0.3,0.4,0.0,0.0,0.0,0.1,0.1
51,Marcus Thornton,PHX,48,15.0,0.5,0.2,0.5,0.406,0.1,0.2,0.378,0.1,0.1,0.821,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1
52,Shayne Whittington,IND,20,5.4,0.5,0.2,0.4,0.452,0.0,0.1,0.167,0.2,0.2,0.783,0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.2
53,Marc Gasol,MEM,81,33.2,0.5,0.2,0.4,0.494,0.0,0.0,0.176,0.1,0.2,0.795,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
54,Brandon Knight,PHX,63,32.3,0.5,0.2,0.4,0.422,0.1,0.2,0.389,0.1,0.1,0.874,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
55,Jeff Teague,ATL,73,30.5,0.5,0.2,0.4,0.46,0.0,0.1,0.343,0.1,0.1,0.862,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1
56,Derrick Favors,UTA,74,30.8,0.5,0.2,0.4,0.525,0.0,0.0,0.167,0.1,0.1,0.669,0.1,0.2,0.3,0.0,0.0,0.1,0.1,0.1
