#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Coty Clarke,BOS,3,1.9,1.0,0.3,0.7,0.5,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0
2,Thanasis Antetokounmpo,NYK,2,3.1,1.0,0.5,0.6,0.75,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.3
3,Stephen Curry,GSW,79,34.2,0.9,0.3,0.6,0.504,0.1,0.3,0.454,0.1,0.1,0.908,0.0,0.1,0.2,0.2,0.1,0.0,0.1,0.1
4,Kevin Durant,OKC,72,35.8,0.8,0.3,0.5,0.505,0.1,0.2,0.388,0.2,0.2,0.898,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
5,DeMarcus Cousins,SAC,65,34.6,0.8,0.3,0.6,0.451,0.0,0.1,0.333,0.2,0.3,0.718,0.1,0.3,0.3,0.1,0.0,0.0,0.1,0.1
6,James Harden,HOU,82,38.1,0.8,0.2,0.5,0.439,0.1,0.2,0.359,0.2,0.3,0.86,0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.1
7,LeBron James,CLE,76,35.6,0.7,0.3,0.5,0.52,0.0,0.1,0.309,0.1,0.2,0.731,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.1
8,Michael Beasley,HOU,20,18.1,0.7,0.3,0.6,0.522,0.0,0.0,0.333,0.1,0.1,0.776,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1
9,Damian Lillard,POR,75,35.7,0.7,0.2,0.6,0.419,0.1,0.2,0.375,0.2,0.2,0.892,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
10,Isaiah Thomas,BOS,82,32.2,0.7,0.2,0.5,0.428,0.1,0.2,0.359,0.2,0.2,0.871,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
11,Anthony Davis,NOP,61,35.5,0.7,0.3,0.5,0.493,0.0,0.0,0.324,0.2,0.2,0.758,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
12,Russell Westbrook,OKC,80,34.4,0.7,0.2,0.5,0.454,0.0,0.1,0.296,0.2,0.2,0.812,0.1,0.2,0.2,0.3,0.1,0.0,0.1,0.1
13,Paul George,IND,81,34.8,0.7,0.2,0.5,0.418,0.1,0.2,0.372,0.2,0.2,0.86,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.1
14,Klay Thompson,GSW,80,33.3,0.7,0.2,0.5,0.47,0.1,0.2,0.425,0.1,0.1,0.873,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
15,Rakeem Christmas,IND,1,6.1,0.7,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2
16,DeMar DeRozan,TOR,78,35.9,0.7,0.2,0.5,0.446,0.0,0.0,0.338,0.2,0.2,0.85,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
17,Kawhi Leonard,SAS,72,33.0,0.6,0.2,0.5,0.506,0.1,0.1,0.443,0.1,0.1,0.874,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.1
18,Blake Griffin,LAC,35,33.4,0.6,0.3,0.5,0.499,0.0,0.0,0.333,0.1,0.2,0.727,0.0,0.2,0.3,0.1,0.0,0.0,0.1,0.1
19,Kyrie Irving,CLE,53,31.5,0.6,0.2,0.5,0.448,0.1,0.2,0.322,0.1,0.1,0.885,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
