#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Ian Mahinmi,SAS,6,3.8,0.9,0.3,0.5,0.5,0.0,0.0,0.0,0.4,0.4,1.0,0.0,0.2,0.2,0.0,0.0,0.2,0.1,0.2
2,Jerome James,NYK,2,2.3,0.9,0.2,0.2,1.0,0.0,0.0,0.0,0.4,0.4,1.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0
3,LeBron James,CLE,75,40.4,0.7,0.3,0.5,0.484,0.0,0.1,0.315,0.2,0.3,0.712,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.1
4,Amar'e Stoudemire,PHX,79,33.9,0.7,0.3,0.5,0.59,0.0,0.0,0.161,0.2,0.3,0.805,0.1,0.2,0.3,0.0,0.0,0.1,0.1,0.1
5,Kobe Bryant,LAL,82,38.9,0.7,0.2,0.5,0.459,0.0,0.1,0.361,0.2,0.2,0.84,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
6,Carmelo Anthony,DEN,77,36.4,0.7,0.3,0.5,0.492,0.0,0.1,0.354,0.2,0.2,0.786,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1
7,Stephen Graham,IND,22,5.8,0.7,0.3,0.5,0.586,0.1,0.1,0.5,0.1,0.1,0.75,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
8,Dirk Nowitzki,DAL,77,36.0,0.7,0.2,0.5,0.479,0.0,0.1,0.359,0.2,0.2,0.879,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
9,Kevin Martin,SAC,61,36.3,0.7,0.2,0.4,0.456,0.0,0.1,0.402,0.2,0.3,0.869,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
10,Dwyane Wade,MIA,51,38.3,0.6,0.2,0.5,0.469,0.0,0.0,0.286,0.2,0.2,0.758,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
11,J.R. Smith,DEN,74,19.2,0.6,0.2,0.5,0.461,0.1,0.3,0.403,0.1,0.1,0.719,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
12,Allen Iverson,DEN,82,41.8,0.6,0.2,0.5,0.458,0.0,0.1,0.345,0.2,0.2,0.809,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
13,Manu Ginobili,SAS,74,31.1,0.6,0.2,0.4,0.46,0.1,0.2,0.401,0.2,0.2,0.86,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
14,Corey Maggette,LAC,70,35.7,0.6,0.2,0.4,0.458,0.0,0.1,0.384,0.2,0.3,0.812,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
15,DerMarr Johnson,SAS,5,5.5,0.6,0.3,0.5,0.5,0.1,0.3,0.333,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
16,Chris Bosh,TOR,67,36.2,0.6,0.2,0.4,0.494,0.0,0.0,0.4,0.2,0.2,0.844,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.1
17,Bo Outlaw,ORL,2,3.3,0.6,0.3,0.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
18,Carlos Boozer,UTA,81,34.9,0.6,0.3,0.5,0.547,0.0,0.0,0.0,0.1,0.1,0.738,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
19,Michael Redd,MIL,72,37.5,0.6,0.2,0.5,0.442,0.0,0.1,0.362,0.1,0.2,0.82,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0
20,Gilbert Arenas,WAS,13,32.7,0.6,0.2,0.5,0.398,0.1,0.2,0.282,0.2,0.2,0.771,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1
21,Yao Ming,HOU,55,37.2,0.6,0.2,0.4,0.507,0.0,0.0,0.0,0.2,0.2,0.85,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
22,Al Jefferson,MIN,82,35.6,0.6,0.2,0.5,0.5,0.0,0.0,0.0,0.1,0.1,0.721,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1
23,Kevin Durant,SEA,80,34.6,0.6,0.2,0.5,0.43,0.0,0.1,0.288,0.1,0.2,0.873,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0
24,Tracy McGrady,HOU,66,37.0,0.6,0.2,0.5,0.419,0.0,0.1,0.292,0.1,0.1,0.684,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
25,Ben Gordon,CHI,72,31.8,0.6,0.2,0.5,0.434,0.1,0.2,0.41,0.1,0.1,0.908,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
26,Richard Jefferson,NJN,82,39.0,0.6,0.2,0.4,0.466,0.0,0.1,0.362,0.2,0.2,0.798,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
27,Kevin Garnett,BOS,71,32.8,0.6,0.2,0.4,0.539,0.0,0.0,0.0,0.1,0.1,0.801,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
28,Tim Duncan,SAS,78,34.0,0.6,0.2,0.4,0.497,0.0,0.0,0.0,0.1,0.2,0.73,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
29,Jason Richardson,CHA,82,38.4,0.6,0.2,0.5,0.441,0.1,0.2,0.406,0.1,0.1,0.752,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
30,Baron Davis,GSW,82,39.0,0.6,0.2,0.5,0.426,0.1,0.2,0.33,0.1,0.1,0.75,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1
31,Chris Paul,NOP,80,37.6,0.6,0.2,0.4,0.488,0.0,0.1,0.369,0.1,0.1,0.851,0.0,0.1,0.1,0.3,0.1,0.0,0.1,0.1
32,Tony Parker,SAS,69,33.5,0.6,0.2,0.5,0.494,0.0,0.0,0.258,0.1,0.2,0.715,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
33,Antawn Jamison,WAS,79,38.7,0.6,0.2,0.5,0.436,0.0,0.1,0.339,0.1,0.1,0.76,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.1
34,Rashad McCants,MIN,75,26.9,0.6,0.2,0.5,0.453,0.1,0.2,0.407,0.1,0.1,0.748,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
35,Ike Diogu,IND,30,10.2,0.6,0.2,0.4,0.478,0.0,0.0,0.0,0.1,0.2,0.851,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1
36,Leon Powe,BOS,56,14.5,0.5,0.2,0.3,0.572,0.0,0.0,0.0,0.2,0.2,0.71,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.2
37,Dwight Howard,ORL,82,37.7,0.5,0.2,0.3,0.599,0.0,0.0,0.0,0.2,0.3,0.59,0.1,0.3,0.4,0.0,0.0,0.1,0.1,0.1
38,Josh Howard,DAL,76,36.3,0.5,0.2,0.5,0.455,0.0,0.1,0.319,0.1,0.1,0.813,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.1
39,Vince Carter,NJN,76,38.9,0.5,0.2,0.4,0.456,0.0,0.1,0.359,0.1,0.1,0.816,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
40,Paul Pierce,BOS,80,35.9,0.5,0.2,0.4,0.464,0.0,0.1,0.392,0.1,0.2,0.843,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
41,David West,NOP,76,37.8,0.5,0.2,0.5,0.482,0.0,0.0,0.24,0.1,0.1,0.85,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.1
42,Danny Granger,IND,80,35.9,0.5,0.2,0.4,0.446,0.1,0.1,0.404,0.1,0.1,0.852,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
43,Rudy Gay,MEM,81,37.0,0.5,0.2,0.5,0.461,0.0,0.1,0.346,0.1,0.1,0.785,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
44,Zach Randolph,NYK,69,32.5,0.5,0.2,0.5,0.459,0.0,0.0,0.275,0.1,0.1,0.772,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
45,Metta World Peace,SAC,57,38.1,0.5,0.2,0.4,0.453,0.0,0.1,0.38,0.1,0.1,0.719,0.0,0.1,0.2,0.1,0.1,0.0,0.1,0.1
46,Andres Nocioni,CHI,82,24.6,0.5,0.2,0.4,0.432,0.1,0.2,0.364,0.1,0.1,0.807,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.1
47,Monta Ellis,GSW,81,37.9,0.5,0.2,0.4,0.531,0.0,0.0,0.231,0.1,0.1,0.767,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
48,Joe Johnson,ATL,82,40.8,0.5,0.2,0.4,0.432,0.1,0.1,0.381,0.1,0.1,0.834,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
49,Pau Gasol,LAL,66,35.6,0.5,0.2,0.4,0.534,0.0,0.0,0.25,0.1,0.2,0.807,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.1
50,Leandro Barbosa,PHX,82,29.5,0.5,0.2,0.4,0.462,0.1,0.2,0.389,0.1,0.1,0.822,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
51,Mike Dunleavy,IND,82,36.0,0.5,0.2,0.4,0.476,0.1,0.1,0.424,0.1,0.1,0.834,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
52,Hedo Turkoglu,ORL,82,36.9,0.5,0.2,0.4,0.456,0.1,0.1,0.4,0.1,0.1,0.829,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
53,Chauncey Billups,DET,78,32.3,0.5,0.2,0.3,0.448,0.1,0.1,0.401,0.2,0.2,0.918,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
54,Jamal Crawford,NYK,80,39.9,0.5,0.2,0.4,0.41,0.1,0.2,0.356,0.1,0.1,0.864,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0
55,Elton Brand,LAC,8,34.2,0.5,0.2,0.4,0.456,0.0,0.0,0.0,0.1,0.2,0.787,0.1,0.2,0.2,0.1,0.0,0.1,0.1,0.1
56,T.J. Ford,TOR,51,23.5,0.5,0.2,0.4,0.469,0.0,0.0,0.294,0.1,0.1,0.88,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.1
57,Stephen Jackson,GSW,73,39.1,0.5,0.2,0.4,0.405,0.1,0.2,0.363,0.1,0.1,0.832,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
58,Richard Hamilton,DET,72,33.7,0.5,0.2,0.4,0.484,0.0,0.1,0.44,0.1,0.1,0.833,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
59,Steve Novak,HOU,35,7.5,0.5,0.2,0.4,0.48,0.1,0.3,0.479,0.0,0.0,0.75,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1
60,Eddy Curry,NYK,59,25.9,0.5,0.2,0.4,0.546,0.0,0.0,0.0,0.1,0.2,0.623,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.1
61,Caron Butler,WAS,58,39.9,0.5,0.2,0.4,0.466,0.0,0.1,0.357,0.1,0.1,0.901,0.0,0.1,0.2,0.1,0.1,0.0,0.1,0.1
62,LaMarcus Aldridge,POR,76,34.9,0.5,0.2,0.4,0.484,0.0,0.0,0.143,0.1,0.1,0.762,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1
63,Brandon Roy,POR,74,37.7,0.5,0.2,0.4,0.454,0.0,0.1,0.34,0.1,0.1,0.753,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.1
64,J.J. Redick,ORL,34,8.1,0.5,0.2,0.4,0.444,0.1,0.2,0.395,0.1,0.1,0.794,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
65,Gerald Wallace,CHA,62,38.3,0.5,0.2,0.4,0.449,0.0,0.1,0.321,0.1,0.2,0.731,0.0,0.1,0.2,0.1,0.1,0.0,0.1,0.1
66,Deron Williams,UTA,82,37.3,0.5,0.2,0.4,0.507,0.0,0.1,0.395,0.1,0.1,0.803,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.1
67,Al Harrington,GSW,81,27.0,0.5,0.2,0.4,0.434,0.1,0.2,0.375,0.1,0.1,0.774,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1
68,Luol Deng,CHI,63,33.8,0.5,0.2,0.4,0.479,0.0,0.0,0.364,0.1,0.1,0.77,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1
69,Andre Iguodala,PHI,82,39.5,0.5,0.2,0.4,0.456,0.0,0.1,0.329,0.1,0.2,0.721,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1
70,Travis Outlaw,POR,82,26.7,0.5,0.2,0.4,0.433,0.0,0.0,0.396,0.1,0.1,0.741,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.1
71,Salim Stoudamire,ATL,35,11.5,0.5,0.2,0.4,0.361,0.1,0.2,0.341,0.1,0.1,0.82,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1
72,Wally Szczerbiak,CLE,75,23.2,0.5,0.2,0.4,0.431,0.1,0.1,0.413,0.1,0.1,0.851,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
73,Sasha Vujacic,LAL,72,17.8,0.5,0.2,0.4,0.454,0.1,0.2,0.437,0.1,0.1,0.835,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
74,Lou Williams,PHI,80,23.3,0.5,0.2,0.4,0.424,0.0,0.1,0.359,0.1,0.2,0.783,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
75,Steve Nash,PHX,81,34.3,0.5,0.2,0.3,0.504,0.1,0.1,0.47,0.1,0.1,0.906,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.0
76,Jason Terry,DAL,82,31.4,0.5,0.2,0.4,0.467,0.1,0.1,0.375,0.1,0.1,0.857,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
77,Hakim Warrick,MEM,75,23.4,0.5,0.2,0.4,0.502,0.0,0.0,0.271,0.1,0.1,0.704,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1
78,Ray Allen,BOS,73,35.9,0.5,0.2,0.4,0.445,0.1,0.2,0.398,0.1,0.1,0.907,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
79,Josh Smith,ATL,81,35.5,0.5,0.2,0.4,0.457,0.0,0.0,0.253,0.1,0.2,0.71,0.1,0.2,0.2,0.1,0.0,0.1,0.1,0.1
80,Nate Robinson,NYK,72,26.2,0.5,0.2,0.4,0.423,0.1,0.2,0.332,0.1,0.1,0.786,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
81,Nick Young,WAS,75,15.4,0.5,0.2,0.4,0.439,0.0,0.1,0.4,0.1,0.1,0.815,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
82,Charlie Villanueva,MIL,76,24.1,0.5,0.2,0.4,0.435,0.0,0.1,0.297,0.1,0.1,0.783,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1
83,Sam Cassell,BOS,55,23.2,0.5,0.2,0.4,0.438,0.0,0.1,0.303,0.1,0.1,0.882,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
84,Saer Sene,SEA,13,4.8,0.5,0.2,0.4,0.458,0.0,0.0,0.0,0.1,0.3,0.471,0.1,0.1,0.3,0.0,0.0,0.1,0.0,0.1
85,Carl Landry,HOU,42,16.9,0.5,0.2,0.3,0.616,0.0,0.0,0.0,0.1,0.2,0.661,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.1
86,Rashard Lewis,ORL,81,38.0,0.5,0.2,0.4,0.455,0.1,0.2,0.409,0.1,0.1,0.838,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
87,Chris Wilcox,SEA,62,28.0,0.5,0.2,0.4,0.524,0.0,0.0,0.0,0.1,0.1,0.645,0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.1
88,Shaquille O'Neal,PHX,61,28.7,0.5,0.2,0.3,0.593,0.0,0.0,0.0,0.1,0.2,0.503,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
89,Shannon Brown,CHI,22,10.9,0.5,0.2,0.5,0.349,0.0,0.1,0.3,0.1,0.1,0.586,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
90,Jermaine O'Neal,IND,42,28.7,0.5,0.2,0.4,0.439,0.0,0.0,0.0,0.1,0.1,0.742,0.1,0.2,0.2,0.1,0.0,0.1,0.1,0.1
91,Mo Williams,MIL,66,36.5,0.5,0.2,0.4,0.48,0.0,0.1,0.385,0.1,0.1,0.856,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
