#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
34,Kevin Martin,HOU,40,31.6,0.5,0.2,0.4,0.413,0.1,0.2,0.347,0.1,0.1,0.894,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
35,Dwight Howard,ORL,54,38.3,0.5,0.2,0.4,0.573,0.0,0.0,0.0,0.1,0.3,0.491,0.1,0.3,0.4,0.1,0.0,0.1,0.1,0.1
36,James Harden,OKC,62,31.4,0.5,0.2,0.3,0.491,0.1,0.2,0.39,0.2,0.2,0.846,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
37,Jordan Crawford,WAS,64,27.4,0.5,0.2,0.5,0.4,0.0,0.2,0.289,0.1,0.1,0.793,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
38,Marcus Thornton,SAC,51,34.9,0.5,0.2,0.5,0.438,0.1,0.2,0.345,0.1,0.1,0.865,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
39,Amar'e Stoudemire,NYK,47,32.8,0.5,0.2,0.4,0.483,0.0,0.0,0.238,0.1,0.2,0.765,0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.1
40,Josh Smith,ATL,66,35.3,0.5,0.2,0.5,0.458,0.0,0.0,0.257,0.1,0.1,0.63,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
41,Andrew Bynum,LAL,60,35.2,0.5,0.2,0.4,0.558,0.0,0.0,0.2,0.1,0.2,0.692,0.1,0.2,0.3,0.0,0.0,0.1,0.1,0.0
42,Joe Johnson,ATL,60,35.4,0.5,0.2,0.4,0.454,0.1,0.2,0.388,0.1,0.1,0.849,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0
43,Stephen Curry,GSW,26,28.1,0.5,0.2,0.4,0.49,0.1,0.2,0.455,0.1,0.1,0.809,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1
44,Drew Gooden,MIL,56,26.2,0.5,0.2,0.4,0.437,0.0,0.0,0.291,0.1,0.1,0.846,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.1
45,Lester Hudson,MEM,16,20.9,0.5,0.2,0.5,0.383,0.0,0.2,0.25,0.1,0.1,0.829,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
46,Antawn Jamison,CLE,65,33.1,0.5,0.2,0.5,0.403,0.0,0.1,0.341,0.1,0.1,0.683,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.1
47,Jamal Crawford,POR,60,26.9,0.5,0.2,0.5,0.384,0.0,0.2,0.308,0.1,0.1,0.927,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0
48,Al Harrington,DEN,64,27.5,0.5,0.2,0.4,0.446,0.1,0.2,0.333,0.1,0.1,0.676,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.1
49,Nikola Pekovic,MIN,47,26.9,0.5,0.2,0.4,0.564,0.0,0.0,0.0,0.1,0.1,0.743,0.1,0.1,0.3,0.0,0.0,0.0,0.1,0.1
50,Klay Thompson,GSW,66,24.4,0.5,0.2,0.4,0.443,0.1,0.2,0.414,0.0,0.1,0.868,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
51,Leandro Barbosa,IND,64,21.6,0.5,0.2,0.5,0.425,0.0,0.1,0.382,0.1,0.1,0.815,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
52,Gerald Green,NJN,31,25.2,0.5,0.2,0.4,0.481,0.1,0.1,0.391,0.1,0.1,0.754,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1
