#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Udonis Haslem,MIA,1,2.7,1.5,0.8,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0
2,Stephen Curry,GSW,63,34.2,0.9,0.3,0.6,0.482,0.2,0.4,0.421,0.2,0.2,0.916,0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.1
3,Joel Embiid,PHI,51,31.1,0.9,0.3,0.6,0.513,0.0,0.1,0.377,0.3,0.3,0.859,0.1,0.3,0.3,0.1,0.0,0.0,0.1,0.1
4,Bradley Beal,WAS,60,35.8,0.9,0.3,0.6,0.485,0.1,0.2,0.349,0.2,0.2,0.889,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
5,Giannis Antetokounmpo,MIL,61,33.0,0.9,0.3,0.5,0.569,0.0,0.1,0.303,0.2,0.3,0.685,0.0,0.3,0.3,0.2,0.0,0.0,0.1,0.1
6,Kevin Durant,BRK,35,33.0,0.8,0.3,0.5,0.537,0.1,0.2,0.45,0.2,0.2,0.882,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.1
7,Zion Williamson,NOP,61,33.2,0.8,0.3,0.5,0.611,0.0,0.0,0.294,0.2,0.3,0.698,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1
8,Luka Doncic,DAL,66,34.3,0.8,0.3,0.6,0.479,0.1,0.2,0.35,0.2,0.2,0.73,0.0,0.2,0.2,0.3,0.0,0.0,0.1,0.1
9,Damian Lillard,POR,67,35.8,0.8,0.3,0.6,0.451,0.1,0.3,0.391,0.2,0.2,0.928,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
10,Donovan Mitchell,UTA,53,33.4,0.8,0.3,0.6,0.438,0.1,0.3,0.386,0.2,0.2,0.845,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
11,Zach LaVine,CHI,58,35.1,0.8,0.3,0.6,0.507,0.1,0.2,0.419,0.1,0.1,0.849,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
12,Kyrie Irving,BRK,54,34.9,0.8,0.3,0.6,0.506,0.1,0.2,0.402,0.1,0.1,0.922,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
