#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Shaquille O'Neal,LAL,79,40.0,0.7,0.3,0.5,0.574,0.0,0.0,0.0,0.1,0.3,0.524,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
2,Karl Malone,UTA,82,35.9,0.7,0.3,0.5,0.509,0.0,0.0,0.25,0.2,0.3,0.797,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
3,Allen Iverson,PHI,70,40.8,0.7,0.3,0.6,0.421,0.0,0.1,0.341,0.2,0.2,0.713,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1
4,Grant Hill,DET,74,37.5,0.7,0.3,0.5,0.489,0.0,0.0,0.347,0.2,0.2,0.795,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
5,Vince Carter,TOR,82,38.1,0.7,0.3,0.5,0.465,0.0,0.1,0.403,0.1,0.2,0.791,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
6,Sean Marks,TOR,5,2.4,0.7,0.2,0.5,0.333,0.0,0.1,0.0,0.3,0.3,1.0,0.0,0.2,0.2,0.0,0.1,0.1,0.3,0.3
7,Chris Webber,SAC,75,38.4,0.6,0.3,0.5,0.483,0.0,0.0,0.284,0.1,0.1,0.751,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
8,Alonzo Mourning,MIA,79,34.8,0.6,0.2,0.4,0.551,0.0,0.0,0.0,0.2,0.2,0.711,0.1,0.2,0.3,0.0,0.0,0.1,0.1,0.1
9,Jerry Stackhouse,DET,82,38.4,0.6,0.2,0.5,0.428,0.0,0.1,0.288,0.2,0.2,0.815,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
10,Tim Duncan,SAS,74,38.9,0.6,0.2,0.4,0.49,0.0,0.0,0.091,0.2,0.2,0.761,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
11,Ray Allen,MIL,82,37.4,0.6,0.2,0.5,0.455,0.1,0.1,0.423,0.1,0.1,0.887,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
