#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Henry Sims,NOP,2,2.4,0.8,0.4,0.6,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.2,0.2
2,Carmelo Anthony,NYK,67,37.0,0.8,0.3,0.6,0.449,0.1,0.2,0.379,0.2,0.2,0.83,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1
3,Kevin Durant,OKC,81,38.5,0.7,0.2,0.5,0.51,0.0,0.1,0.416,0.2,0.2,0.905,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.0
4,Kobe Bryant,LAL,78,38.6,0.7,0.2,0.5,0.463,0.0,0.1,0.324,0.2,0.2,0.839,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
5,LeBron James,MIA,76,37.9,0.7,0.3,0.5,0.565,0.0,0.1,0.406,0.1,0.2,0.753,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.0
6,James Harden,HOU,78,38.3,0.7,0.2,0.4,0.438,0.1,0.2,0.368,0.2,0.3,0.851,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
7,Russell Westbrook,OKC,82,34.9,0.7,0.2,0.5,0.438,0.0,0.1,0.323,0.2,0.2,0.8,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1
8,Kyrie Irving,CLE,59,34.7,0.6,0.2,0.5,0.452,0.1,0.1,0.391,0.1,0.1,0.855,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
9,Brook Lopez,BRK,74,30.5,0.6,0.3,0.5,0.521,0.0,0.0,0.0,0.1,0.2,0.758,0.1,0.1,0.2,0.0,0.0,0.1,0.1,0.1
10,Jared Cunningham,DAL,8,3.2,0.6,0.2,0.5,0.429,0.1,0.1,0.667,0.1,0.1,1.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1
11,Tony Parker,SAS,66,32.9,0.6,0.2,0.5,0.522,0.0,0.0,0.353,0.1,0.2,0.845,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
