#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Naz Long,UTA,1,0.5,5.8,1.9,1.9,1.0,1.9,1.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,David Stockton,UTA,3,3.1,1.1,0.2,0.3,0.667,0.2,0.3,0.667,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3
3,Edmond Sumner,IND,1,2.2,0.9,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5
4,James Harden,HOU,72,35.4,0.9,0.3,0.6,0.449,0.1,0.3,0.367,0.2,0.3,0.858,0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.1
5,Jonathan Gibson,BOS,4,10.0,0.9,0.4,0.6,0.609,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
6,Stephen Curry,GSW,51,32.0,0.8,0.3,0.5,0.495,0.1,0.3,0.423,0.2,0.2,0.921,0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.1
7,Vince Hunter,MEM,4,1.9,0.8,0.4,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.4,0.0,0.0,0.1,0.1,0.0
8,Anthony Brown,MIN,1,3.7,0.8,0.3,0.3,1.0,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
9,Anthony Davis,NOP,75,36.4,0.8,0.3,0.5,0.534,0.0,0.1,0.34,0.2,0.2,0.828,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
10,Kevin Durant,GSW,68,34.2,0.8,0.3,0.5,0.516,0.1,0.2,0.419,0.2,0.2,0.889,0.0,0.2,0.2,0.2,0.0,0.1,0.1,0.1
11,Kyrie Irving,BOS,60,32.2,0.8,0.3,0.6,0.491,0.1,0.2,0.408,0.1,0.1,0.889,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
12,Joel Embiid,PHI,63,30.4,0.8,0.3,0.6,0.483,0.0,0.1,0.308,0.2,0.2,0.769,0.1,0.3,0.4,0.1,0.0,0.1,0.1,0.1
13,LeBron James,CLE,82,36.9,0.7,0.3,0.5,0.542,0.0,0.1,0.367,0.1,0.2,0.731,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.0
14,Damian Lillard,POR,73,36.6,0.7,0.2,0.5,0.439,0.1,0.2,0.361,0.2,0.2,0.916,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
15,MarShon Brooks,MEM,7,27.5,0.7,0.3,0.5,0.5,0.1,0.2,0.594,0.1,0.1,0.87,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0
16,Giannis Antetokounmpo,MIL,75,36.8,0.7,0.3,0.5,0.529,0.0,0.1,0.307,0.2,0.2,0.76,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
17,Devin Booker,PHX,54,34.5,0.7,0.2,0.6,0.432,0.1,0.2,0.383,0.2,0.2,0.878,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
18,Jeremy Lin,BRK,1,25.2,0.7,0.2,0.5,0.417,0.0,0.1,0.5,0.3,0.3,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.1
19,Kristaps Porzingis,NYK,48,32.4,0.7,0.3,0.6,0.439,0.1,0.1,0.395,0.1,0.2,0.793,0.0,0.2,0.2,0.0,0.0,0.1,0.1,0.1
20,DeMarcus Cousins,NOP,48,36.2,0.7,0.2,0.5,0.47,0.1,0.2,0.354,0.2,0.2,0.746,0.1,0.3,0.4,0.1,0.0,0.0,0.1,0.1
21,Russell Westbrook,OKC,80,36.4,0.7,0.3,0.6,0.449,0.0,0.1,0.298,0.1,0.2,0.737,0.1,0.2,0.3,0.3,0.1,0.0,0.1,0.1
22,Kawhi Leonard,SAS,9,23.3,0.7,0.2,0.5,0.468,0.1,0.2,0.314,0.1,0.2,0.816,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.0
23,Boban Marjanovic,LAC,39,8.7,0.7,0.2,0.4,0.534,0.0,0.0,0.0,0.2,0.3,0.794,0.1,0.3,0.4,0.1,0.0,0.0,0.1,0.2
24,LaMarcus Aldridge,SAS,75,33.4,0.7,0.3,0.5,0.51,0.0,0.0,0.293,0.1,0.2,0.837,0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.1
25,Lou Williams,LAC,79,32.8,0.7,0.2,0.5,0.435,0.1,0.2,0.359,0.2,0.2,0.88,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
26,Victor Oladipo,IND,75,34.0,0.7,0.3,0.5,0.477,0.1,0.2,0.371,0.1,0.1,0.799,0.0,0.1,0.2,0.1,0.1,0.0,0.1,0.1
27,DeMar DeRozan,TOR,80,33.9,0.7,0.2,0.5,0.456,0.0,0.1,0.31,0.2,0.2,0.825,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
