#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Kevin Durant,OKC,82,39.5,0.8,0.2,0.5,0.476,0.0,0.1,0.365,0.2,0.3,0.9,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
2,LeBron James,CLE,76,39.0,0.8,0.3,0.5,0.503,0.0,0.1,0.333,0.2,0.3,0.767,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.0
3,Carmelo Anthony,DEN,69,38.2,0.7,0.3,0.6,0.458,0.0,0.1,0.316,0.2,0.2,0.83,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1
4,Dwyane Wade,MIA,77,36.3,0.7,0.3,0.5,0.476,0.0,0.1,0.3,0.2,0.3,0.761,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1
5,Kobe Bryant,LAL,73,38.8,0.7,0.3,0.6,0.456,0.0,0.1,0.329,0.2,0.2,0.811,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
6,Patty Mills,POR,10,3.8,0.7,0.3,0.6,0.417,0.1,0.1,0.5,0.1,0.2,0.571,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.2
7,Amar'e Stoudemire,PHX,82,34.6,0.7,0.2,0.4,0.557,0.0,0.0,0.167,0.2,0.2,0.771,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1
8,Dirk Nowitzki,DAL,81,37.5,0.7,0.2,0.5,0.481,0.0,0.0,0.421,0.2,0.2,0.915,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1
9,Corey Maggette,GSW,70,29.7,0.7,0.2,0.4,0.516,0.0,0.0,0.26,0.2,0.3,0.835,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
10,Chris Bosh,TOR,70,36.1,0.7,0.2,0.5,0.518,0.0,0.0,0.364,0.2,0.2,0.797,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
11,Danny Granger,IND,62,36.7,0.7,0.2,0.5,0.428,0.1,0.2,0.361,0.2,0.2,0.848,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
12,Paul Davis,WAS,2,4.0,0.6,0.3,0.5,0.5,0.0,0.0,0.0,0.1,0.3,0.5,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.0
13,Gilbert Arenas,WAS,32,36.5,0.6,0.2,0.5,0.411,0.1,0.2,0.348,0.1,0.2,0.739,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
14,Monta Ellis,GSW,64,41.4,0.6,0.2,0.5,0.449,0.0,0.1,0.338,0.1,0.1,0.753,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1
15,Ian Mahinmi,SAS,26,6.3,0.6,0.2,0.3,0.636,0.0,0.0,0.0,0.2,0.3,0.66,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.2
16,Al Harrington,NYK,72,30.5,0.6,0.2,0.5,0.435,0.1,0.2,0.342,0.1,0.1,0.757,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
17,Jamal Crawford,ATL,79,31.1,0.6,0.2,0.4,0.449,0.1,0.2,0.382,0.1,0.1,0.857,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
18,D.J. White,OKC,12,8.5,0.6,0.2,0.4,0.61,0.0,0.0,0.0,0.1,0.1,0.9,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1
19,Kevin Martin,HOU,46,35.5,0.6,0.2,0.4,0.417,0.0,0.1,0.333,0.2,0.2,0.876,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
20,Brandon Roy,POR,65,37.2,0.6,0.2,0.4,0.473,0.0,0.1,0.33,0.1,0.2,0.78,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
21,Manu Ginobili,SAS,75,28.7,0.6,0.2,0.4,0.441,0.1,0.2,0.377,0.1,0.2,0.87,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
22,Chauncey Billups,DEN,73,34.1,0.6,0.2,0.4,0.418,0.1,0.2,0.386,0.2,0.2,0.91,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
23,Tim Duncan,SAS,78,31.3,0.6,0.2,0.4,0.518,0.0,0.0,0.182,0.1,0.2,0.725,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
24,Marcus Haislip,SAS,10,4.4,0.6,0.2,0.5,0.476,0.1,0.1,0.6,0.0,0.1,0.4,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.1
25,Carlos Boozer,UTA,78,34.3,0.6,0.2,0.4,0.562,0.0,0.0,0.0,0.1,0.1,0.742,0.1,0.3,0.3,0.1,0.0,0.0,0.1,0.1
26,Rodrigue Beaubois,DAL,56,12.5,0.6,0.2,0.4,0.518,0.1,0.2,0.409,0.1,0.1,0.808,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
27,Marcus Thornton,NOP,73,25.6,0.6,0.2,0.5,0.451,0.1,0.2,0.374,0.1,0.1,0.814,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
28,Derrick Rose,CHI,78,36.8,0.6,0.2,0.5,0.489,0.0,0.0,0.267,0.1,0.1,0.766,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
29,Joe Johnson,ATL,76,38.0,0.6,0.2,0.5,0.458,0.0,0.1,0.369,0.1,0.1,0.818,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
30,J.R. Smith,DEN,75,27.8,0.6,0.2,0.5,0.414,0.1,0.2,0.338,0.1,0.1,0.706,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
31,Zach Randolph,MEM,81,37.7,0.6,0.2,0.4,0.488,0.0,0.0,0.288,0.1,0.2,0.778,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1
32,Aaron Brooks,HOU,82,35.6,0.5,0.2,0.5,0.432,0.1,0.2,0.398,0.1,0.1,0.822,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
33,Carl Landry,SAC,80,30.9,0.5,0.2,0.4,0.536,0.0,0.0,0.333,0.1,0.2,0.806,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.1
34,David Lee,NYK,81,37.3,0.5,0.2,0.4,0.545,0.0,0.0,0.0,0.1,0.1,0.812,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
35,Tyreke Evans,SAC,72,37.2,0.5,0.2,0.4,0.458,0.0,0.1,0.255,0.1,0.2,0.748,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
36,Kelenna Azubuike,GSW,9,25.7,0.5,0.2,0.4,0.545,0.0,0.1,0.37,0.1,0.1,0.679,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1
37,Chris Kaman,LAC,76,34.3,0.5,0.2,0.5,0.49,0.0,0.0,0.0,0.1,0.1,0.749,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1
38,Vince Carter,ORL,75,30.8,0.5,0.2,0.4,0.428,0.1,0.1,0.367,0.1,0.1,0.84,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
39,Paul Pierce,BOS,71,34.0,0.5,0.2,0.4,0.472,0.0,0.1,0.414,0.2,0.2,0.852,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
40,Richard Hamilton,DET,46,33.7,0.5,0.2,0.5,0.409,0.0,0.1,0.297,0.1,0.2,0.846,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
41,Ryan Anderson,ORL,63,14.5,0.5,0.2,0.4,0.436,0.1,0.2,0.37,0.1,0.1,0.866,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.1
42,Alando Tucker,MIN,15,6.4,0.5,0.2,0.4,0.436,0.0,0.1,0.143,0.2,0.2,0.762,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1
43,Stephen Jackson,CHA,81,38.6,0.5,0.2,0.5,0.423,0.0,0.1,0.328,0.1,0.1,0.779,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
44,Leandro Barbosa,PHX,44,17.9,0.5,0.2,0.5,0.425,0.1,0.2,0.324,0.1,0.1,0.877,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
45,Dwight Howard,ORL,82,34.7,0.5,0.2,0.3,0.612,0.0,0.0,0.0,0.2,0.3,0.592,0.1,0.3,0.4,0.1,0.0,0.1,0.1,0.1
46,Al Jefferson,MIN,76,32.4,0.5,0.2,0.5,0.498,0.0,0.0,0.0,0.1,0.1,0.68,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
47,Marreese Speights,PHI,62,16.4,0.5,0.2,0.4,0.477,0.0,0.0,0.0,0.1,0.1,0.745,0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.1
48,David West,NOP,81,36.4,0.5,0.2,0.4,0.505,0.0,0.0,0.259,0.1,0.1,0.865,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1
49,Tony Parker,SAS,56,30.9,0.5,0.2,0.4,0.487,0.0,0.0,0.294,0.1,0.1,0.756,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
50,Antawn Jamison,CLE,66,36.5,0.5,0.2,0.4,0.461,0.0,0.1,0.344,0.1,0.1,0.647,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.1
51,Shaquille O'Neal,CLE,53,23.4,0.5,0.2,0.4,0.566,0.0,0.0,0.0,0.1,0.2,0.496,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
52,Anthony Randolph,GSW,33,22.7,0.5,0.2,0.4,0.443,0.0,0.0,0.2,0.1,0.2,0.801,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
53,Othyus Jeffers,UTA,14,5.2,0.5,0.2,0.4,0.414,0.0,0.0,0.0,0.2,0.3,0.684,0.1,0.2,0.3,0.0,0.1,0.0,0.1,0.1
54,Brook Lopez,NJN,82,36.9,0.5,0.2,0.4,0.499,0.0,0.0,0.0,0.1,0.2,0.817,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1
55,Nate Robinson,BOS,56,19.9,0.5,0.2,0.4,0.436,0.1,0.2,0.39,0.0,0.1,0.746,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
56,Andray Blatche,WAS,81,27.9,0.5,0.2,0.4,0.478,0.0,0.0,0.295,0.1,0.1,0.744,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.1
57,Deron Williams,UTA,76,36.9,0.5,0.2,0.4,0.469,0.0,0.1,0.371,0.1,0.1,0.801,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.1
58,Ryan Bowen,OKC,1,7.9,0.5,0.1,0.1,1.0,0.0,0.0,0.0,0.3,0.3,1.0,0.1,0.1,0.3,0.0,0.1,0.0,0.0,0.3
59,Jason Terry,DAL,77,33.0,0.5,0.2,0.4,0.438,0.1,0.1,0.365,0.1,0.1,0.866,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1
60,Charlie Villanueva,DET,78,23.7,0.5,0.2,0.4,0.439,0.1,0.2,0.351,0.1,0.1,0.815,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.1
61,Steve Nash,PHX,81,32.8,0.5,0.2,0.4,0.507,0.0,0.1,0.426,0.1,0.1,0.938,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.0
62,Jason Richardson,PHX,79,31.5,0.5,0.2,0.4,0.474,0.1,0.2,0.393,0.1,0.1,0.739,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.1
63,Randolph Morris,ATL,28,4.4,0.5,0.2,0.3,0.561,0.0,0.0,0.0,0.1,0.2,0.593,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.3
64,Luis Scola,HOU,82,32.6,0.5,0.2,0.4,0.514,0.0,0.0,0.2,0.1,0.1,0.779,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
65,Michael Beasley,MIA,78,29.8,0.5,0.2,0.4,0.45,0.0,0.0,0.275,0.1,0.1,0.8,0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.1
66,Pau Gasol,LAL,65,37.0,0.5,0.2,0.4,0.536,0.0,0.0,0.0,0.1,0.2,0.79,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
67,Ben Gordon,DET,62,27.9,0.5,0.2,0.4,0.416,0.0,0.1,0.321,0.1,0.1,0.861,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
68,Andrew Bynum,LAL,65,30.4,0.5,0.2,0.3,0.57,0.0,0.0,0.0,0.1,0.1,0.739,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1
69,Rudy Gay,MEM,80,39.7,0.5,0.2,0.4,0.466,0.0,0.1,0.327,0.1,0.1,0.753,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1
70,Andrea Bargnani,TOR,80,35.0,0.5,0.2,0.4,0.47,0.0,0.1,0.372,0.1,0.1,0.774,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.1
71,Kevin Love,MIN,60,28.6,0.5,0.2,0.4,0.45,0.0,0.1,0.33,0.1,0.2,0.815,0.1,0.3,0.4,0.1,0.0,0.0,0.1,0.1
72,Andrew Bogut,MIL,69,32.3,0.5,0.2,0.4,0.52,0.0,0.0,0.0,0.1,0.1,0.629,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
73,Chris Paul,NOP,45,38.1,0.5,0.2,0.4,0.493,0.0,0.1,0.409,0.1,0.1,0.847,0.0,0.1,0.1,0.3,0.1,0.0,0.1,0.1
74,Sundiata Gaines,UTA,32,6.8,0.5,0.2,0.4,0.463,0.0,0.1,0.269,0.1,0.2,0.5,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1
75,Devin Harris,NJN,64,34.7,0.5,0.2,0.4,0.403,0.0,0.1,0.276,0.1,0.2,0.798,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
76,Rodney Stuckey,DET,73,34.2,0.5,0.2,0.4,0.405,0.0,0.0,0.228,0.1,0.1,0.833,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
77,Josh Howard,WAS,35,26.2,0.5,0.2,0.4,0.405,0.0,0.1,0.267,0.1,0.2,0.784,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
78,Luke Ridnour,MIL,82,21.4,0.5,0.2,0.4,0.478,0.0,0.1,0.381,0.1,0.1,0.907,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
79,Acie Law,CHI,26,9.0,0.5,0.1,0.3,0.467,0.0,0.1,0.313,0.2,0.2,0.776,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
80,Stephen Curry,GSW,80,36.2,0.5,0.2,0.4,0.462,0.1,0.1,0.437,0.1,0.1,0.885,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1
81,Jerryd Bayless,POR,74,17.6,0.5,0.2,0.4,0.414,0.0,0.1,0.315,0.2,0.2,0.831,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
82,Tyler Hansbrough,IND,29,17.6,0.5,0.2,0.4,0.36,0.0,0.0,0.0,0.2,0.2,0.743,0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.1
83,Kevin Garnett,BOS,69,29.9,0.5,0.2,0.4,0.521,0.0,0.0,0.2,0.1,0.1,0.837,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1
