#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Giannis Antetokounmpo,MIL,63,30.4,1.0,0.4,0.6,0.553,0.0,0.2,0.304,0.2,0.3,0.633,0.1,0.4,0.4,0.2,0.0,0.0,0.1,0.1
2,James Harden,HOU,68,36.5,0.9,0.3,0.6,0.444,0.1,0.3,0.355,0.3,0.3,0.865,0.0,0.2,0.2,0.2,0.1,0.0,0.1,0.1
3,Gerald Hannahs,MEM,2,6.7,0.9,0.3,0.7,0.444,0.1,0.2,0.667,0.1,0.1,1.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1
4,Luka Doncic,DAL,61,33.6,0.9,0.3,0.6,0.463,0.1,0.3,0.316,0.2,0.3,0.758,0.0,0.2,0.3,0.3,0.0,0.0,0.1,0.1
5,Shamorie Ponds,TOR,4,2.6,0.9,0.3,0.5,0.6,0.1,0.2,0.5,0.2,0.2,1.0,0.0,0.1,0.1,0.2,0.0,0.1,0.0,0.2
6,Bradley Beal,WAS,57,36.0,0.8,0.3,0.6,0.455,0.1,0.2,0.353,0.2,0.2,0.842,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
7,Trae Young,ATL,60,35.3,0.8,0.3,0.6,0.437,0.1,0.3,0.361,0.2,0.3,0.86,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.0
8,Jamal Crawford,BRK,1,6.0,0.8,0.3,0.7,0.5,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2
9,Kawhi Leonard,LAC,57,32.4,0.8,0.3,0.6,0.47,0.1,0.2,0.378,0.2,0.2,0.886,0.0,0.2,0.2,0.2,0.1,0.0,0.1,0.1
10,Kyrie Irving,BRK,20,32.9,0.8,0.3,0.6,0.478,0.1,0.2,0.394,0.1,0.2,0.922,0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.1
11,Zion Williamson,NOP,24,27.8,0.8,0.3,0.5,0.583,0.0,0.0,0.429,0.2,0.3,0.64,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1
12,Max Strus,CHI,2,3.1,0.8,0.3,0.5,0.667,0.0,0.2,0.0,0.2,0.2,1.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2
13,Damian Lillard,POR,66,37.5,0.8,0.3,0.5,0.463,0.1,0.3,0.401,0.2,0.2,0.888,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
14,Karl-Anthony Towns,MIN,35,33.9,0.8,0.3,0.5,0.508,0.1,0.2,0.412,0.2,0.2,0.796,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
15,Joel Embiid,PHI,51,29.5,0.8,0.3,0.5,0.477,0.0,0.1,0.331,0.2,0.3,0.807,0.1,0.3,0.4,0.1,0.0,0.0,0.1,0.1
16,Anthony Davis,LAL,62,34.4,0.8,0.3,0.5,0.503,0.0,0.1,0.33,0.2,0.2,0.846,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
17,Russell Westbrook,HOU,57,36.0,0.8,0.3,0.6,0.472,0.0,0.1,0.258,0.1,0.2,0.763,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.1
18,Stephen Curry,GSW,5,27.9,0.7,0.2,0.6,0.402,0.1,0.4,0.245,0.2,0.2,1.0,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.1
19,Devin Booker,PHX,70,35.9,0.7,0.2,0.5,0.489,0.1,0.2,0.354,0.2,0.2,0.919,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
20,Zach LaVine,CHI,60,34.8,0.7,0.3,0.6,0.45,0.1,0.2,0.38,0.1,0.2,0.802,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
21,LeBron James,LAL,67,34.6,0.7,0.3,0.6,0.493,0.1,0.2,0.348,0.1,0.2,0.693,0.0,0.2,0.2,0.3,0.0,0.0,0.1,0.1
22,Paul George,LAC,48,29.6,0.7,0.2,0.6,0.439,0.1,0.3,0.412,0.1,0.2,0.876,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
23,D'Angelo Russell,MIN,45,32.3,0.7,0.2,0.6,0.426,0.1,0.3,0.367,0.1,0.1,0.809,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
24,Tacko Fall,BOS,7,4.6,0.7,0.3,0.4,0.786,0.0,0.0,0.0,0.0,0.1,0.333,0.0,0.4,0.5,0.0,0.0,0.1,0.1,0.2
25,Brandon Ingram,NOP,62,33.9,0.7,0.2,0.5,0.463,0.1,0.2,0.391,0.1,0.2,0.851,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
26,Donovan Mitchell,UTA,69,34.3,0.7,0.3,0.6,0.449,0.1,0.2,0.366,0.1,0.1,0.863,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
27,Khris Middleton,MIL,62,29.9,0.7,0.3,0.5,0.497,0.1,0.2,0.415,0.1,0.1,0.916,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
28,Derrick Rose,DET,50,26.0,0.7,0.3,0.6,0.49,0.0,0.1,0.306,0.1,0.1,0.871,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
29,Boban Marjanovic,DAL,43,9.8,0.7,0.3,0.5,0.576,0.0,0.0,0.235,0.1,0.1,0.754,0.2,0.3,0.5,0.0,0.0,0.0,0.1,0.1
30,Jayson Tatum,BOS,66,34.3,0.7,0.2,0.5,0.45,0.1,0.2,0.403,0.1,0.1,0.812,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
31,Johnathan Motley,LAC,13,3.2,0.7,0.3,0.4,0.733,0.0,0.0,1.0,0.1,0.2,0.714,0.1,0.2,0.2,0.2,0.1,0.0,0.1,0.1
32,Devontae Cacok,LAL,1,8.9,0.7,0.3,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.6,0.1,0.0,0.0,0.0,0.0
33,Montrezl Harrell,LAC,63,27.8,0.7,0.3,0.5,0.58,0.0,0.0,0.0,0.1,0.2,0.658,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
34,Spencer Dinwiddie,BRK,64,31.2,0.7,0.2,0.5,0.415,0.1,0.2,0.308,0.2,0.2,0.778,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
35,De'Aaron Fox,SAC,51,32.0,0.7,0.2,0.5,0.48,0.0,0.1,0.292,0.1,0.2,0.705,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
36,Kemba Walker,BOS,56,31.1,0.7,0.2,0.5,0.425,0.1,0.3,0.381,0.1,0.1,0.864,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
37,Mfiondu Kabengele,LAC,12,5.4,0.7,0.2,0.5,0.438,0.1,0.3,0.45,0.1,0.1,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.1
38,Pascal Siakam,TOR,60,35.2,0.6,0.2,0.5,0.453,0.1,0.2,0.359,0.1,0.1,0.792,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
39,DeMar DeRozan,SAS,68,34.1,0.6,0.2,0.5,0.531,0.0,0.0,0.257,0.2,0.2,0.845,0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.1
