Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Tariq Abdul-Wahad,SF,6-6,223,25,"DEN, ORL",61,2,San Jose State,1997 Rnd 1 Pick 11,France
Shareef Abdur-Rahim,F,6-9,225,23,VAN,82,3,California,1996 Rnd 1 Pick 3,United States
Cory Alexander,G,6-1,185,26,DEN,29,4,Virginia,1995 Rnd 1 Pick 29,United States
Ray Allen,SG,6-5,205,24,MIL,82,3,Connecticut,1996 Rnd 1 Pick 5,United States
Rafer Alston,G,6-2,175,23,MIL,27,0,Fresno State,1998 Rnd 2 Pick 10,United States
John Amaechi,C,6-10,270,29,ORL,80,1,Penn State,"1995 NBA Draft, Undrafted",United States
Derek Anderson,G,6-5,194,25,LAC,64,2,Kentucky,1997 Rnd 1 Pick 13,United States
Kenny Anderson,PG,6-0,168,29,BOS,82,8,Georgia Tech,1991 Rnd 1 Pick 2,United States
Nick Anderson,GF,6-6,228,32,SAC,72,10,Illinois,1989 Rnd 1 Pick 11,United States
Shandon Anderson,GF,6-6,208,26,HOU,82,3,Georgia,1996 Rnd 2 Pick 25,United States
Chris Anstey,C,7-0,253,25,CHI,73,2,South East Melbourne (Australia),1997 Rnd 1 Pick 18,Australia
Greg Anthony,PG,6-0,176,32,POR,82,8,UNLV,1991 Rnd 1 Pick 12,United States
B.J. Armstrong,G,6-2,175,32,CHI,27,10,Iowa,1989 Rnd 1 Pick 18,United States
Darrell Armstrong,PG,6-0,170,31,ORL,82,5,Fayetteville State,"1991 NBA Draft, Undrafted",United States
Chucky Atkins,G,5-11,185,25,ORL,82,1,South Florida,"1996 NBA Draft, Undrafted",United States
Stacey Augmon,SF,6-6,205,31,POR,59,8,UNLV,1991 Rnd 1 Pick 9,United States
Ike Austin,C,6-10,255,30,WAS,59,6,Arizona State,1991 Rnd 2 Pick 21,United States
Anthony Avent,F,6-9,235,30,LAC,49,6,Seton Hall,1991 Rnd 1 Pick 15,United States
William Avery,PG,6-2,197,20,MIN,59,0,Duke,1999 Rnd 1 Pick 14,United States
Toby Bailey,G,6-6,213,24,PHX,46,1,UCLA,1998 Rnd 2 Pick 16,United States
Vin Baker,PF,6-11,240,28,SEA,79,6,Hartford,1993 Rnd 1 Pick 8,United States
Charles Barkley,PF,6-6,252,37,HOU,20,15,Auburn,1984 Rnd 1 Pick 5,United States
Dana Barros,PG,5-11,165,32,BOS,72,10,Boston College,1989 Rnd 1 Pick 16,United States
Brent Barry,G,6-7,210,28,SEA,80,4,Oregon State,1995 Rnd 1 Pick 15,United States
Drew Barry,G,6-5,191,27,"ATL, GOS",16,3,Georgia Tech,1996 Rnd 2 Pick 28,United States
Jon Barry,SG,6-4,195,30,SAC,62,7,Georgia Tech,1992 Rnd 1 Pick 21,United States
Tony Battie,PF,6-11,230,24,BOS,82,2,Texas Tech,1997 Rnd 1 Pick 5,United States
Jonathan Bender,F,6-11,202,19,IND,24,0,Picayune High School (Mississippi),1999 Rnd 1 Pick 5,United States
Benoit Benjamin,C,7-0,250,35,CLE,3,14,Creighton,1985 Rnd 1 Pick 3,United States
Corey Benjamin,SG,6-6,200,22,CHI,48,1,Oregon State,1998 Rnd 1 Pick 28,United States
Mario Bennett,C-F,6-6,235,26,LAC,1,3,Arizona State,1995 Rnd 1 Pick 27,United States
Travis Best,PG,5-11,182,27,IND,82,4,Georgia Tech,1995 Rnd 1 Pick 23,United States
Mike Bibby,G,6-2,195,21,VAN,82,1,Arizona,1998 Rnd 1 Pick 2,United States
