Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Steven Adams,C,6-11,265,26,OKC,63,6,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
Bam Adebayo,C,6-10,255,22,MIA,72,2,Kentucky,2017 Rnd 1 Pick 14,United States
LaMarcus Aldridge,FC,6-11,265,34,SAS,53,13,Texas,2006 Rnd 1 Pick 2,United States
Kyle Alexander,PF,6-10,216,23,MIA,2,0,Tennessee,"2019 NBA Draft, Undrafted",Canada
Nickeil Alexander-Walker,SG,6-5,205,21,NOP,47,0,Virginia Tech,2019 Rnd 1 Pick 17,Canada
Grayson Allen,SG,6-4,198,24,MEM,38,1,Duke,2018 Rnd 1 Pick 21,United States
Jarrett Allen,C,6-11,248,21,BRK,70,2,Texas,2017 Rnd 1 Pick 22,United States
Kadeem Allen,G,6-3,200,27,NYK,10,2,Arizona,2017 Rnd 2 Pick 23,United States
Al-Farouq Aminu,F,6-9,220,29,ORL,18,9,Wake Forest,2010 Rnd 1 Pick 8,United States Nigeria
Justin Anderson,F,6-6,230,26,BRK,10,4,Virginia,2015 Rnd 1 Pick 21,United States
Kyle Anderson,PF,6-9,230,26,MEM,67,5,UCLA,2014 Rnd 1 Pick 30,United States
Ryan Anderson,PF,6-10,240,31,HOU,2,11,California,2008 Rnd 1 Pick 21,United States
Giannis Antetokounmpo,F,6-11,242,25,MIL,63,6,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,Greece Nigeria
Kostas Antetokounmpo,PF,6-10,200,22,LAL,5,1,Dayton,2018 Rnd 2 Pick 30,Greece United States
Thanasis Antetokounmpo,SF,6-7,215,27,MIL,20,1,Delaware 87ers,2014 Rnd 2 Pick 21,Greece Nigeria
Carmelo Anthony,F,6-8,240,35,POR,58,16,Syracuse,2003 Rnd 1 Pick 3,United States
OG Anunoby,SF,6-7,240,22,TOR,69,2,Indiana,2017 Rnd 1 Pick 23,England United States
Ryan Arcidiacono,G,6-3,195,25,CHI,58,2,Villanova,"2016 NBA Draft, Undrafted",United States
Trevor Ariza,SF,6-8,215,34,"POR, SAC",53,15,UCLA,2004 Rnd 2 Pick 14,United States
D.J. Augustin,G,6-0,183,32,ORL,57,11,Texas,2008 Rnd 1 Pick 9,United States
Deandre Ayton,C,7-1,250,21,PHX,38,1,Arizona,2018 Rnd 1 Pick 1,Bahamas
Dwayne Bacon,SF,6-6,221,24,CHA,39,2,Florida State,2017 Rnd 2 Pick 10,United States
Marvin Bagley III,PF,6-11,235,20,SAC,13,1,Duke,2018 Rnd 1 Pick 2,United States
Lonzo Ball,PG,6-6,190,22,NOP,63,2,UCLA,2017 Rnd 1 Pick 2,United States
Mohamed Bamba,C,7-0,230,21,ORL,62,1,Texas,2018 Rnd 1 Pick 6,United States
J.J. Barea,G,5-10,180,35,DAL,29,13,Northeastern,"2006 NBA Draft, Undrafted",Puerto Rico United States
Harrison Barnes,SF,6-8,225,27,SAC,72,7,North Carolina,2012 Rnd 1 Pick 7,United States
R.J. Barrett,SG,6-7,202,19,NYK,56,0,Duke,2019 Rnd 1 Pick 3,Canada
Will Barton,GF,6-5,181,29,DEN,58,7,Memphis,2012 Rnd 2 Pick 10,United States
Keita Bates-Diop,SF,6-8,230,24,"DEN, MIN",44,1,Ohio State,2018 Rnd 2 Pick 18,United States
Nicolas Batum,F,6-8,230,31,CHA,22,11,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
Aron Baynes,C,6-10,260,33,PHX,42,7,Washington State,"2009 NBA Draft, Undrafted",New Zealand Australia
Kent Bazemore,GF,6-4,195,30,"POR, SAC",68,7,Old Dominion,"2012 NBA Draft, Undrafted",United States
Darius Bazley,PF,6-9,216,19,OKC,61,0,,2019 Rnd 1 Pick 23,United States
Bradley Beal,SG,6-3,207,26,WAS,57,7,Florida,2012 Rnd 1 Pick 3,United States
Malik Beasley,SG,6-4,187,23,"DEN, MIN",55,3,Florida State,2016 Rnd 1 Pick 19,United States
Marco Belinelli,G,6-5,225,33,SAS,57,12,Fortituto Kontatto Bologna (Italy),2007 Rnd 1 Pick 18,Italy
Jordan Bell,PF,6-8,216,25,"MEM, MIN",29,2,Oregon,2017 Rnd 2 Pick 8,United States
DeAndre' Bembry,GF,6-5,210,25,ATL,43,3,Saint Joseph's,2016 Rnd 1 Pick 21,United States
