Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Jeff Adrien,SF,6-7,245,25,GSW,23,0,Connecticut,"2009 NBA Draft, Undrafted",United States
Arron Afflalo,SG,6-5,210,25,DEN,69,3,UCLA,2007 Rnd 1 Pick 27,United States
Maurice Ager,F-G,6-5,202,27,MIN,4,3,Michigan State,2006 Rnd 1 Pick 28,United States
Alexis Ajinca,C,7-2,248,22,"DAL, TOR",34,2,Hyeres-Toulon (France),2008 Rnd 1 Pick 20,France
Solomon Alabi,C,7-1,250,22,TOR,12,0,Florida State,2010 Rnd 2 Pick 20,Nigeria
Cole Aldrich,C,6-11,253,22,OKC,18,0,Kansas,2010 Rnd 1 Pick 11,United States
LaMarcus Aldridge,FC,6-11,265,25,POR,81,4,Texas,2006 Rnd 1 Pick 2,United States
Malik Allen,F,6-10,255,32,ORL,18,10,Villanova,"2000 NBA Draft, Undrafted",United States
Ray Allen,SG,6-5,205,35,BOS,80,14,Connecticut,1996 Rnd 1 Pick 5,United States
Tony Allen,SG,6-4,213,29,MEM,72,6,Oklahoma State,2004 Rnd 1 Pick 25,United States
Al-Farouq Aminu,F,6-9,220,20,LAC,81,0,Wake Forest,2010 Rnd 1 Pick 8,United States Nigeria
Lou Amundson,PF,6-9,220,28,GSW,46,4,UNLV,"2006 NBA Draft, Undrafted",United States
Chris Andersen,FC,6-10,245,32,DEN,45,7,Blinn,"1999 NBA Draft, Undrafted",United States
David Andersen,F,7-0,242,30,"NOP, TOR",40,1,Virtus Bologna (Italy),2002 Rnd 2 Pick 8,Australia
James Anderson,GF,6-6,210,21,SAS,26,0,Oklahoma State,2010 Rnd 1 Pick 20,United States
Ryan Anderson,PF,6-10,240,22,ORL,64,2,California,2008 Rnd 1 Pick 21,United States
Carmelo Anthony,F,6-8,240,26,"DEN, NYK",77,7,Syracuse,2003 Rnd 1 Pick 3,United States
Joel Anthony,C,6-9,245,28,MIA,75,3,UNLV,"2007 NBA Draft, Undrafted",Canada
Gilbert Arenas,G,6-3,191,29,"ORL, WAS",70,9,Arizona,2001 Rnd 2 Pick 2,United States
Trevor Ariza,SF,6-8,215,25,NOP,75,6,UCLA,2004 Rnd 2 Pick 14,United States
Hilton Armstrong,C,6-11,235,26,"ATL, WAS",53,4,Connecticut,2006 Rnd 1 Pick 12,United States
Carlos Arroyo,PG,6-2,202,31,"BOS, MIA",64,8,Florida International,"2001 NBA Draft, Undrafted",Puerto Rico United States
Darrell Arthur,PF,6-9,235,22,MEM,80,2,Kansas,2008 Rnd 1 Pick 27,United States
Omer Asik,C,7-0,255,24,CHI,82,0,Fenerbahce Beko (Turkey),2008 Rnd 2 Pick 6,Turkey
D.J. Augustin,G,6-0,183,23,CHA,82,2,Texas,2008 Rnd 1 Pick 9,United States
Luke Babbitt,SF,6-9,225,21,POR,24,0,Nevada,2010 Rnd 1 Pick 16,United States
Renaldo Balkman,F,6-8,208,26,"DEN, NYK",8,4,South Carolina,2006 Rnd 1 Pick 20,United States Puerto Rico
Marcus Banks,G,6-2,200,29,TOR,3,7,UNLV,2003 Rnd 1 Pick 13,United States
Leandro Barbosa,G,6-3,194,28,TOR,58,7,Bauru (Brazil),2003 Rnd 1 Pick 28,Brazil
J.J. Barea,G,5-10,180,26,DAL,81,4,Northeastern,"2006 NBA Draft, Undrafted",Puerto Rico United States
Andrea Bargnani,FC,7-0,245,25,TOR,66,4,Universo De'Longhi Treviso (Italy),2006 Rnd 1 Pick 1,Italy
Matt Barnes,GF,6-7,226,30,LAL,53,8,UCLA,2002 Rnd 2 Pick 17,United States
Earl Barron,C,7-0,250,29,"MIL, PHX, POR",21,5,Memphis,"2003 NBA Draft, Undrafted",United States
Brandon Bass,PF,6-8,250,25,ORL,76,5,LSU,2005 Rnd 2 Pick 3,United States
Tony Battie,PF,6-11,230,35,PHI,38,13,Texas Tech,1997 Rnd 1 Pick 5,United States
Shane Battier,F,6-8,220,32,"HOU, MEM",82,9,Duke,2001 Rnd 1 Pick 6,United States
Nicolas Batum,F,6-8,230,22,POR,80,2,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
Jerryd Bayless,G,6-3,210,22,"NOP, TOR",71,2,Arizona,2008 Rnd 1 Pick 11,United States
Michael Beasley,PF,6-9,235,22,MIN,73,2,Kansas State,2008 Rnd 1 Pick 2,United States
Rodrigue Beaubois,G,6-1,183,23,DAL,28,1,Cholet Basket (France),2009 Rnd 1 Pick 25,France
Marco Belinelli,G,6-5,225,24,NOP,80,3,Fortituto Kontatto Bologna (Italy),2007 Rnd 1 Pick 18,Italy
Charlie Bell,G,6-3,200,31,GSW,19,6,Michigan State,"2001 NBA Draft, Undrafted",United States
Raja Bell,SG,6-5,204,34,UTA,68,11,Florida International,"1999 NBA Draft, Undrafted",United States
Mike Bibby,G,6-2,195,32,"ATL, MIA, WAS",80,12,Arizona,1998 Rnd 1 Pick 2,United States
Andris Biedrins,C,7-0,250,24,GSW,59,6,BK Skonto Riga (Latvia),2004 Rnd 1 Pick 11,Latvia
Chauncey Billups,G,6-3,210,34,"DEN, NYK",72,13,Colorado,1997 Rnd 1 Pick 3,United States
DeJuan Blair,F,6-8,270,21,SAS,81,1,Pittsburgh,2009 Rnd 2 Pick 7,United States
Steve Blake,G,6-3,172,31,LAL,79,7,Maryland,2003 Rnd 2 Pick 9,United States
Andray Blatche,PF,6-11,260,24,WAS,64,5,South Kent School (Connecticut),2005 Rnd 2 Pick 19,United States Philippines
Eric Bledsoe,PG,6-1,214,21,LAC,81,0,Kentucky,2010 Rnd 1 Pick 18,United States
Keith Bogans,GF,6-5,215,30,CHI,82,7,Kentucky,2003 Rnd 2 Pick 14,United States
Andrew Bogut,C,7-0,260,26,MIL,65,5,Utah,2005 Rnd 1 Pick 1,Australia
Matt Bonner,FC,6-10,235,30,SAS,66,6,Florida,2003 Rnd 2 Pick 16,United States
Trevor Booker,PF,6-8,228,23,WAS,65,0,Clemson,2010 Rnd 1 Pick 23,United States
Carlos Boozer,PF,6-9,266,29,CHI,59,8,Duke,2002 Rnd 2 Pick 6,Germany United States
Chris Bosh,PF,6-11,235,26,MIA,77,7,Georgia Tech,2003 Rnd 1 Pick 4,United States
Earl Boykins,G,5-5,135,34,MIL,57,11,Eastern Michigan,"1998 NBA Draft, Undrafted",United States
Craig Brackins,F,6-10,230,23,PHI,3,0,Iowa State,2010 Rnd 1 Pick 21,United States
Avery Bradley,PG,6-3,180,20,BOS,31,0,Texas,2010 Rnd 1 Pick 19,United States
Elton Brand,PF,6-9,254,31,PHI,81,11,Duke,1999 Rnd 1 Pick 1,United States
Corey Brewer,GF,6-9,186,24,"DAL, MIN",69,3,Florida,2007 Rnd 1 Pick 7,United States
Ronnie Brewer,GF,6-7,235,25,CHI,81,4,Arkansas,2006 Rnd 1 Pick 14,United States
Jon Brockman,PF,6-7,255,23,MIL,63,1,Washington,2009 Rnd 2 Pick 8,United States
Aaron Brooks,G,6-0,161,26,"HOU, PHX",59,3,Oregon,2007 Rnd 1 Pick 26,United States
Derrick Brown,F,6-7,225,23,"CHA, NYK",49,1,Xavier,2009 Rnd 2 Pick 10,United States
Kwame Brown,C,6-11,290,28,CHA,66,9,Glynn Academy (Georgia),2001 Rnd 1 Pick 1,United States
Shannon Brown,G,6-4,210,25,LAL,82,4,Michigan State,2006 Rnd 1 Pick 25,United States
