Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Precious Achiuwa,SF,6-8,244,21,MIA,61,0,Memphis,2020 Rnd 1 Pick 20,Nigeria
Jaylen Adams,PG,6-0,225,24,MIL,7,1,St. Bonaventure,"2018 NBA Draft, Undrafted",United States
Steven Adams,C,6-11,265,27,NOP,58,7,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
Bam Adebayo,C,6-10,255,23,MIA,64,3,Kentucky,2017 Rnd 1 Pick 14,United States
LaMarcus Aldridge,FC,6-11,265,35,"BRK, SAN",26,14,Texas,2006 Rnd 1 Pick 2,United States
Ty-Shon Alexander,SG,6-3,195,22,PHX,15,0,Creighton,"2020 NBA Draft, Undrafted",United States
Nickeil Alexander-Walker,SG,6-5,205,22,NOP,46,1,Virginia Tech,2019 Rnd 1 Pick 17,Canada
Grayson Allen,SG,6-4,198,25,MEM,50,2,Duke,2018 Rnd 1 Pick 21,United States
Jarrett Allen,C,6-11,248,22,"BRK, CLE",63,3,Texas,2017 Rnd 1 Pick 22,United States
Al-Farouq Aminu,F,6-9,220,30,"CHI, ORL",23,10,Wake Forest,2010 Rnd 1 Pick 8,United States Nigeria
Kyle Anderson,PF,6-9,230,27,MEM,69,6,UCLA,2014 Rnd 1 Pick 30,United States
Giannis Antetokounmpo,F,6-11,242,26,MIL,61,7,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,Greece Nigeria
Kostas Antetokounmpo,PF,6-10,200,23,LAL,15,2,Dayton,2018 Rnd 2 Pick 30,Greece United States
Thanasis Antetokounmpo,SF,6-7,215,28,MIL,57,2,Delaware 87ers,2014 Rnd 2 Pick 21,Greece Nigeria
Carmelo Anthony,F,6-8,240,36,POR,69,17,Syracuse,2003 Rnd 1 Pick 3,United States
Cole Anthony,PG,6-3,195,20,ORL,47,0,North Carolina,2020 Rnd 1 Pick 15,United States
OG Anunoby,SF,6-7,240,23,TOR,43,3,Indiana,2017 Rnd 1 Pick 23,England United States
Ryan Arcidiacono,G,6-3,195,26,CHI,44,3,Villanova,"2016 NBA Draft, Undrafted",United States
Trevor Ariza,SF,6-8,215,35,MIA,30,16,UCLA,2004 Rnd 2 Pick 14,United States
D.J. Augustin,G,6-0,183,33,"HOU, MIL",57,12,Texas,2008 Rnd 1 Pick 9,United States
Deni Avdija,SG,6-9,210,20,WAS,54,0,Maccabi Tel Aviv U18 (Israel),2020 Rnd 1 Pick 9,Israel
Deandre Ayton,C,7-1,250,22,PHX,69,2,Arizona,2018 Rnd 1 Pick 1,Bahamas
Udoka Azubuike,C,7-0,270,21,UTA,15,0,Kansas,2020 Rnd 1 Pick 27,Nigeria
Dwayne Bacon,SF,6-6,221,25,ORL,72,3,Florida State,2017 Rnd 2 Pick 10,United States
Marvin Bagley III,PF,6-11,235,21,SAC,43,2,Duke,2018 Rnd 1 Pick 2,United States
LaMelo Ball,G,6-7,180,19,CHA,51,0,Illawarra (Australia),2020 Rnd 1 Pick 3,United States
Lonzo Ball,PG,6-6,190,23,NOP,55,3,UCLA,2017 Rnd 1 Pick 2,United States
Mohamed Bamba,C,7-0,230,22,ORL,46,2,Texas,2018 Rnd 1 Pick 6,United States
Desmond Bane,SG,6-6,215,22,MEM,68,0,Texas Christian,2020 Rnd 1 Pick 30,United States
Harrison Barnes,SF,6-8,225,28,SAC,58,8,North Carolina,2012 Rnd 1 Pick 7,United States
R.J. Barrett,SG,6-7,202,20,NYK,72,1,Duke,2019 Rnd 1 Pick 3,Canada
Will Barton,GF,6-5,181,30,DEN,56,8,Memphis,2012 Rnd 2 Pick 10,United States
Keita Bates-Diop,SF,6-8,230,25,SAS,30,2,Ohio State,2018 Rnd 2 Pick 18,United States
Nicolas Batum,F,6-8,230,32,LAC,67,12,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
Aron Baynes,C,6-10,260,34,TOR,53,8,Washington State,"2009 NBA Draft, Undrafted",New Zealand Australia
Kent Bazemore,GF,6-4,195,31,GSW,67,8,Old Dominion,"2012 NBA Draft, Undrafted",United States
Darius Bazley,PF,6-9,216,20,OKC,55,1,,2019 Rnd 1 Pick 23,United States
Bradley Beal,SG,6-3,207,27,WAS,60,8,Florida,2012 Rnd 1 Pick 3,United States
Malik Beasley,SG,6-4,187,24,MIN,37,4,Florida State,2016 Rnd 1 Pick 19,United States
Jordan Bell,PF,6-8,216,26,"GOS, WAS",6,3,Oregon,2017 Rnd 2 Pick 8,United States
DeAndre' Bembry,GF,6-5,210,26,TOR,51,4,Saint Joseph's,2016 Rnd 1 Pick 21,United States
Davis Bertans,SF,6-10,225,28,WAS,57,4,Union Olimpija (Slovenia),2011 Rnd 2 Pick 12,Latvia
Patrick Beverley,PG,6-1,180,32,LAC,37,8,Dnipro Dnipropetrovsk (Ukraine),2009 Rnd 2 Pick 12,United States
Saddiq Bey,F,6-8,215,21,DET,70,0,Villanova,2020 Rnd 1 Pick 19,United States
