Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Quincy Acy,F,6-7,240,22,TOR,29,0,Baylor,2012 Rnd 2 Pick 7,United States
Jeff Adrien,SF,6-7,245,27,CHA,52,2,Connecticut,"2009 NBA Draft, Undrafted",United States
Arron Afflalo,SG,6-5,210,27,ORL,64,5,UCLA,2007 Rnd 1 Pick 27,United States
Josh Akognon,PG,5-11,175,27,DAL,3,0,Cal State Fullerton,"2009 NBA Draft, Undrafted",United States Nigeria
Cole Aldrich,C,6-11,253,24,"HOU, SAC",45,2,Kansas,2010 Rnd 1 Pick 11,United States
LaMarcus Aldridge,FC,6-11,265,27,POR,74,6,Texas,2006 Rnd 1 Pick 2,United States
Lavoy Allen,PF,6-9,260,24,PHI,79,1,Temple,2011 Rnd 2 Pick 20,United States
Ray Allen,SG,6-5,205,37,MIA,79,16,Connecticut,1996 Rnd 1 Pick 5,United States
Tony Allen,SG,6-4,213,31,MEM,79,8,Oklahoma State,2004 Rnd 1 Pick 25,United States
Al-Farouq Aminu,F,6-9,220,22,NOP,76,2,Wake Forest,2010 Rnd 1 Pick 8,United States Nigeria
Lou Amundson,PF,6-9,220,30,"CHI, MIN, NOP",39,6,UNLV,"2006 NBA Draft, Undrafted",United States
Chris Andersen,FC,6-10,245,34,MIA,42,9,Blinn,"1999 NBA Draft, Undrafted",United States
Alan Anderson,GF,6-6,220,30,TOR,65,3,Michigan State,"2005 NBA Draft, Undrafted",United States
James Anderson,GF,6-6,210,23,"HOU, SAN",39,2,Oklahoma State,2010 Rnd 1 Pick 20,United States
Ryan Anderson,PF,6-10,240,24,NOP,81,4,California,2008 Rnd 1 Pick 21,United States
Carmelo Anthony,F,6-8,240,28,NYK,67,9,Syracuse,2003 Rnd 1 Pick 3,United States
Joel Anthony,C,6-9,245,30,MIA,62,5,UNLV,"2007 NBA Draft, Undrafted",Canada
Trevor Ariza,SF,6-8,215,27,WAS,56,8,UCLA,2004 Rnd 2 Pick 14,United States
Darrell Arthur,PF,6-9,235,24,MEM,59,4,Kansas,2008 Rnd 1 Pick 27,United States
Omer Asik,C,7-0,255,26,HOU,82,2,Fenerbahce Beko (Turkey),2008 Rnd 2 Pick 6,Turkey
D.J. Augustin,G,6-0,183,25,IND,76,4,Texas,2008 Rnd 1 Pick 9,United States
Gustavo Ayon,C,6-10,250,27,"MIL, ORL",55,1,,"2007 NBA Draft, Undrafted",Mexico
