Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Quincy Acy,F,6-7,240,25,SAC,59,3,Baylor,2012 Rnd 2 Pick 7,United States
Jordan Adams,SG,6-5,209,21,MEM,2,1,UCLA,2014 Rnd 1 Pick 22,United States
Steven Adams,C,6-11,265,22,OKC,80,2,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
Arron Afflalo,SG,6-5,210,30,NYK,71,8,UCLA,2007 Rnd 1 Pick 27,United States
Alexis Ajinca,C,7-2,248,27,NOP,59,5,Hyeres-Toulon (France),2008 Rnd 1 Pick 20,France
Cole Aldrich,C,6-11,253,27,LAC,60,5,Kansas,2010 Rnd 1 Pick 11,United States
LaMarcus Aldridge,FC,6-11,265,30,SAS,74,9,Texas,2006 Rnd 1 Pick 2,United States
Cliff Alexander,PF,6-8,245,20,POR,8,0,Kansas,"2015 NBA Draft, Undrafted",United States
Lavoy Allen,PF,6-9,260,27,IND,79,4,Temple,2011 Rnd 2 Pick 20,United States
Tony Allen,SG,6-4,213,34,MEM,64,11,Oklahoma State,2004 Rnd 1 Pick 25,United States
Al-Farouq Aminu,F,6-9,220,25,POR,82,5,Wake Forest,2010 Rnd 1 Pick 8,United States Nigeria
Lou Amundson,PF,6-9,220,33,NYK,29,9,UNLV,"2006 NBA Draft, Undrafted",United States
Chris Andersen,FC,6-10,245,37,"MEM, MIA",27,13,Blinn,"1999 NBA Draft, Undrafted",United States
Alan Anderson,GF,6-6,220,33,WAS,13,6,Michigan State,"2005 NBA Draft, Undrafted",United States
James Anderson,GF,6-6,210,26,SAC,51,4,Oklahoma State,2010 Rnd 1 Pick 20,United States
Justin Anderson,F,6-6,230,22,DAL,55,0,Virginia,2015 Rnd 1 Pick 21,United States
Kyle Anderson,PF,6-9,230,22,SAS,78,1,UCLA,2014 Rnd 1 Pick 30,United States
Ryan Anderson,PF,6-10,240,27,NOP,66,7,California,2008 Rnd 1 Pick 21,United States
Giannis Antetokounmpo,F,6-11,242,21,MIL,80,2,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,Greece Nigeria
Thanasis Antetokounmpo,SF,6-7,215,23,NYK,2,0,Delaware 87ers,2014 Rnd 2 Pick 21,Greece Nigeria
Carmelo Anthony,F,6-8,240,31,NYK,72,12,Syracuse,2003 Rnd 1 Pick 3,United States
Joel Anthony,C,6-9,245,33,DET,19,8,UNLV,"2007 NBA Draft, Undrafted",Canada
Keith Appling,G,6-0,190,24,ORL,5,0,Michigan State,"2014 NBA Draft, Undrafted",United States
Trevor Ariza,SF,6-8,215,30,HOU,81,11,UCLA,2004 Rnd 2 Pick 14,United States
Darrell Arthur,PF,6-9,235,27,DEN,70,7,Kansas,2008 Rnd 1 Pick 27,United States
Omer Asik,C,7-0,255,29,NOP,68,5,Fenerbahce Beko (Turkey),2008 Rnd 2 Pick 6,Turkey
D.J. Augustin,G,6-0,183,28,"DEN, OKC",62,7,Texas,2008 Rnd 1 Pick 9,United States
Jeff Ayres,FC,6-10,240,28,LAC,17,5,Arizona State,2009 Rnd 2 Pick 1,United States
Luke Babbitt,SF,6-9,225,26,NOP,47,5,Nevada,2010 Rnd 1 Pick 16,United States
Cameron Bairstow,F,6-9,250,25,CHI,18,1,New Mexico,2014 Rnd 2 Pick 19,Australia
Leandro Barbosa,G,6-3,194,33,GSW,68,12,Bauru (Brazil),2003 Rnd 1 Pick 28,Brazil
J.J. Barea,G,5-10,180,31,DAL,74,9,Northeastern,"2006 NBA Draft, Undrafted",Puerto Rico United States
Andrea Bargnani,FC,7-0,245,30,BRK,46,9,Universo De'Longhi Treviso (Italy),2006 Rnd 1 Pick 1,Italy
Harrison Barnes,SF,6-8,225,23,GSW,66,3,North Carolina,2012 Rnd 1 Pick 7,United States
Matt Barnes,GF,6-7,226,35,MEM,76,13,UCLA,2002 Rnd 2 Pick 17,United States
Will Barton,GF,6-5,181,25,DEN,82,3,Memphis,2012 Rnd 2 Pick 10,United States
Brandon Bass,PF,6-8,250,30,LAL,66,10,LSU,2005 Rnd 2 Pick 3,United States
Nicolas Batum,F,6-8,230,27,CHA,70,7,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
Jerryd Bayless,G,6-3,210,27,MIL,52,7,Arizona,2008 Rnd 1 Pick 11,United States
Aron Baynes,C,6-10,260,29,DET,81,3,Washington State,"2009 NBA Draft, Undrafted",New Zealand Australia
Kent Bazemore,GF,6-4,195,26,ATL,75,3,Old Dominion,"2012 NBA Draft, Undrafted",United States
Bradley Beal,SG,6-3,207,22,WAS,55,3,Florida,2012 Rnd 1 Pick 3,United States
Michael Beasley,PF,6-9,235,27,HOU,20,7,Kansas State,2008 Rnd 1 Pick 2,United States
Marco Belinelli,G,6-5,225,29,SAC,68,8,Fortituto Kontatto Bologna (Italy),2007 Rnd 1 Pick 18,Italy
Anthony Bennett,PF,6-8,245,22,TOR,19,2,UNLV,2013 Rnd 1 Pick 1,Canada
Patrick Beverley,PG,6-1,180,27,HOU,71,3,Dnipro Dnipropetrovsk (Ukraine),2009 Rnd 2 Pick 12,United States
