Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Bismack Biyombo,PF,6-9,255,23,TOR,82,4,Urbas Fuenlabrada (Spain),2011 Rnd 1 Pick 7,Democratic Republic of the Congo
Nemanja Bjelica,PF,6-10,235,27,MIN,60,0,KK Crvena Zvezda (Serbia),2010 Rnd 2 Pick 5,Serbia
Tarik Black,PF,6-9,250,24,LAL,39,1,Kansas,"2014 NBA Draft, Undrafted",United States
DeJuan Blair,F,6-8,270,26,WAS,29,6,Pittsburgh,2009 Rnd 2 Pick 7,United States
Steve Blake,G,6-3,172,36,DET,58,12,Maryland,2003 Rnd 2 Pick 9,United States
Eric Bledsoe,PG,6-1,214,26,PHX,31,5,Kentucky,2010 Rnd 1 Pick 18,United States
Bojan Bogdanovic,F,6-8,216,26,BRK,79,1,KK Cibona (Croatia),2011 Rnd 2 Pick 1,Bosnia and Herzegovina Croatia
Andrew Bogut,C,7-0,260,31,GSW,70,10,Utah,2005 Rnd 1 Pick 1,Australia
Matt Bonner,FC,6-10,235,35,SAS,30,11,Florida,2003 Rnd 2 Pick 16,United States
Devin Booker,SG,6-6,206,19,PHX,76,0,Kentucky,2015 Rnd 1 Pick 13,United States
Trevor Booker,PF,6-8,228,28,UTA,79,5,Clemson,2010 Rnd 1 Pick 23,United States
Chris Bosh,PF,6-11,235,31,MIA,53,12,Georgia Tech,2003 Rnd 1 Pick 4,United States
Avery Bradley,PG,6-3,180,25,BOS,76,5,Texas,2010 Rnd 1 Pick 19,United States
Elton Brand,PF,6-9,254,36,PHI,17,16,Duke,1999 Rnd 1 Pick 1,United States
Corey Brewer,GF,6-9,186,29,HOU,82,8,Florida,2007 Rnd 1 Pick 7,United States
Aaron Brooks,G,6-0,161,31,CHI,69,7,Oregon,2007 Rnd 1 Pick 26,United States
Anthony Brown,GF,6-7,225,23,LAL,29,0,Stanford,2015 Rnd 2 Pick 4,United States
Lorenzo Brown,SG,6-5,189,25,PHX,8,2,NC State,2013 Rnd 2 Pick 22,United States Spain
Markel Brown,SG,6-3,190,24,BRK,62,1,Oklahoma State,2014 Rnd 2 Pick 14,United States
Kobe Bryant,SG,6-6,212,37,LAL,66,19,Lower Merion High School (Pennsylvania),1996 Rnd 1 Pick 13,United States
Chase Budinger,GF,6-7,215,27,"IND, PHX",66,6,Arizona,2009 Rnd 2 Pick 14,United States
Reggie Bullock,SG,6-6,205,24,DET,37,2,North Carolina,2013 Rnd 1 Pick 25,United States
Trey Burke,G,6-0,185,23,UTA,64,2,Michigan,2013 Rnd 1 Pick 9,United States
Alec Burks,SG,6-6,214,24,UTA,31,4,Colorado,2011 Rnd 1 Pick 12,United States
Caron Butler,SF,6-7,228,35,SAC,17,13,Connecticut,2002 Rnd 1 Pick 10,United States
Jimmy Butler,GF,6-8,232,26,CHI,67,4,Marquette,2011 Rnd 1 Pick 30,United States
Rasual Butler,GF,6-7,215,36,SAS,46,12,La Salle,2002 Rnd 2 Pick 24,United States
Bruno Caboclo,PF,6-9,218,20,TOR,6,1,Pinheiros/Sky (Brazil),2014 Rnd 1 Pick 20,Brazil
Jose Calderon,G,6-3,200,34,NYK,72,10,Baskonia (Spain),"2003 NBA Draft, Undrafted",Spain
Kentavious Caldwell-Pope,SG,6-5,204,23,DET,76,2,Georgia,2013 Rnd 1 Pick 8,United States
Isaiah Canaan,G,6-0,200,24,PHI,77,2,Murray State,2013 Rnd 2 Pick 4,United States
Clint Capela,PF,6-10,240,21,HOU,77,1,Chalon-Sur-Saone (France),2014 Rnd 1 Pick 25,Switzerland
DeMarre Carroll,F,6-8,215,29,TOR,26,6,Missouri,2009 Rnd 1 Pick 27,United States
Vince Carter,SF,6-6,220,39,MEM,60,17,North Carolina,1998 Rnd 1 Pick 5,United States
Michael Carter-Williams,PG,6-6,195,24,MIL,54,2,Syracuse,2013 Rnd 1 Pick 11,United States
Omri Casspi,F,6-9,225,27,SAC,69,6,Maccabi FOX Tel Aviv (Israel),2009 Rnd 1 Pick 23,Israel
Willie Cauley-Stein,C,7-0,240,22,SAC,66,0,Kentucky,2015 Rnd 1 Pick 6,United States
Mario Chalmers,G,6-2,190,29,"MEM, MIA",61,7,Kansas,2008 Rnd 2 Pick 4,United States
Tyson Chandler,C,7-1,240,33,PHX,66,14,Dominguez High School (California),2001 Rnd 1 Pick 2,United States
Rakeem Christmas,PF,6-9,255,24,IND,1,0,Syracuse,2015 Rnd 2 Pick 6,United States U.S. Virgin Islands
Ian Clark,G,6-3,175,24,GSW,66,2,Belmont,"2013 NBA Draft, Undrafted",United States
Coty Clarke,F,6-7,235,23,BOS,3,0,Arkansas,"2014 NBA Draft, Undrafted",United States
Jordan Clarkson,G,6-5,192,23,LAL,79,1,Missouri,2014 Rnd 2 Pick 16,United States Philippines
Norris Cole,G,6-2,175,27,NOP,45,4,Cleveland State,2011 Rnd 1 Pick 28,United States
Darren Collison,PG,6-0,175,28,SAC,74,6,UCLA,2009 Rnd 1 Pick 21,United States
Nick Collison,FC,6-10,255,35,OKC,59,12,Kansas,2003 Rnd 1 Pick 12,United States
Mike Conley,PG,6-1,175,28,MEM,56,8,Ohio State,2007 Rnd 1 Pick 4,United States
Pat Connaughton,SF,6-4,209,23,POR,34,0,Notre Dame,2015 Rnd 2 Pick 11,United States
Chris Copeland,PF,6-8,235,31,MIL,24,3,Colorado,"2006 NBA Draft, Undrafted",United States
Bryce Cotton,G,6-1,165,23,"MEM, PHX",8,1,Providence,"2014 NBA Draft, Undrafted",United States
DeMarcus Cousins,C,6-11,270,25,SAC,65,5,Kentucky,2010 Rnd 1 Pick 5,United States
Robert Covington,F,6-7,209,25,PHI,67,2,Tennessee State,"2013 NBA Draft, Undrafted",United States
Allen Crabbe,SG,6-6,212,23,POR,81,2,California,2013 Rnd 2 Pick 1,United States
Jamal Crawford,SG,6-5,195,35,LAC,79,15,Michigan,2000 Rnd 1 Pick 8,United States
Jae Crowder,SF,6-6,235,25,BOS,73,3,Marquette,2012 Rnd 2 Pick 4,United States
Dante Cunningham,F,6-8,230,28,NOP,80,6,Villanova,2009 Rnd 2 Pick 3,United States
Jared Cunningham,SG,6-4,194,24,"CLE, MIL",44,3,Oregon State,2012 Rnd 1 Pick 24,United States
Seth Curry,G,6-1,190,25,SAC,44,2,Duke,"2013 NBA Draft, Undrafted",United States
Stephen Curry,G,6-3,198,27,GSW,79,6,Davidson,2009 Rnd 1 Pick 7,United States
Troy Daniels,G,6-4,205,24,CHA,43,2,VCU,"2013 NBA Draft, Undrafted",United States
Anthony Davis,PF,6-10,253,22,NOP,61,3,Kentucky,2012 Rnd 1 Pick 1,United States
Ed Davis,PF,6-9,218,26,POR,81,5,North Carolina,2010 Rnd 1 Pick 13,United States
Branden Dawson,F,6-6,230,23,LAC,6,0,Michigan State,2015 Rnd 2 Pick 26,United States
DeMar DeRozan,GF,6-6,220,26,TOR,78,6,USC,2009 Rnd 1 Pick 9,United States
Dewayne Dedmon,PF,7-0,245,26,ORL,58,2,USC,"2013 NBA Draft, Undrafted",United States
Bryce Dejean-Jones,G,6-5,210,23,NOP,14,0,Iowa State,"2015 NBA Draft, Undrafted",United States
Sam Dekker,SF,6-9,230,21,HOU,3,0,Wisconsin,2015 Rnd 1 Pick 18,United States
Matt Dellavedova,G,6-3,200,25,CLE,76,2,Saint Mary's,"2013 NBA Draft, Undrafted",Australia
Luol Deng,GF,6-9,220,30,MIA,74,11,Duke,2004 Rnd 1 Pick 7,England South Sudan
Boris Diaw,PF,6-8,250,33,SAS,76,12,Pau-Orthez (France),2003 Rnd 1 Pick 21,France
Gorgui Dieng,FC,6-10,250,26,MIN,82,2,Louisville,2013 Rnd 1 Pick 21,Senegal
Spencer Dinwiddie,PG,6-5,215,22,DET,12,1,Colorado,2014 Rnd 2 Pick 8,United States
Toney Douglas,G,6-2,195,29,NOP,61,6,Florida State,2009 Rnd 1 Pick 29,United States
Goran Dragic,G,6-3,190,29,MIA,72,7,Union Olimpija (Slovenia),2008 Rnd 2 Pick 15,Slovenia
Andre Drummond,C,6-10,279,22,DET,81,3,Connecticut,2012 Rnd 1 Pick 9,United States
Jared Dudley,PF,6-7,237,30,WAS,81,8,Boston College,2007 Rnd 1 Pick 22,United States
Duje Dukan,F,6-10,220,24,SAC,1,0,Wisconsin,"2015 NBA Draft, Undrafted",Croatia
Tim Duncan,FC,6-11,250,39,SAS,61,18,Wake Forest,1997 Rnd 1 Pick 1,United States
Mike Dunleavy,GF,6-9,230,35,CHI,31,13,Duke,2002 Rnd 1 Pick 3,United States
Kevin Durant,SF,6-10,225,27,OKC,72,8,Texas,2007 Rnd 1 Pick 2,United States
Cleanthony Early,F,6-8,210,24,NYK,17,1,Wichita State,2014 Rnd 2 Pick 4,United States
Jarell Eddie,SF,6-8,218,24,WAS,26,1,Virginia Tech,"2014 NBA Draft, Undrafted",United States
Wayne Ellington,SG,6-4,207,28,BRK,76,6,North Carolina,2009 Rnd 1 Pick 28,United States
Monta Ellis,G,6-3,185,30,IND,81,10,Lanier High School (Mississippi),2005 Rnd 2 Pick 10,United States
James Ennis,GF,6-6,215,25,"MEM, MIA, NOP",22,1,Long Beach State,2013 Rnd 2 Pick 20,United States
Tyler Ennis,PG,6-3,182,21,MIL,46,1,Syracuse,2014 Rnd 1 Pick 18,Canada
Jeremy Evans,F,6-9,200,28,DAL,30,5,Western Kentucky,2010 Rnd 2 Pick 25,United States
Tyreke Evans,G,6-6,220,26,NOP,25,6,Memphis,2009 Rnd 1 Pick 4,United States
Festus Ezeli,C,6-11,265,26,GSW,46,3,Vanderbilt,2012 Rnd 1 Pick 30,Nigeria
Kenneth Faried,F,6-8,220,26,DEN,67,4,Morehead State,2011 Rnd 1 Pick 22,United States
Jordan Farmar,PG,6-2,180,29,MEM,12,8,UCLA,2006 Rnd 1 Pick 26,United States
Derrick Favors,FC,6-10,265,24,UTA,62,5,Georgia Tech,2010 Rnd 1 Pick 3,United States
Cristiano Felicio,C,6-10,275,23,CHI,31,0,Minas (Brazil),"2014 NBA Draft, Undrafted",Brazil
Raymond Felton,PG,6-1,205,31,DAL,80,10,North Carolina,2005 Rnd 1 Pick 5,United States
Evan Fournier,SG,6-7,205,23,ORL,79,3,Poitiers Basket 86 (France),2012 Rnd 1 Pick 20,France
Randy Foye,G,6-4,218,32,"DEN, OKC",81,9,Villanova,2006 Rnd 1 Pick 7,United States
Tim Frazier,G,6-0,172,25,"NOP, POR",51,1,Penn State,"2014 NBA Draft, Undrafted",United States
Jimmer Fredette,G,6-2,195,27,"NOP, NYK",6,4,Brigham Young,2011 Rnd 1 Pick 10,United States
Enes Freedom,F,6-10,250,23,OKC,82,4,Kentucky,2011 Rnd 1 Pick 3,Switzerland Turkey
Channing Frye,FC,7-0,255,32,"CLE, ORL",70,10,Arizona,2005 Rnd 1 Pick 8,United States
Danilo Gallinari,SF,6-10,233,27,DEN,53,7,AX Armani Exchange Milan (Italy),2008 Rnd 1 Pick 6,Italy
Langston Galloway,G,6-1,200,24,NYK,82,1,Saint Joseph's,"2014 NBA Draft, Undrafted",United States
Kevin Garnett,PF,6-11,240,39,MIN,38,20,Farragut Career Academy (Illinois),1995 Rnd 1 Pick 5,United States
Marc Gasol,C,7-1,255,31,MEM,52,7,CB Girona (Spain),2007 Rnd 2 Pick 18,Spain
Pau Gasol,FC,7-0,250,35,CHI,72,14,Barca (Spain),2001 Rnd 1 Pick 3,Spain
Rudy Gay,SF,6-8,240,29,SAC,70,9,Connecticut,2006 Rnd 1 Pick 8,United States
Alonzo Gee,SF,6-6,225,28,NOP,73,6,Alabama,"2009 NBA Draft, Undrafted",United States
Paul George,GF,6-8,220,25,IND,81,5,Fresno State,2010 Rnd 1 Pick 10,United States
Taj Gibson,F,6-9,232,30,CHI,73,6,USC,2009 Rnd 1 Pick 26,United States
Manu Ginobili,SG,6-6,205,38,SAS,58,13,Viola Reggio Calabria (Italy),1999 Rnd 2 Pick 28,Argentina
Rudy Gobert,C,7-1,256,23,UTA,61,2,Cholet Basket (France),2013 Rnd 1 Pick 27,France
Drew Gooden,FC,6-10,250,34,WAS,30,13,Kansas,2002 Rnd 1 Pick 4,United States
Archie Goodwin,G,6-5,205,21,PHX,57,2,Kentucky,2013 Rnd 1 Pick 29,United States
Aaron Gordon,F,6-8,235,20,ORL,78,1,Arizona,2014 Rnd 1 Pick 4,United States
Eric Gordon,G,6-3,215,27,NOP,45,7,Indiana,2008 Rnd 1 Pick 7,United States
Marcin Gortat,FC,6-11,240,32,WAS,75,8,Koln 99ers (Germany),2005 Rnd 2 Pick 27,Poland
Andrew Goudelock,G,6-3,200,27,HOU,8,2,Charleston,2011 Rnd 2 Pick 16,United States
Jerami Grant,F,6-8,210,21,PHI,77,1,Syracuse,2014 Rnd 2 Pick 9,United States
Jerian Grant,SG,6-4,198,23,NYK,76,0,Notre Dame,2015 Rnd 1 Pick 19,United States
Danny Green,SF,6-6,220,28,SAS,79,6,North Carolina,2009 Rnd 2 Pick 16,United States
Draymond Green,F,6-6,234,25,GSW,81,3,Michigan State,2012 Rnd 2 Pick 5,United States
Erick Green,G,6-3,178,24,"DEN, UTH",9,1,Virginia Tech,2013 Rnd 2 Pick 16,United States
Gerald Green,GF,6-7,205,30,MIA,69,8,Gulf Shores Academy (Texas),2005 Rnd 1 Pick 18,United States
JaMychal Green,PF,6-8,227,25,MEM,78,1,Alabama,"2012 NBA Draft, Undrafted",United States
Jeff Green,F,6-8,235,29,"LAC, MEM",80,7,Georgetown,2007 Rnd 1 Pick 5,United States
Blake Griffin,PF,6-9,246,26,LAC,35,6,Oklahoma,2009 Rnd 1 Pick 1,United States
Jorge Gutierrez,PG,6-3,195,27,CHA,12,2,California,"2012 NBA Draft, Undrafted",Mexico United States
P.J. Hairston,SG,6-6,230,23,"CHA, MEM",66,1,Texas Legends,2014 Rnd 1 Pick 26,United States
Jordan Hamilton,SF,6-7,220,25,NOP,11,4,Texas,2011 Rnd 1 Pick 26,United States
Tyler Hansbrough,PF,6-9,250,30,CHA,44,6,North Carolina,2009 Rnd 1 Pick 13,United States
Tim Hardaway Jr.,SG,6-5,205,23,ATL,51,2,Michigan,2013 Rnd 1 Pick 24,United States
James Harden,SG,6-5,220,26,HOU,82,6,Arizona State,2009 Rnd 1 Pick 3,United States
Maurice Harkless,F,6-9,220,22,POR,78,3,St. John's,2012 Rnd 1 Pick 15,United States Puerto Rico
Justin Harper,PF,6-10,225,26,DET,5,1,Richmond,2011 Rnd 2 Pick 2,United States
Montrezl Harrell,F,6-7,240,22,HOU,39,0,Louisville,2015 Rnd 2 Pick 2,United States
Devin Harris,G,6-3,185,33,DAL,64,11,Wisconsin,2004 Rnd 1 Pick 5,United States
Gary Harris,SG,6-4,210,21,DEN,76,1,Michigan State,2014 Rnd 1 Pick 19,United States
Joe Harris,SG,6-6,215,24,CLE,5,1,Virginia,2014 Rnd 2 Pick 3,United States
Tobias Harris,F,6-7,230,23,"DET, ORL",76,4,Tennessee,2011 Rnd 1 Pick 19,United States
Aaron Harrison,GF,6-6,210,21,CHA,21,0,Kentucky,"2015 NBA Draft, Undrafted",United States
Udonis Haslem,FC,6-8,235,35,MIA,37,12,Florida,"2002 NBA Draft, Undrafted",United States
Spencer Hawes,C,7-1,245,27,CHA,57,8,Washington,2007 Rnd 1 Pick 10,United States
Chuck Hayes,PF,6-6,240,32,HOU,2,10,Kentucky,"2005 NBA Draft, Undrafted",United States
Gordon Hayward,GF,6-7,225,25,UTA,80,5,Butler,2010 Rnd 1 Pick 9,United States
Gerald Henderson,SG,6-5,215,28,POR,72,6,Duke,2009 Rnd 1 Pick 12,United States
John Henson,PF,6-11,219,25,MIL,57,3,North Carolina,2012 Rnd 1 Pick 14,United States
Mario Hezonja,SG,6-8,220,21,ORL,79,0,FC Barcelona II (Spain),2015 Rnd 1 Pick 5,Croatia
Roy Hibbert,C,7-2,270,29,LAL,81,7,Georgetown,2008 Rnd 1 Pick 17,United States
J.J. Hickson,PF,6-9,242,27,"DEN, WAS",35,7,NC State,2008 Rnd 1 Pick 19,United States
George Hill,G,6-3,188,29,IND,74,7,IUPUI,2008 Rnd 1 Pick 26,United States
Jordan Hill,PF,6-10,240,28,IND,73,6,Arizona,2009 Rnd 1 Pick 8,United States
Solomon Hill,SF,6-6,226,24,IND,59,2,Arizona,2013 Rnd 1 Pick 23,United States
Darrun Hilliard,SG,6-6,220,22,DET,38,0,Villanova,2015 Rnd 2 Pick 8,United States
Kirk Hinrich,G,6-4,190,35,"ATL, CHI",46,12,Kansas,2003 Rnd 1 Pick 7,United States
Jrue Holiday,G,6-4,205,25,NOP,65,6,UCLA,2009 Rnd 1 Pick 17,United States
Justin Holiday,SF,6-6,181,26,"ATL, CHI",53,2,Washington,"2011 NBA Draft, Undrafted",United States
Ryan Hollins,C,7-0,230,31,"MEM, WAS",37,9,UCLA,2006 Rnd 2 Pick 20,United States
Rondae Hollis-Jefferson,SF,6-6,217,21,BRK,29,0,Arizona,2015 Rnd 1 Pick 23,United States
Richaun Holmes,F,6-10,240,22,PHI,51,0,Bowling Green,2015 Rnd 2 Pick 7,United States
Rodney Hood,F,6-8,205,23,UTA,79,1,Duke,2014 Rnd 1 Pick 23,United States
Al Horford,FC,6-9,240,29,ATL,82,8,Florida,2007 Rnd 1 Pick 3,Dominican Republic United States
Dwight Howard,C,6-11,265,30,HOU,71,11,Southwest Atlanta Christian Academy (Georgia),2004 Rnd 1 Pick 1,United States
Marcelinho Huertas,PG,6-3,200,32,LAL,53,0,Joventut Badalona (Spain),"2005 NBA Draft, Undrafted",Brazil
Josh Huestis,SF,6-7,230,24,OKC,5,0,Stanford,2014 Rnd 1 Pick 29,United States
Kris Humphries,PF,6-9,235,31,"ATL, PHX, WAS",53,11,Minnesota,2004 Rnd 1 Pick 14,United States
R.J. Hunter,G,6-6,190,22,BOS,36,0,Georgia State,2015 Rnd 1 Pick 28,United States
Serge Ibaka,C,6-10,235,26,OKC,78,6,CB L'Hospitalet (Spain),2008 Rnd 1 Pick 24,Republic of the Congo Spain
Andre Iguodala,SF,6-6,215,32,GSW,65,11,Arizona,2004 Rnd 1 Pick 9,United States
Ersan Ilyasova,F,6-10,235,28,"DET, ORL",74,8,Alpella B.K. (Turkey),2005 Rnd 2 Pick 6,Turkey
Joe Ingles,F,6-8,226,28,UTA,81,1,Melbourne South (Australia),"2009 NBA Draft, Undrafted",Australia
Damien Inglis,PF,6-8,246,20,MIL,20,1,Chorale Roanne Basket (France),2014 Rnd 2 Pick 1,France
Kyrie Irving,G,6-2,191,23,CLE,53,4,Duke,2011 Rnd 1 Pick 1,United States Australia
Jarrett Jack,G,6-3,200,32,BRK,32,10,Georgia Tech,2005 Rnd 1 Pick 22,United States
Reggie Jackson,G,6-2,208,25,DET,79,4,Boston College,2011 Rnd 1 Pick 24,Italy United States
LeBron James,F,6-8,250,31,CLE,76,12,St. Vincent St. Mary High School (Ohio),2003 Rnd 1 Pick 1,United States
Al Jefferson,FC,6-10,289,31,CHA,47,11,Prentiss High School (Mississippi),2004 Rnd 1 Pick 15,United States
Cory Jefferson,PF,6-9,215,25,PHX,8,1,Baylor,2014 Rnd 2 Pick 30,United States
Richard Jefferson,SF,6-7,233,35,CLE,74,14,Arizona,2001 Rnd 1 Pick 13,United States
John Jenkins,SG,6-4,215,24,"DAL, PHX",43,3,Vanderbilt,2012 Rnd 1 Pick 23,United States
Brandon Jennings,G,6-1,170,26,"DET, ORL",48,6,Virtus Roma (Italy),2009 Rnd 1 Pick 10,United States
Jonas Jerebko,F,6-10,231,28,BOS,78,6,Edilnol Pallacanestro Biella (Italy),2009 Rnd 2 Pick 9,Sweden
Amir Johnson,PF,6-9,240,28,BOS,79,10,Westchester High School (California),2005 Rnd 2 Pick 26,United States
Chris Johnson,SF,6-6,206,25,UTA,70,3,Dayton,"2012 NBA Draft, Undrafted",United States
James Johnson,F,6-7,240,29,TOR,57,6,Wake Forest,2009 Rnd 1 Pick 16,United States
Joe Johnson,SG,6-7,240,34,"BRK, MIA",81,14,Arkansas,2001 Rnd 1 Pick 10,United States
Orlando Johnson,GF,6-5,220,26,"NOP, PHX",7,2,UC Santa Barbara,2012 Rnd 2 Pick 6,United States
Stanley Johnson,G,6-6,242,19,DET,73,0,Arizona,2015 Rnd 1 Pick 8,United States
Tyler Johnson,G,6-4,190,23,MIA,36,1,Fresno State,"2014 NBA Draft, Undrafted",United States
Wesley Johnson,GF,6-7,215,28,LAC,80,5,Syracuse,2010 Rnd 1 Pick 4,United States
Nikola Jokic,C,7-0,284,21,DEN,80,0,KK Mega Bemax (Serbia),2014 Rnd 2 Pick 11,Serbia
Dahntay Jones,GF,6-6,225,35,CLE,1,11,Duke,2003 Rnd 1 Pick 20,United States
James Jones,SF,6-8,218,35,CLE,48,12,Miami (FL),2003 Rnd 2 Pick 20,United States
Terrence Jones,PF,6-9,255,24,HOU,50,3,Kentucky,2012 Rnd 1 Pick 18,United States
Tyus Jones,PG,6-1,196,19,MIN,37,0,Duke,2015 Rnd 1 Pick 24,United States
DeAndre Jordan,C,6-11,265,27,LAC,77,7,Texas A&M,2008 Rnd 2 Pick 5,United States
Cory Joseph,PG,6-3,200,24,TOR,80,4,Texas,2011 Rnd 1 Pick 29,Canada
Chris Kaman,C,7-0,265,33,POR,16,12,Central Michigan,2003 Rnd 1 Pick 6,United States Germany
Frank Kaminsky,F,7-0,242,22,CHA,81,0,Wisconsin,2015 Rnd 1 Pick 9,United States
Sergey Karasev,SF,6-7,213,22,BRK,40,2,Zenit Saint Petersburg (Russia),2013 Rnd 1 Pick 19,Russia
Sasha Kaun,C,6-11,250,30,CLE,25,0,Kansas,2008 Rnd 2 Pick 26,Russia
Ryan Kelly,PF,6-11,230,24,LAL,36,2,Duke,2013 Rnd 2 Pick 18,United States
Michael Kidd-Gilchrist,SF,6-7,232,22,CHA,7,3,Kentucky,2012 Rnd 1 Pick 2,United States
Sean Kilpatrick,SG,6-4,212,26,"BRK, DEN",31,1,Cincinnati,"2014 NBA Draft, Undrafted",United States
Brandon Knight,G,6-2,182,24,PHX,52,4,Kentucky,2011 Rnd 1 Pick 8,United States
Kyle Korver,SF,6-7,212,34,ATL,80,12,Creighton,2003 Rnd 2 Pick 22,United States
Kosta Koufos,C,7-0,265,27,SAC,78,7,Ohio State,2008 Rnd 1 Pick 23,United States Greece
Zach LaVine,SG,6-5,200,20,MIN,82,1,UCLA,2014 Rnd 1 Pick 13,United States
Jeremy Lamb,SG,6-5,185,23,CHA,66,3,Connecticut,2012 Rnd 1 Pick 12,United States
