Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Alex Abrines,GF,6-6,190,25,OKC,31,2,Barca (Spain),2013 Rnd 2 Pick 2,Spain
Quincy Acy,F,6-7,240,28,PHX,10,6,Baylor,2012 Rnd 2 Pick 7,United States
Jaylen Adams,PG,6-0,225,22,ATL,34,0,St. Bonaventure,"2018 NBA Draft, Undrafted",United States
Steven Adams,C,6-11,265,25,OKC,80,5,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
Bam Adebayo,C,6-10,255,21,MIA,82,1,Kentucky,2017 Rnd 1 Pick 14,United States
Deng Adel,SF,6-7,196,22,CLE,19,0,Louisville,"2018 NBA Draft, Undrafted",South Sudan Australia
DeVaughn Akoon-Purcell,GF,6-6,200,25,DEN,7,0,Illinois State,"2016 NBA Draft, Undrafted",United States
LaMarcus Aldridge,FC,6-11,265,33,SAS,81,12,Texas,2006 Rnd 1 Pick 2,United States
Rawle Alkins,SG,6-5,225,21,CHI,10,0,Arizona,"2018 NBA Draft, Undrafted",United States
Grayson Allen,SG,6-4,198,23,UTA,38,0,Duke,2018 Rnd 1 Pick 21,United States
Jarrett Allen,C,6-11,248,20,BRK,80,1,Texas,2017 Rnd 1 Pick 22,United States
Kadeem Allen,G,6-3,200,26,NYK,19,1,Arizona,2017 Rnd 2 Pick 23,United States
Al-Farouq Aminu,F,6-9,220,28,POR,81,8,Wake Forest,2010 Rnd 1 Pick 8,United States Nigeria
Justin Anderson,F,6-6,230,25,ATL,48,3,Virginia,2015 Rnd 1 Pick 21,United States
Kyle Anderson,PF,6-9,230,25,MEM,43,4,UCLA,2014 Rnd 1 Pick 30,United States
Ryan Anderson,PF,6-10,240,30,"MIA, PHX",25,10,California,2008 Rnd 1 Pick 21,United States
Ike Anigbogu,C,6-9,252,20,IND,3,1,UCLA,2017 Rnd 2 Pick 17,United States
