Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Marcus Fizer,F,6-8,246,23,CHI,76,1,Iowa State,2000 Rnd 1 Pick 4,United States
Ike Fontaine,SG,6-4,210,26,MEM,6,1,Washington State,"1998 NBA Draft, Undrafted",United States
Alton Ford,PF,6-9,275,20,PHX,53,0,Houston,2001 Rnd 2 Pick 22,United States
Joseph Forte,SG,6-4,194,20,BOS,8,0,North Carolina,2001 Rnd 1 Pick 21,United States
Danny Fortson,F,6-7,260,25,GSW,77,4,Cincinnati,1997 Rnd 1 Pick 10,United States
Greg Foster,C,6-11,240,33,MIL,6,11,UTEP,1990 Rnd 2 Pick 8,United States
Jeff Foster,C,6-11,236,25,IND,82,2,Texas State,1999 Rnd 1 Pick 21,United States
Antonis Fotsis,PF,6-8,248,20,MEM,28,0,AX Armani Exchange Milan (Italy),2001 Rnd 2 Pick 19,Greece
Tremaine Fowlkes,F,6-8,220,25,LAC,22,1,Fresno State,1998 Rnd 2 Pick 25,United States
Rick Fox,SF,6-7,230,32,LAL,82,10,North Carolina,1991 Rnd 1 Pick 24,Canada Bahamas
Adonal Foyle,C,6-10,250,26,GSW,79,4,Colgate,1997 Rnd 1 Pick 8,Saint Vincent and the Grenadines United States
Steve Francis,G,6-3,195,25,HOU,57,2,Maryland,1999 Rnd 1 Pick 2,United States
Lawrence Funderburke,PF,6-9,230,31,SAC,56,4,Ohio State,1994 Rnd 2 Pick 24,United States
Kevin Garnett,PF,6-11,240,25,MIN,81,6,Farragut Career Academy (Illinois),1995 Rnd 1 Pick 5,United States
Dean Garrett,C,6-10,225,35,"GOS, MIN",34,8,Indiana,1988 Rnd 2 Pick 13,United States
Pat Garrity,F,6-9,238,25,ORL,80,3,Notre Dame,1998 Rnd 1 Pick 19,United States
Pau Gasol,FC,7-0,250,21,MEM,82,0,Barca (Spain),2001 Rnd 1 Pick 3,Spain
Chris Gatling,PF,6-10,220,34,MIA,54,10,Old Dominion,1991 Rnd 1 Pick 16,United States
Matt Geiger,C,7-0,243,32,PHI,4,9,Georgia Tech,1992 Rnd 2 Pick 15,United States
Devean George,F-G,6-8,235,24,LAL,82,2,Augsburg College,1999 Rnd 1 Pick 23,United States
Eddie Gill,PG,6-0,190,23,MEM,23,1,Weber State,"2000 NBA Draft, Undrafted",United States
Kendall Gill,SG,6-5,195,33,MIA,65,11,Illinois,1990 Rnd 1 Pick 5,United States
Dion Glover,GF,6-5,228,23,ATL,55,2,Georgia Tech,1999 Rnd 1 Pick 20,United States
Steve Goodrich,PF,6-10,220,25,NJN,9,3,Princeton,"1998 NBA Draft, Undrafted",United States
Brian Grant,PF,6-9,254,29,MIA,72,7,Xavier,1994 Rnd 1 Pick 8,United States
Horace Grant,PF,6-10,255,36,ORL,76,14,Clemson,1987 Rnd 1 Pick 10,United States
Adrian Griffin,G-F,6-5,217,27,DAL,58,3,Seton Hall,"1996 NBA Draft, Undrafted",United States
Eddie Griffin,F,6-10,220,19,HOU,73,0,Seton Hall,2001 Rnd 1 Pick 7,United States
Tom Gugliotta,PF,6-10,240,32,PHX,44,9,NC State,1992 Rnd 1 Pick 6,United States
A.J. Guyton,PG,6-1,180,24,CHI,45,1,Indiana,2000 Rnd 2 Pick 3,United States
Darvin Ham,F-G,6-7,220,28,MIL,70,4,Texas Tech,"1996 NBA Draft, Undrafted",United States
Richard Hamilton,SG,6-7,193,24,WAS,63,2,Connecticut,1999 Rnd 1 Pick 7,United States
Tang Hamilton,PF,6-8,220,23,MIA,9,0,Mississippi State,"2001 NBA Draft, Undrafted",United States
Zendon Hamilton,C,6-11,250,26,DEN,54,2,St. John's,"1998 NBA Draft, Undrafted",United States
Penny Hardaway,PG,6-7,195,30,PHX,80,8,Memphis,1993 Rnd 1 Pick 3,United States
Tim Hardaway,PG,6-0,175,35,"DAL, DEN",68,12,UTEP,1989 Rnd 1 Pick 14,United States
Matt Harpring,F,6-7,230,25,PHI,81,3,Georgia Tech,1998 Rnd 1 Pick 15,United States
Al Harrington,F,6-9,245,22,IND,44,3,St. Patrick High School (New Jersey),1998 Rnd 1 Pick 25,United States
Othella Harrington,F-C,6-9,235,28,NYK,77,5,Georgetown,1996 Rnd 2 Pick 1,United States
Lucious Harris,SG,6-5,190,31,NJN,74,8,Long Beach State,1993 Rnd 2 Pick 1,United States
Jason Hart,G,6-3,180,23,SAS,10,1,Syracuse,2000 Rnd 2 Pick 20,United States
Antonio Harvey,C,6-11,225,31,SEA,5,6,Pfeiffer,"1993 NBA Draft, Undrafted",United States
Donnell Harvey,F,6-8,220,21,"DAL, DEN",47,1,Florida,2000 Rnd 1 Pick 22,United States
Trenton Hassell,F,6-5,227,22,CHI,78,0,Austin Peay,2001 Rnd 2 Pick 1,United States
Kirk Haston,PF,6-9,242,22,CHA,15,0,Indiana,2001 Rnd 1 Pick 16,United States
Brendan Haywood,C,7-0,263,22,WAS,62,0,North Carolina,2001 Rnd 1 Pick 20,United States
Alan Henderson,F-C,6-9,235,29,ATL,26,6,Indiana,1995 Rnd 1 Pick 16,United States
Cedric Henderson,SF,6-7,215,26,GSW,12,4,Memphis,1997 Rnd 2 Pick 16,United States
Grant Hill,SF,6-8,225,29,ORL,14,7,Duke,1994 Rnd 1 Pick 3,United States
Tyrone Hill,PF,6-9,240,33,CLE,26,11,Xavier,1990 Rnd 1 Pick 11,United States
Fred Hoiberg,G,6-4,203,29,CHI,79,6,Iowa State,1995 Rnd 2 Pick 23,United States
Robert Horry,PF,6-9,220,31,LAL,81,9,Alabama,1992 Rnd 1 Pick 11,United States
Eddie House,G,6-1,190,23,MIA,64,1,Arizona State,2000 Rnd 2 Pick 8,United States
Allan Houston,G,6-6,205,30,NYK,77,8,Tennessee,1993 Rnd 1 Pick 11,United States
Juwan Howard,PF,6-9,240,29,"DAL, DEN",81,7,Michigan,1994 Rnd 1 Pick 5,United States
Troy Hudson,G,6-1,170,25,ORL,81,4,Southern Illinois,"1997 NBA Draft, Undrafted",United States
Larry Hughes,G,6-5,184,23,GSW,73,3,Saint Louis,1998 Rnd 1 Pick 8,United States
Lindsey Hunter,G,6-2,195,31,LAL,82,8,Jackson State,1993 Rnd 1 Pick 10,United States
Steven Hunter,F-C,7-0,240,20,ORL,53,0,DePaul,2001 Rnd 1 Pick 15,United States
Zydrunas Ilgauskas,C,7-3,260,26,CLE,62,5,BC Aisciai-Atletas (Lithuania),1996 Rnd 1 Pick 20,Lithuania
Allen Iverson,G,6-0,165,26,PHI,60,5,Georgetown,1996 Rnd 1 Pick 1,United States
Bobby Jackson,G,6-1,185,28,SAC,81,4,Minnesota,1997 Rnd 1 Pick 23,United States
Jaren Jackson,SG,6-4,190,34,ORL,9,10,Georgetown,"1989 NBA Draft, Undrafted",United States
Jermaine Jackson,G,6-4,204,25,TOR,24,2,Detroit-Mercy,"1999 NBA Draft, Undrafted",United States
Jim Jackson,SG,6-6,220,31,MIA,55,9,Ohio State,1992 Rnd 1 Pick 4,United States
Marc Jackson,C,6-10,270,27,"GOS, MIN",39,1,Temple,1997 Rnd 2 Pick 9,United States
Mark Jackson,PG,6-1,180,36,NYK,82,14,St. John's,1987 Rnd 1 Pick 18,United States
Stephen Jackson,GF,6-8,220,23,SAS,23,4,Butler CC,1997 Rnd 2 Pick 14,United States
Jerome James,C,7-0,300,26,SEA,56,2,Florida A&M,1998 Rnd 2 Pick 7,United States
Mike James,G,6-2,188,26,MIA,15,0,Duquesne,"1998 NBA Draft, Undrafted",United States
Tim James,F,6-7,212,25,PHI,9,2,Miami (FL),1999 Rnd 1 Pick 25,United States
Antawn Jamison,F,6-9,235,25,GSW,82,3,North Carolina,1998 Rnd 1 Pick 4,United States
Harold Jamison,PF,6-8,260,25,LAC,25,2,Clemson,"1999 NBA Draft, Undrafted",United States
Richard Jefferson,SF,6-7,233,21,NJN,79,0,Arizona,2001 Rnd 1 Pick 13,United States
Anthony Johnson,G,6-3,195,27,NJN,34,4,Charleston,1997 Rnd 2 Pick 11,United States
Avery Johnson,PG,5-10,175,36,"DAL, DEN",68,13,Southern,"1988 NBA Draft, Undrafted",United States
DerMarr Johnson,GF,6-9,201,21,ATL,72,1,Cincinnati,2000 Rnd 1 Pick 6,United States
Ervin Johnson,C,6-11,245,34,MIL,81,8,New Orleans,1993 Rnd 1 Pick 23,United States
Joe Johnson,SG,6-7,240,20,"BOS, PHX",77,0,Arkansas,2001 Rnd 1 Pick 10,United States
Alvin Jones,PF,6-11,265,23,PHI,23,0,Georgia Tech,2001 Rnd 2 Pick 28,Luxembourg United States
Damon Jones,G,6-3,185,25,DET,67,3,Houston,"1997 NBA Draft, Undrafted",United States
Eddie Jones,G-F,6-6,200,30,MIA,81,7,Temple,1994 Rnd 1 Pick 10,United States
Jumaine Jones,SF,6-8,218,23,CLE,81,2,Georgia,1999 Rnd 1 Pick 27,United States
Popeye Jones,PF,6-8,250,31,WAS,79,8,Murray State,1992 Rnd 2 Pick 14,United States
Michael Jordan,SG,6-6,215,39,WAS,60,13,North Carolina,1984 Rnd 1 Pick 3,United States
Shawn Kemp,C,6-10,280,32,POR,75,12,Trinity Valley CC,1989 Rnd 1 Pick 17,United States
Steve Kerr,SG,6-3,175,36,POR,65,13,Arizona,1988 Rnd 2 Pick 25,United States
Jason Kidd,PG,6-4,210,28,NJN,82,7,California,1994 Rnd 1 Pick 2,United States
Andrei Kirilenko,PF,6-9,235,21,UTA,82,0,CSKA Moscow (Russia),1999 Rnd 1 Pick 24,Russia
Kerry Kittles,G,6-5,179,27,NJN,82,5,Villanova,1996 Rnd 1 Pick 8,United States
Brevin Knight,G,5-10,170,26,MEM,53,4,Stanford,1997 Rnd 1 Pick 16,United States
Travis Knight,C,7-0,235,27,NYK,49,5,Connecticut,1996 Rnd 1 Pick 29,United States
Toni Kukoc,SF,6-11,235,33,ATL,59,8,KK Split (Croatia),1990 Rnd 2 Pick 2,Croatia
Raef LaFrentz,F,6-11,245,25,"DAL, DEN",78,3,Kansas,1998 Rnd 1 Pick 3,United States
Rusty LaRue,SG,6-2,210,28,UTA,33,3,Wake Forest,"1996 NBA Draft, Undrafted",United States
