Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Devin Brown,SF,6-5,220,26,SAS,67,2,Texas-San Antonio,"2002 NBA Draft, Undrafted",United States
Kedrick Brown,GF,6-7,222,23,PHI,8,3,Northwest Florida State College,2001 Rnd 1 Pick 11,United States
Kwame Brown,C,6-11,290,22,WAS,42,3,Glynn Academy (Georgia),2001 Rnd 1 Pick 1,United States
P.J. Brown,C,6-11,225,35,NOP,82,11,Louisiana Tech,1992 Rnd 2 Pick 2,United States
Tierre Brown,G,6-2,189,25,LAL,76,3,McNeese State,"2001 NBA Draft, Undrafted",United States
Rick Brunson,SG,6-4,190,32,LAC,80,8,Temple,"1995 NBA Draft, Undrafted",United States
Kobe Bryant,SG,6-6,212,26,LAL,66,8,Lower Merion High School (Pennsylvania),1996 Rnd 1 Pick 13,United States
Greg Buckner,G-F,6-4,210,28,DEN,70,6,Clemson,1998 Rnd 2 Pick 24,United States
Rodney Buford,SF,6-5,189,27,NJN,64,4,Creighton,1999 Rnd 2 Pick 24,United States
Antonio Burks,G,6-1,200,25,MEM,24,0,Memphis,2004 Rnd 2 Pick 7,United States
Caron Butler,SF,6-7,228,24,LAL,77,2,Connecticut,2002 Rnd 1 Pick 10,United States
Jackie Butler,C,6-10,250,19,NYK,3,0,Coastal Christian Academy (Virginia),"2004 NBA Draft, Undrafted",United States
Rasual Butler,GF,6-7,215,25,MIA,65,2,La Salle,2002 Rnd 2 Pick 24,United States
Zarko Cabarkapa,F-C,6-11,235,23,"GOS, PHX",40,1,Buducnost (Montenegro),2003 Rnd 1 Pick 17,Serbia
Marcus Camby,C,6-11,240,30,DEN,66,8,Massachusetts,1996 Rnd 1 Pick 2,United States
Elden Campbell,FC,6-11,215,36,"DET, NJN",40,14,Clemson,1990 Rnd 1 Pick 27,United States
Brian Cardinal,PF,6-8,245,27,MEM,58,4,Purdue,2000 Rnd 2 Pick 15,United States
Geno Carlisle,SG,6-3,180,28,POR,6,1,California,"1999 NBA Draft, Undrafted",United States
Matt Carroll,GF,6-6,212,24,CHA,25,1,Notre Dame,"2003 NBA Draft, Undrafted",United States
Anthony Carter,PG,6-1,190,29,MIN,66,6,Hawaii,"1998 NBA Draft, Undrafted",United States
Vince Carter,SF,6-6,220,28,"NJN, TOR",77,6,North Carolina,1998 Rnd 1 Pick 5,United States
Sam Cassell,G,6-3,185,35,MIN,59,11,Florida State,1993 Rnd 1 Pick 24,United States
Kelvin Cato,C,6-11,255,30,ORL,62,7,Iowa State,1997 Rnd 1 Pick 15,United States
Lionel Chalmers,G,6-0,180,24,LAC,36,0,Xavier,2004 Rnd 2 Pick 4,United States
Tyson Chandler,C,7-1,240,22,CHI,80,3,Dominguez High School (California),2001 Rnd 1 Pick 2,United States
Calbert Cheaney,GF,6-7,209,33,GSW,55,11,Indiana,1993 Rnd 1 Pick 6,United States
Josh Childress,SF,6-8,210,21,ATL,80,0,Stanford,2004 Rnd 1 Pick 6,United States
Doug Christie,SG,6-6,200,34,"ORL, SAC",52,12,Pepperdine,1992 Rnd 1 Pick 17,United States
Speedy Claxton,G,5-11,170,26,"GOS, NOP",62,4,Hofstra,2000 Rnd 1 Pick 20,United States
Mateen Cleaves,G,6-2,205,27,SEA,14,4,Michigan State,2000 Rnd 1 Pick 14,United States
Derrick Coleman,FC,6-10,230,37,DET,5,14,Syracuse,1990 Rnd 1 Pick 1,United States
Jason Collier,F-C,7-0,260,27,ATL,70,4,Georgia Tech,2000 Rnd 1 Pick 15,United States
Jarron Collins,C,6-11,248,26,UTA,50,3,Stanford,2001 Rnd 2 Pick 24,United States
Jason Collins,C,7-0,255,26,NJN,80,3,Stanford,2001 Rnd 1 Pick 18,United States
Nick Collison,FC,6-10,255,24,SEA,82,1,Kansas,2003 Rnd 1 Pick 12,United States
Brian Cook,PF,6-9,234,24,LAL,72,1,Illinois,2003 Rnd 1 Pick 24,United States
Omar Cook,PG,6-2,190,23,TOR,5,3,St. John's,2001 Rnd 2 Pick 3,United States Montenegro
Jamal Crawford,SG,6-5,195,24,NYK,70,4,Michigan,2000 Rnd 1 Pick 8,United States
Austin Croshere,F,6-9,235,29,IND,73,7,Providence,1997 Rnd 1 Pick 12,United States
Eddy Curry,C,7-0,295,22,CHI,63,3,Thornwood High School (Illinois),2001 Rnd 1 Pick 4,United States
Michael Curry,F-G,6-5,210,36,IND,18,11,Georgia Southern,"1990 NBA Draft, Undrafted",United States
Samuel Dalembert,C,6-11,250,23,PHI,72,3,Seton Hall,2001 Rnd 1 Pick 26,Canada Haiti
Erick Dampier,C,6-11,265,29,DAL,59,8,Mississippi State,1996 Rnd 1 Pick 10,United States
Antonio Daniels,G,6-4,195,29,SEA,75,7,Bowling Green,1997 Rnd 1 Pick 4,United States
Erik Daniels,F,6-8,214,22,SAC,21,0,Kentucky,"2004 NBA Draft, Undrafted",United States
Marquis Daniels,SF,6-6,200,24,DAL,60,1,Auburn,"2003 NBA Draft, Undrafted",United States
Antonio Davis,FC,6-9,245,36,CHI,72,11,UTEP,1990 Rnd 2 Pick 18,United States
Baron Davis,G,6-3,215,25,"GOS, NOP",46,5,UCLA,1999 Rnd 1 Pick 3,United States
Dale Davis,C-F,6-11,252,35,"GOS, IND",61,13,Clemson,1991 Rnd 1 Pick 13,United States
Josh Davis,F,6-8,235,24,PHI,42,1,Wyoming,"2002 NBA Draft, Undrafted",United States
Ricky Davis,GF,6-7,195,25,BOS,82,6,Iowa,1998 Rnd 1 Pick 21,United States
Andrew DeClercq,C,6-10,230,32,ORL,8,9,Florida,1995 Rnd 2 Pick 5,United States
Carlos Delfino,SG,6-6,230,22,DET,30,0,Fortituto Kontatto Bologna (Italy),2003 Rnd 1 Pick 25,Argentina
Tony Delk,G,6-1,189,31,ATL,56,8,Kentucky,1996 Rnd 1 Pick 16,United States
Luol Deng,GF,6-9,220,19,CHI,61,0,Duke,2004 Rnd 1 Pick 7,England South Sudan
Boris Diaw,PF,6-8,250,22,ATL,66,1,Pau-Orthez (France),2003 Rnd 1 Pick 21,France
Dan Dickau,G,6-0,190,26,"DAL, NOP",71,2,Gonzaga,2002 Rnd 1 Pick 28,United States
Kaniel Dickens,F,6-8,215,26,NJN,11,2,Idaho,2000 Rnd 2 Pick 21,United States
DeSagana Diop,C,7-0,280,23,CLE,39,3,Oak Hill Academy (Virginia),2001 Rnd 1 Pick 8,Senegal
Vlade Divac,C,7-1,260,37,LAL,15,15,KK Partizan (Serbia),1989 Rnd 1 Pick 26,Serbia
Juan Dixon,G,6-3,164,26,WAS,63,2,Maryland,2002 Rnd 1 Pick 17,United States
Michael Doleac,C,6-11,262,27,MIA,80,6,Utah,1998 Rnd 1 Pick 12,United States
Keyon Dooling,G,6-3,196,24,MIA,74,4,Missouri,2000 Rnd 1 Pick 10,United States
Peja Drobnjak,FC,6-11,270,29,ATL,71,3,KK Partizan (Serbia),1997 Rnd 2 Pick 20,Montenegro
Chris Duhon,G,6-1,190,22,CHI,82,0,Duke,2004 Rnd 2 Pick 9,United States
Tim Duncan,FC,6-11,250,28,SAS,66,7,Wake Forest,1997 Rnd 1 Pick 1,United States
Mike Dunleavy,GF,6-9,230,24,GSW,79,2,Duke,2002 Rnd 1 Pick 3,United States
Ronald Dupree,F,6-7,209,24,DET,47,1,LSU,"2003 NBA Draft, Undrafted",United States
Ndudi Ebi,F,6-9,231,20,MIN,2,1,Westbury Christian School (Texas),2003 Rnd 1 Pick 26,England Nigeria
Corsley Edwards,PF,6-9,275,25,NOP,10,1,Central Connecticut State,2002 Rnd 2 Pick 29,United States
John Edwards,C,7-0,275,23,IND,25,0,Kent State,"2004 NBA Draft, Undrafted",United States
Howard Eisley,G,6-2,177,32,UTA,74,10,Boston College,1994 Rnd 2 Pick 3,United States
Obinna Ekezie,C,6-9,270,29,ATL,42,5,Maryland,1999 Rnd 2 Pick 8,Nigeria
Francisco Elson,C-F,7-0,235,29,DEN,67,1,California,1999 Rnd 2 Pick 12,Netherlands South Sudan
Melvin Ely,FC,6-10,261,26,CHA,79,2,Fresno State,2002 Rnd 1 Pick 12,United States
Andre Emmett,GF,6-5,224,22,MEM,8,0,Texas Tech,2004 Rnd 2 Pick 6,United States
Maurice Evans,G-F,6-5,220,26,SAC,65,2,Texas,"2001 NBA Draft, Undrafted",United States
Reggie Evans,PF,6-8,245,24,SEA,79,2,Iowa,"2002 NBA Draft, Undrafted",United States
Michael Finley,G-F,6-7,225,31,DAL,64,9,Wisconsin,1995 Rnd 1 Pick 21,United States
Derek Fisher,G,6-1,210,30,GSW,74,8,Little Rock,1996 Rnd 1 Pick 24,United States
Marcus Fizer,F,6-8,246,26,MIL,54,4,Iowa State,2000 Rnd 1 Pick 4,United States
Luis Flores,G,6-2,205,23,"DEN, GOS",16,0,Manhattan,2004 Rnd 2 Pick 26,Dominican Republic
Danny Fortson,F,6-7,260,28,SEA,62,7,Cincinnati,1997 Rnd 1 Pick 10,United States
Jeff Foster,C,6-11,236,28,IND,61,5,Texas State,1999 Rnd 1 Pick 21,United States
Tremaine Fowlkes,F,6-8,220,28,IND,8,4,Fresno State,1998 Rnd 2 Pick 25,United States
Adonal Foyle,C,6-10,250,29,GSW,78,7,Colgate,1997 Rnd 1 Pick 8,Saint Vincent and the Grenadines United States
Richie Frahm,G,6-5,210,27,POR,43,2,Gonzaga,"2000 NBA Draft, Undrafted",United States
Steve Francis,G,6-3,195,28,ORL,78,5,Maryland,1999 Rnd 1 Pick 2,United States
Matt Freije,FC,6-10,240,23,NOP,23,0,Vanderbilt,2004 Rnd 2 Pick 24,United States Lebanon
Lawrence Funderburke,PF,6-9,230,34,CHI,2,7,Ohio State,1994 Rnd 2 Pick 24,United States
Dan Gadzuric,FC,6-11,240,27,MIL,81,2,UCLA,2002 Rnd 2 Pick 5,Netherlands United States
Reece Gaines,G,6-6,210,24,"HOU, MIL",21,1,Louisville,2003 Rnd 1 Pick 15,United States
Alex Garcia,G-F,6-2,220,24,NOP,8,1,COC-Ribeirao Preto (Brazil),"2002 NBA Draft, Undrafted",Brazil
Kevin Garnett,PF,6-11,240,28,MIN,82,9,Farragut Career Academy (Illinois),1995 Rnd 1 Pick 5,United States
Pat Garrity,F,6-9,238,28,ORL,71,6,Notre Dame,1998 Rnd 1 Pick 19,United States
Pau Gasol,FC,7-0,250,24,MEM,56,3,Barca (Spain),2001 Rnd 1 Pick 3,Spain
Devean George,F-G,6-8,235,27,LAL,15,5,Augsburg College,1999 Rnd 1 Pick 23,United States
Eddie Gill,PG,6-0,190,26,IND,73,4,Weber State,"2000 NBA Draft, Undrafted",United States
Kendall Gill,SG,6-5,195,36,MIL,14,14,Illinois,1990 Rnd 1 Pick 5,United States
Manu Ginobili,SG,6-6,205,27,SAS,74,2,Viola Reggio Calabria (Italy),1999 Rnd 2 Pick 28,Argentina
Gordan Giricek,G-F,6-6,210,27,UTA,81,2,KK Cibona (Croatia),1999 Rnd 2 Pick 11,Croatia
Dion Glover,GF,6-5,228,26,SAS,7,5,Georgia Tech,1999 Rnd 1 Pick 20,United States
Anthony Goldwire,G,6-1,182,33,"DET, MIL",33,7,Houston,1994 Rnd 2 Pick 25,United States
Drew Gooden,FC,6-10,250,23,CLE,82,2,Kansas,2002 Rnd 1 Pick 4,United States
Ben Gordon,SG,6-3,200,21,CHI,82,0,Connecticut,2004 Rnd 1 Pick 3,England United States
Brian Grant,PF,6-9,254,32,LAL,69,10,Xavier,1994 Rnd 1 Pick 8,United States
Willie Green,SG,6-3,201,23,PHI,57,1,Detroit-Mercy,2003 Rnd 2 Pick 12,United States
Adrian Griffin,G-F,6-5,217,30,CHI,69,6,Seton Hall,"1996 NBA Draft, Undrafted",United States
Eddie Griffin,F,6-10,220,22,MIN,70,3,Seton Hall,2001 Rnd 1 Pick 7,United States
Tom Gugliotta,PF,6-10,240,35,"ATL, BOS",47,12,NC State,1992 Rnd 1 Pick 6,United States
Marcus Haislip,FC,6-10,230,24,IND,9,2,Tennessee,2002 Rnd 1 Pick 13,United States
Darvin Ham,F-G,6-7,220,31,DET,47,7,Texas Tech,"1996 NBA Draft, Undrafted",United States
Richard Hamilton,SG,6-7,193,27,DET,76,5,Connecticut,1999 Rnd 1 Pick 7,United States
Zendon Hamilton,C,6-11,250,29,MIL,16,5,St. John's,"1998 NBA Draft, Undrafted",United States
Ben Handlogten,PF,6-10,240,31,UTA,21,2,Western Michigan,"1996 NBA Draft, Undrafted",United States
Penny Hardaway,PG,6-7,195,33,NYK,37,11,Memphis,1993 Rnd 1 Pick 3,United States
Matt Harpring,F,6-7,230,28,UTA,78,6,Georgia Tech,1998 Rnd 1 Pick 15,United States
Al Harrington,F,6-9,245,25,ATL,66,6,St. Patrick High School (New Jersey),1998 Rnd 1 Pick 25,United States
Junior Harrington,G,6-4,180,24,NOP,29,2,Wingate,"2002 NBA Draft, Undrafted",United States
Othella Harrington,F-C,6-9,235,31,CHI,70,8,Georgetown,1996 Rnd 2 Pick 1,United States
Devin Harris,G,6-3,185,22,DAL,76,0,Wisconsin,2004 Rnd 1 Pick 5,United States
Lucious Harris,SG,6-5,190,34,CLE,73,11,Long Beach State,1993 Rnd 2 Pick 1,United States
David Harrison,C,7-0,254,22,IND,43,0,Colorado,2004 Rnd 1 Pick 29,United States
Jason Hart,G,6-3,180,26,CHA,74,3,Syracuse,2000 Rnd 2 Pick 20,United States
Donnell Harvey,F,6-8,220,24,NJN,3,4,Florida,2000 Rnd 1 Pick 22,United States
Udonis Haslem,FC,6-8,235,24,MIA,80,1,Florida,"2002 NBA Draft, Undrafted",United States
Trenton Hassell,F,6-5,227,25,MIN,82,3,Austin Peay,2001 Rnd 2 Pick 1,United States
Jarvis Hayes,SF,6-6,220,23,WAS,54,1,Georgia,2003 Rnd 1 Pick 10,United States Qatar
Brendan Haywood,C,7-0,263,25,WAS,68,3,North Carolina,2001 Rnd 1 Pick 20,United States
Alan Henderson,F-C,6-9,235,32,DAL,78,9,Indiana,1995 Rnd 1 Pick 16,United States
Grant Hill,SF,6-8,225,32,ORL,67,10,Duke,1994 Rnd 1 Pick 3,United States
Kirk Hinrich,G,6-4,190,24,CHI,77,1,Kansas,2003 Rnd 1 Pick 7,United States
Fred Hoiberg,G,6-4,203,32,MIN,76,9,Iowa State,1995 Rnd 2 Pick 23,United States
Robert Horry,PF,6-9,220,34,SAS,75,12,Alabama,1992 Rnd 1 Pick 11,United States
Eddie House,G,6-1,190,26,"CHA, MIL, SAC",68,4,Arizona State,2000 Rnd 2 Pick 8,United States
Allan Houston,G,6-6,205,33,NYK,20,11,Tennessee,1993 Rnd 1 Pick 11,United States
Dwight Howard,C,6-11,265,19,ORL,82,0,Southwest Atlanta Christian Academy (Georgia),2004 Rnd 1 Pick 1,United States
Josh Howard,GF,6-7,210,24,DAL,76,1,Wake Forest,2003 Rnd 1 Pick 29,United States
Juwan Howard,PF,6-9,240,32,HOU,61,10,Michigan,1994 Rnd 1 Pick 5,United States
Troy Hudson,G,6-1,170,28,MIN,79,7,Southern Illinois,"1997 NBA Draft, Undrafted",United States
Larry Hughes,G,6-5,184,26,WAS,61,6,Saint Louis,1998 Rnd 1 Pick 8,United States
Ryan Humphrey,F,6-8,235,25,MEM,35,2,Notre Dame,2002 Rnd 1 Pick 19,United States
Kris Humphries,PF,6-9,235,20,UTA,67,0,Minnesota,2004 Rnd 1 Pick 14,United States
Brandon Hunter,C,6-7,260,24,ORL,31,1,Ohio,2003 Rnd 2 Pick 27,United States
Lindsey Hunter,G,6-2,195,34,DET,76,11,Jackson State,1993 Rnd 1 Pick 10,United States
Steven Hunter,F-C,7-0,240,23,PHX,76,3,DePaul,2001 Rnd 1 Pick 15,United States
Andre Iguodala,SF,6-6,215,21,PHI,82,0,Arizona,2004 Rnd 1 Pick 9,United States
Zydrunas Ilgauskas,C,7-3,260,29,CLE,78,8,BC Aisciai-Atletas (Lithuania),1996 Rnd 1 Pick 20,Lithuania
Allen Iverson,G,6-0,165,29,PHI,75,8,Georgetown,1996 Rnd 1 Pick 1,United States
Royal Ivey,G,6-4,215,23,ATL,62,0,Texas,2004 Rnd 2 Pick 8,United States
Bobby Jackson,G,6-1,185,31,SAC,25,7,Minnesota,1997 Rnd 1 Pick 23,United States
Jermaine Jackson,G,6-4,204,28,NYK,21,4,Detroit-Mercy,"1999 NBA Draft, Undrafted",United States
Jim Jackson,SG,6-6,220,34,"HOU, PHX",64,12,Ohio State,1992 Rnd 1 Pick 4,United States
Luke Jackson,SF,6-7,215,23,CLE,10,0,Oregon,2004 Rnd 1 Pick 10,United States
Marc Jackson,C,6-10,270,30,PHI,81,4,Temple,1997 Rnd 2 Pick 9,United States
Stephen Jackson,GF,6-8,220,26,IND,51,7,Butler CC,1997 Rnd 2 Pick 14,United States
Casey Jacobsen,SG,6-6,214,23,"NOP, PHX",84,2,Stanford,2002 Rnd 1 Pick 22,United States
Jerome James,C,7-0,300,29,SEA,80,5,Florida A&M,1998 Rnd 2 Pick 7,United States
LeBron James,F,6-8,250,20,CLE,80,1,St. Vincent St. Mary High School (Ohio),2003 Rnd 1 Pick 1,United States
Mike James,G,6-2,188,29,"HOU, MIL",74,3,Duquesne,"1998 NBA Draft, Undrafted",United States
Antawn Jamison,F,6-9,235,28,WAS,68,6,North Carolina,1998 Rnd 1 Pick 4,United States
Marko Jaric,GF,6-7,224,26,LAC,50,2,Fortituto Kontatto Bologna (Italy),2000 Rnd 2 Pick 1,Serbia Greece
Al Jefferson,FC,6-10,289,20,BOS,71,0,Prentiss High School (Mississippi),2004 Rnd 1 Pick 15,United States
Richard Jefferson,SF,6-7,233,24,NJN,33,3,Arizona,2001 Rnd 1 Pick 13,United States
Jared Jeffries,PF,6-11,240,23,WAS,77,2,Indiana,2002 Rnd 1 Pick 11,United States
Horace Jenkins,G,6-1,180,30,DET,15,0,William Paterson,"2001 NBA Draft, Undrafted",United States
Britton Johnsen,F,6-10,210,25,IND,6,1,Utah,"2003 NBA Draft, Undrafted",United States
Anthony Johnson,G,6-3,195,30,IND,63,7,Charleston,1997 Rnd 2 Pick 11,United States
DerMarr Johnson,GF,6-9,201,24,DEN,71,4,Cincinnati,2000 Rnd 1 Pick 6,United States
Ervin Johnson,C,6-11,245,37,MIN,46,11,New Orleans,1993 Rnd 1 Pick 23,United States
Joe Johnson,SG,6-7,240,23,PHX,82,3,Arkansas,2001 Rnd 1 Pick 10,United States
Linton Johnson,F,6-8,205,24,SAS,2,1,Tulane,"2002 NBA Draft, Undrafted",United States
Dahntay Jones,GF,6-6,225,24,MEM,52,1,Duke,2003 Rnd 1 Pick 20,United States
Damon Jones,G,6-3,185,28,MIA,82,6,Houston,"1997 NBA Draft, Undrafted",United States
Eddie Jones,G-F,6-6,200,33,MIA,80,10,Temple,1994 Rnd 1 Pick 10,United States
Fred Jones,G,6-4,210,25,IND,77,2,Oregon,2002 Rnd 1 Pick 14,United States
James Jones,SF,6-8,218,24,IND,75,1,Miami (FL),2003 Rnd 2 Pick 20,United States
Jumaine Jones,SF,6-8,218,26,LAL,76,5,Georgia,1999 Rnd 1 Pick 27,United States
Mark Jones,SF,6-6,215,29,ORL,10,0,UCF,"2004 NBA Draft, Undrafted",United States
Chris Kaman,C,7-0,265,22,LAC,63,1,Central Michigan,2003 Rnd 1 Pick 6,United States Germany
Jason Kapono,SF,6-8,213,24,CHA,81,1,UCLA,2003 Rnd 2 Pick 2,United States
Mario Kasun,C,6-10,260,24,ORL,45,0,Koln 99ers (Germany),2002 Rnd 2 Pick 12,Croatia
Viktor Khryapa,PF,6-7,220,22,POR,32,0,CSKA Moscow (Russia),2004 Rnd 1 Pick 22,Russia
Jason Kidd,PG,6-4,210,31,NJN,66,10,California,1994 Rnd 1 Pick 2,United States
Andrei Kirilenko,PF,6-9,235,24,UTA,41,3,CSKA Moscow (Russia),1999 Rnd 1 Pick 24,Russia
Kerry Kittles,G,6-5,179,30,LAC,11,8,Villanova,1996 Rnd 1 Pick 8,United States
Brandin Knight,G,6-0,180,23,HOU,1,1,Pittsburgh,"2003 NBA Draft, Undrafted",United States
Brevin Knight,G,5-10,170,29,CHA,66,7,Stanford,1997 Rnd 1 Pick 16,United States
Kyle Korver,SF,6-7,212,23,PHI,82,1,Creighton,2003 Rnd 2 Pick 22,United States
Nenad Krstic,C,6-10,255,21,NJN,75,0,KK Partizan (Serbia),2002 Rnd 1 Pick 24,Serbia
Toni Kukoc,SF,6-11,235,36,MIL,53,11,KK Split (Croatia),1990 Rnd 2 Pick 2,Croatia
Ibrahim Kutluay,G,6-6,200,31,SEA,5,0,Alpella B.K. (Turkey),"1996 NBA Draft, Undrafted",Turkey
Raef LaFrentz,F,6-11,245,28,BOS,80,6,Kansas,1998 Rnd 1 Pick 3,United States
Christian Laettner,PF,6-11,245,35,MIA,49,12,Duke,1992 Rnd 1 Pick 3,United States
Maciej Lampe,FC,6-11,275,20,"NOP, PHX",37,1,Complutense University (Spain),2003 Rnd 2 Pick 1,Poland
Voshon Lenard,SG,6-4,205,31,DEN,3,9,Minnesota,1994 Rnd 2 Pick 19,United States
Rashard Lewis,F,6-10,235,25,SEA,71,6,Alief Elsik High School (Texas),1998 Rnd 2 Pick 3,United States
Randy Livingston,GF,6-4,209,29,UTA,17,7,LSU,1996 Rnd 2 Pick 13,United States
Shaun Livingston,G,6-7,192,19,LAC,30,0,Peoria Central High School (Illinois),2004 Rnd 1 Pick 4,United States
Raul Lopez,PG,6-0,175,24,UTA,31,2,Real Madrid (Spain),2001 Rnd 1 Pick 24,Spain
Tyronn Lue,G,6-0,170,27,"ATL, HOU",70,6,Nebraska,1998 Rnd 1 Pick 23,United States
George Lynch,SF,6-8,218,34,NOP,44,11,North Carolina,1993 Rnd 1 Pick 12,United States
Mark Madsen,C-F,6-9,240,29,MIN,41,4,Stanford,2000 Rnd 1 Pick 29,United States
