Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Shareef Abdur-Rahim,F,6-9,225,28,POR,54,8,California,1996 Rnd 1 Pick 3,United States
Cory Alexander,G,6-1,185,31,CHA,16,6,Virginia,1995 Rnd 1 Pick 29,United States
Malik Allen,F,6-10,255,26,"CHA, MIA",36,4,Villanova,"2000 NBA Draft, Undrafted",United States
Ray Allen,SG,6-5,205,29,SEA,78,8,Connecticut,1996 Rnd 1 Pick 5,United States
Tony Allen,SG,6-4,213,23,BOS,77,0,Oklahoma State,2004 Rnd 1 Pick 25,United States
Rafer Alston,G,6-2,175,28,TOR,80,5,Fresno State,1998 Rnd 2 Pick 10,United States
Chris Andersen,FC,6-10,245,26,NOP,67,3,Blinn,"1999 NBA Draft, Undrafted",United States
Derek Anderson,G,6-5,194,30,POR,47,7,Kentucky,1997 Rnd 1 Pick 13,United States
Kenny Anderson,PG,6-0,168,34,"ATL, LAC",43,13,Georgia Tech,1991 Rnd 1 Pick 2,United States
Shandon Anderson,GF,6-6,208,31,"MIA, NYK",66,8,Georgia,1996 Rnd 2 Pick 25,United States
Carmelo Anthony,F,6-8,240,20,DEN,75,1,Syracuse,2003 Rnd 1 Pick 3,United States
Babby Araujo,C,6-11,280,24,TOR,59,0,Brigham Young,2004 Rnd 1 Pick 8,Brazil
Gilbert Arenas,G,6-3,191,23,WAS,80,3,Arizona,2001 Rnd 2 Pick 2,United States
Trevor Ariza,SF,6-8,215,19,NYK,80,0,UCLA,2004 Rnd 2 Pick 14,United States
Darrell Armstrong,PG,6-0,170,36,"DAL, NOP",66,10,Fayetteville State,"1991 NBA Draft, Undrafted",United States
Carlos Arroyo,PG,6-2,202,25,"DET, UTH",70,3,Florida International,"2001 NBA Draft, Undrafted",Puerto Rico United States
Chucky Atkins,G,5-11,185,30,LAL,82,6,South Florida,"1996 NBA Draft, Undrafted",United States
Stacey Augmon,SF,6-6,205,36,ORL,55,13,UNLV,1991 Rnd 1 Pick 9,United States
Maurice Baker,G,6-1,195,24,"LAC, POR",5,1,Oklahoma State,"2002 NBA Draft, Undrafted",United States
Vin Baker,PF,6-11,240,33,"HOU, NYK",27,11,Hartford,1993 Rnd 1 Pick 8,United States
Marcus Banks,G,6-2,200,23,BOS,81,1,UNLV,2003 Rnd 1 Pick 13,United States
Leandro Barbosa,G,6-3,194,22,PHX,63,1,Bauru (Brazil),2003 Rnd 1 Pick 28,Brazil
Matt Barnes,GF,6-7,226,24,SAC,43,2,UCLA,2002 Rnd 2 Pick 17,United States
Andre Barrett,PG,5-10,173,23,"HOU, ORL",38,0,Seton Hall,"2004 NBA Draft, Undrafted",United States
Brent Barry,G,6-7,210,33,SAS,81,9,Oregon State,1995 Rnd 1 Pick 15,United States
Jon Barry,SG,6-4,195,35,"ATL, HOU",69,12,Georgia Tech,1992 Rnd 1 Pick 21,United States
Tony Battie,PF,6-11,230,29,ORL,81,7,Texas Tech,1997 Rnd 1 Pick 5,United States
Shane Battier,F,6-8,220,26,MEM,80,3,Duke,2001 Rnd 1 Pick 6,United States
Lonny Baxter,PF,6-8,260,26,NOP,4,2,Maryland,2002 Rnd 2 Pick 15,United States
Raja Bell,SG,6-5,204,28,UTA,63,5,Florida International,"1999 NBA Draft, Undrafted",United States
Jonathan Bender,F,6-11,202,24,IND,7,5,Picayune High School (Mississippi),1999 Rnd 1 Pick 5,United States
Travis Best,PG,5-11,182,32,NJN,76,9,Georgia Tech,1995 Rnd 1 Pick 23,United States
Mike Bibby,G,6-2,195,26,SAC,80,6,Arizona,1998 Rnd 1 Pick 2,United States
Andris Biedrins,C,7-0,250,18,GSW,30,0,BK Skonto Riga (Latvia),2004 Rnd 1 Pick 11,Latvia
Chauncey Billups,G,6-3,210,28,DET,80,7,Colorado,1997 Rnd 1 Pick 3,United States
Steve Blake,G,6-3,172,25,WAS,44,1,Maryland,2003 Rnd 2 Pick 9,United States
Mark Blount,C-F,7-0,250,29,BOS,82,5,Pittsburgh,1997 Rnd 2 Pick 26,United States
Tony Bobbitt,G,6-4,205,25,LAL,2,0,Cincinnati,"2004 NBA Draft, Undrafted",United States
Keith Bogans,GF,6-5,215,24,CHA,74,1,Kentucky,2003 Rnd 2 Pick 14,United States
Matt Bonner,FC,6-10,235,24,TOR,82,0,Florida,2003 Rnd 2 Pick 16,United States
Calvin Booth,C,6-11,230,28,"DAL, MIL",51,5,Penn State,1999 Rnd 2 Pick 6,United States
Carlos Boozer,PF,6-9,266,23,UTA,51,2,Duke,2002 Rnd 2 Pick 6,Germany United States
Curtis Borchardt,C,7-0,240,24,UTA,67,2,Stanford,2002 Rnd 1 Pick 18,United States
Chris Bosh,PF,6-11,235,20,TOR,81,1,Georgia Tech,2003 Rnd 1 Pick 4,United States
Bruce Bowen,F,6-7,200,33,SAS,82,9,Cal State Fullerton,"1993 NBA Draft, Undrafted",United States
Ryan Bowen,F,6-9,218,29,HOU,66,5,Iowa,1998 Rnd 2 Pick 26,United States
Earl Boykins,G,5-5,135,28,DEN,82,6,Eastern Michigan,"1998 NBA Draft, Undrafted",United States
Michael Bradley,F,6-10,245,25,"ORL, PHL, SAC",18,3,Villanova,2001 Rnd 1 Pick 17,United States
Shawn Bradley,C,7-6,235,32,DAL,77,11,Brigham Young,1993 Rnd 1 Pick 2,United States Germany
Torraye Braggs,F,6-8,245,28,HOU,7,4,Xavier,1998 Rnd 2 Pick 28,United States
Elton Brand,PF,6-9,254,25,LAC,81,5,Duke,1999 Rnd 1 Pick 1,United States
Jamison Brewer,PG,6-4,180,24,NYK,18,3,Auburn,2001 Rnd 2 Pick 12,United States
Primoz Brezec,C,7-2,252,25,CHA,72,3,Union Olimpija (Slovenia),2000 Rnd 1 Pick 27,Slovenia
Damone Brown,F,6-9,200,25,WAS,14,3,Syracuse,2001 Rnd 2 Pick 8,United States
