Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Mahmoud Abdul-Rauf,PG,6-0,162,31,VAN,41,8,LSU,1990 Rnd 1 Pick 3,United States
Tariq Abdul-Wahad,SF,6-6,223,26,DEN,29,3,San Jose State,1997 Rnd 1 Pick 11,France
Shareef Abdur-Rahim,F,6-9,225,24,VAN,81,4,California,1996 Rnd 1 Pick 3,United States
Cory Alexander,G,6-1,185,27,ORL,26,5,Virginia,1995 Rnd 1 Pick 29,United States
Courtney Alexander,SG,6-5,205,23,"DAL, WAS",65,0,Fresno State,2000 Rnd 1 Pick 13,United States
Ray Allen,SG,6-5,205,25,MIL,82,4,Connecticut,1996 Rnd 1 Pick 5,United States
Rafer Alston,G,6-2,175,24,MIL,37,1,Fresno State,1998 Rnd 2 Pick 10,United States
John Amaechi,C,6-10,270,30,ORL,82,2,Penn State,"1995 NBA Draft, Undrafted",United States
Derek Anderson,G,6-5,194,26,SAS,82,3,Kentucky,1997 Rnd 1 Pick 13,United States
Kenny Anderson,PG,6-0,168,30,BOS,33,9,Georgia Tech,1991 Rnd 1 Pick 2,United States
Nick Anderson,GF,6-6,228,33,SAC,21,11,Illinois,1989 Rnd 1 Pick 11,United States
Shandon Anderson,GF,6-6,208,27,HOU,82,4,Georgia,1996 Rnd 2 Pick 25,United States
Greg Anthony,PG,6-0,176,33,POR,58,9,UNLV,1991 Rnd 1 Pick 12,United States
Darrell Armstrong,PG,6-0,170,32,ORL,75,6,Fayetteville State,"1991 NBA Draft, Undrafted",United States
Chucky Atkins,G,5-11,185,26,DET,81,2,South Florida,"1996 NBA Draft, Undrafted",United States
Stacey Augmon,SF,6-6,205,32,POR,66,9,UNLV,1991 Rnd 1 Pick 9,United States
Ike Austin,C,6-10,255,31,VAN,52,7,Arizona State,1991 Rnd 2 Pick 21,United States
William Avery,PG,6-2,197,21,MIN,55,1,Duke,1999 Rnd 1 Pick 14,United States
Dalibor Bagaric,C,7-1,255,21,CHI,35,0,KK Dubrava Zagreb (Croatia),2000 Rnd 1 Pick 24,Croatia
Vin Baker,PF,6-11,240,29,SEA,76,7,Hartford,1993 Rnd 1 Pick 8,United States
Erick Barkley,PG,6-1,177,23,POR,8,0,St. John's,2000 Rnd 1 Pick 28,United States
Dana Barros,PG,5-11,165,33,DET,60,11,Boston College,1989 Rnd 1 Pick 16,United States
Brent Barry,G,6-7,210,29,SEA,67,5,Oregon State,1995 Rnd 1 Pick 15,United States
Jon Barry,SG,6-4,195,31,SAC,62,8,Georgia Tech,1992 Rnd 1 Pick 21,United States
Tony Battie,PF,6-11,230,25,BOS,40,3,Texas Tech,1997 Rnd 1 Pick 5,United States
