Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Shareef Abdur-Rahim,F,6-9,225,29,SAC,72,9,California,1996 Rnd 1 Pick 3,United States
Alex Acker,SG,6-5,185,23,DET,5,0,Pepperdine,2005 Rnd 2 Pick 30,United States
Malik Allen,F,6-10,255,27,CHI,54,5,Villanova,"2000 NBA Draft, Undrafted",United States
Ray Allen,SG,6-5,205,30,SEA,78,9,Connecticut,1996 Rnd 1 Pick 5,United States
Tony Allen,SG,6-4,213,24,BOS,51,1,Oklahoma State,2004 Rnd 1 Pick 25,United States
Rafer Alston,G,6-2,175,29,HOU,63,6,Fresno State,1998 Rnd 2 Pick 10,United States
Chris Andersen,FC,6-10,245,27,NOP,32,4,Blinn,"1999 NBA Draft, Undrafted",United States
Alan Anderson,GF,6-6,220,23,CHA,36,0,Michigan State,"2005 NBA Draft, Undrafted",United States
Derek Anderson,G,6-5,194,31,"HOU, MIA",43,8,Kentucky,1997 Rnd 1 Pick 13,United States
Shandon Anderson,GF,6-6,208,32,MIA,48,9,Georgia,1996 Rnd 2 Pick 25,United States
Martynas Andriuskevicius,C,7-2,240,19,CLE,6,0,Zalgiris (Lithuania),2005 Rnd 2 Pick 14,Lithuania
Carmelo Anthony,F,6-8,240,21,DEN,80,2,Syracuse,2003 Rnd 1 Pick 3,United States
Babby Araujo,C,6-11,280,25,TOR,52,1,Brigham Young,2004 Rnd 1 Pick 8,Brazil
Gilbert Arenas,G,6-3,191,24,WAS,80,4,Arizona,2001 Rnd 2 Pick 2,United States
Trevor Ariza,SF,6-8,215,20,"NYK, ORL",57,1,UCLA,2004 Rnd 2 Pick 14,United States
Darrell Armstrong,PG,6-0,170,37,DAL,62,11,Fayetteville State,"1991 NBA Draft, Undrafted",United States
Carlos Arroyo,PG,6-2,202,26,"DET, ORL",77,4,Florida International,"2001 NBA Draft, Undrafted",Puerto Rico United States
Chucky Atkins,G,5-11,185,31,"MEM, WAS",71,7,South Florida,"1996 NBA Draft, Undrafted",United States
Stacey Augmon,SF,6-6,205,37,ORL,36,14,UNLV,1991 Rnd 1 Pick 9,United States
Vin Baker,PF,6-11,240,34,LAC,8,12,Hartford,1993 Rnd 1 Pick 8,United States
Marcus Banks,G,6-2,200,24,"BOS, MIN",58,2,UNLV,2003 Rnd 1 Pick 13,United States
Leandro Barbosa,G,6-3,194,23,PHX,57,2,Bauru (Brazil),2003 Rnd 1 Pick 28,Brazil
Matt Barnes,GF,6-7,226,25,"NYK, PHL",56,3,UCLA,2002 Rnd 2 Pick 17,United States
Andre Barrett,PG,5-10,173,24,"PHX, TOR",19,1,Seton Hall,"2004 NBA Draft, Undrafted",United States
Earl Barron,C,7-0,250,24,MIA,8,1,Memphis,"2003 NBA Draft, Undrafted",United States
Brent Barry,G,6-7,210,34,SAS,74,10,Oregon State,1995 Rnd 1 Pick 15,United States
Jon Barry,SG,6-4,195,36,HOU,20,13,Georgia Tech,1992 Rnd 1 Pick 21,United States
Eddie Basden,G,6-5,215,23,CHI,19,0,Charlotte,"2005 NBA Draft, Undrafted",United States
Brandon Bass,PF,6-8,250,20,NOP,29,0,LSU,2005 Rnd 2 Pick 3,United States
Esteban Batista,FC,6-10,270,22,ATL,58,0,Aguas de Calpe (Gibraltar),"2005 NBA Draft, Undrafted",Uruguay
Tony Battie,PF,6-11,230,30,ORL,82,8,Texas Tech,1997 Rnd 1 Pick 5,United States
Shane Battier,F,6-8,220,27,MEM,81,4,Duke,2001 Rnd 1 Pick 6,United States
Lonny Baxter,PF,6-8,260,27,"CHA, HOU",41,3,Maryland,2002 Rnd 2 Pick 15,United States
Charlie Bell,G,6-3,200,26,MIL,59,1,Michigan State,"2001 NBA Draft, Undrafted",United States
Raja Bell,SG,6-5,204,29,PHX,79,6,Florida International,"1999 NBA Draft, Undrafted",United States
Jonathan Bender,F,6-11,202,25,IND,2,6,Picayune High School (Mississippi),1999 Rnd 1 Pick 5,United States
Mike Bibby,G,6-2,195,27,SAC,82,7,Arizona,1998 Rnd 1 Pick 2,United States
Andris Biedrins,C,7-0,250,19,GSW,68,1,BK Skonto Riga (Latvia),2004 Rnd 1 Pick 11,Latvia
Chauncey Billups,G,6-3,210,29,DET,81,8,Colorado,1997 Rnd 1 Pick 3,United States
Steve Blake,G,6-3,172,26,POR,68,2,Maryland,2003 Rnd 2 Pick 9,United States
Andray Blatche,PF,6-11,260,19,WAS,29,0,South Kent School (Connecticut),2005 Rnd 2 Pick 19,United States Philippines
Mark Blount,C-F,7-0,250,30,"BOS, MIN",81,6,Pittsburgh,1997 Rnd 2 Pick 26,United States
