Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Keith Bogans,GF,6-5,215,25,"CHA, HOU",72,2,Kentucky,2003 Rnd 2 Pick 14,United States
Andrew Bogut,C,7-0,260,21,MIL,82,0,Utah,2005 Rnd 1 Pick 1,Australia
Matt Bonner,FC,6-10,235,25,TOR,78,1,Florida,2003 Rnd 2 Pick 16,United States
Calvin Booth,C,6-11,230,29,WAS,33,6,Penn State,1999 Rnd 2 Pick 6,United States
Carlos Boozer,PF,6-9,266,24,UTA,33,3,Duke,2002 Rnd 2 Pick 6,Germany United States
Chris Bosh,PF,6-11,235,21,TOR,70,2,Georgia Tech,2003 Rnd 1 Pick 4,United States
Bruce Bowen,F,6-7,200,34,SAS,82,10,Cal State Fullerton,"1993 NBA Draft, Undrafted",United States
Ryan Bowen,F,6-9,218,30,HOU,68,6,Iowa,1998 Rnd 2 Pick 26,United States
Earl Boykins,G,5-5,135,29,DEN,60,7,Eastern Michigan,"1998 NBA Draft, Undrafted",United States
Michael Bradley,F,6-10,245,26,PHI,46,4,Villanova,2001 Rnd 1 Pick 17,United States
Elton Brand,PF,6-9,254,26,LAC,79,6,Duke,1999 Rnd 1 Pick 1,United States
Primoz Brezec,C,7-2,252,26,CHA,79,4,Union Olimpija (Slovenia),2000 Rnd 1 Pick 27,Slovenia
Devin Brown,SF,6-5,220,27,UTA,81,3,Texas-San Antonio,"2002 NBA Draft, Undrafted",United States
Kwame Brown,C,6-11,290,23,LAL,72,4,Glynn Academy (Georgia),2001 Rnd 1 Pick 1,United States
P.J. Brown,C,6-11,225,36,NOP,75,12,Louisiana Tech,1992 Rnd 2 Pick 2,United States
Rick Brunson,SG,6-4,190,33,"HOU, SEA",27,9,Temple,"1995 NBA Draft, Undrafted",United States
Kobe Bryant,SG,6-6,212,27,LAL,80,9,Lower Merion High School (Pennsylvania),1996 Rnd 1 Pick 13,United States
Greg Buckner,G-F,6-4,210,29,DEN,73,7,Clemson,1998 Rnd 2 Pick 24,United States
Pat Burke,C,6-11,250,32,PHX,42,1,Auburn,"1997 NBA Draft, Undrafted",Ireland
Antonio Burks,G,6-1,200,26,MEM,57,1,Memphis,2004 Rnd 2 Pick 7,United States
Kevin Burleson,G,6-3,205,26,CHA,39,0,Minnesota,"2003 NBA Draft, Undrafted",United States
Caron Butler,SF,6-7,228,25,WAS,75,3,Connecticut,2002 Rnd 1 Pick 10,United States
Jackie Butler,C,6-10,250,20,NYK,55,1,Coastal Christian Academy (Virginia),"2004 NBA Draft, Undrafted",United States
Rasual Butler,GF,6-7,215,26,NOP,79,3,La Salle,2002 Rnd 2 Pick 24,United States
Andrew Bynum,C,7-0,285,18,LAL,46,0,St. Joseph High School (New Jersey),2005 Rnd 1 Pick 10,United States
Will Bynum,G,6-0,185,23,GSW,15,0,Georgia Tech,"2005 NBA Draft, Undrafted",United States
Zarko Cabarkapa,F-C,6-11,235,24,GSW,60,2,Buducnost (Montenegro),2003 Rnd 1 Pick 17,Serbia
Jose Calderon,G,6-3,200,24,TOR,64,0,Baskonia (Spain),"2003 NBA Draft, Undrafted",Spain
Marcus Camby,C,6-11,240,31,DEN,56,9,Massachusetts,1996 Rnd 1 Pick 2,United States
Brian Cardinal,PF,6-8,245,28,MEM,36,5,Purdue,2000 Rnd 2 Pick 15,United States
Matt Carroll,GF,6-6,212,25,CHA,78,2,Notre Dame,"2003 NBA Draft, Undrafted",United States
Anthony Carter,PG,6-1,190,30,MIN,45,7,Hawaii,"1998 NBA Draft, Undrafted",United States
Vince Carter,SF,6-6,220,29,NJN,79,7,North Carolina,1998 Rnd 1 Pick 5,United States
Sam Cassell,G,6-3,185,36,LAC,78,12,Florida State,1993 Rnd 1 Pick 24,United States
Kelvin Cato,C,6-11,255,31,"DET, ORL",27,8,Iowa State,1997 Rnd 1 Pick 15,United States
Tyson Chandler,C,7-1,240,23,CHI,79,4,Dominguez High School (California),2001 Rnd 1 Pick 2,United States
Calbert Cheaney,GF,6-7,209,34,GSW,42,12,Indiana,1993 Rnd 1 Pick 6,United States
Josh Childress,SF,6-8,210,22,ATL,74,1,Stanford,2004 Rnd 1 Pick 6,United States
Doug Christie,SG,6-6,200,35,DAL,7,13,Pepperdine,1992 Rnd 1 Pick 17,United States
Speedy Claxton,G,5-11,170,27,NOP,71,5,Hofstra,2000 Rnd 1 Pick 20,United States
Mateen Cleaves,G,6-2,205,28,SEA,27,5,Michigan State,2000 Rnd 1 Pick 14,United States
Jarron Collins,C,6-11,248,27,UTA,79,4,Stanford,2001 Rnd 2 Pick 24,United States
Jason Collins,C,7-0,255,27,NJN,71,4,Stanford,2001 Rnd 1 Pick 18,United States
Nick Collison,FC,6-10,255,25,SEA,66,2,Kansas,2003 Rnd 1 Pick 12,United States
Brian Cook,PF,6-9,234,25,LAL,81,2,Illinois,2003 Rnd 1 Pick 24,United States
Jamal Crawford,SG,6-5,195,25,NYK,79,5,Michigan,2000 Rnd 1 Pick 8,United States
Austin Croshere,F,6-9,235,30,IND,50,8,Providence,1997 Rnd 1 Pick 12,United States
Eddy Curry,C,7-0,295,23,NYK,72,4,Thornwood High School (Illinois),2001 Rnd 1 Pick 4,United States
Samuel Dalembert,C,6-11,250,24,PHI,66,4,Seton Hall,2001 Rnd 1 Pick 26,Canada Haiti
Erick Dampier,C,6-11,265,30,DAL,82,9,Mississippi State,1996 Rnd 1 Pick 10,United States
Antonio Daniels,G,6-4,195,30,WAS,79,8,Bowling Green,1997 Rnd 1 Pick 4,United States
Marquis Daniels,SF,6-6,200,25,DAL,62,2,Auburn,"2003 NBA Draft, Undrafted",United States
Antonio Davis,FC,6-9,245,37,"NYK, TOR",44,12,UTEP,1990 Rnd 2 Pick 18,United States
Baron Davis,G,6-3,215,26,GSW,54,6,UCLA,1999 Rnd 1 Pick 3,United States
Dale Davis,C-F,6-11,252,36,DET,28,14,Clemson,1991 Rnd 1 Pick 13,United States
Josh Davis,F,6-8,235,25,"HOU, MIL, PHX",6,2,Wyoming,"2002 NBA Draft, Undrafted",United States
Ricky Davis,GF,6-7,195,26,"BOS, MIN",78,7,Iowa,1998 Rnd 1 Pick 21,United States
Carlos Delfino,SG,6-6,230,23,DET,68,1,Fortituto Kontatto Bologna (Italy),2003 Rnd 1 Pick 25,Argentina
Tony Delk,G,6-1,189,32,"ATL, DET",24,9,Kentucky,1996 Rnd 1 Pick 16,United States
Luol Deng,GF,6-9,220,20,CHI,78,1,Duke,2004 Rnd 1 Pick 7,England South Sudan
Boris Diaw,PF,6-8,250,23,PHX,81,2,Pau-Orthez (France),2003 Rnd 1 Pick 21,France
Dan Dickau,G,6-0,190,27,BOS,19,3,Gonzaga,2002 Rnd 1 Pick 28,United States
Travis Diener,PG,6-1,174,24,ORL,23,0,Marquette,2005 Rnd 2 Pick 8,United States Italy
Ike Diogu,PF,6-8,255,22,GSW,69,0,Arizona State,2005 Rnd 1 Pick 9,United States Nigeria
DeSagana Diop,C,7-0,280,24,DAL,81,4,Oak Hill Academy (Virginia),2001 Rnd 1 Pick 8,Senegal
Juan Dixon,G,6-3,164,27,POR,76,3,Maryland,2002 Rnd 1 Pick 17,United States
Michael Doleac,C,6-11,262,28,MIA,31,7,Utah,1998 Rnd 1 Pick 12,United States
Keyon Dooling,G,6-3,196,25,ORL,50,5,Missouri,2000 Rnd 1 Pick 10,United States
Chris Duhon,G,6-1,190,23,CHI,74,1,Duke,2004 Rnd 2 Pick 9,United States
Tim Duncan,FC,6-11,250,29,SAS,80,8,Wake Forest,1997 Rnd 1 Pick 1,United States
Mike Dunleavy,GF,6-9,230,25,GSW,81,3,Duke,2002 Rnd 1 Pick 3,United States
Ronald Dupree,F,6-7,209,25,MIN,36,2,LSU,"2003 NBA Draft, Undrafted",United States
John Edwards,C,7-0,275,24,ATL,40,1,Kent State,"2004 NBA Draft, Undrafted",United States
Howard Eisley,G,6-2,177,33,"DEN, LAC",32,11,Boston College,1994 Rnd 2 Pick 3,United States
Raed Farid Elhamali,F,6-9,225,26,CHI,4,2,San Diego State,2002 Rnd 2 Pick 28,United States Libya
Monta Ellis,G,6-3,185,20,GSW,49,0,Lanier High School (Mississippi),2005 Rnd 2 Pick 10,United States
Francisco Elson,C-F,7-0,235,30,DEN,72,2,California,1999 Rnd 2 Pick 12,Netherlands South Sudan
Melvin Ely,FC,6-10,261,27,CHA,57,3,Fresno State,2002 Rnd 1 Pick 12,United States
Maurice Evans,G-F,6-5,220,27,DET,80,3,Texas,"2001 NBA Draft, Undrafted",United States
Reggie Evans,PF,6-8,245,25,"DEN, SEA",67,3,Iowa,"2002 NBA Draft, Undrafted",United States
Daniel Ewing,G,6-3,185,22,LAC,66,0,Duke,2005 Rnd 2 Pick 2,United States
Noel Felix,F-C,6-9,235,24,SEA,12,0,Fresno State,"2003 NBA Draft, Undrafted",United States
Raymond Felton,PG,6-1,205,21,CHA,80,0,North Carolina,2005 Rnd 1 Pick 5,United States
Michael Finley,G-F,6-7,225,32,SAS,77,10,Wisconsin,1995 Rnd 1 Pick 21,United States
Derek Fisher,G,6-1,210,31,GSW,82,9,Little Rock,1996 Rnd 1 Pick 24,United States
Gerald Fitch,G,6-3,188,23,MIA,18,1,Kentucky,"2004 NBA Draft, Undrafted",United States
Marcus Fizer,F,6-8,246,27,NOP,3,5,Iowa State,2000 Rnd 1 Pick 4,United States
Sharrod Ford,PF,6-9,242,23,PHX,3,0,Clemson,"2005 NBA Draft, Undrafted",United States
T.J. Ford,PG,6-0,165,22,MIL,72,2,Texas,2003 Rnd 1 Pick 8,United States
Danny Fortson,F,6-7,260,29,SEA,23,8,Cincinnati,1997 Rnd 1 Pick 10,United States
Jeff Foster,C,6-11,236,29,IND,63,6,Texas State,1999 Rnd 1 Pick 21,United States
Adonal Foyle,C,6-10,250,30,GSW,77,8,Colgate,1997 Rnd 1 Pick 8,Saint Vincent and the Grenadines United States
Richie Frahm,G,6-5,210,28,"HOU, MIN",33,3,Gonzaga,"2000 NBA Draft, Undrafted",United States
Steve Francis,G,6-3,195,29,"NYK, ORL",70,6,Maryland,1999 Rnd 1 Pick 2,United States
Channing Frye,FC,7-0,255,22,NYK,65,0,Arizona,2005 Rnd 1 Pick 8,United States
Dan Gadzuric,FC,6-11,240,28,MIL,74,3,UCLA,2002 Rnd 2 Pick 5,Netherlands United States
Deng Gai,F,6-9,250,23,PHI,2,0,Fairfield,"2005 NBA Draft, Undrafted",South Sudan United States
Reece Gaines,G,6-6,210,25,MIL,12,2,Louisville,2003 Rnd 1 Pick 15,United States
Francisco Garcia,GF,6-7,195,24,SAC,67,0,Louisville,2005 Rnd 1 Pick 23,Dominican Republic
Kevin Garnett,PF,6-11,240,29,MIN,76,10,Farragut Career Academy (Illinois),1995 Rnd 1 Pick 5,United States
Pat Garrity,F,6-9,238,29,ORL,57,7,Notre Dame,1998 Rnd 1 Pick 19,United States
Pau Gasol,FC,7-0,250,25,MEM,80,4,Barca (Spain),2001 Rnd 1 Pick 3,Spain
Devean George,F-G,6-8,235,28,LAL,71,6,Augsburg College,1999 Rnd 1 Pick 23,United States
Eddie Gill,PG,6-0,190,27,IND,40,5,Weber State,"2000 NBA Draft, Undrafted",United States
Manu Ginobili,SG,6-6,205,28,SAS,65,3,Viola Reggio Calabria (Italy),1999 Rnd 2 Pick 28,Argentina
Gordan Giricek,G-F,6-6,210,28,UTA,37,3,KK Cibona (Croatia),1999 Rnd 2 Pick 11,Croatia
Anthony Goldwire,G,6-1,182,34,LAC,3,8,Houston,1994 Rnd 2 Pick 25,United States
Ryan Gomes,F,6-7,245,23,BOS,61,0,Providence,2005 Rnd 2 Pick 20,United States
Drew Gooden,FC,6-10,250,24,CLE,79,3,Kansas,2002 Rnd 1 Pick 4,United States
Ben Gordon,SG,6-3,200,22,CHI,80,1,Connecticut,2004 Rnd 1 Pick 3,England United States
Joey Graham,G,6-7,225,23,TOR,80,0,Oklahoma State,2005 Rnd 1 Pick 16,United States
Stephen Graham,GF,6-6,215,23,"CHI, CLE, HOU",22,0,Oklahoma State,"2005 NBA Draft, Undrafted",United States
Danny Granger,GF,6-9,222,22,IND,78,0,New Mexico,2005 Rnd 1 Pick 17,United States
Brian Grant,PF,6-9,254,33,PHX,21,11,Xavier,1994 Rnd 1 Pick 8,United States
Devin Green,GF,6-7,210,23,LAL,27,0,Hampton,"2005 NBA Draft, Undrafted",United States
Gerald Green,GF,6-7,205,20,BOS,32,0,Gulf Shores Academy (Texas),2005 Rnd 1 Pick 18,United States
Willie Green,SG,6-3,201,24,PHI,10,2,Detroit-Mercy,2003 Rnd 2 Pick 12,United States
Orien Greene,G,6-5,218,24,BOS,80,0,Louisiana,2005 Rnd 2 Pick 23,United States
Adrian Griffin,G-F,6-5,217,31,DAL,52,7,Seton Hall,"1996 NBA Draft, Undrafted",United States
Eddie Griffin,F,6-10,220,23,MIN,70,4,Seton Hall,2001 Rnd 1 Pick 7,United States
Anthony Grundy,G,6-3,180,26,ATL,12,0,NC State,"2002 NBA Draft, Undrafted",United States
Richard Hamilton,SG,6-7,193,28,DET,80,6,Connecticut,1999 Rnd 1 Pick 7,United States
Zendon Hamilton,C,6-11,250,30,"CLE, PHL",12,6,St. John's,"1998 NBA Draft, Undrafted",United States
Penny Hardaway,PG,6-7,195,34,NYK,4,12,Memphis,1993 Rnd 1 Pick 3,United States
Matt Harpring,F,6-7,230,29,UTA,71,7,Georgia Tech,1998 Rnd 1 Pick 15,United States
Al Harrington,F,6-9,245,26,ATL,76,7,St. Patrick High School (New Jersey),1998 Rnd 1 Pick 25,United States
Othella Harrington,F-C,6-9,235,32,CHI,72,9,Georgetown,1996 Rnd 2 Pick 1,United States
Devin Harris,G,6-3,185,23,DAL,56,1,Wisconsin,2004 Rnd 1 Pick 5,United States
David Harrison,C,7-0,254,23,IND,67,1,Colorado,2004 Rnd 1 Pick 29,United States
Jason Hart,G,6-3,180,27,SAC,66,4,Syracuse,2000 Rnd 2 Pick 20,United States
Udonis Haslem,FC,6-8,235,25,MIA,81,2,Florida,"2002 NBA Draft, Undrafted",United States
Trenton Hassell,F,6-5,227,26,MIN,77,4,Austin Peay,2001 Rnd 2 Pick 1,United States
Chuck Hayes,PF,6-6,240,22,HOU,40,0,Kentucky,"2005 NBA Draft, Undrafted",United States
Jarvis Hayes,SF,6-6,220,24,WAS,21,2,Georgia,2003 Rnd 1 Pick 10,United States Qatar
Brendan Haywood,C,7-0,263,26,WAS,79,4,North Carolina,2001 Rnd 1 Pick 20,United States
Luther Head,G,6-3,185,23,HOU,80,0,Illinois,2005 Rnd 1 Pick 24,United States
Alan Henderson,F-C,6-9,235,33,CLE,51,10,Indiana,1995 Rnd 1 Pick 16,United States
Grant Hill,SF,6-8,225,33,ORL,21,11,Duke,1994 Rnd 1 Pick 3,United States
Kirk Hinrich,G,6-4,190,25,CHI,81,2,Kansas,2003 Rnd 1 Pick 7,United States
Julius Hodge,SF,6-7,210,22,DEN,14,0,NC State,2005 Rnd 1 Pick 20,United States
Robert Horry,PF,6-9,220,35,SAS,63,13,Alabama,1992 Rnd 1 Pick 11,United States
Eddie House,G,6-1,190,27,PHX,81,5,Arizona State,2000 Rnd 2 Pick 8,United States
Dwight Howard,C,6-11,265,20,ORL,82,1,Southwest Atlanta Christian Academy (Georgia),2004 Rnd 1 Pick 1,United States
Josh Howard,GF,6-7,210,25,DAL,59,2,Wake Forest,2003 Rnd 1 Pick 29,United States
Juwan Howard,PF,6-9,240,33,HOU,80,11,Michigan,1994 Rnd 1 Pick 5,United States
Troy Hudson,G,6-1,170,29,MIN,36,8,Southern Illinois,"1997 NBA Draft, Undrafted",United States
Larry Hughes,G,6-5,184,27,CLE,36,7,Saint Louis,1998 Rnd 1 Pick 8,United States
Kris Humphries,PF,6-9,235,21,UTA,62,1,Minnesota,2004 Rnd 1 Pick 14,United States
Lindsey Hunter,G,6-2,195,35,DET,30,12,Jackson State,1993 Rnd 1 Pick 10,United States
Steven Hunter,F-C,7-0,240,24,PHI,69,4,DePaul,2001 Rnd 1 Pick 15,United States
Andre Iguodala,SF,6-6,215,22,PHI,82,1,Arizona,2004 Rnd 1 Pick 9,United States
Zydrunas Ilgauskas,C,7-3,260,30,CLE,78,9,BC Aisciai-Atletas (Lithuania),1996 Rnd 1 Pick 20,Lithuania
Allen Iverson,G,6-0,165,30,PHI,72,9,Georgetown,1996 Rnd 1 Pick 1,United States
Royal Ivey,G,6-4,215,24,ATL,73,1,Texas,2004 Rnd 2 Pick 8,United States
Jarrett Jack,G,6-3,200,22,POR,79,0,Georgia Tech,2005 Rnd 1 Pick 22,United States
Bobby Jackson,G,6-1,185,32,MEM,71,8,Minnesota,1997 Rnd 1 Pick 23,United States
Jermaine Jackson,G,6-4,204,29,MIL,30,5,Detroit-Mercy,"1999 NBA Draft, Undrafted",United States
Jim Jackson,SG,6-6,220,35,"LAL, PHX",40,13,Ohio State,1992 Rnd 1 Pick 4,United States
Luke Jackson,SF,6-7,215,24,CLE,35,1,Oregon,2004 Rnd 1 Pick 10,United States
Marc Jackson,C,6-10,270,31,"NJN, NOP",64,5,Temple,1997 Rnd 2 Pick 9,United States
Stephen Jackson,GF,6-8,220,27,IND,81,8,Butler CC,1997 Rnd 2 Pick 14,United States
Jerome James,C,7-0,300,30,NYK,44,6,Florida A&M,1998 Rnd 2 Pick 7,United States
LeBron James,F,6-8,250,21,CLE,79,2,St. Vincent St. Mary High School (Ohio),2003 Rnd 1 Pick 1,United States
Mike James,G,6-2,188,30,TOR,79,4,Duquesne,"1998 NBA Draft, Undrafted",United States
Antawn Jamison,F,6-9,235,29,WAS,82,7,North Carolina,1998 Rnd 1 Pick 4,United States
Marko Jaric,GF,6-7,224,27,MIN,75,3,Fortituto Kontatto Bologna (Italy),2000 Rnd 2 Pick 1,Serbia Greece
Sarunas Jasikevicius,G,6-4,195,29,IND,75,0,Maryland,"1998 NBA Draft, Undrafted",Lithuania
Al Jefferson,FC,6-10,289,21,BOS,59,1,Prentiss High School (Mississippi),2004 Rnd 1 Pick 15,United States
Richard Jefferson,SF,6-7,233,25,NJN,78,4,Arizona,2001 Rnd 1 Pick 13,United States
Jared Jeffries,PF,6-11,240,24,WAS,77,3,Indiana,2002 Rnd 1 Pick 11,United States
Amir Johnson,PF,6-9,240,18,DET,3,0,Westchester High School (California),2005 Rnd 2 Pick 26,United States
Anthony Johnson,G,6-3,195,31,IND,75,8,Charleston,1997 Rnd 2 Pick 11,United States
DerMarr Johnson,GF,6-9,201,25,DEN,58,5,Cincinnati,2000 Rnd 1 Pick 6,United States
Ervin Johnson,C,6-11,245,38,MIL,18,12,New Orleans,1993 Rnd 1 Pick 23,United States
Joe Johnson,SG,6-7,240,24,ATL,82,4,Arkansas,2001 Rnd 1 Pick 10,United States
Linton Johnson,F,6-8,205,25,"NJN, NOP",36,2,Tulane,"2002 NBA Draft, Undrafted",United States
Dahntay Jones,GF,6-6,225,25,MEM,71,2,Duke,2003 Rnd 1 Pick 20,United States
Damon Jones,G,6-3,185,29,CLE,82,7,Houston,"1997 NBA Draft, Undrafted",United States
Dwayne Jones,C,6-11,248,22,BOS,14,0,Saint Joseph's,"2005 NBA Draft, Undrafted",United States
Eddie Jones,G-F,6-6,200,34,MEM,75,11,Temple,1994 Rnd 1 Pick 10,United States
Fred Jones,G,6-4,210,26,IND,68,3,Oregon,2002 Rnd 1 Pick 14,United States
James Jones,SF,6-8,218,25,PHX,75,2,Miami (FL),2003 Rnd 2 Pick 20,United States
Jumaine Jones,SF,6-8,218,27,CHA,76,6,Georgia,1999 Rnd 1 Pick 27,United States
Chris Kaman,C,7-0,265,23,LAC,78,2,Central Michigan,2003 Rnd 1 Pick 6,United States Germany
Jason Kapono,SF,6-8,213,25,MIA,51,2,UCLA,2003 Rnd 2 Pick 2,United States
Mario Kasun,C,6-10,260,25,ORL,28,1,Koln 99ers (Germany),2002 Rnd 2 Pick 12,Croatia
Viktor Khryapa,PF,6-7,220,23,POR,69,1,CSKA Moscow (Russia),2004 Rnd 1 Pick 22,Russia
Jason Kidd,PG,6-4,210,32,NJN,80,11,California,1994 Rnd 1 Pick 2,United States
Andrei Kirilenko,PF,6-9,235,25,UTA,69,4,CSKA Moscow (Russia),1999 Rnd 1 Pick 24,Russia
Linas Kleiza,F,6-8,234,21,DEN,61,0,Missouri,2005 Rnd 1 Pick 27,Lithuania
Brevin Knight,G,5-10,170,30,CHA,69,8,Stanford,1997 Rnd 1 Pick 16,United States
Yaroslav Korolev,F,6-9,203,18,LAC,24,0,CSKA Moscow (Russia),2005 Rnd 1 Pick 12,Russia
Kyle Korver,SF,6-7,212,24,PHI,82,2,Creighton,2003 Rnd 2 Pick 22,United States
Nenad Krstic,C,6-10,255,22,NJN,80,1,KK Partizan (Serbia),2002 Rnd 1 Pick 24,Serbia
Toni Kukoc,SF,6-11,235,37,MIL,65,12,KK Split (Croatia),1990 Rnd 2 Pick 2,Croatia
Raef LaFrentz,F,6-11,245,29,BOS,82,7,Kansas,1998 Rnd 1 Pick 3,United States
Maciej Lampe,FC,6-11,275,21,"HOU, NOP",6,2,Complutense University (Spain),2003 Rnd 2 Pick 1,Poland
David Lee,FC,6-9,245,22,NYK,67,0,Florida,2005 Rnd 1 Pick 30,United States
Voshon Lenard,SG,6-4,205,32,"DEN, POR",26,10,Minnesota,1994 Rnd 2 Pick 19,United States
Rashard Lewis,F,6-10,235,26,SEA,78,7,Alief Elsik High School (Texas),1998 Rnd 2 Pick 3,United States
Randy Livingston,GF,6-4,209,30,CHI,5,8,LSU,1996 Rnd 2 Pick 13,United States
Shaun Livingston,G,6-7,192,20,LAC,61,1,Peoria Central High School (Illinois),2004 Rnd 1 Pick 4,United States
John Lucas,PG,5-11,166,23,HOU,13,0,Oklahoma State,"2005 NBA Draft, Undrafted",United States
Tyronn Lue,G,6-0,170,28,ATL,51,7,Nebraska,1998 Rnd 1 Pick 23,United States
Arvydas Macijauskas,G,6-4,215,26,NOP,19,0,Baskonia (Spain),"2002 NBA Draft, Undrafted",Lithuania
Mark Madsen,C-F,6-9,240,30,MIN,62,5,Stanford,2000 Rnd 1 Pick 29,United States
Corey Maggette,GF,6-6,225,26,LAC,32,6,Duke,1999 Rnd 1 Pick 13,United States
Jamaal Magloire,C,6-11,259,27,MIL,82,5,Kentucky,2000 Rnd 1 Pick 19,Canada
Stephon Marbury,G,6-2,180,29,NYK,60,9,Georgia Tech,1996 Rnd 1 Pick 4,United States
Shawn Marion,F,6-7,228,27,PHX,81,6,UNLV,1999 Rnd 1 Pick 9,United States
Sean Marks,F-C,6-10,250,30,SAS,25,6,California,1998 Rnd 2 Pick 15,New Zealand
Donyell Marshall,F,6-9,245,32,CLE,81,11,Connecticut,1994 Rnd 1 Pick 4,United States
Rawle Marshall,SF,6-7,190,24,DAL,23,0,Oakland,"2005 NBA Draft, Undrafted",Guyana
Darrick Martin,G,5-11,170,34,TOR,40,10,UCLA,"1992 NBA Draft, Undrafted",United States
Kenyon Martin,F,6-9,240,28,DEN,56,5,Cincinnati,2000 Rnd 1 Pick 1,United States
