Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Jeff Adrien,SF,6-7,245,26,HOU,8,1,Connecticut,"2009 NBA Draft, Undrafted",United States
Arron Afflalo,SG,6-5,210,26,DEN,62,4,UCLA,2007 Rnd 1 Pick 27,United States
Blake Ahearn,G,6-3,190,27,UTA,4,2,Missouri State,"2007 NBA Draft, Undrafted",United States
Solomon Alabi,C,7-1,250,23,TOR,14,1,Florida State,2010 Rnd 2 Pick 20,Nigeria
Cole Aldrich,C,6-11,253,23,OKC,26,1,Kansas,2010 Rnd 1 Pick 11,United States
LaMarcus Aldridge,FC,6-11,265,26,POR,55,5,Texas,2006 Rnd 1 Pick 2,United States
Lavoy Allen,PF,6-9,260,23,PHI,41,0,Temple,2011 Rnd 2 Pick 20,United States
Ray Allen,SG,6-5,205,36,BOS,46,15,Connecticut,1996 Rnd 1 Pick 5,United States
Tony Allen,SG,6-4,213,30,MEM,58,7,Oklahoma State,2004 Rnd 1 Pick 25,United States
Morris Almond,GF,6-6,220,27,WAS,4,2,Rice,2007 Rnd 1 Pick 25,United States
Al-Farouq Aminu,F,6-9,220,21,NOP,66,1,Wake Forest,2010 Rnd 1 Pick 8,United States Nigeria
Lou Amundson,PF,6-9,220,29,IND,60,5,UNLV,"2006 NBA Draft, Undrafted",United States
Chris Andersen,FC,6-10,245,33,DEN,32,8,Blinn,"1999 NBA Draft, Undrafted",United States
Alan Anderson,GF,6-6,220,29,TOR,17,2,Michigan State,"2005 NBA Draft, Undrafted",United States
James Anderson,GF,6-6,210,22,SAS,51,1,Oklahoma State,2010 Rnd 1 Pick 20,United States
Ryan Anderson,PF,6-10,240,23,ORL,61,3,California,2008 Rnd 1 Pick 21,United States
Carmelo Anthony,F,6-8,240,27,NYK,55,8,Syracuse,2003 Rnd 1 Pick 3,United States
Joel Anthony,C,6-9,245,29,MIA,64,4,UNLV,"2007 NBA Draft, Undrafted",Canada
Gilbert Arenas,G,6-3,191,30,MEM,17,10,Arizona,2001 Rnd 2 Pick 2,United States
Trevor Ariza,SF,6-8,215,26,NOP,41,7,UCLA,2004 Rnd 2 Pick 14,United States
Omer Asik,C,7-0,255,25,CHI,66,1,Fenerbahce Beko (Turkey),2008 Rnd 2 Pick 6,Turkey
D.J. Augustin,G,6-0,183,24,CHA,48,3,Texas,2008 Rnd 1 Pick 9,United States
Gustavo Ayon,C,6-10,250,26,NOP,54,0,,"2007 NBA Draft, Undrafted",Mexico
Jeff Ayres,FC,6-10,240,24,IND,20,1,Arizona State,2009 Rnd 2 Pick 1,United States
Kelenna Azubuike,F-G,6-5,220,28,DAL,3,5,Kentucky,"2005 NBA Draft, Undrafted",England Nigeria
Luke Babbitt,SF,6-9,225,22,POR,40,1,Nevada,2010 Rnd 1 Pick 16,United States
Renaldo Balkman,F,6-8,208,27,NYK,14,5,South Carolina,2006 Rnd 1 Pick 20,United States Puerto Rico
Leandro Barbosa,G,6-3,194,29,"IND, TOR",64,8,Bauru (Brazil),2003 Rnd 1 Pick 28,Brazil
J.J. Barea,G,5-10,180,27,MIN,41,5,Northeastern,"2006 NBA Draft, Undrafted",Puerto Rico United States
Andrea Bargnani,FC,7-0,245,26,TOR,31,5,Universo De'Longhi Treviso (Italy),2006 Rnd 1 Pick 1,Italy
