Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Arron Afflalo,SG,6-5,210,24,DEN,82,2,UCLA,2007 Rnd 1 Pick 27,United States
Alexis Ajinca,C,7-2,248,21,CHA,6,1,Hyeres-Toulon (France),2008 Rnd 1 Pick 20,France
LaMarcus Aldridge,FC,6-11,265,24,POR,78,3,Texas,2006 Rnd 1 Pick 2,United States
Joe Alexander,SF,6-8,230,23,CHI,8,1,West Virginia,2008 Rnd 1 Pick 8,United States Israel
Malik Allen,F,6-10,255,31,DEN,51,9,Villanova,"2000 NBA Draft, Undrafted",United States
Ray Allen,SG,6-5,205,34,BOS,80,13,Connecticut,1996 Rnd 1 Pick 5,United States
Tony Allen,SG,6-4,213,28,BOS,54,5,Oklahoma State,2004 Rnd 1 Pick 25,United States
Rafer Alston,G,6-2,175,33,"MIA, NJN",52,10,Fresno State,1998 Rnd 2 Pick 10,United States
Lou Amundson,PF,6-9,220,27,PHX,79,3,UNLV,"2006 NBA Draft, Undrafted",United States
Chris Andersen,FC,6-10,245,31,DEN,76,6,Blinn,"1999 NBA Draft, Undrafted",United States
David Andersen,F,7-0,242,29,HOU,63,0,Virtus Bologna (Italy),2002 Rnd 2 Pick 8,Australia
Antonio Anderson,SG,6-6,215,24,OKC,1,0,Memphis,"2009 NBA Draft, Undrafted",United States
Ryan Anderson,PF,6-10,240,21,ORL,63,1,California,2008 Rnd 1 Pick 21,United States
Carmelo Anthony,F,6-8,240,25,DEN,69,6,Syracuse,2003 Rnd 1 Pick 3,United States
Joel Anthony,C,6-9,245,27,MIA,80,2,UNLV,"2007 NBA Draft, Undrafted",Canada
Gilbert Arenas,G,6-3,191,28,WAS,32,8,Arizona,2001 Rnd 2 Pick 2,United States
Trevor Ariza,SF,6-8,215,24,HOU,72,5,UCLA,2004 Rnd 2 Pick 14,United States
Hilton Armstrong,C,6-11,235,25,"HOU, NOP, SAC",33,3,Connecticut,2006 Rnd 1 Pick 12,United States
Carlos Arroyo,PG,6-2,202,30,MIA,72,7,Florida International,"2001 NBA Draft, Undrafted",Puerto Rico United States
Darrell Arthur,PF,6-9,235,21,MEM,32,1,Kansas,2008 Rnd 1 Pick 27,United States
Chucky Atkins,G,5-11,185,35,DET,40,11,South Florida,"1996 NBA Draft, Undrafted",United States
D.J. Augustin,G,6-0,183,22,CHA,80,1,Texas,2008 Rnd 1 Pick 9,United States
