Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Jeff Ayres,FC,6-10,240,22,POR,39,0,Arizona State,2009 Rnd 2 Pick 1,United States
Kelenna Azubuike,F-G,6-5,220,26,GSW,9,3,Kentucky,"2005 NBA Draft, Undrafted",England Nigeria
Renaldo Balkman,F,6-8,208,25,DEN,13,3,South Carolina,2006 Rnd 1 Pick 20,United States Puerto Rico
Marcus Banks,G,6-2,200,28,TOR,22,6,UNLV,2003 Rnd 1 Pick 13,United States
Leandro Barbosa,G,6-3,194,27,PHX,44,6,Bauru (Brazil),2003 Rnd 1 Pick 28,Brazil
J.J. Barea,G,5-10,180,25,DAL,78,3,Northeastern,"2006 NBA Draft, Undrafted",Puerto Rico United States
Andrea Bargnani,FC,7-0,245,24,TOR,80,3,Universo De'Longhi Treviso (Italy),2006 Rnd 1 Pick 1,Italy
Matt Barnes,GF,6-7,226,29,ORL,81,7,UCLA,2002 Rnd 2 Pick 17,United States
Earl Barron,C,7-0,250,28,NYK,7,4,Memphis,"2003 NBA Draft, Undrafted",United States
Brandon Bass,PF,6-8,250,24,ORL,50,4,LSU,2005 Rnd 2 Pick 3,United States
Tony Battie,PF,6-11,230,34,NJN,15,12,Texas Tech,1997 Rnd 1 Pick 5,United States
Shane Battier,F,6-8,220,31,HOU,67,8,Duke,2001 Rnd 1 Pick 6,United States
Nicolas Batum,F,6-8,230,21,POR,37,1,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
Jerryd Bayless,G,6-3,210,21,POR,74,1,Arizona,2008 Rnd 1 Pick 11,United States
Michael Beasley,PF,6-9,235,21,MIA,78,1,Kansas State,2008 Rnd 1 Pick 2,United States
Rodrigue Beaubois,G,6-1,183,22,DAL,56,0,Cholet Basket (France),2009 Rnd 1 Pick 25,France
Marco Belinelli,G,6-5,225,23,TOR,66,2,Fortituto Kontatto Bologna (Italy),2007 Rnd 1 Pick 18,Italy
Charlie Bell,G,6-3,200,30,MIL,71,5,Michigan State,"2001 NBA Draft, Undrafted",United States
Raja Bell,SG,6-5,204,33,"CHA, GOS",6,10,Florida International,"1999 NBA Draft, Undrafted",United States
Jonathan Bender,F,6-11,202,29,NYK,25,7,Picayune High School (Mississippi),1999 Rnd 1 Pick 5,United States
Mike Bibby,G,6-2,195,31,ATL,80,11,Arizona,1998 Rnd 1 Pick 2,United States
Andris Biedrins,C,7-0,250,23,GSW,33,5,BK Skonto Riga (Latvia),2004 Rnd 1 Pick 11,Latvia
Chauncey Billups,G,6-3,210,33,DEN,73,12,Colorado,1997 Rnd 1 Pick 3,United States
DeJuan Blair,F,6-8,270,20,SAS,82,0,Pittsburgh,2009 Rnd 2 Pick 7,United States
Steve Blake,G,6-3,172,30,"LAC, POR",80,6,Maryland,2003 Rnd 2 Pick 9,United States
Andray Blatche,PF,6-11,260,23,WAS,81,4,South Kent School (Connecticut),2005 Rnd 2 Pick 19,United States Philippines
Keith Bogans,GF,6-5,215,29,SAS,79,6,Kentucky,2003 Rnd 2 Pick 14,United States
Andrew Bogut,C,7-0,260,25,MIL,69,4,Utah,2005 Rnd 1 Pick 1,Australia
Matt Bonner,FC,6-10,235,29,SAS,65,5,Florida,2003 Rnd 2 Pick 16,United States
Josh Boone,C,6-10,237,25,NJN,63,3,Connecticut,2006 Rnd 1 Pick 23,United States
Carlos Boozer,PF,6-9,266,28,UTA,78,7,Duke,2002 Rnd 2 Pick 6,Germany United States
Chris Bosh,PF,6-11,235,25,TOR,70,6,Georgia Tech,2003 Rnd 1 Pick 4,United States
Ryan Bowen,F,6-9,218,34,OKC,1,9,Iowa,1998 Rnd 2 Pick 26,United States
Earl Boykins,G,5-5,135,33,WAS,67,10,Eastern Michigan,"1998 NBA Draft, Undrafted",United States
Elton Brand,PF,6-9,254,30,PHI,76,10,Duke,1999 Rnd 1 Pick 1,United States
Corey Brewer,GF,6-9,186,23,MIN,82,2,Florida,2007 Rnd 1 Pick 7,United States
Ronnie Brewer,GF,6-7,235,24,"MEM, UTH",58,3,Arkansas,2006 Rnd 1 Pick 14,United States
Primoz Brezec,C,7-2,252,30,"MIL, PHL",21,7,Union Olimpija (Slovenia),2000 Rnd 1 Pick 27,Slovenia
Jon Brockman,PF,6-7,255,22,SAC,52,0,Washington,2009 Rnd 2 Pick 8,United States
Aaron Brooks,G,6-0,161,25,HOU,82,2,Oregon,2007 Rnd 1 Pick 26,United States
Bobby Brown,PG,6-2,175,25,"LAC, NOP",45,1,Cal State Fullerton,"2007 NBA Draft, Undrafted",United States
Derrick Brown,F,6-7,225,22,CHA,57,0,Xavier,2009 Rnd 2 Pick 10,United States
Devin Brown,SF,6-5,220,31,"CHI, NOP",50,7,Texas-San Antonio,"2002 NBA Draft, Undrafted",United States
Kwame Brown,C,6-11,290,27,DET,48,8,Glynn Academy (Georgia),2001 Rnd 1 Pick 1,United States
Shannon Brown,G,6-4,210,24,LAL,82,3,Michigan State,2006 Rnd 1 Pick 25,United States
Kobe Bryant,SG,6-6,212,31,LAL,73,13,Lower Merion High School (Pennsylvania),1996 Rnd 1 Pick 13,United States
Chase Budinger,GF,6-7,215,21,HOU,74,0,Arizona,2009 Rnd 2 Pick 14,United States
Caron Butler,SF,6-7,228,29,"DAL, WAS",74,7,Connecticut,2002 Rnd 1 Pick 10,United States
Rasual Butler,GF,6-7,215,30,LAC,82,7,La Salle,2002 Rnd 2 Pick 24,United States
Andrew Bynum,C,7-0,285,22,LAL,65,4,St. Joseph High School (New Jersey),2005 Rnd 1 Pick 10,United States
Will Bynum,G,6-0,185,27,DET,63,2,Georgia Tech,"2005 NBA Draft, Undrafted",United States
Jose Calderon,G,6-3,200,28,TOR,68,4,Baskonia (Spain),"2003 NBA Draft, Undrafted",Spain
Marcus Camby,C,6-11,240,35,"LAC, POR",74,13,Massachusetts,1996 Rnd 1 Pick 2,United States
Brian Cardinal,PF,6-8,245,32,MIN,29,9,Purdue,2000 Rnd 2 Pick 15,United States
Rodney Carney,F,6-7,205,25,PHI,68,3,Memphis,2006 Rnd 1 Pick 16,United States
DeMarre Carroll,F,6-8,215,23,MEM,71,0,Missouri,2009 Rnd 1 Pick 27,United States
Matt Carroll,GF,6-6,212,29,DAL,25,6,Notre Dame,"2003 NBA Draft, Undrafted",United States
Anthony Carter,PG,6-1,190,34,DEN,54,11,Hawaii,"1998 NBA Draft, Undrafted",United States
Vince Carter,SF,6-6,220,33,ORL,75,11,North Carolina,1998 Rnd 1 Pick 5,United States
Omri Casspi,F,6-9,225,21,SAC,77,0,Maccabi FOX Tel Aviv (Israel),2009 Rnd 1 Pick 23,Israel
Mario Chalmers,G,6-2,190,23,MIA,73,1,Kansas,2008 Rnd 2 Pick 4,United States
Tyson Chandler,C,7-1,240,27,CHA,51,8,Dominguez High School (California),2001 Rnd 1 Pick 2,United States
Wilson Chandler,SF,6-9,225,22,NYK,65,2,DePaul,2007 Rnd 1 Pick 23,United States
Earl Clark,F,6-10,234,22,PHX,51,0,Louisville,2009 Rnd 1 Pick 14,United States
Jarron Collins,C,6-11,248,31,PHX,34,8,Stanford,2001 Rnd 2 Pick 24,United States
Jason Collins,C,7-0,255,31,ATL,24,8,Stanford,2001 Rnd 1 Pick 18,United States
Mardy Collins,G,6-6,220,25,LAC,43,3,Temple,2006 Rnd 1 Pick 29,United States
Darren Collison,PG,6-0,175,22,NOP,76,0,UCLA,2009 Rnd 1 Pick 21,United States
Nick Collison,FC,6-10,255,29,OKC,75,6,Kansas,2003 Rnd 1 Pick 12,United States
Mike Conley,PG,6-1,175,22,MEM,80,2,Ohio State,2007 Rnd 1 Pick 4,United States
Will Conroy,G,6-2,195,27,HOU,5,1,Washington,"2005 NBA Draft, Undrafted",United States
Brian Cook,PF,6-9,234,29,HOU,15,6,Illinois,2003 Rnd 1 Pick 24,United States
Daequan Cook,G,6-5,205,22,MIA,45,2,Ohio State,2007 Rnd 1 Pick 21,United States
Jamal Crawford,SG,6-5,195,29,ATL,79,9,Michigan,2000 Rnd 1 Pick 8,United States
Dante Cunningham,F,6-8,230,22,POR,63,0,Villanova,2009 Rnd 2 Pick 3,United States
Eddy Curry,C,7-0,295,27,NYK,7,8,Thornwood High School (Illinois),2001 Rnd 1 Pick 4,United States
JamesOn Curry,G,6-4,200,24,LAC,1,1,Oklahoma State,2007 Rnd 2 Pick 21,United States
Stephen Curry,G,6-3,198,21,GSW,80,0,Davidson,2009 Rnd 1 Pick 7,United States
Samuel Dalembert,C,6-11,250,28,PHI,82,8,Seton Hall,2001 Rnd 1 Pick 26,Canada Haiti
Erick Dampier,C,6-11,265,34,DAL,55,13,Mississippi State,1996 Rnd 1 Pick 10,United States
Marquis Daniels,SF,6-6,200,29,BOS,51,6,Auburn,"2003 NBA Draft, Undrafted",United States
Baron Davis,G,6-3,215,30,LAC,75,10,UCLA,1999 Rnd 1 Pick 3,United States
Glen Davis,PF,6-9,289,24,BOS,54,2,LSU,2007 Rnd 2 Pick 5,United States
Paul Davis,FC,6-11,270,25,WAS,2,3,Michigan State,2006 Rnd 2 Pick 4,United States
Ricky Davis,GF,6-7,195,30,LAC,36,11,Iowa,1998 Rnd 1 Pick 21,United States
Austin Daye,F,6-11,220,21,DET,69,0,Gonzaga,2009 Rnd 1 Pick 15,United States
DeMar DeRozan,GF,6-6,220,20,TOR,77,0,USC,2009 Rnd 1 Pick 9,United States
Carlos Delfino,SG,6-6,230,27,MIL,75,4,Fortituto Kontatto Bologna (Italy),2003 Rnd 1 Pick 25,Argentina
Luol Deng,GF,6-9,220,24,CHI,70,5,Duke,2004 Rnd 1 Pick 7,England South Sudan
Boris Diaw,PF,6-8,250,27,CHA,82,6,Pau-Orthez (France),2003 Rnd 1 Pick 21,France
Yakhouba Diawara,SF,6-7,225,27,MIA,6,3,Pepperdine,"2005 NBA Draft, Undrafted",France
Travis Diener,PG,6-1,174,28,"IND, POR",9,4,Marquette,2005 Rnd 2 Pick 8,United States Italy
DeSagana Diop,C,7-0,280,28,CHA,27,8,Oak Hill Academy (Virginia),2001 Rnd 1 Pick 8,Senegal
Keyon Dooling,G,6-3,196,29,NJN,53,9,Missouri,2000 Rnd 1 Pick 10,United States
Joey Dorsey,FC,6-9,275,26,"HOU, SAC",15,1,Memphis,2008 Rnd 2 Pick 3,United States
Toney Douglas,G,6-2,195,23,NYK,56,0,Florida State,2009 Rnd 1 Pick 29,United States
Chris Douglas-Roberts,SF,6-7,210,23,NJN,67,1,Memphis,2008 Rnd 2 Pick 10,United States
Goran Dragic,G,6-3,190,23,PHX,80,1,Union Olimpija (Slovenia),2008 Rnd 2 Pick 15,Slovenia
Jared Dudley,PF,6-7,237,24,PHX,82,2,Boston College,2007 Rnd 1 Pick 22,United States
Chris Duhon,G,6-1,190,27,NYK,67,5,Duke,2004 Rnd 2 Pick 9,United States
Tim Duncan,FC,6-11,250,33,SAS,78,12,Wake Forest,1997 Rnd 1 Pick 1,United States
Mike Dunleavy,GF,6-9,230,29,IND,67,7,Duke,2002 Rnd 1 Pick 3,United States
Kevin Durant,SF,6-10,225,21,OKC,82,2,Texas,2007 Rnd 1 Pick 2,United States
Wayne Ellington,SG,6-4,207,22,MIN,76,0,North Carolina,2009 Rnd 1 Pick 28,United States
Monta Ellis,G,6-3,185,24,GSW,64,4,Lanier High School (Mississippi),2005 Rnd 2 Pick 10,United States
Francisco Elson,C-F,7-0,235,34,"MIL, PHL",12,6,California,1999 Rnd 2 Pick 12,Netherlands South Sudan
Maurice Evans,G-F,6-5,220,31,ATL,79,7,Texas,"2001 NBA Draft, Undrafted",United States
Reggie Evans,PF,6-8,245,29,TOR,28,7,Iowa,"2002 NBA Draft, Undrafted",United States
Tyreke Evans,G,6-6,220,20,SAC,72,0,Memphis,2009 Rnd 1 Pick 4,United States
Jordan Farmar,PG,6-2,180,23,LAL,82,3,UCLA,2006 Rnd 1 Pick 26,United States
Raymond Felton,PG,6-1,205,25,CHA,80,4,North Carolina,2005 Rnd 1 Pick 5,United States
Rudy Fernandez,SG,6-6,185,24,POR,62,1,Joventut Badalona (Spain),2007 Rnd 1 Pick 24,Spain
Kyrylo Fesenko,C,7-1,280,23,UTA,49,2,BK Cherkassy (Ukraine),2007 Rnd 2 Pick 8,Ukraine
Michael Finley,G-F,6-7,225,36,"BOS, SAN",46,14,Wisconsin,1995 Rnd 1 Pick 21,United States
Derek Fisher,G,6-1,210,35,LAL,82,13,Little Rock,1996 Rnd 1 Pick 24,United States
Jonny Flynn,PG,5-10,196,21,MIN,81,0,Syracuse,2009 Rnd 1 Pick 6,United States
T.J. Ford,PG,6-0,165,26,IND,47,6,Texas,2003 Rnd 1 Pick 8,United States
Jeff Foster,C,6-11,236,33,IND,16,10,Texas State,1999 Rnd 1 Pick 21,United States
Randy Foye,G,6-4,218,26,WAS,70,3,Villanova,2006 Rnd 1 Pick 7,United States
Channing Frye,FC,7-0,255,26,PHX,81,4,Arizona,2005 Rnd 1 Pick 8,United States
Dan Gadzuric,FC,6-11,240,32,MIL,32,7,UCLA,2002 Rnd 2 Pick 5,Netherlands United States
Sundiata Gaines,G,6-1,195,23,UTA,32,0,Georgia,"2008 NBA Draft, Undrafted",United States
Danilo Gallinari,SF,6-10,233,21,NYK,81,1,AX Armani Exchange Milan (Italy),2008 Rnd 1 Pick 6,Italy
Francisco Garcia,GF,6-7,195,28,SAC,25,4,Louisville,2005 Rnd 1 Pick 23,Dominican Republic
Kevin Garnett,PF,6-11,240,33,BOS,69,14,Farragut Career Academy (Illinois),1995 Rnd 1 Pick 5,United States
Marc Gasol,C,7-1,255,25,MEM,69,1,CB Girona (Spain),2007 Rnd 2 Pick 18,Spain
Pau Gasol,FC,7-0,250,29,LAL,65,8,Barca (Spain),2001 Rnd 1 Pick 3,Spain
Rudy Gay,SF,6-8,240,23,MEM,80,3,Connecticut,2006 Rnd 1 Pick 8,United States
Alonzo Gee,SF,6-6,225,22,WAS,11,0,Alabama,"2009 NBA Draft, Undrafted",United States
Devean George,F-G,6-8,235,32,GSW,45,10,Augsburg College,1999 Rnd 1 Pick 23,United States
Daniel Gibson,G,6-2,200,24,CLE,56,3,Texas,2006 Rnd 2 Pick 12,United States
Taj Gibson,F,6-9,232,24,CHI,82,0,USC,2009 Rnd 1 Pick 26,United States
J.R. Giddens,GF,6-5,210,25,"BOS, NYK",32,1,New Mexico,2008 Rnd 1 Pick 30,United States
Trey Gilder,F,6-9,185,25,MEM,2,0,Northwestern State,"2008 NBA Draft, Undrafted",United States
Manu Ginobili,SG,6-6,205,32,SAS,75,7,Viola Reggio Calabria (Italy),1999 Rnd 2 Pick 28,Argentina
Ryan Gomes,F,6-7,245,27,MIN,76,4,Providence,2005 Rnd 2 Pick 20,United States
Drew Gooden,FC,6-10,250,28,"DAL, LAC",70,7,Kansas,2002 Rnd 1 Pick 4,United States
Ben Gordon,SG,6-3,200,26,DET,62,5,Connecticut,2004 Rnd 1 Pick 3,England United States
Eric Gordon,G,6-3,215,21,LAC,62,1,Indiana,2008 Rnd 1 Pick 7,United States
Marcin Gortat,FC,6-11,240,26,ORL,81,2,Koln 99ers (Germany),2005 Rnd 2 Pick 27,Poland
Joey Graham,G,6-7,225,27,DEN,63,4,Oklahoma State,2005 Rnd 1 Pick 16,United States
Stephen Graham,GF,6-6,215,27,CHA,70,4,Oklahoma State,"2005 NBA Draft, Undrafted",United States
Danny Granger,GF,6-9,222,26,IND,62,4,New Mexico,2005 Rnd 1 Pick 17,United States
Aaron Gray,C,7-0,270,25,"CHI, NOP",32,2,Pittsburgh,2007 Rnd 2 Pick 19,United States
Danny Green,SF,6-6,220,22,CLE,20,0,North Carolina,2009 Rnd 2 Pick 16,United States
Jeff Green,F,6-8,235,23,OKC,82,2,Georgetown,2007 Rnd 1 Pick 5,United States
Willie Green,SG,6-3,201,28,PHI,73,6,Detroit-Mercy,2003 Rnd 2 Pick 12,United States
Donte Greene,F,6-11,226,22,SAC,76,1,Syracuse,2008 Rnd 1 Pick 28,United States Germany
Taylor Griffin,F,6-8,235,23,PHX,8,0,Oklahoma,2009 Rnd 2 Pick 18,United States
Hamed Haddadi,C,7-2,265,24,MEM,36,1,Saba Mehr Qazvin BC (Iran),"2004 NBA Draft, Undrafted",Iran
Malik Hairston,SF,6-6,220,23,SAS,47,1,Oregon,2008 Rnd 2 Pick 18,United States
Marcus Haislip,FC,6-10,230,29,SAS,10,3,Tennessee,2002 Rnd 1 Pick 13,United States
Richard Hamilton,SG,6-7,193,32,DET,46,10,Connecticut,1999 Rnd 1 Pick 7,United States
Tyler Hansbrough,PF,6-9,250,24,IND,29,0,North Carolina,2009 Rnd 1 Pick 13,United States
James Harden,SG,6-5,220,20,OKC,76,0,Arizona State,2009 Rnd 1 Pick 3,United States
Al Harrington,F,6-9,245,30,NYK,72,11,St. Patrick High School (New Jersey),1998 Rnd 1 Pick 25,United States
Devin Harris,G,6-3,185,27,NJN,64,5,Wisconsin,2004 Rnd 1 Pick 5,United States
Mike Harris,F,6-6,242,26,"HOU, WAS",13,1,Rice,"2005 NBA Draft, Undrafted",United States
Jason Hart,G,6-3,180,31,"MIN, NOP",5,8,Syracuse,2000 Rnd 2 Pick 20,United States
Udonis Haslem,FC,6-8,235,29,MIA,78,6,Florida,"2002 NBA Draft, Undrafted",United States
Trenton Hassell,F,6-5,227,30,NJN,52,8,Austin Peay,2001 Rnd 2 Pick 1,United States
Spencer Hawes,C,7-1,245,21,SAC,72,2,Washington,2007 Rnd 1 Pick 10,United States
Chuck Hayes,PF,6-6,240,26,HOU,82,4,Kentucky,"2005 NBA Draft, Undrafted",United States
Jarvis Hayes,SF,6-6,220,28,NJN,45,6,Georgia,2003 Rnd 1 Pick 10,United States Qatar
Brendan Haywood,C,7-0,263,30,"DAL, WAS",77,8,North Carolina,2001 Rnd 1 Pick 20,United States
Luther Head,G,6-3,185,27,IND,47,4,Illinois,2005 Rnd 1 Pick 24,United States
Gerald Henderson,SG,6-5,215,22,CHA,43,0,Duke,2009 Rnd 1 Pick 12,United States
Roy Hibbert,C,7-2,270,23,IND,81,1,Georgetown,2008 Rnd 1 Pick 17,United States
J.J. Hickson,PF,6-9,242,21,CLE,81,1,NC State,2008 Rnd 1 Pick 19,United States
George Hill,G,6-3,188,23,SAS,78,1,IUPUI,2008 Rnd 1 Pick 26,United States
Grant Hill,SF,6-8,225,37,PHX,81,15,Duke,1994 Rnd 1 Pick 3,United States
Jordan Hill,PF,6-10,240,22,"HOU, NYK",47,0,Arizona,2009 Rnd 1 Pick 8,United States
Kirk Hinrich,G,6-4,190,29,CHI,74,6,Kansas,2003 Rnd 1 Pick 7,United States
Jrue Holiday,G,6-4,205,19,PHI,73,0,UCLA,2009 Rnd 1 Pick 17,United States
Ryan Hollins,C,7-0,230,25,MIN,73,3,UCLA,2006 Rnd 2 Pick 20,United States
Al Horford,FC,6-9,240,23,ATL,81,2,Florida,2007 Rnd 1 Pick 3,Dominican Republic United States
Eddie House,G,6-1,190,31,"BOS, NYK",68,9,Arizona State,2000 Rnd 2 Pick 8,United States
Dwight Howard,C,6-11,265,24,ORL,82,5,Southwest Atlanta Christian Academy (Georgia),2004 Rnd 1 Pick 1,United States
Josh Howard,GF,6-7,210,29,"DAL, WAS",35,6,Wake Forest,2003 Rnd 1 Pick 29,United States
Juwan Howard,PF,6-9,240,37,POR,73,15,Michigan,1994 Rnd 1 Pick 5,United States
Lester Hudson,G,6-3,190,25,"BOS, MEM",25,0,Tennessee-Martin,2009 Rnd 2 Pick 28,United States
Larry Hughes,G,6-5,184,31,"CHA, NYK",45,11,Saint Louis,1998 Rnd 1 Pick 8,United States
Kris Humphries,PF,6-9,235,25,"DAL, NJN",69,5,Minnesota,2004 Rnd 1 Pick 14,United States
Chris Hunter,F-C,6-11,240,25,GSW,60,1,Michigan,"2006 NBA Draft, Undrafted",United States
Lindsey Hunter,G,6-2,195,39,CHI,13,16,Jackson State,1993 Rnd 1 Pick 10,United States
Othello Hunter,FC,6-8,225,23,ATL,7,1,Ohio State,"2008 NBA Draft, Undrafted",United States
Steven Hunter,F-C,7-0,240,28,MEM,21,8,DePaul,2001 Rnd 1 Pick 15,United States
Serge Ibaka,C,6-10,235,20,OKC,73,0,CB L'Hospitalet (Spain),2008 Rnd 1 Pick 24,Republic of the Congo Spain
Andre Iguodala,SF,6-6,215,26,PHI,82,5,Arizona,2004 Rnd 1 Pick 9,United States
Zydrunas Ilgauskas,C,7-3,260,34,CLE,64,13,BC Aisciai-Atletas (Lithuania),1996 Rnd 1 Pick 20,Lithuania
Ersan Ilyasova,F,6-10,235,22,MIL,81,2,Alpella B.K. (Turkey),2005 Rnd 2 Pick 6,Turkey
Allen Iverson,G,6-0,165,34,"MEM, PHL",28,13,Georgetown,1996 Rnd 1 Pick 1,United States
Royal Ivey,G,6-4,215,28,"MIL, PHL",44,5,Texas,2004 Rnd 2 Pick 8,United States
Jarrett Jack,G,6-3,200,26,TOR,82,4,Georgia Tech,2005 Rnd 1 Pick 22,United States
Cedric Jackson,PG,6-3,190,23,"CLE, SAN, WAS",12,0,Cleveland State,"2009 NBA Draft, Undrafted",United States
Darnell Jackson,F,6-8,241,24,"CLE, MIL",28,1,Kansas,2008 Rnd 2 Pick 22,United States
Stephen Jackson,GF,6-8,220,31,"CHA, GOS",81,12,Butler CC,1997 Rnd 2 Pick 14,United States
LeBron James,F,6-8,250,25,CLE,76,6,St. Vincent St. Mary High School (Ohio),2003 Rnd 1 Pick 1,United States
Mike James,G,6-2,188,34,WAS,4,8,Duquesne,"1998 NBA Draft, Undrafted",United States
Antawn Jamison,F,6-9,235,33,"CLE, WAS",66,11,North Carolina,1998 Rnd 1 Pick 4,United States
Nathan Jawai,C,6-10,280,23,MIN,39,1,Cairns (Australia),2008 Rnd 2 Pick 11,Australia
Othyus Jeffers,GF,6-5,210,24,UTA,14,0,Robert Morris,"2008 NBA Draft, Undrafted",United States
Al Jefferson,FC,6-10,289,25,MIN,76,5,Prentiss High School (Mississippi),2004 Rnd 1 Pick 15,United States
Richard Jefferson,SF,6-7,233,29,SAS,81,8,Arizona,2001 Rnd 1 Pick 13,United States
Jared Jeffries,PF,6-11,240,28,"HOU, NYK",70,7,Indiana,2002 Rnd 1 Pick 11,United States
Brandon Jennings,G,6-1,170,20,MIL,82,0,Virtus Roma (Italy),2009 Rnd 1 Pick 10,United States
Jonas Jerebko,F,6-10,231,22,DET,80,0,Edilnol Pallacanestro Biella (Italy),2009 Rnd 2 Pick 9,Sweden
Amir Johnson,PF,6-9,240,22,TOR,82,4,Westchester High School (California),2005 Rnd 2 Pick 26,United States
Anthony Johnson,G,6-3,195,35,ORL,31,12,Charleston,1997 Rnd 2 Pick 11,United States
James Johnson,F,6-7,240,23,CHI,65,0,Wake Forest,2009 Rnd 1 Pick 16,United States
Joe Johnson,SG,6-7,240,28,ATL,76,8,Arkansas,2001 Rnd 1 Pick 10,United States
Dahntay Jones,GF,6-6,225,29,IND,76,6,Duke,2003 Rnd 1 Pick 20,United States
Dwayne Jones,C,6-11,248,26,PHX,2,4,Saint Joseph's,"2005 NBA Draft, Undrafted",United States
James Jones,SF,6-8,218,29,MIA,36,6,Miami (FL),2003 Rnd 2 Pick 20,United States
Solomon Jones,C,6-10,230,25,IND,52,3,South Florida,2006 Rnd 2 Pick 3,United States
DeAndre Jordan,C,6-11,265,21,LAC,70,1,Texas A&M,2008 Rnd 2 Pick 5,United States
Chris Kaman,C,7-0,265,27,LAC,76,6,Central Michigan,2003 Rnd 1 Pick 6,United States Germany
Jason Kapono,SF,6-8,213,29,PHI,57,6,UCLA,2003 Rnd 2 Pick 2,United States
Coby Karl,SF,6-5,215,26,"CLE, GOS",7,1,Boise State,"2007 NBA Draft, Undrafted",United States
Jason Kidd,PG,6-4,210,36,DAL,80,15,California,1994 Rnd 1 Pick 2,United States
Andrei Kirilenko,PF,6-9,235,29,UTA,58,8,CSKA Moscow (Russia),1999 Rnd 1 Pick 24,Russia
Kyle Korver,SF,6-7,212,28,UTA,52,6,Creighton,2003 Rnd 2 Pick 22,United States
Kosta Koufos,C,7-0,265,21,UTA,36,1,Ohio State,2008 Rnd 1 Pick 23,United States Greece
Nenad Krstic,C,6-10,255,26,OKC,76,5,KK Partizan (Serbia),2002 Rnd 1 Pick 24,Serbia
Oliver Lafayette,PG,6-3,190,25,BOS,1,0,Houston,"2007 NBA Draft, Undrafted",United States Croatia
Carl Landry,F,6-9,248,26,"HOU, SAC",80,2,Purdue,2007 Rnd 2 Pick 1,United States
Marcus Landry,F,6-7,230,24,"BOS, NYK",18,0,Wisconsin,"2009 NBA Draft, Undrafted",United States
Acie Law,SG,6-3,202,25,"CHA, CHI, GOS",26,2,Texas A&M,2007 Rnd 1 Pick 11,United States
Ty Lawson,PG,5-11,195,22,DEN,65,0,North Carolina,2009 Rnd 1 Pick 18,United States
Courtney Lee,SG,6-5,215,24,NJN,71,1,Western Kentucky,2008 Rnd 1 Pick 22,United States
David Lee,FC,6-9,245,26,NYK,81,4,Florida,2005 Rnd 1 Pick 30,United States
Rashard Lewis,F,6-10,235,30,ORL,72,11,Alief Elsik High School (Texas),1998 Rnd 2 Pick 3,United States
Shaun Livingston,G,6-7,192,24,"OKC, WAS",36,5,Peoria Central High School (Illinois),2004 Rnd 1 Pick 4,United States
