Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Alex Abrines,GF,6-6,190,23,OKC,68,0,Barca (Spain),2013 Rnd 2 Pick 2,Spain
Quincy Acy,F,6-7,240,26,"BRK, DAL",38,4,Baylor,2012 Rnd 2 Pick 7,United States
Steven Adams,C,6-11,265,23,OKC,80,3,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
Arron Afflalo,SG,6-5,210,31,SAC,61,9,UCLA,2007 Rnd 1 Pick 27,United States
Alexis Ajinca,C,7-2,248,28,NOP,39,6,Hyeres-Toulon (France),2008 Rnd 1 Pick 20,France
Cole Aldrich,C,6-11,253,28,MIN,62,6,Kansas,2010 Rnd 1 Pick 11,United States
LaMarcus Aldridge,FC,6-11,265,31,SAS,72,10,Texas,2006 Rnd 1 Pick 2,United States
Lavoy Allen,PF,6-9,260,28,IND,61,5,Temple,2011 Rnd 2 Pick 20,United States
Tony Allen,SG,6-4,213,35,MEM,71,12,Oklahoma State,2004 Rnd 1 Pick 25,United States
Al-Farouq Aminu,F,6-9,220,26,POR,61,6,Wake Forest,2010 Rnd 1 Pick 8,United States Nigeria
Chris Andersen,FC,6-10,245,38,CLE,12,14,Blinn,"1999 NBA Draft, Undrafted",United States
Alan Anderson,GF,6-6,220,34,LAC,30,7,Michigan State,"2005 NBA Draft, Undrafted",United States
Justin Anderson,F,6-6,230,23,"DAL, PHL",75,1,Virginia,2015 Rnd 1 Pick 21,United States
Kyle Anderson,PF,6-9,230,23,SAS,72,2,UCLA,2014 Rnd 1 Pick 30,United States
Ryan Anderson,PF,6-10,240,28,HOU,72,8,California,2008 Rnd 1 Pick 21,United States
Giannis Antetokounmpo,F,6-11,242,22,MIL,80,3,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,Greece Nigeria
Carmelo Anthony,F,6-8,240,32,NYK,74,13,Syracuse,2003 Rnd 1 Pick 3,United States
Joel Anthony,C,6-9,245,34,SAS,19,9,UNLV,"2007 NBA Draft, Undrafted",Canada
Trevor Ariza,SF,6-8,215,31,HOU,80,12,UCLA,2004 Rnd 2 Pick 14,United States
Darrell Arthur,PF,6-9,235,28,DEN,41,8,Kansas,2008 Rnd 1 Pick 27,United States
Omer Asik,C,7-0,255,30,NOP,31,6,Fenerbahce Beko (Turkey),2008 Rnd 2 Pick 6,Turkey
D.J. Augustin,G,6-0,183,29,ORL,78,8,Texas,2008 Rnd 1 Pick 9,United States
Luke Babbitt,SF,6-9,225,27,MIA,68,6,Nevada,2010 Rnd 1 Pick 16,United States
Ron Baker,G,6-4,220,23,NYK,52,0,Wichita State,"2016 NBA Draft, Undrafted",United States
Wade Baldwin IV,G,6-4,220,20,MEM,33,0,Vanderbilt,2016 Rnd 1 Pick 17,United States
Leandro Barbosa,G,6-3,194,34,PHX,67,13,Bauru (Brazil),2003 Rnd 1 Pick 28,Brazil
J.J. Barea,G,5-10,180,32,DAL,35,10,Northeastern,"2006 NBA Draft, Undrafted",Puerto Rico United States
Harrison Barnes,SF,6-8,225,24,DAL,79,4,North Carolina,2012 Rnd 1 Pick 7,United States
Matt Barnes,GF,6-7,226,36,"GOS, SAC",74,14,UCLA,2002 Rnd 2 Pick 17,United States
Will Barton,GF,6-5,181,26,DEN,60,4,Memphis,2012 Rnd 2 Pick 10,United States
Brandon Bass,PF,6-8,250,31,LAC,52,11,LSU,2005 Rnd 2 Pick 3,United States
Nicolas Batum,F,6-8,230,28,CHA,77,8,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
Jerryd Bayless,G,6-3,210,28,PHI,3,8,Arizona,2008 Rnd 1 Pick 11,United States
Aron Baynes,C,6-10,260,30,DET,75,4,Washington State,"2009 NBA Draft, Undrafted",New Zealand Australia
Kent Bazemore,GF,6-4,195,27,ATL,73,4,Old Dominion,"2012 NBA Draft, Undrafted",United States
Bradley Beal,SG,6-3,207,23,WAS,77,4,Florida,2012 Rnd 1 Pick 3,United States
Malik Beasley,SG,6-4,187,20,DEN,22,0,Florida State,2016 Rnd 1 Pick 19,United States
Michael Beasley,PF,6-9,235,28,MIL,56,8,Kansas State,2008 Rnd 1 Pick 2,United States
Marco Belinelli,G,6-5,225,30,CHA,74,9,Fortituto Kontatto Bologna (Italy),2007 Rnd 1 Pick 18,Italy
DeAndre' Bembry,GF,6-5,210,22,ATL,38,0,Saint Joseph's,2016 Rnd 1 Pick 21,United States
Dragan Bender,PF,7-1,235,19,PHX,43,0,Maccabi FOX Tel Aviv (Israel),2016 Rnd 1 Pick 4,Bosnia and Herzegovina Croatia
Anthony Bennett,PF,6-8,245,23,BRK,23,3,UNLV,2013 Rnd 1 Pick 1,Canada
Ben Bentil,F,6-9,235,21,DAL,3,0,Providence,2016 Rnd 2 Pick 21,Ghana United States
Davis Bertans,SF,6-10,225,24,SAS,67,0,Union Olimpija (Slovenia),2011 Rnd 2 Pick 12,Latvia
Patrick Beverley,PG,6-1,180,28,HOU,67,4,Dnipro Dnipropetrovsk (Ukraine),2009 Rnd 2 Pick 12,United States
Bismack Biyombo,PF,6-9,255,24,ORL,81,5,Urbas Fuenlabrada (Spain),2011 Rnd 1 Pick 7,Democratic Republic of the Congo
Nemanja Bjelica,PF,6-10,235,28,MIN,65,1,KK Crvena Zvezda (Serbia),2010 Rnd 2 Pick 5,Serbia
Tarik Black,PF,6-9,250,25,LAL,67,2,Kansas,"2014 NBA Draft, Undrafted",United States
Eric Bledsoe,PG,6-1,214,27,PHX,66,6,Kentucky,2010 Rnd 1 Pick 18,United States
Bojan Bogdanovic,F,6-8,216,27,"BRK, WAS",81,2,KK Cibona (Croatia),2011 Rnd 2 Pick 1,Bosnia and Herzegovina Croatia
Andrew Bogut,C,7-0,260,32,"CLE, DAL",27,11,Utah,2005 Rnd 1 Pick 1,Australia
Joel Bolomboy,FC,6-9,235,23,UTA,12,0,Weber State,2016 Rnd 2 Pick 22,United States Russia
Devin Booker,SG,6-6,206,20,PHX,78,1,Kentucky,2015 Rnd 1 Pick 13,United States
Trevor Booker,PF,6-8,228,29,BRK,71,6,Clemson,2010 Rnd 1 Pick 23,United States
Avery Bradley,PG,6-3,180,26,BOS,55,6,Texas,2010 Rnd 1 Pick 19,United States
Corey Brewer,GF,6-9,186,30,"HOU, LAL",82,9,Florida,2007 Rnd 1 Pick 7,United States
