Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Malcolm Brogdon,SG,6-5,229,24,MIL,75,0,Virginia,2016 Rnd 2 Pick 6,United States
Aaron Brooks,G,6-0,161,32,IND,65,8,Oregon,2007 Rnd 1 Pick 26,United States
Anthony Brown,GF,6-7,225,24,"NOP, ORL",11,1,Stanford,2015 Rnd 2 Pick 4,United States
Bobby Brown,PG,6-2,175,32,HOU,25,2,Cal State Fullerton,"2007 NBA Draft, Undrafted",United States
Jaylen Brown,SF,6-6,220,20,BOS,78,0,California,2016 Rnd 1 Pick 3,United States
Nicolas Brussino,G,6-8,195,23,DAL,54,0,Regatas Corrientes (Argentina),"2015 NBA Draft, Undrafted",Argentina
Reggie Bullock,SG,6-6,205,25,DET,31,3,North Carolina,2013 Rnd 1 Pick 25,United States
Trey Burke,G,6-0,185,24,WAS,57,3,Michigan,2013 Rnd 1 Pick 9,United States
Alec Burks,SG,6-6,214,25,UTA,42,5,Colorado,2011 Rnd 1 Pick 12,United States
Jimmy Butler,GF,6-8,232,27,CHI,76,5,Marquette,2011 Rnd 1 Pick 30,United States
Bruno Caboclo,PF,6-9,218,21,TOR,9,2,Pinheiros/Sky (Brazil),2014 Rnd 1 Pick 20,Brazil
Jose Calderon,G,6-3,200,35,"ATL, LAL",41,11,Baskonia (Spain),"2003 NBA Draft, Undrafted",Spain
Kentavious Caldwell-Pope,SG,6-5,204,24,DET,76,3,Georgia,2013 Rnd 1 Pick 8,United States
Isaiah Canaan,G,6-0,200,25,CHI,39,3,Murray State,2013 Rnd 2 Pick 4,United States
Clint Capela,PF,6-10,240,22,HOU,65,2,Chalon-Sur-Saone (France),2014 Rnd 1 Pick 25,Switzerland
DeMarre Carroll,F,6-8,215,30,TOR,72,7,Missouri,2009 Rnd 1 Pick 27,United States
Vince Carter,SF,6-6,220,40,MEM,73,18,North Carolina,1998 Rnd 1 Pick 5,United States
Michael Carter-Williams,PG,6-6,195,25,CHI,45,3,Syracuse,2013 Rnd 1 Pick 11,United States
Omri Casspi,F,6-9,225,28,"MIN, NOP, SAC",36,7,Maccabi FOX Tel Aviv (Israel),2009 Rnd 1 Pick 23,Israel
Willie Cauley-Stein,C,7-0,240,23,SAC,75,1,Kentucky,2015 Rnd 1 Pick 6,United States
Tyson Chandler,C,7-1,240,34,PHX,47,15,Dominguez High School (California),2001 Rnd 1 Pick 2,United States
Wilson Chandler,SF,6-9,225,29,DEN,71,9,DePaul,2007 Rnd 1 Pick 23,United States
Marquese Chriss,PF,6-9,240,19,PHX,82,0,Washington,2016 Rnd 1 Pick 8,United States
Rakeem Christmas,PF,6-9,255,25,IND,29,1,Syracuse,2015 Rnd 2 Pick 6,United States U.S. Virgin Islands
Semaj Christon,PG,6-3,190,24,OKC,64,0,Xavier,2014 Rnd 2 Pick 25,United States
Ian Clark,G,6-3,175,25,GSW,77,3,Belmont,"2013 NBA Draft, Undrafted",United States
Jordan Clarkson,G,6-5,192,24,LAL,82,2,Missouri,2014 Rnd 2 Pick 16,United States Philippines
Norris Cole,G,6-2,175,28,OKC,13,5,Cleveland State,2011 Rnd 1 Pick 28,United States
Darren Collison,PG,6-0,175,29,SAC,68,7,UCLA,2009 Rnd 1 Pick 21,United States
Nick Collison,FC,6-10,255,36,OKC,20,13,Kansas,2003 Rnd 1 Pick 12,United States
Mike Conley,PG,6-1,175,29,MEM,69,9,Ohio State,2007 Rnd 1 Pick 4,United States
Pat Connaughton,SF,6-4,209,24,POR,39,1,Notre Dame,2015 Rnd 2 Pick 11,United States
Quinn Cook,PG,6-1,180,23,"DAL, NOP",14,0,Duke,"2015 NBA Draft, Undrafted",United States
DeMarcus Cousins,C,6-11,270,26,"NOP, SAC",72,6,Kentucky,2010 Rnd 1 Pick 5,United States
Robert Covington,F,6-7,209,26,PHI,67,3,Tennessee State,"2013 NBA Draft, Undrafted",United States
Allen Crabbe,SG,6-6,212,24,POR,79,3,California,2013 Rnd 2 Pick 1,United States
Jamal Crawford,SG,6-5,195,36,LAC,82,16,Michigan,2000 Rnd 1 Pick 8,United States
Jordan Crawford,G,6-5,195,28,NOP,19,4,Xavier,2010 Rnd 1 Pick 27,United States
Jae Crowder,SF,6-6,235,26,BOS,72,4,Marquette,2012 Rnd 2 Pick 4,United States
Dante Cunningham,F,6-8,230,29,NOP,66,7,Villanova,2009 Rnd 2 Pick 3,United States
Seth Curry,G,6-1,190,26,DAL,70,3,Duke,"2013 NBA Draft, Undrafted",United States
Stephen Curry,G,6-3,198,28,GSW,79,7,Davidson,2009 Rnd 1 Pick 7,United States
Troy Daniels,G,6-4,205,25,MEM,67,3,VCU,"2013 NBA Draft, Undrafted",United States
Anthony Davis,PF,6-10,253,23,NOP,75,4,Kentucky,2012 Rnd 1 Pick 1,United States
Deyonta Davis,PF,6-9,237,20,MEM,36,0,Michigan State,2016 Rnd 2 Pick 1,United States
Ed Davis,PF,6-9,218,27,POR,46,6,North Carolina,2010 Rnd 1 Pick 13,United States
DeMar DeRozan,GF,6-6,220,27,TOR,74,7,USC,2009 Rnd 1 Pick 9,United States
Dewayne Dedmon,PF,7-0,245,27,SAS,76,3,USC,"2013 NBA Draft, Undrafted",United States
Sam Dekker,SF,6-9,230,22,HOU,77,1,Wisconsin,2015 Rnd 1 Pick 18,United States
Malcolm Delaney,SG,6-3,190,27,ATL,73,0,Virginia Tech,"2011 NBA Draft, Undrafted",United States
Matt Dellavedova,G,6-3,200,26,MIL,76,3,Saint Mary's,"2013 NBA Draft, Undrafted",Australia
Luol Deng,GF,6-9,220,31,LAL,56,12,Duke,2004 Rnd 1 Pick 7,England South Sudan
Cheick Diallo,PF,6-8,219,20,NOP,17,0,Kansas,2016 Rnd 2 Pick 3,Mali
Boris Diaw,PF,6-8,250,34,UTA,73,13,Pau-Orthez (France),2003 Rnd 1 Pick 21,France
Gorgui Dieng,FC,6-10,250,27,MIN,82,3,Louisville,2013 Rnd 1 Pick 21,Senegal
Spencer Dinwiddie,PG,6-5,215,23,BRK,59,2,Colorado,2014 Rnd 2 Pick 8,United States
Toney Douglas,G,6-2,195,30,MEM,24,7,Florida State,2009 Rnd 1 Pick 29,United States
Goran Dragic,G,6-3,190,30,MIA,73,8,Union Olimpija (Slovenia),2008 Rnd 2 Pick 15,Slovenia
Andre Drummond,C,6-10,279,23,DET,81,4,Connecticut,2012 Rnd 1 Pick 9,United States
Jared Dudley,PF,6-7,237,31,PHX,64,9,Boston College,2007 Rnd 1 Pick 22,United States
Mike Dunleavy,GF,6-9,230,36,"ATL, CLE",53,14,Duke,2002 Rnd 1 Pick 3,United States
Kris Dunn,SG,6-3,205,22,MIN,78,0,Providence,2016 Rnd 1 Pick 5,United States
Kevin Durant,SF,6-10,225,28,GSW,62,9,Texas,2007 Rnd 1 Pick 2,United States
Jarell Eddie,SF,6-8,218,25,PHX,5,2,Virginia Tech,"2014 NBA Draft, Undrafted",United States
Henry Ellenson,PF,6-10,240,20,DET,19,0,Marquette,2016 Rnd 1 Pick 18,United States
Wayne Ellington,SG,6-4,207,29,MIA,62,7,North Carolina,2009 Rnd 1 Pick 28,United States
Monta Ellis,G,6-3,185,31,IND,74,11,Lanier High School (Mississippi),2005 Rnd 2 Pick 10,United States
Joel Embiid,C,7-0,280,22,PHI,31,2,Kansas,2014 Rnd 1 Pick 3,Cameroon
James Ennis,GF,6-6,215,26,MEM,64,2,Long Beach State,2013 Rnd 2 Pick 20,United States
Tyler Ennis,PG,6-3,182,22,"HOU, LAL",53,2,Syracuse,2014 Rnd 1 Pick 18,Canada
Tyreke Evans,G,6-6,220,27,"NOP, SAC",40,7,Memphis,2009 Rnd 1 Pick 4,United States
Dante Exum,PG,6-5,214,21,UTA,66,2,Australian Institute of Sport (Australian Capital Territory),2014 Rnd 1 Pick 5,Australia
Kenneth Faried,F,6-8,220,27,DEN,61,5,Morehead State,2011 Rnd 1 Pick 22,United States
Jordan Farmar,PG,6-2,180,30,SAC,2,9,UCLA,2006 Rnd 1 Pick 26,United States
Derrick Favors,FC,6-10,265,25,UTA,50,6,Georgia Tech,2010 Rnd 1 Pick 3,United States
Kay Felder,PG,5-9,176,21,CLE,42,0,Oakland,2016 Rnd 2 Pick 24,United States
Cristiano Felicio,C,6-10,275,24,CHI,66,1,Minas (Brazil),"2014 NBA Draft, Undrafted",Brazil
Raymond Felton,PG,6-1,205,32,LAC,80,11,North Carolina,2005 Rnd 1 Pick 5,United States
Yogi Ferrell,G,6-0,180,23,"BRK, DAL",46,0,Indiana,"2016 NBA Draft, Undrafted",United States
Dorian Finney-Smith,SF,6-7,220,23,DAL,81,0,Florida,"2016 NBA Draft, Undrafted",United States
Bryn Forbes,G,6-2,205,23,SAS,36,0,Michigan State,"2016 NBA Draft, Undrafted",United States
Evan Fournier,SG,6-7,205,24,ORL,68,4,Poitiers Basket 86 (France),2012 Rnd 1 Pick 20,France
Randy Foye,G,6-4,218,33,BRK,69,10,Villanova,2006 Rnd 1 Pick 7,United States
Tim Frazier,G,6-0,172,26,NOP,65,2,Penn State,"2014 NBA Draft, Undrafted",United States
Enes Freedom,F,6-10,250,24,OKC,72,5,Kentucky,2011 Rnd 1 Pick 3,Switzerland Turkey
Channing Frye,FC,7-0,255,33,CLE,74,11,Arizona,2005 Rnd 1 Pick 8,United States
Danilo Gallinari,SF,6-10,233,28,DEN,63,8,AX Armani Exchange Milan (Italy),2008 Rnd 1 Pick 6,Italy
Langston Galloway,G,6-1,200,25,"NOP, SAC",74,2,Saint Joseph's,"2014 NBA Draft, Undrafted",United States
Patricio Garino,SF,6-6,203,23,ORL,5,0,George Washington,"2016 NBA Draft, Undrafted",Argentina
Marc Gasol,C,7-1,255,32,MEM,74,8,CB Girona (Spain),2007 Rnd 2 Pick 18,Spain
Pau Gasol,FC,7-0,250,36,SAS,64,15,Barca (Spain),2001 Rnd 1 Pick 3,Spain
Rudy Gay,SF,6-8,240,30,SAC,30,10,Connecticut,2006 Rnd 1 Pick 8,United States
Michael Patrick Gbinije,SF,6-6,200,24,DET,9,0,Syracuse,2016 Rnd 2 Pick 19,United States Nigeria
Alonzo Gee,SF,6-6,225,29,DEN,13,7,Alabama,"2009 NBA Draft, Undrafted",United States
Paul George,GF,6-8,220,26,IND,75,6,Fresno State,2010 Rnd 1 Pick 10,United States
Marcus Georges-Hunt,G,6-6,220,22,ORL,5,0,Georgia Tech,"2016 NBA Draft, Undrafted",United States
Jonathan Gibson,PG,6-2,185,29,DAL,17,0,New Mexico State,"2010 NBA Draft, Undrafted",United States
Taj Gibson,F,6-9,232,31,"CHI, OKC",78,7,USC,2009 Rnd 1 Pick 26,United States
Manu Ginobili,SG,6-6,205,39,SAS,69,14,Viola Reggio Calabria (Italy),1999 Rnd 2 Pick 28,Argentina
Rudy Gobert,C,7-1,256,24,UTA,81,3,Cholet Basket (France),2013 Rnd 1 Pick 27,France
Archie Goodwin,G,6-5,205,22,"BRK, NOP",15,3,Kentucky,2013 Rnd 1 Pick 29,United States
Aaron Gordon,F,6-8,235,21,ORL,80,2,Arizona,2014 Rnd 1 Pick 4,United States
Eric Gordon,G,6-3,215,28,HOU,75,8,Indiana,2008 Rnd 1 Pick 7,United States
Marcin Gortat,FC,6-11,240,33,WAS,82,9,Koln 99ers (Germany),2005 Rnd 2 Pick 27,Poland
Treveon Graham,GF,6-5,225,23,CHA,27,0,VCU,"2015 NBA Draft, Undrafted",United States
Jerami Grant,F,6-8,210,22,"OKC, PHL",80,2,Syracuse,2014 Rnd 2 Pick 9,United States
Jerian Grant,SG,6-4,198,24,CHI,63,1,Notre Dame,2015 Rnd 1 Pick 19,United States
Danny Green,SF,6-6,220,29,SAS,68,7,North Carolina,2009 Rnd 2 Pick 16,United States
Draymond Green,F,6-6,234,26,GSW,76,4,Michigan State,2012 Rnd 2 Pick 5,United States
Gerald Green,GF,6-7,205,31,BOS,47,9,Gulf Shores Academy (Texas),2005 Rnd 1 Pick 18,United States
JaMychal Green,PF,6-8,227,26,MEM,77,2,Alabama,"2012 NBA Draft, Undrafted",United States
Jeff Green,F,6-8,235,30,ORL,69,8,Georgetown,2007 Rnd 1 Pick 5,United States
Blake Griffin,PF,6-9,246,27,LAC,61,7,Oklahoma,2009 Rnd 1 Pick 1,United States
Justin Hamilton,C,7-0,255,26,BRK,64,2,LSU,2012 Rnd 2 Pick 15,United States Croatia
A.J. Hammons,C,7-0,250,24,DAL,22,0,Purdue,2016 Rnd 2 Pick 16,United States
Tim Hardaway Jr.,SG,6-5,205,24,ATL,79,3,Michigan,2013 Rnd 1 Pick 24,United States
James Harden,SG,6-5,220,27,HOU,81,7,Arizona State,2009 Rnd 1 Pick 3,United States
Maurice Harkless,F,6-9,220,23,POR,77,4,St. John's,2012 Rnd 1 Pick 15,United States Puerto Rico
Justin Harper,PF,6-10,225,27,PHI,3,2,Richmond,2011 Rnd 2 Pick 2,United States
Montrezl Harrell,F,6-7,240,23,HOU,58,1,Louisville,2015 Rnd 2 Pick 2,United States
Devin Harris,G,6-3,185,34,DAL,65,12,Wisconsin,2004 Rnd 1 Pick 5,United States
Gary Harris,SG,6-4,210,22,DEN,57,2,Michigan State,2014 Rnd 1 Pick 19,United States
Joe Harris,SG,6-6,215,25,BRK,52,2,Virginia,2014 Rnd 2 Pick 3,United States
Manny Harris,G,6-5,185,27,DAL,4,3,Michigan,"2010 NBA Draft, Undrafted",United States
Tobias Harris,F,6-7,230,24,DET,82,5,Tennessee,2011 Rnd 1 Pick 19,United States
Aaron Harrison,GF,6-6,210,22,CHA,5,1,Kentucky,"2015 NBA Draft, Undrafted",United States
Andrew Harrison,G,6-4,210,22,MEM,72,0,Kentucky,2015 Rnd 2 Pick 14,United States
Udonis Haslem,FC,6-8,235,36,MIA,16,13,Florida,"2002 NBA Draft, Undrafted",United States
Spencer Hawes,C,7-1,245,28,"CHA, MIL",54,9,Washington,2007 Rnd 1 Pick 10,United States
Gordon Hayward,GF,6-7,225,26,UTA,73,6,Butler,2010 Rnd 1 Pick 9,United States
Gerald Henderson,SG,6-5,215,29,PHI,72,7,Duke,2009 Rnd 1 Pick 12,United States
John Henson,PF,6-11,219,26,MIL,58,4,North Carolina,2012 Rnd 1 Pick 14,United States
Juancho Hernangomez,F,6-9,215,21,DEN,62,0,Movistar Estudiantes (Spain),2016 Rnd 1 Pick 15,Spain
Willy Hernangomez,C,6-11,250,22,NYK,72,0,Cajasol Seville U18 (Spain),2015 Rnd 2 Pick 5,Spain
Mario Hezonja,SG,6-8,220,22,ORL,65,1,FC Barcelona II (Spain),2015 Rnd 1 Pick 5,Croatia
Roy Hibbert,C,7-2,270,30,"CHA, DEN",48,8,Georgetown,2008 Rnd 1 Pick 17,United States
Buddy Hield,G,6-4,220,24,"NOP, SAC",82,0,Oklahoma,2016 Rnd 1 Pick 6,Bahamas
George Hill,G,6-3,188,30,UTA,49,8,IUPUI,2008 Rnd 1 Pick 26,United States
Jordan Hill,PF,6-10,240,29,MIN,7,7,Arizona,2009 Rnd 1 Pick 8,United States
Solomon Hill,SF,6-6,226,25,NOP,80,3,Arizona,2013 Rnd 1 Pick 23,United States
Darrun Hilliard,SG,6-6,220,23,DET,39,1,Villanova,2015 Rnd 2 Pick 8,United States
Jrue Holiday,G,6-4,205,26,NOP,67,7,UCLA,2009 Rnd 1 Pick 17,United States
Justin Holiday,SF,6-6,181,27,NYK,82,3,Washington,"2011 NBA Draft, Undrafted",United States
Rondae Hollis-Jefferson,SF,6-6,217,22,BRK,78,1,Arizona,2015 Rnd 1 Pick 23,United States
Richaun Holmes,F,6-10,240,23,PHI,57,1,Bowling Green,2015 Rnd 2 Pick 7,United States
Rodney Hood,F,6-8,205,24,UTA,59,2,Duke,2014 Rnd 1 Pick 23,United States
Al Horford,FC,6-9,240,30,BOS,68,9,Florida,2007 Rnd 1 Pick 3,Dominican Republic United States
Danuel House,F,6-6,215,23,WAS,1,0,Texas A&M,"2016 NBA Draft, Undrafted",United States
Dwight Howard,C,6-11,265,31,ATL,74,12,Southwest Atlanta Christian Academy (Georgia),2004 Rnd 1 Pick 1,United States
Marcelinho Huertas,PG,6-3,200,33,LAL,23,1,Joventut Badalona (Spain),"2005 NBA Draft, Undrafted",Brazil
Josh Huestis,SF,6-7,230,25,OKC,2,1,Stanford,2014 Rnd 1 Pick 29,United States
Kris Humphries,PF,6-9,235,32,ATL,56,12,Minnesota,2004 Rnd 1 Pick 14,United States
R.J. Hunter,G,6-6,190,23,CHI,3,1,Georgia State,2015 Rnd 1 Pick 28,United States
Serge Ibaka,C,6-10,235,27,"ORL, TOR",79,7,CB L'Hospitalet (Spain),2008 Rnd 1 Pick 24,Republic of the Congo Spain
Andre Iguodala,SF,6-6,215,33,GSW,76,12,Arizona,2004 Rnd 1 Pick 9,United States
Ersan Ilyasova,F,6-10,235,29,"ATL, OKC, PHL",82,9,Alpella B.K. (Turkey),2005 Rnd 2 Pick 6,Turkey
Joe Ingles,F,6-8,226,29,UTA,82,2,Melbourne South (Australia),"2009 NBA Draft, Undrafted",Australia
Brandon Ingram,SF,6-7,190,19,LAL,79,0,Duke,2016 Rnd 1 Pick 2,United States
Kyrie Irving,G,6-2,191,24,CLE,72,5,Duke,2011 Rnd 1 Pick 1,United States Australia
Jarrett Jack,G,6-3,200,33,NOP,2,11,Georgia Tech,2005 Rnd 1 Pick 22,United States
Demetrius Jackson,G,6-1,200,22,BOS,5,0,Notre Dame,2016 Rnd 2 Pick 15,United States
Pierre Jackson,PG,5-10,180,25,DAL,8,0,Baylor,2013 Rnd 2 Pick 12,United States
Reggie Jackson,G,6-2,208,26,DET,52,5,Boston College,2011 Rnd 1 Pick 24,Italy United States
LeBron James,F,6-8,250,32,CLE,74,13,St. Vincent St. Mary High School (Ohio),2003 Rnd 1 Pick 1,United States
Al Jefferson,FC,6-10,289,32,IND,66,12,Prentiss High School (Mississippi),2004 Rnd 1 Pick 15,United States
Richard Jefferson,SF,6-7,233,36,CLE,79,15,Arizona,2001 Rnd 1 Pick 13,United States
John Jenkins,SG,6-4,215,25,PHX,4,4,Vanderbilt,2012 Rnd 1 Pick 23,United States
Brandon Jennings,G,6-1,170,27,"NYK, WAS",81,7,Virtus Roma (Italy),2009 Rnd 1 Pick 10,United States
Jonas Jerebko,F,6-10,231,29,BOS,78,7,Edilnol Pallacanestro Biella (Italy),2009 Rnd 2 Pick 9,Sweden
Amir Johnson,PF,6-9,240,29,BOS,80,11,Westchester High School (California),2005 Rnd 2 Pick 26,United States
Brice Johnson,PF,6-10,230,22,LAC,3,0,North Carolina,2016 Rnd 1 Pick 25,United States
James Johnson,F,6-7,240,30,MIA,76,7,Wake Forest,2009 Rnd 1 Pick 16,United States
Joe Johnson,SG,6-7,240,35,UTA,78,15,Arkansas,2001 Rnd 1 Pick 10,United States
Stanley Johnson,G,6-6,242,20,DET,77,1,Arizona,2015 Rnd 1 Pick 8,United States
Tyler Johnson,G,6-4,190,24,MIA,73,2,Fresno State,"2014 NBA Draft, Undrafted",United States
Wesley Johnson,GF,6-7,215,29,LAC,68,6,Syracuse,2010 Rnd 1 Pick 4,United States
Nikola Jokic,C,7-0,284,22,DEN,73,1,KK Mega Bemax (Serbia),2014 Rnd 2 Pick 11,Serbia
Dahntay Jones,GF,6-6,225,36,CLE,1,12,Duke,2003 Rnd 1 Pick 20,United States
Damian Jones,PF,7-0,245,21,GSW,10,0,Vanderbilt,2016 Rnd 1 Pick 30,United States
Derrick Jones,SF,6-6,210,20,PHX,32,0,UNLV,"2016 NBA Draft, Undrafted",United States
James Jones,SF,6-8,218,36,CLE,48,13,Miami (FL),2003 Rnd 2 Pick 20,United States
Terrence Jones,PF,6-9,255,25,"MIL, NOP",54,4,Kentucky,2012 Rnd 1 Pick 18,United States
Tyus Jones,PG,6-1,196,20,MIN,60,1,Duke,2015 Rnd 1 Pick 24,United States
DeAndre Jordan,C,6-11,265,28,LAC,81,8,Texas A&M,2008 Rnd 2 Pick 5,United States
Cory Joseph,PG,6-3,200,25,TOR,80,5,Texas,2011 Rnd 1 Pick 29,Canada
Frank Kaminsky,F,7-0,242,23,CHA,75,1,Wisconsin,2015 Rnd 1 Pick 9,United States
Ryan Kelly,PF,6-11,230,25,ATL,16,3,Duke,2013 Rnd 2 Pick 18,United States
Michael Kidd-Gilchrist,SF,6-7,232,23,CHA,81,4,Kentucky,2012 Rnd 1 Pick 2,United States
Sean Kilpatrick,SG,6-4,212,27,BRK,70,2,Cincinnati,"2014 NBA Draft, Undrafted",United States
Brandon Knight,G,6-2,182,25,PHX,54,5,Kentucky,2011 Rnd 1 Pick 8,United States
Kyle Korver,SF,6-7,212,35,"ATL, CLE",67,13,Creighton,2003 Rnd 2 Pick 22,United States
Kosta Koufos,C,7-0,265,28,SAC,71,8,Ohio State,2008 Rnd 1 Pick 23,United States Greece
Mindaugas Kuzminskas,SF,6-9,215,27,NYK,68,0,Siauliai (Lithuania),"2011 NBA Draft, Undrafted",Lithuania
Zach LaVine,SG,6-5,200,21,MIN,47,2,UCLA,2014 Rnd 1 Pick 13,United States
Skal Labissiere,C,6-11,235,20,SAC,33,0,Kentucky,2016 Rnd 1 Pick 28,Haiti
Jeremy Lamb,SG,6-5,185,24,CHA,62,4,Connecticut,2012 Rnd 1 Pick 12,United States
Nicolas Laprovittola,PG,6-4,180,27,SAS,18,0,Lanus (Argentina),"2012 NBA Draft, Undrafted",Argentina
