#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Russell Westbrook,OKC,81,2801.7,2558,824,1941,0.425,200,583,0.343,710,840,0.845,137,727,864,840,132,31,438,190
2,James Harden,HOU,81,2946.7,2356,674,1533,0.44,262,756,0.347,746,881,0.847,95,564,659,907,121,38,464,215
3,Isaiah Thomas,BOS,76,2568.5,2199,682,1473,0.463,245,646,0.379,590,649,0.909,43,162,205,449,70,13,210,167
4,Anthony Davis,NOP,75,2707.7,2099,770,1526,0.505,40,134,0.299,519,647,0.802,172,712,884,157,94,167,181,168
5,Karl-Anthony Towns,MIN,82,3030.5,2061,802,1480,0.542,101,275,0.367,356,428,0.832,296,711,1007,220,56,103,212,241
6,Damian Lillard,POR,75,2693.1,2024,661,1488,0.444,214,579,0.37,488,545,0.895,46,322,368,440,68,20,197,152
7,DeMar DeRozan,TOR,74,2620.2,2020,721,1545,0.467,33,124,0.266,545,647,0.842,70,316,386,290,78,13,180,134
8,Stephen Curry,GSW,79,2638.2,1999,675,1443,0.468,324,789,0.411,325,362,0.898,61,292,353,524,142,17,239,183
9,LeBron James,CLE,74,2794.6,1954,736,1344,0.548,124,342,0.363,358,531,0.674,97,542,639,646,92,44,303,134
10,DeMarcus Cousins,NOP,72,2465.4,1942,647,1432,0.452,131,363,0.361,517,670,0.772,152,642,794,332,100,93,269,278
11,Andrew Wiggins,MIN,82,3048.4,1933,709,1570,0.452,103,289,0.356,412,542,0.76,102,226,328,189,82,30,187,183
12,Kawhi Leonard,SAS,74,2474.5,1888,636,1312,0.485,147,387,0.38,469,533,0.88,80,350,430,260,133,55,154,122
13,C.J. McCollum,POR,80,2795.7,1837,692,1441,0.48,185,439,0.421,268,294,0.912,60,229,289,285,72,42,172,202
14,Giannis Antetokounmpo,MIL,80,2845.1,1832,656,1259,0.521,49,180,0.272,471,612,0.77,142,558,700,434,131,151,234,246
15,Kemba Walker,CHA,79,2739.3,1830,643,1450,0.443,240,602,0.399,304,359,0.847,45,263,308,434,85,22,168,119
16,Jimmy Butler,CHI,76,2809.0,1816,570,1252,0.455,91,248,0.367,585,676,0.865,129,341,470,417,143,32,159,112
17,Kyrie Irving,CLE,72,2524.6,1816,671,1420,0.473,177,441,0.401,297,328,0.905,52,178,230,418,83,24,180,157
18,John Wall,WAS,78,2835.5,1805,647,1435,0.451,89,272,0.327,422,527,0.801,59,267,326,831,157,49,322,151
19,Bradley Beal,WAS,77,2684.0,1779,637,1322,0.482,223,552,0.404,282,342,0.825,53,187,240,267,83,21,156,169
