#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Jayson Tatum,BOS,74,2732.3,2225,727,1559,0.466,240,686,0.35,531,622,0.854,78,571,649,342,78,51,213,160
2,Joel Embiid,PHI,66,2284.3,2183,728,1328,0.548,66,200,0.33,661,771,0.857,113,557,670,274,66,112,226,205
3,Luka Doncic,DAL,66,2390.6,2138,719,1449,0.496,185,541,0.342,515,694,0.742,54,515,569,529,90,33,236,166
4,Shai Gilgeous-Alexander,OKC,68,2416.1,2135,704,1381,0.51,58,168,0.345,669,739,0.905,59,270,329,371,112,65,192,192
5,Giannis Antetokounmpo,MIL,63,2023.7,1959,707,1278,0.553,47,171,0.275,498,772,0.645,137,605,742,359,52,51,246,197
6,Anthony Edwards,MIN,79,2841.3,1946,707,1541,0.459,213,578,0.369,319,422,0.756,47,411,458,350,125,58,259,186
7,Julius Randle,NYK,77,2737.4,1936,658,1432,0.459,218,636,0.343,402,531,0.757,141,626,767,316,49,21,216,233
8,Donovan Mitchell,CLE,68,2432.3,1922,679,1402,0.484,245,635,0.386,319,368,0.867,63,226,289,301,99,27,180,168
9,Trae Young,ATL,73,2540.9,1914,597,1390,0.429,154,460,0.335,566,639,0.886,56,161,217,741,80,9,300,104
10,Zach LaVine,CHI,77,2768.5,1913,673,1388,0.485,204,544,0.375,363,428,0.848,42,303,345,327,69,18,194,159
11,Damian Lillard,POR,58,2106.6,1866,556,1202,0.463,244,658,0.371,510,558,0.914,44,233,277,425,50,18,191,109
12,De'Aaron Fox,SAC,73,2435.4,1826,682,1331,0.512,119,367,0.324,343,440,0.78,40,266,306,447,83,23,181,172
13,DeMar DeRozan,CHI,74,2681.2,1816,657,1303,0.504,46,142,0.324,456,523,0.872,34,309,343,377,83,36,153,186
14,Jaylen Brown,BOS,67,2405.0,1784,679,1383,0.491,163,487,0.335,263,344,0.765,78,381,459,232,75,26,197,172
15,Pascal Siakam,TOR,71,2652.2,1720,630,1313,0.48,93,287,0.324,367,474,0.774,131,425,556,415,65,36,169,228
16,Lauri Markkanen,UTA,66,2272.6,1691,571,1145,0.499,200,511,0.391,349,399,0.875,130,440,570,123,42,38,127,137
17,Nikola Jokic,DEN,69,2324.0,1690,646,1022,0.632,57,149,0.383,341,415,0.822,167,650,817,678,87,47,247,174
18,Jalen Green,HOU,76,2602.3,1683,566,1358,0.417,187,554,0.338,364,463,0.786,43,241,284,281,59,18,200,131
19,Jordan Poole,GSW,82,2458.3,1675,550,1278,0.43,214,637,0.336,361,415,0.87,32,193,225,369,63,21,252,214
20,Mikal Bridges,BRK,83,2963.7,1671,593,1267,0.468,169,442,0.382,316,353,0.895,79,285,364,273,91,61,127,159
21,Stephen Curry,GSW,56,1941.5,1648,559,1133,0.493,273,639,0.427,257,281,0.915,39,302,341,352,52,20,179,117
22,Jalen Brunson,NYK,68,2378.5,1633,587,1195,0.491,134,322,0.416,325,392,0.829,40,201,241,421,61,15,142,152
23,Kyrie Irving,DAL,60,2240.6,1623,594,1203,0.494,188,496,0.379,247,273,0.905,59,245,304,331,66,45,128,165
24,Ja Morant,MEM,61,1948.4,1596,566,1214,0.466,92,300,0.307,372,497,0.748,61,296,357,493,66,16,206,100
25,LeBron James,LAL,55,1954.2,1590,609,1219,0.5,121,377,0.321,251,327,0.768,65,392,457,375,50,32,178,88
26,C.J. McCollum,NOP,75,2648.9,1568,587,1344,0.437,211,543,0.389,183,238,0.769,55,273,328,429,70,38,183,153
27,Bam Adebayo,MIA,75,2598.2,1529,602,1114,0.54,1,12,0.083,324,402,0.806,184,504,688,240,88,61,187,208
28,Dejounte Murray,ATL,74,2693.4,1515,612,1319,0.464,133,387,0.344,158,190,0.832,53,336,389,448,112,19,160,106
29,Domantas Sabonis,SAC,79,2735.7,1510,577,938,0.615,31,83,0.373,325,438,0.742,251,722,973,573,65,39,230,279
30,Klay Thompson,GSW,69,2278.9,1509,546,1252,0.436,301,731,0.412,116,132,0.879,39,247,286,163,49,29,123,130
31,Kristaps Porzingis,WAS,65,2119.7,1505,507,1018,0.498,137,356,0.385,354,416,0.851,114,432,546,174,58,100,137,196
32,Darius Garland,CLE,69,2447.8,1490,522,1129,0.462,169,412,0.41,277,321,0.863,28,157,185,538,85,9,199,148
33,Franz Wagner,ORL,80,2609.3,1485,542,1118,0.485,130,360,0.361,271,322,0.842,70,259,329,283,77,17,167,183
34,Devin Booker,PHX,53,1835.5,1471,527,1067,0.494,111,316,0.351,306,358,0.855,46,194,240,293,51,18,145,159
35,Jimmy Butler,MIA,64,2138.5,1466,479,888,0.539,36,103,0.35,472,555,0.85,141,234,375,340,117,21,101,80
36,Anthony Davis,LAL,56,1904.6,1451,542,962,0.563,19,74,0.257,348,444,0.784,195,507,702,148,59,114,122,146
37,Nikola Vucevic,CHI,82,2746.1,1447,597,1148,0.52,121,347,0.349,132,158,0.835,159,744,903,265,60,57,139,179
38,Paolo Banchero,ORL,72,2429.8,1437,479,1122,0.427,85,285,0.298,394,534,0.738,84,413,497,269,60,39,200,160
39,R.J. Barrett,NYK,73,2475.5,1431,510,1176,0.434,121,390,0.31,290,392,0.74,60,308,368,201,31,15,164,179
40,Keldon Johnson,SAS,63,2063.0,1385,503,1113,0.452,134,407,0.329,245,327,0.749,56,262,318,183,46,11,134,125
41,Spencer Dinwiddie,BRK,79,2725.2,1369,460,1050,0.438,181,490,0.369,268,330,0.812,28,242,270,515,67,24,145,187
42,Kevin Durant,PHX,47,1671.7,1366,483,862,0.56,93,230,0.404,307,334,0.919,17,296,313,235,34,67,156,99
43,Kyle Kuzma,WAS,64,2238.8,1357,512,1142,0.448,160,481,0.333,173,237,0.73,55,408,463,239,36,29,190,145
44,Tyler Herro,MIA,67,2336.2,1347,487,1109,0.439,203,537,0.378,170,182,0.934,27,333,360,280,51,16,158,101
45,Buddy Hield,IND,80,2482.0,1344,475,1038,0.458,288,677,0.425,106,129,0.822,67,333,400,225,92,26,139,156
46,Fred VanVleet,TOR,69,2534.7,1335,437,1112,0.393,207,606,0.342,254,283,0.898,30,250,280,495,123,38,140,193
47,Paul George,LAC,56,1939.5,1332,459,1004,0.457,158,426,0.371,256,294,0.871,45,297,342,288,83,20,176,159
48,Terry Rozier,CHA,63,2221.0,1329,493,1188,0.415,165,505,0.327,178,220,0.809,51,208,259,319,74,16,134,119
