#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
282,Carlos Delfino,DET,68,725.7,247,91,226,0.403,20,60,0.333,45,67,0.672,28,85,113,44,21,15,36,86
283,Sasha Pavlovic,CLE,53,812.9,241,87,212,0.41,35,96,0.365,32,49,0.653,16,64,80,25,19,6,42,103
284,Michael Olowokandi,BOS,48,919.2,238,107,240,0.446,0,0,0.0,24,47,0.511,50,170,220,23,22,33,55,122
285,Adrian Griffin,DAL,52,1245.5,237,98,204,0.48,0,2,0.0,41,53,0.774,75,152,227,89,51,9,39,113
286,Aaron Williams,NOP,47,790.8,222,91,176,0.517,0,0,0.0,40,58,0.69,64,117,181,17,17,21,30,138
287,Anderson Varejao,CLE,47,759.2,219,79,150,0.527,0,1,0.0,61,119,0.513,77,158,235,19,31,19,27,118
288,Jason Hart,SAC,66,817.8,218,86,221,0.389,9,31,0.29,37,56,0.661,12,59,71,70,31,5,43,85
289,Antonio Davis,TOR,44,940.6,216,82,190,0.432,0,1,0.0,52,81,0.642,90,118,208,21,23,10,51,125
290,Linas Kleiza,DEN,61,518.1,213,77,173,0.445,2,13,0.154,57,81,0.704,38,78,116,15,10,13,16,87
291,Scott Padgett,NJN,62,718.6,211,71,201,0.353,42,121,0.347,27,34,0.794,56,109,165,41,28,12,21,90
292,Alan Anderson,CHA,36,563.6,207,75,181,0.414,24,58,0.414,33,41,0.805,23,47,70,32,11,4,32,48
293,Jason Kapono,MIA,51,665.5,207,79,177,0.446,21,53,0.396,28,33,0.848,12,59,71,37,7,3,20,89
294,Brian Scalabrine,BOS,71,937.6,205,74,193,0.383,31,87,0.356,26,36,0.722,27,87,114,51,21,19,50,127
295,James Singleton,LAC,59,753.4,203,77,151,0.51,10,20,0.5,39,50,0.78,63,134,197,29,19,21,28,95
296,Zarko Cabarkapa,GSW,60,504.6,199,67,174,0.385,5,20,0.25,60,84,0.714,37,74,111,20,13,7,35,87
297,Lamond Murray,NJN,57,575.2,196,72,181,0.398,27,78,0.346,25,40,0.625,29,103,132,13,17,7,22,66
298,Jarvis Hayes,WAS,21,515.8,196,77,183,0.421,17,47,0.362,25,30,0.833,19,57,76,27,16,1,22,38
299,Kevin Ollie,PHI,70,1068.5,192,75,174,0.431,1,3,0.333,41,49,0.837,13,85,98,101,33,3,29,103
300,Brian Skinner,POR,65,943.7,191,82,160,0.513,0,0,0.0,27,56,0.482,76,152,228,30,25,43,45,119
301,Voshon Lenard,POR,26,457.7,191,75,191,0.393,25,78,0.321,16,31,0.516,5,42,47,41,21,4,31,39
302,Zoran Planinic,NJN,55,594.9,191,66,183,0.361,13,56,0.232,46,66,0.697,14,60,74,53,20,4,43,91
303,DeSagana Diop,DAL,81,1509.9,190,75,154,0.487,1,2,0.5,39,72,0.542,145,229,374,23,44,146,36,253
304,Sean May,CHA,23,398.4,189,70,171,0.409,0,5,0.0,49,64,0.766,42,67,109,22,17,12,33,58
305,Kris Humphries,UTA,62,619.4,188,77,203,0.379,0,5,0.0,34,65,0.523,56,101,157,30,23,16,31,82
306,Tony Delk,DET,24,385.0,182,71,161,0.441,20,47,0.426,20,27,0.741,14,39,53,33,13,1,19,28
307,Matt Barnes,PHI,56,629.9,175,70,140,0.5,3,15,0.2,32,47,0.681,48,73,121,28,20,7,30,100
308,Dikembe Mutombo,HOU,64,954.9,169,50,95,0.526,0,0,0.0,69,91,0.758,100,206,306,4,17,57,35,128
309,Scot Pollard,IND,45,771.7,169,70,154,0.455,0,0,0.0,29,38,0.763,73,145,218,24,37,20,26,115
310,Gerald Green,BOS,32,373.7,167,66,138,0.478,6,20,0.3,29,37,0.784,10,31,41,18,13,4,22,41
311,Chris Andersen,NOP,32,569.4,161,56,98,0.571,0,0,0.0,49,103,0.476,61,94,155,6,8,41,26,84
312,Bostjan Nachbar,NJN,36,502.0,157,54,156,0.346,19,71,0.268,30,44,0.682,8,52,60,27,16,5,24,65
313,Mikki Moore,SEA,47,583.5,154,54,124,0.435,0,2,0.0,46,62,0.742,44,86,130,27,7,15,40,92
314,Linton Johnson,NOP,36,524.7,153,61,149,0.409,13,36,0.361,18,27,0.667,40,82,122,14,12,12,28,61
315,Anthony Carter,MIN,45,589.3,150,53,137,0.387,4,15,0.267,40,55,0.727,9,53,62,101,24,9,40,71
316,Jeff McInnis,NJN,28,486.0,149,63,143,0.441,3,16,0.188,20,29,0.69,11,39,50,52,11,2,29,37
317,Chuck Hayes,HOU,40,534.9,147,59,105,0.562,0,1,0.0,29,45,0.644,67,112,179,14,26,14,12,76
318,Pape Sow,TOR,42,589.4,147,53,123,0.431,0,0,0.0,41,57,0.719,54,92,146,8,21,19,30,118
319,Greg Ostertag,UTA,60,807.1,146,61,124,0.492,0,0,0.0,24,48,0.5,82,143,225,58,6,66,46,129
320,Wayne Simien,MIA,43,414.3,146,58,120,0.483,0,0,0.0,30,34,0.882,38,50,88,7,13,1,24,70
321,Pat Burke,PHX,42,346.0,141,63,127,0.496,2,7,0.286,13,21,0.619,21,52,73,16,6,13,33,62
322,Donell Taylor,WAS,51,465.4,140,53,136,0.39,4,17,0.235,30,43,0.698,16,37,53,45,30,4,34,47
323,Jerome James,NYK,44,406.2,137,56,121,0.463,0,0,0.0,25,40,0.625,39,52,91,12,3,23,51,104
324,Zeljko Rebraca,LAC,29,412.4,135,52,96,0.542,0,0,0.0,31,41,0.756,13,51,64,9,5,19,24,59
325,Shavlik Randolph,PHI,57,487.2,131,44,97,0.454,0,0,0.0,43,71,0.606,55,78,133,19,19,12,21,83
326,Darrell Armstrong,DAL,62,622.9,130,43,128,0.336,11,48,0.229,33,42,0.786,18,63,81,86,27,3,58,71
