#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Kevin Durant,OKC,82,3239.3,2472,794,1668,0.476,128,351,0.365,756,840,0.9,105,518,623,231,112,84,271,171
2,LeBron James,CLE,76,2965.6,2258,768,1528,0.503,129,387,0.333,593,773,0.767,71,483,554,651,125,77,261,119
3,Dwyane Wade,MIA,77,2792.5,2045,719,1511,0.476,73,243,0.3,534,702,0.761,107,266,373,501,142,82,252,181
4,Dirk Nowitzki,DAL,81,3038.8,2027,720,1496,0.481,51,121,0.421,536,586,0.915,80,540,620,218,70,79,149,208
5,Kobe Bryant,LAL,73,2835.4,1970,716,1569,0.456,99,301,0.329,439,541,0.811,78,313,391,365,113,20,233,187
6,Carmelo Anthony,DEN,69,2634.3,1943,688,1502,0.458,59,187,0.316,508,612,0.83,152,302,454,222,88,30,209,225
7,Amar'e Stoudemire,PHX,82,2837.5,1896,704,1264,0.557,1,6,0.167,487,632,0.771,230,502,732,82,52,83,213,281
8,Zach Randolph,MEM,81,3050.9,1681,652,1336,0.488,15,52,0.288,362,465,0.778,330,620,950,149,80,34,174,226
9,Chris Bosh,TOR,70,2525.5,1678,600,1158,0.518,8,22,0.364,470,590,0.797,205,554,759,166,43,68,169,170
10,Stephen Jackson,CHA,81,3128.6,1667,600,1418,0.423,129,393,0.328,338,434,0.779,78,323,401,300,132,43,259,197
11,David Lee,NYK,81,3019.0,1640,686,1258,0.545,0,8,0.0,268,330,0.812,228,721,949,295,85,40,189,257
12,Monta Ellis,GSW,64,2646.6,1631,631,1406,0.449,77,228,0.338,292,388,0.753,47,210,257,340,143,25,244,189
13,Joe Johnson,ATL,76,2885.8,1619,635,1386,0.458,129,350,0.369,220,269,0.818,74,279,353,369,82,5,145,145
14,Derrick Rose,CHI,78,2871.0,1619,672,1373,0.489,16,60,0.267,259,338,0.766,65,228,293,469,57,27,217,96
15,Aaron Brooks,HOU,82,2919.4,1604,575,1331,0.432,209,525,0.398,245,298,0.822,54,161,215,434,69,14,232,199
16,Rudy Gay,MEM,80,3173.8,1567,600,1288,0.466,66,202,0.327,301,400,0.753,115,357,472,153,118,64,169,201
17,Brook Lopez,NJN,82,3026.7,1542,563,1129,0.499,0,2,0.0,416,509,0.817,270,439,709,187,55,139,204,251
18,David West,NOP,81,2948.7,1541,619,1226,0.505,7,27,0.259,296,342,0.865,164,441,605,239,76,60,173,233
