#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Allen Iverson,PHI,75,3174.0,2302,771,1818,0.424,104,338,0.308,656,786,0.835,51,248,299,596,180,9,344,140
2,LeBron James,CLE,80,3388.0,2175,795,1684,0.472,108,308,0.351,477,636,0.75,111,477,588,577,177,52,262,146
3,Amar'e Stoudemire,PHX,80,2888.0,2080,747,1336,0.559,3,16,0.188,583,795,0.733,219,494,713,131,77,130,189,278
4,Gilbert Arenas,WAS,80,3274.0,2038,656,1523,0.431,205,562,0.365,521,640,0.814,83,295,378,411,139,23,242,245
5,Dirk Nowitzki,DAL,78,3021.0,2032,663,1445,0.459,91,228,0.399,615,708,0.869,96,661,757,240,97,119,176,219
6,Tracy McGrady,HOU,78,3184.0,2003,715,1660,0.431,142,435,0.326,431,557,0.774,71,413,484,448,135,52,201,167
7,Vince Carter,NJN,77,2827.0,1886,696,1541,0.452,127,313,0.406,367,460,0.798,106,295,401,327,109,48,168,243
8,Ray Allen,SEA,78,3065.0,1867,640,1494,0.428,209,556,0.376,378,428,0.883,79,268,347,289,84,5,171,167
9,Dwyane Wade,MIA,77,2974.0,1854,630,1318,0.478,13,45,0.289,581,762,0.762,110,287,397,520,121,82,321,230
10,Kobe Bryant,LAL,66,2689.0,1819,573,1324,0.433,131,387,0.339,542,664,0.816,95,297,392,398,86,53,270,174
11,Kevin Garnett,MIN,82,3121.0,1817,683,1360,0.502,6,25,0.24,445,549,0.811,247,861,1108,466,121,112,222,207
12,Stephon Marbury,NYK,82,3281.0,1781,604,1308,0.462,115,325,0.354,458,549,0.834,50,198,248,668,122,6,233,186
13,Paul Pierce,BOS,82,2959.0,1769,556,1223,0.455,108,292,0.37,549,668,0.822,78,461,539,348,133,39,230,255
14,Michael Redd,MIL,75,2849.0,1723,625,1418,0.441,104,293,0.355,369,432,0.854,72,240,312,172,63,8,133,152
15,Shaquille O'Neal,MIA,73,2492.0,1669,658,1095,0.601,0,0,0.0,353,765,0.461,253,507,760,200,36,171,203,262
16,Steve Francis,ORL,78,2978.0,1663,563,1330,0.423,38,127,0.299,499,606,0.823,126,324,450,547,112,28,317,273
17,Elton Brand,LAC,81,3001.0,1622,629,1251,0.503,0,3,0.0,364,484,0.752,296,474,770,208,62,169,183,240
18,Mike Bibby,SAC,80,3086.0,1571,560,1264,0.443,131,364,0.36,320,413,0.775,77,255,332,541,124,30,203,191
19,Shawn Marion,PHX,81,3146.0,1569,613,1289,0.476,114,341,0.334,229,275,0.833,235,680,915,154,163,119,125,199
20,Jason Richardson,GSW,72,2723.0,1559,610,1368,0.446,125,370,0.338,214,309,0.693,125,299,424,281,105,32,169,156
21,Carmelo Anthony,DEN,75,2608.0,1558,530,1230,0.431,42,158,0.266,456,573,0.796,141,285,426,194,68,30,224,229
22,Jalen Rose,TOR,81,2710.0,1495,527,1159,0.455,108,274,0.394,333,390,0.854,44,232,276,209,63,10,180,190
23,Antoine Walker,BOS,77,2955.0,1473,581,1377,0.422,110,341,0.323,201,373,0.539,182,513,695,265,89,58,253,217
24,Yao Ming,HOU,80,2448.0,1465,538,975,0.552,0,0,0.0,389,497,0.783,208,461,669,61,34,160,196,298
25,Corey Maggette,LAC,66,2436.0,1464,425,986,0.431,51,168,0.304,563,657,0.857,70,324,394,225,70,8,195,191
26,Rashard Lewis,SEA,71,2696.0,1457,532,1151,0.462,173,432,0.4,220,283,0.777,110,278,388,94,75,62,123,158
27,Richard Hamilton,DET,76,2926.0,1424,510,1160,0.44,36,118,0.305,368,429,0.858,74,221,295,372,77,13,217,232
28,Joe Johnson,PHX,82,3238.0,1400,544,1179,0.461,177,370,0.478,135,180,0.75,120,302,422,291,79,24,148,167
29,Desmond Mason,MIL,80,2893.0,1377,478,1079,0.443,1,8,0.125,420,524,0.802,85,227,312,217,58,27,164,198
30,Chris Bosh,TOR,81,3017.0,1361,473,1005,0.471,3,10,0.3,412,542,0.76,194,524,718,153,76,113,187,226
31,Larry Hughes,WAS,61,2358.0,1345,467,1086,0.43,59,209,0.282,352,453,0.777,74,308,382,285,176,18,153,168
32,Tim Duncan,SAS,66,2203.0,1342,517,1042,0.496,3,9,0.333,305,455,0.67,202,530,732,179,45,174,127,144
33,Antawn Jamison,WAS,68,2605.0,1334,519,1189,0.437,71,208,0.341,225,296,0.76,160,359,519,154,55,16,118,151
34,Tony Parker,SAS,80,2735.0,1331,539,1118,0.482,43,156,0.276,210,323,0.65,47,251,298,491,98,4,215,167
35,Peja Stojakovic,SAC,66,2534.0,1329,451,1016,0.444,174,433,0.402,253,275,0.92,62,223,285,138,79,12,102,157
36,Zydrunas Ilgauskas,CLE,78,2615.0,1320,458,979,0.468,2,7,0.286,402,503,0.799,299,373,672,100,53,165,191,313
37,Grant Hill,ORL,67,2338.0,1317,517,1015,0.509,3,13,0.231,280,341,0.821,77,241,318,220,97,28,161,144
38,Chauncey Billups,DET,80,2866.0,1316,404,913,0.442,165,387,0.426,343,382,0.898,48,223,271,464,81,9,180,194
39,Ricky Davis,BOS,82,2696.0,1309,481,1041,0.462,61,180,0.339,286,351,0.815,66,183,249,246,89,27,205,174
40,Chris Webber,PHI,67,2370.0,1306,555,1283,0.433,15,44,0.341,181,228,0.794,130,482,612,318,94,53,182,214
41,Damon Stoudamire,POR,81,2762.0,1277,457,1165,0.392,181,490,0.369,182,199,0.915,56,254,310,458,86,2,164,158
42,Wally Szczerbiak,MIN,81,2558.0,1253,465,919,0.506,63,169,0.373,260,304,0.855,82,221,303,191,40,16,132,178
43,Jamal Crawford,NYK,70,2688.0,1241,437,1097,0.398,185,512,0.361,182,216,0.843,33,170,203,302,92,19,148,135
44,Ben Gordon,CHI,82,2002.0,1235,434,1056,0.411,134,331,0.405,233,270,0.863,55,160,215,164,53,10,186,224
45,Bobby Simmons,LAC,75,2799.0,1229,474,1017,0.466,50,115,0.435,231,273,0.846,128,318,446,205,106,16,135,227
