#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Kobe Bryant,LAL,77,3139.7,2430,813,1757,0.463,137,398,0.344,667,768,0.868,75,364,439,413,111,36,255,205
2,LeBron James,CLE,78,3190.3,2132,772,1621,0.476,99,310,0.319,489,701,0.698,83,443,526,470,125,55,250,171
3,Gilbert Arenas,WAS,74,2941.7,2105,647,1548,0.418,205,584,0.351,606,718,0.844,61,277,338,443,139,13,236,249
4,Vince Carter,NJN,82,3126.1,2070,726,1598,0.454,156,437,0.357,462,576,0.802,114,378,492,393,82,30,217,266
5,Dirk Nowitzki,DAL,78,2820.8,1916,673,1341,0.502,72,173,0.416,498,551,0.904,122,571,693,263,52,62,167,171
6,Carmelo Anthony,DEN,65,2485.6,1881,691,1453,0.476,40,149,0.268,459,568,0.808,143,248,391,249,77,23,234,203
7,Ben Gordon,CHI,82,2703.8,1753,609,1338,0.455,155,375,0.413,380,440,0.864,35,223,258,296,64,17,249,252
8,Tracy McGrady,HOU,71,2539.0,1747,638,1480,0.431,126,381,0.331,345,488,0.707,56,322,378,458,92,36,213,136
9,Allen Iverson,DEN,65,2761.3,1709,581,1313,0.442,62,197,0.315,485,610,0.795,23,170,193,468,123,13,268,95
10,Kevin Garnett,MIN,76,2995.1,1704,638,1341,0.476,12,56,0.214,416,498,0.835,183,792,975,313,89,126,205,184
11,Amar'e Stoudemire,PHX,82,2689.0,1671,607,1055,0.575,0,3,0.0,457,585,0.781,222,564,786,84,78,110,232,295
12,Elton Brand,LAC,80,3077.5,1642,645,1211,0.533,1,1,1.0,351,461,0.761,268,476,744,235,77,179,202,238
13,Kevin Martin,SAC,80,2818.4,1618,505,1067,0.473,127,333,0.381,481,570,0.844,69,273,342,173,98,11,135,181
14,Zach Randolph,POR,68,2424.9,1608,600,1286,0.467,14,48,0.292,394,481,0.819,199,489,688,147,53,15,215,184
15,Tim Duncan,SAS,80,2725.4,1599,618,1131,0.546,1,9,0.111,362,568,0.637,213,633,846,273,66,190,224,203
16,Eddy Curry,NYK,81,2848.6,1576,585,1016,0.576,1,1,1.0,405,659,0.615,195,376,571,68,34,40,295,265
17,Chris Bosh,TOR,69,2657.8,1561,543,1094,0.496,12,35,0.343,463,590,0.785,186,555,741,175,39,90,179,163
18,Carlos Boozer,UTA,74,2556.8,1549,647,1154,0.561,0,0,0.0,255,372,0.685,235,632,867,221,70,21,194,217
19,Luol Deng,CHI,82,3071.4,1540,630,1218,0.517,1,7,0.143,279,359,0.777,148,431,579,204,97,48,153,167
20,Richard Hamilton,DET,75,2763.4,1485,547,1170,0.468,44,129,0.341,347,403,0.861,75,207,282,285,59,15,159,232
21,Ray Allen,SEA,55,2219.0,1454,505,1153,0.438,165,443,0.372,279,309,0.903,57,190,247,228,82,11,154,113
22,Leandro Barbosa,PHX,80,2613.4,1444,529,1111,0.476,190,438,0.434,196,232,0.845,22,192,214,317,96,15,146,210
23,Dwight Howard,ORL,82,3023.5,1443,526,873,0.603,1,2,0.5,390,666,0.586,283,725,1008,158,70,156,317,245
24,Tony Parker,SAS,77,2498.9,1429,570,1096,0.52,15,38,0.395,274,350,0.783,34,216,250,420,82,6,191,137
25,Joe Johnson,ATL,57,2359.4,1426,536,1139,0.471,119,312,0.381,235,314,0.748,53,186,239,249,60,11,176,115
26,Michael Redd,MIL,53,2037.9,1416,477,1025,0.465,117,306,0.382,345,416,0.829,42,154,196,124,63,9,122,78
27,Steve Nash,PHX,76,2682.4,1412,517,971,0.532,156,343,0.455,222,247,0.899,30,239,269,884,57,6,287,117
28,Mehmet Okur,UTA,80,2664.5,1405,490,1061,0.462,129,336,0.384,296,387,0.765,160,419,579,156,36,38,125,257
29,Shawn Marion,PHX,80,3010.3,1403,561,1071,0.524,80,252,0.317,201,248,0.81,172,613,785,134,156,122,114,216
30,Mike Bibby,SAC,82,2783.9,1403,471,1166,0.404,173,481,0.36,288,347,0.83,39,224,263,388,88,6,197,139
31,Dwyane Wade,MIA,51,1930.6,1397,472,962,0.491,21,79,0.266,432,535,0.807,51,188,239,384,107,62,216,117
32,Antawn Jamison,WAS,70,2661.6,1388,512,1139,0.45,138,379,0.364,226,307,0.736,134,428,562,136,80,36,104,194
33,Andre Iguodala,PHI,76,3061.6,1386,443,991,0.447,48,155,0.31,452,551,0.82,77,357,434,432,152,33,261,200
34,Ricky Davis,MIN,81,3021.8,1374,506,1089,0.465,123,310,0.397,239,285,0.839,54,261,315,385,80,23,210,189
35,Jason Terry,DAL,81,2846.2,1350,514,1063,0.484,162,370,0.438,160,199,0.804,41,190,231,422,81,17,152,170
36,Rashard Lewis,SEA,60,2347.9,1342,463,1005,0.461,151,387,0.39,265,315,0.841,91,305,396,145,68,39,118,143
37,Jermaine O'Neal,IND,69,2458.9,1339,498,1141,0.436,0,7,0.0,343,447,0.767,153,508,661,167,50,182,203,232
38,Kirk Hinrich,CHI,80,2839.1,1327,475,1061,0.448,140,337,0.415,237,284,0.835,32,242,274,500,100,23,191,274
39,Josh Howard,DAL,70,2455.4,1321,493,1075,0.459,92,239,0.385,243,294,0.827,130,345,475,127,82,56,123,180
